episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42000,200,0.03125,0.96875,6.25,6.0,8.0,0.745,0.0,2.0,7.0,0.16225,1.0,4.875,4.0,9.0,0.015,0.16,0.84,0.0,0.10755148741418764,1.0,0.06666666666666667,0.0,0.9,0.1,baseline,
42001,200,0.03025,0.96975,6.05,6.0,7.100000000000001,1.54,1.0,2.0,6.049999999999983,0.3175,1.0,6.0265486725663715,5.0,11.0,0.015,0.19,0.81,0.0,0.1527369826435247,1.0,0.021666666666666667,0.0,0.65,0.35,baseline,
42002,200,0.029,0.971,5.8,6.0,7.100000000000001,1.61,1.0,2.0,6.0,0.1705,1.0,5.394736842105263,5.0,9.0,0.005,0.175,0.825,0.0,0.12210077312716609,1.0,0.07333333333333333,0.0,0.85,0.15,baseline,
42003,200,0.03375,0.96625,6.75,7.0,8.0,0.82,0.0,2.0999999999999943,7.0,0.26525,2.0,5.0,5.0,9.0,0.03,0.145,0.855,0.0,0.1253018513549772,1.0,0.075,0.0,0.9,0.1,baseline,
42004,200,0.03275,0.96725,6.55,6.5,8.0,1.605,1.0,2.0999999999999943,6.0,0.1795,1.0,5.21259842519685,5.0,9.0,0.015,0.17,0.83,0.0,0.13159296750133193,1.0,0.07333333333333333,0.0,0.9,0.1,baseline,
42005,200,0.02925,0.97075,5.85,6.0,7.100000000000001,0.655,0.0,2.0,5.0,0.221,1.0,5.633928571428571,5.0,10.0,0.015,0.19,0.81,0.0,0.12855609232420825,1.0,0.07333333333333333,0.0,0.9,0.1,baseline,
42006,200,0.0315,0.9685,6.3,7.0,8.0,1.615,1.0,2.0,6.0,0.28475,1.0,6.02542372881356,5.0,12.0,0.02,0.195,0.805,0.0,0.15590677739083847,1.0,0.06333333333333334,0.0,0.75,0.25,baseline,
42007,200,0.03475,0.96525,6.95,7.0,9.0,0.87,0.0,3.0,5.149999999999949,0.2935,1.0,6.069767441860465,6.0,11.0,0.035,0.25,0.75,0.0,0.16392196605016468,1.0,0.06,0.0,0.85,0.15,baseline,
42008,200,0.0305,0.9695,6.1,6.0,8.0,0.695,0.0,2.0,6.0,0.1485,1.0,4.512820512820513,4.0,8.0,0.015,0.135,0.865,0.0,0.10265734265734265,1.0,0.07,0.0,0.95,0.05,baseline,
42009,200,0.02875,0.97125,5.75,6.0,8.100000000000001,0.655,0.0,1.0999999999999943,5.0,0.25925,1.0,5.547169811320755,5.0,9.0,0.03,0.16,0.84,0.0,0.1192521475492673,1.0,0.035,0.0,0.8,0.2,baseline,
42010,200,0.0325,0.9675,6.5,6.0,9.0,0.74,0.0,3.0,6.0,0.2755,1.0,5.932773109243698,5.0,10.0,0.03,0.215,0.785,0.0,0.15407288317256163,1.0,0.035,0.0,0.75,0.25,baseline,
42011,200,0.031,0.969,6.2,6.0,8.0,0.7,0.0,3.0,5.049999999999983,0.2285,1.0,5.868421052631579,6.0,10.0,0.03,0.18,0.82,0.0,0.13895971443141256,1.0,0.02666666666666667,0.0,0.75,0.25,baseline,
42012,200,0.02925,0.97075,5.85,6.0,8.0,0.69,0.0,2.0,5.0,0.1625,1.0,5.268518518518518,5.0,10.0,0.035,0.18,0.82,0.0,0.12392273402674592,1.0,0.06833333333333333,0.0,0.85,0.15,baseline,
42013,200,0.0305,0.9695,6.1,6.5,8.0,0.675,0.0,2.0,5.049999999999983,0.3585,1.0,5.530434782608696,5.0,10.0,0.01,0.19,0.81,0.0,0.13458445040214478,1.0,0.095,0.0,0.7,0.3,baseline,
42014,200,0.03,0.97,6.0,6.0,8.0,1.5,1.0,2.0,6.0,0.31425,1.0,5.672413793103448,5.0,9.0,0.0,0.205,0.795,0.0,0.1497175141242938,1.0,0.056666666666666664,0.0,0.75,0.25,baseline,
