episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42000,200,0.03175,0.96825,6.35,6.0,8.0,0.765,0.0,1.0,5.049999999999983,0.161,1.0,4.833333333333333,4.0,8.0,0.015,0.155,0.845,0.0,0.12137426077161363,1.0,0.045,0.0,0.9,0.1,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42001,200,0.0295,0.9705,5.9,6.0,7.100000000000001,0.71,0.0,3.0,6.0,0.36025,1.0,5.973214285714286,5.0,11.0,0.005,0.185,0.815,0.0,0.1446797652462363,1.0,0.02666666666666667,0.0,0.7,0.3,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42002,200,0.029,0.971,5.8,6.0,7.100000000000001,0.68,0.0,2.0,5.049999999999983,0.16775,1.0,5.2,5.0,9.0,0.0,0.15,0.85,0.0,0.11861702127659575,1.0,0.07,0.0,0.9,0.1,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42003,36,0.19027777777777777,0.8097222222222222,6.85,7.0,9.0,4.583333333333333,3.0,12.5,14.0,0.6694444444444444,2.0,4.651515151515151,4.0,9.0,0.1111111111111111,0.9722222222222222,0.0,0.027777777777777776,0.6547085201793722,2.0,0.3611111111111111,3.0,0.95,0.05,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42004,200,0.034,0.966,6.8,7.0,8.0,1.705,1.0,3.0,7.049999999999983,0.2785,1.0,5.7063492063492065,5.0,11.0,0.035,0.21,0.79,0.0,0.1458491042139793,1.0,0.028333333333333332,0.0,0.75,0.25,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42005,200,0.02925,0.97075,5.85,6.5,7.100000000000001,0.65,0.0,2.0,5.049999999999983,0.20375,1.0,4.928571428571429,4.5,8.0,0.015,0.15,0.85,0.0,0.11140796152818595,1.0,0.07,0.0,0.8,0.2,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42006,200,0.03,0.97,6.0,6.0,8.0,0.71,0.0,3.0,5.0,0.40375,1.0,5.95575221238938,5.0,10.0,0.005,0.22,0.78,0.0,0.1519211324570273,1.0,0.015,0.0,0.65,0.35,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42007,200,0.0345,0.9655,6.9,7.0,8.100000000000001,0.845,0.0,3.0,7.049999999999983,0.34125,1.0,6.149606299212598,6.0,11.0,0.03,0.2,0.8,0.0,0.16475972540045766,1.0,0.05333333333333334,0.0,0.8,0.2,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42008,35,0.1757142857142857,0.8242857142857143,6.15,6.0,8.100000000000001,4.0,3.0,9.600000000000001,13.0,0.6842857142857143,2.0,5.059322033898305,5.0,8.299999999999997,0.14285714285714285,0.9714285714285714,0.0,0.02857142857142857,0.7718120805369127,3.0,0.13333333333333333,1.0,0.9,0.1,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42009,200,0.0295,0.9705,5.9,6.0,8.0,0.7,0.0,3.0,6.0,0.20675,1.0,5.287037037037037,5.0,9.0,0.03,0.17,0.83,0.0,0.1155893536121673,1.0,0.03833333333333333,0.0,0.85,0.15,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42010,200,0.031,0.969,6.2,6.0,8.0,1.57,1.0,3.0,5.049999999999983,0.3225,1.0,5.94017094017094,6.0,10.0,0.015,0.19,0.81,0.0,0.15452835259338887,1.0,0.028333333333333332,0.0,0.7,0.3,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42011,200,0.0325,0.9675,6.5,7.0,8.0,0.745,0.0,3.0,5.049999999999983,0.265,1.0,5.51304347826087,5.0,10.0,0.055,0.21,0.79,0.0,0.12382405288583778,1.0,0.07333333333333333,0.0,0.85,0.15,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42012,200,0.028,0.972,5.6,5.5,7.100000000000001,0.67,0.0,2.0,6.049999999999983,0.25425,1.0,5.6568627450980395,5.0,9.0,0.035,0.185,0.815,0.0,0.1182741116751269,1.0,0.045,0.0,0.8,0.2,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42013,200,0.031,0.969,6.2,6.5,8.100000000000001,0.69,0.0,2.0999999999999943,5.0,0.2195,1.0,5.291666666666667,5.0,9.100000000000009,0.01,0.165,0.835,0.0,0.13240790176187933,1.0,0.051666666666666666,0.0,0.9,0.1,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42014,200,0.0305,0.9695,6.1,6.0,8.0,0.73,0.0,2.0,4.049999999999983,0.2265,1.0,5.61864406779661,5.0,9.0,0.01,0.175,0.825,0.0,0.14636903079966093,1.0,0.055,0.0,0.9,0.1,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42015,200,0.0305,0.9695,6.1,6.0,7.100000000000001,2.465,2.0,3.0,5.0,0.12775,1.0,5.443478260869565,5.0,9.0,0.03,0.18,0.82,0.0,0.12118921642731166,1.0,0.03833333333333333,0.0,0.85,0.15,arrival_zero,VEHICLE_ARRIVAL_RATE=0
42016,200,0.0325,0.9675,6.5,6.5,8.0,0.755,0.0,2.0999999999999943,7.0,0.2205,1.0,5.344262295081967,5.0,10.0,0.03,0.15,0.85,0.0,0.13002544529262086,1.0,0.04,0.0,0.85,0.15,arrival_zero,VEHICLE_ARRIVAL_RATE=0
