episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42000,200,0.0305,0.9695,6.1,6.0,8.0,0.715,0.0,2.0,6.0,0.2485,1.0,4.735042735042735,5.0,8.0,0.01,0.15,0.85,0.0,0.10882278159166031,1.0,0.051666666666666666,0.0,0.85,0.15,fat_mid,DAG_FAT=0.6
42001,200,0.0295,0.9705,5.9,6.0,7.0,0.7,0.0,2.0,6.0,0.27325,1.0,6.230088495575221,5.0,11.799999999999997,0.005,0.19,0.81,0.0,0.16245791245791247,1.0,0.025,0.0,0.8,0.2,fat_mid,DAG_FAT=0.6
42002,200,0.0295,0.9705,5.9,6.0,8.0,0.695,0.0,2.0,5.049999999999983,0.2225,1.0,5.587719298245614,5.0,10.0,0.01,0.205,0.795,0.0,0.1293425975414217,1.0,0.075,0.0,0.9,0.1,fat_mid,DAG_FAT=0.6
42003,200,0.0335,0.9665,6.7,7.0,8.0,0.81,0.0,2.0,7.049999999999983,0.12075,1.0,4.659090909090909,5.0,7.900000000000006,0.01,0.135,0.005,0.86,0.12549019607843137,1.0,0.055,0.0,1.0,0.0,fat_mid,DAG_FAT=0.6
42004,200,0.0325,0.9675,6.5,7.0,8.0,0.77,0.0,2.0,6.049999999999983,0.27825,1.0,5.555555555555555,5.0,9.5,0.005,0.195,0.805,0.0,0.1469725260069352,1.0,0.06166666666666667,0.0,0.85,0.15,fat_mid,DAG_FAT=0.6
42005,200,0.02825,0.97175,5.65,6.0,7.0,0.645,0.0,2.0,5.0,0.2515,1.0,5.174311926605505,5.0,10.0,0.005,0.175,0.825,0.0,0.12057741296348712,1.0,0.07833333333333334,0.0,0.85,0.15,fat_mid,DAG_FAT=0.6
42006,200,0.03075,0.96925,6.15,6.5,8.0,0.725,0.0,2.0,5.049999999999983,0.3625,1.0,5.826086956521739,5.0,11.0,0.015,0.17,0.83,0.0,0.13910828025477706,1.0,0.07166666666666667,0.0,0.75,0.25,fat_mid,DAG_FAT=0.6
42007,200,0.03475,0.96525,6.95,7.0,10.0,0.865,0.0,3.0,6.0,0.4485,2.0,6.7560975609756095,5.0,12.799999999999997,0.045,0.22,0.78,0.0,0.20409882088714207,2.0,0.06333333333333334,0.0,0.75,0.25,fat_mid,DAG_FAT=0.6
42008,200,0.03075,0.96925,6.15,6.0,9.0,0.715,0.0,1.0,7.0,0.199,1.0,4.810344827586207,4.0,10.0,0.025,0.175,0.825,0.0,0.10271366979457267,1.0,0.06,0.0,0.9,0.1,fat_mid,DAG_FAT=0.6
42009,200,0.02825,0.97175,5.65,6.0,8.0,2.515,2.0,3.0,5.049999999999983,0.25875,1.0,5.819047619047619,5.0,10.0,0.02,0.16,0.84,0.0,0.1222165991902834,1.0,0.041666666666666664,0.0,0.75,0.25,fat_mid,DAG_FAT=0.6
42010,200,0.03225,0.96775,6.45,6.0,8.0,1.655,1.0,4.0,6.0,0.282,1.0,6.186440677966102,5.0,11.0,0.035,0.225,0.775,0.0,0.15331632653061225,1.0,0.03333333333333333,0.0,0.7,0.3,fat_mid,DAG_FAT=0.6
