episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42000,200,0.03025,0.96975,6.05,6.0,8.0,1.68,1.0,1.0,5.049999999999983,0.185,1.0,2.3879310344827585,2.0,4.0,0.005,0.075,0.925,0.0,0.045658263305322126,0.0,0.01,0.0,0.7,0.3,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42001,200,0.02875,0.97125,5.75,6.0,7.0,1.66,1.0,1.0,5.099999999999966,0.1875,1.0,2.5135135135135136,2.0,4.0,0.005,0.075,0.925,0.0,0.046610169491525424,0.0,0.01,0.0,0.55,0.45,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42002,200,0.0275,0.9725,5.5,5.5,7.100000000000001,1.605,1.0,1.0,5.049999999999983,0.2385,1.0,2.6132075471698113,2.0,4.5,0.0,0.075,0.925,0.0,0.053164556962025315,0.0,0.011666666666666667,0.0,0.65,0.35,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42003,200,0.0325,0.9675,6.5,7.0,8.0,0.815,0.0,0.0,4.0,0.137,2.0,2.2265625,2.0,4.0,0.0,0.07,0.93,0.0,0.040907817315774725,0.0,0.025,0.0,0.85,0.15,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42004,200,0.03175,0.96825,6.35,7.0,8.0,1.745,1.0,1.0,5.049999999999983,0.1865,1.0,2.3629032258064515,2.0,4.0,0.0,0.065,0.935,0.0,0.042762284196547144,0.0,0.03,0.0,0.75,0.25,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42005,200,0.02825,0.97175,5.65,6.0,7.0,1.605,1.0,1.0,4.0,0.1355,1.0,2.4594594594594597,2.0,4.0,0.0,0.105,0.895,0.0,0.04763406940063091,0.0,0.03,0.0,0.65,0.35,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42006,200,0.0295,0.9705,5.9,6.0,8.0,3.6,3.0,3.0,6.049999999999983,0.2375,2.0,2.6491228070175437,2.0,4.0,0.0,0.075,0.925,0.0,0.055786350148367955,0.0,0.02,0.0,0.55,0.45,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42007,200,0.03275,0.96725,6.55,7.0,8.100000000000001,4.66,4.0,4.0,9.049999999999983,0.106,1.0,2.857142857142857,3.0,5.0,0.01,0.085,0.915,0.0,0.05670362903225806,0.0,0.013333333333333334,0.0,0.8,0.2,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42008,200,0.02925,0.97075,5.85,6.0,8.0,0.725,0.0,0.0,3.0,0.227,1.0,2.247787610619469,2.0,4.0,0.0,0.07,0.93,0.0,0.044569993722536096,0.0,0.013333333333333334,0.0,0.8,0.2,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42009,200,0.02625,0.97375,5.25,5.5,7.100000000000001,2.545,2.0,2.0,3.0,0.1385,1.0,2.5825242718446604,2.0,4.0,0.0,0.075,0.925,0.0,0.04791481810115351,0.0,0.013333333333333334,0.0,0.7,0.3,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42010,200,0.03,0.97,6.0,6.0,8.0,1.665,1.0,1.0,7.0,0.42875,1.0,2.830357142857143,3.0,5.0,0.0,0.1,0.9,0.0,0.055126498002663116,0.0,0.016666666666666666,0.0,0.45,0.55,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42011,200,0.0285,0.9715,5.7,5.5,8.0,3.515,3.0,3.0,5.049999999999983,0.28225,1.0,2.697247706422018,2.0,5.0,0.0,0.105,0.895,0.0,0.05649216208222419,0.0,0.018333333333333333,0.0,0.4,0.6,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42012,200,0.0265,0.9735,5.3,5.0,7.0,2.485,2.0,2.0,2.0,0.232,1.0,2.49,2.0,4.0,0.01,0.07,0.93,0.0,0.04541154210028382,0.0,0.02666666666666667,0.0,0.65,0.35,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
42013,200,0.0295,0.9705,5.9,6.0,8.0,2.57,2.0,2.0,5.049999999999983,0.28775,1.0,2.769911504424779,2.0,5.0,0.0,0.085,0.915,0.0,0.05557122708039492,0.0,0.02,0.0,0.6,0.4,grain_high,"MIN_COMP=200000000.0,MAX_COMP=1400000000.0,MIN_DATA=80000.0,MAX_DATA=400000.0,MIN_EDGE_DATA=40000.0,MAX_EDGE_DATA=200000.0"
