episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42000,200,0.031,0.969,6.2,6.0,8.0,0.715,0.0,1.0999999999999943,5.0,0.251,1.0,4.872881355932203,5.0,8.0,0.015,0.145,0.855,0.0,0.11748998664886515,1.0,0.04833333333333333,0.0,0.85,0.15,grain_low,
42001,200,0.03125,0.96875,6.25,6.0,8.0,0.745,0.0,2.0999999999999943,6.0,0.23075,1.0,5.862068965517241,5.0,10.0,0.03,0.17,0.83,0.0,0.14833555259653794,1.0,0.03,0.0,0.85,0.15,grain_low,
42002,200,0.02925,0.97075,5.85,6.0,7.100000000000001,0.685,0.0,2.0,5.0,0.17375,1.0,5.421052631578948,5.0,9.0,0.01,0.165,0.835,0.0,0.12590024006401707,1.0,0.06333333333333334,0.0,0.85,0.15,grain_low,
42003,200,0.033,0.967,6.6,7.0,8.0,0.78,0.0,2.0,5.149999999999949,0.2265,2.0,5.1171875,5.0,8.0,0.01,0.17,0.83,0.0,0.1419336706014615,1.0,0.055,0.0,0.95,0.05,grain_low,
42004,200,0.03275,0.96725,6.55,7.0,8.0,0.78,0.0,2.0,5.0,0.17425,1.0,5.110236220472441,5.0,10.0,0.015,0.19,0.81,0.0,0.12583489179802299,1.0,0.10166666666666667,0.0,0.95,0.05,grain_low,
42005,200,0.0295,0.9705,5.9,6.0,8.0,0.67,0.0,2.0,4.0,0.16925,1.0,5.245614035087719,5.0,10.0,0.015,0.18,0.82,0.0,0.1273957158962796,1.0,0.058333333333333334,0.0,0.9,0.1,grain_low,
42006,200,0.031,0.969,6.2,6.5,8.100000000000001,0.72,0.0,3.0,6.049999999999983,0.36675,1.0,6.069565217391304,5.0,11.0,0.015,0.175,0.825,0.0,0.14971895758814513,1.0,0.03833333333333333,0.0,0.75,0.25,grain_low,
42007,200,0.034,0.966,6.8,7.0,8.100000000000001,0.825,0.0,2.0999999999999943,4.0,0.308,2.0,6.5390625,5.0,12.0,0.025,0.205,0.795,0.0,0.1878344128414531,2.0,0.07666666666666666,0.0,0.9,0.1,grain_low,
42008,200,0.02975,0.97025,5.95,6.0,8.0,0.69,0.0,1.0,5.099999999999966,0.194,1.0,4.4655172413793105,4.0,7.5,0.005,0.145,0.855,0.0,0.09978768577494693,1.0,0.06666666666666667,0.0,0.85,0.15,grain_low,
42009,200,0.0285,0.9715,5.7,6.0,8.0,1.585,1.0,2.0,5.0,0.26175,1.0,5.761904761904762,5.0,10.0,0.025,0.17,0.83,0.0,0.11959544879898862,1.0,0.055,0.0,0.8,0.2,grain_low,
42010,200,0.032,0.968,6.4,6.0,8.100000000000001,2.515,2.0,3.0,6.049999999999983,0.234,1.0,5.982758620689655,6.0,10.0,0.03,0.2,0.8,0.0,0.14812819822246162,1.0,0.051666666666666666,0.0,0.7,0.3,grain_low,
42011,200,0.0315,0.9685,6.3,6.0,8.100000000000001,0.685,0.0,2.0999999999999943,4.049999999999983,0.27,1.0,5.815789473684211,5.0,10.0,0.035,0.205,0.795,0.0,0.1380360314640954,1.0,0.02,0.0,0.8,0.2,grain_low,
42012,200,0.0295,0.9705,5.9,6.0,8.100000000000001,0.71,0.0,2.0,5.0,0.256,1.0,5.6415094339622645,5.0,9.0,0.035,0.165,0.835,0.0,0.13762287756925826,1.0,0.051666666666666666,0.0,0.75,0.25,grain_low,
42013,200,0.0305,0.9695,6.1,6.5,8.0,1.59,1.0,3.0,5.049999999999983,0.3645,1.0,5.974137931034483,6.0,10.0,0.005,0.19,0.81,0.0,0.15279269602577875,1.0,0.05,0.0,0.7,0.3,grain_low,
