episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42000,200,0.031,0.969,6.2,6.0,8.0,0.74,0.0,1.0,6.049999999999983,0.07725,1.0,3.553719008264463,3.0,7.0,0.015,0.115,0.0,0.885,0.07827009816927567,1.0,0.018333333333333333,0.0,0.95,0.05,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42001,200,0.0295,0.9705,5.9,6.0,7.0,1.61,1.0,1.0999999999999943,6.049999999999983,0.17675,1.0,3.991228070175439,4.0,7.0,0.005,0.115,0.885,0.0,0.08543380206951447,1.0,0.035,0.0,0.8,0.2,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42002,200,0.029,0.971,5.8,6.0,7.100000000000001,0.68,0.0,1.0,6.049999999999983,0.18125,1.0,4.06140350877193,4.0,7.0,0.0,0.135,0.865,0.0,0.09331084879145587,1.0,0.041666666666666664,0.0,0.85,0.15,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42003,200,0.033,0.967,6.6,7.0,8.0,0.805,0.0,0.0,7.0,0.22225,2.0,3.5118110236220472,3.0,6.0,0.01,0.095,0.905,0.0,0.08351063829787234,1.0,0.03333333333333333,0.0,0.85,0.15,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42004,200,0.03225,0.96775,6.45,7.0,8.0,1.705,1.0,2.0,6.0,0.1365,1.0,3.84251968503937,4.0,7.0,0.005,0.11,0.89,0.0,0.08655126498002663,1.0,0.06166666666666667,0.0,0.85,0.15,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42005,200,0.02975,0.97025,5.95,6.5,7.100000000000001,0.675,0.0,1.0,4.049999999999983,0.08075,1.0,3.8086956521739133,3.0,7.0,0.015,0.155,0.005,0.84,0.0786358511837655,1.0,0.06666666666666667,0.0,0.9,0.1,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42006,200,0.0305,0.9695,6.1,6.0,8.0,2.51,2.0,2.0,6.049999999999983,0.197,1.0,4.52542372881356,4.0,9.0,0.01,0.125,0.875,0.0,0.09969481180061038,1.0,0.041666666666666664,0.0,0.7,0.3,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42007,200,0.03425,0.96575,6.85,7.0,8.100000000000001,0.87,0.0,2.0,6.0,0.47825,1.0,4.609756097560975,4.0,7.0,0.03,0.14,0.86,0.0,0.11960575386254661,1.0,0.03,0.0,0.6,0.4,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42008,200,0.03,0.97,6.0,6.0,8.0,0.7,0.0,0.0,5.049999999999983,0.11625,1.0,3.3675213675213675,3.0,6.0,0.01,0.115,0.885,0.0,0.06888297872340425,0.0,0.03,0.0,0.95,0.05,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42009,200,0.0275,0.9725,5.5,6.0,8.0,0.64,0.0,0.0,5.0,0.2215,1.0,3.895238095238095,4.0,6.0,0.01,0.115,0.885,0.0,0.08340330254687937,1.0,0.04,0.0,0.85,0.15,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42010,200,0.031,0.969,6.2,6.0,8.0,0.7,0.0,1.0999999999999943,5.049999999999983,0.33175,1.0,4.442477876106195,4.0,7.0,0.03,0.14,0.86,0.0,0.10304568527918782,1.0,0.021666666666666667,0.0,0.75,0.25,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42011,200,0.03,0.97,6.0,6.0,8.0,1.605,1.0,3.0,5.0,0.22875,1.0,4.207207207207207,4.0,7.0,0.03,0.135,0.865,0.0,0.09008097165991903,1.0,0.025,0.0,0.7,0.3,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42012,200,0.0285,0.9715,5.7,6.0,8.0,0.68,0.0,0.0,5.049999999999983,0.306,1.0,3.6601941747572817,3.0,6.0,0.03,0.11,0.89,0.0,0.07629504504504504,1.0,0.058333333333333334,0.0,0.75,0.25,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42013,200,0.02975,0.97025,5.95,6.5,8.0,2.51,2.0,3.0,7.0,0.23675,1.0,4.327586206896552,4.0,7.5,0.005,0.15,0.85,0.0,0.11667723525681674,1.0,0.04,0.0,0.75,0.25,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42014,200,0.03025,0.96975,6.05,6.0,8.0,1.635,1.0,2.0,5.0,0.17875,1.0,3.957627118644068,3.0,7.299999999999997,0.005,0.135,0.865,0.0,0.0903277378097522,1.0,0.02666666666666667,0.0,0.85,0.15,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42015,200,0.0295,0.9705,5.9,6.0,7.100000000000001,0.645,0.0,1.0,6.0,0.27,1.0,4.044642857142857,4.0,7.0,0.01,0.125,0.875,0.0,0.08843173924659364,1.0,0.035,0.0,0.8,0.2,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42016,200,0.0315,0.9685,6.3,6.0,8.0,0.725,0.0,0.09999999999999432,5.049999999999983,0.084,1.0,3.7096774193548385,3.0,6.0,0.01,0.115,0.0,0.885,0.08829281922324672,1.0,0.03,0.0,1.0,0.0,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42017,200,0.032,0.968,6.4,7.0,8.0,0.775,0.0,2.0,7.0,0.1825,1.0,3.902439024390244,3.0,7.0,0.015,0.12,0.88,0.0,0.09559854219231848,1.0,0.03,0.0,0.8,0.2,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42018,200,0.03175,0.96825,6.35,7.0,8.0,0.77,0.0,2.0,5.099999999999966,0.19025,1.0,4.096,4.0,7.0,0.0,0.125,0.875,0.0,0.09369460622942517,1.0,0.043333333333333335,0.0,0.85,0.15,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42019,200,0.03075,0.96925,6.15,6.0,8.0,1.67,1.0,1.0999999999999943,5.049999999999983,0.178,1.0,3.939655172413793,4.0,7.0,0.015,0.11,0.89,0.0,0.0901179112857945,1.0,0.03,0.0,0.85,0.15,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42020,200,0.03025,0.96975,6.05,6.0,8.0,0.705,0.0,1.0,5.099999999999966,0.232,1.0,4.034782608695652,4.0,7.0,0.015,0.125,0.875,0.0,0.0906099721589471,1.0,0.021666666666666667,0.0,0.8,0.2,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42021,200,0.0275,0.9725,5.5,5.0,7.100000000000001,2.51,2.0,2.0,5.049999999999983,0.281,1.0,4.669902912621359,4.0,8.0,0.015,0.135,0.865,0.0,0.10392733101790008,1.0,0.016666666666666666,0.0,0.7,0.3,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42022,200,0.0315,0.9685,6.3,6.0,8.0,0.805,0.0,0.0,9.0,0.1705,1.0,3.5847457627118646,3.0,6.299999999999997,0.025,0.105,0.895,0.0,0.08570524984187224,1.0,0.06333333333333334,0.0,0.85,0.15,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42023,200,0.03275,0.96725,6.55,7.0,8.0,0.8,0.0,2.0,7.049999999999983,0.38525,1.0,4.532786885245901,4.0,8.0,0.015,0.145,0.855,0.0,0.1154722714611294,1.0,0.011666666666666667,0.0,0.65,0.35,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42024,200,0.02725,0.97275,5.45,5.0,7.0,1.5,1.0,2.0,5.0,0.38375,1.0,5.213592233009709,5.0,9.0,0.0,0.165,0.835,0.0,0.11660329531051965,1.0,0.013333333333333334,0.0,0.65,0.35,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42025,200,0.03225,0.96775,6.45,7.0,8.0,1.72,1.0,3.0,7.0,0.23725,1.0,4.2682926829268295,4.0,7.799999999999997,0.015,0.175,0.825,0.0,0.1152875175315568,1.0,0.01,0.0,0.75,0.25,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42026,200,0.0305,0.9695,6.1,6.0,8.0,0.73,0.0,1.0,6.0,0.131,1.0,3.8559322033898304,4.0,6.299999999999997,0.015,0.125,0.875,0.0,0.07594615189230379,1.0,0.07833333333333334,0.0,0.9,0.1,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42027,200,0.02975,0.97025,5.95,6.0,8.0,1.64,1.0,2.0,5.0,0.24225,1.0,4.469565217391304,4.0,8.0,0.005,0.14,0.86,0.0,0.10966887417218543,1.0,0.011666666666666667,0.0,0.75,0.25,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
42028,200,0.03425,0.96575,6.85,7.0,8.100000000000001,1.72,1.0,2.0,7.0,0.19775,1.0,4.2153846153846155,4.0,8.0,0.025,0.135,0.865,0.0,0.10434562910560889,1.0,0.02666666666666667,0.0,0.8,0.2,grain_mid,"MIN_COMP=350000000.0,MAX_COMP=2450000000.0,MIN_DATA=140000.0,MAX_DATA=700000.0,MIN_EDGE_DATA=70000.0,MAX_EDGE_DATA=350000.0"
