episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42000,200,0.0315,0.9685,6.3,6.0,8.0,0.73,0.0,2.0,6.049999999999983,0.2545,1.0,5.008474576271187,5.0,8.0,0.025,0.15,0.85,0.0,0.11458333333333333,1.0,0.04833333333333333,0.0,0.85,0.15,nodes_low,
42001,200,0.03075,0.96925,6.15,6.0,7.0,0.735,0.0,2.0,6.0,0.2705,1.0,5.878260869565217,5.0,11.0,0.02,0.185,0.815,0.0,0.1463933989885547,1.0,0.03333333333333333,0.0,0.8,0.2,nodes_low,
42002,200,0.02925,0.97075,5.85,6.0,7.100000000000001,0.685,0.0,2.0,6.0,0.176,1.0,5.565217391304348,5.0,9.600000000000009,0.005,0.185,0.815,0.0,0.12446024892049784,1.0,0.06166666666666667,0.0,0.9,0.1,nodes_low,
42003,200,0.033,0.967,6.6,7.0,8.0,0.785,0.0,2.0,5.099999999999966,0.21875,2.0,4.875,4.0,8.0,0.01,0.16,0.84,0.0,0.13125351320966835,1.0,0.06333333333333334,0.0,0.95,0.05,nodes_low,
42004,200,0.03325,0.96675,6.65,7.0,8.0,0.785,0.0,3.0,5.0,0.17675,1.0,5.188976377952756,4.0,10.0,0.015,0.19,0.81,0.0,0.12690355329949238,1.0,0.10833333333333334,0.0,0.95,0.05,nodes_low,
42005,200,0.03,0.97,6.0,6.0,8.100000000000001,0.68,0.0,2.0,5.049999999999983,0.206,1.0,5.142857142857143,4.0,10.0,0.025,0.185,0.815,0.0,0.12204058624577227,1.0,0.07166666666666667,0.0,0.9,0.1,nodes_low,
42006,200,0.031,0.969,6.2,6.5,8.0,0.715,0.0,3.0,6.0,0.2815,1.0,6.008403361344538,5.0,12.0,0.01,0.175,0.825,0.0,0.15946308724832214,1.0,0.03666666666666667,0.0,0.85,0.15,nodes_low,
42007,200,0.03475,0.96525,6.95,7.0,9.0,1.695,1.0,2.0,5.049999999999983,0.4465,1.0,6.804878048780488,5.0,12.0,0.05,0.245,0.755,0.0,0.19235907026449373,1.0,0.06833333333333333,0.0,0.65,0.35,nodes_low,
42008,200,0.0305,0.9695,6.1,6.0,8.100000000000001,0.705,0.0,1.0999999999999943,6.049999999999983,0.19525,1.0,4.530434782608696,4.0,8.0,0.015,0.14,0.86,0.0,0.09952229299363058,1.0,0.06833333333333333,0.0,0.8,0.2,nodes_low,
42009,200,0.0295,0.9705,5.9,6.0,8.100000000000001,0.675,0.0,1.0,4.049999999999983,0.30625,1.0,5.60377358490566,5.0,10.0,0.04,0.17,0.83,0.0,0.1185540950455005,1.0,0.05,0.0,0.8,0.2,nodes_low,
