episode_seed,episode_steps,active_ratio,no_task_ratio,decision_events_per_vehicle_mean,decision_events_per_vehicle_p50,decision_events_per_vehicle_p90,ready_subtask_count_mean,ready_subtask_count_p50,ready_subtask_count_p90,ready_subtask_count_p95,inflight_subtask_count_mean,inflight_subtask_count_p95,avg_subtask_service_steps_mean,avg_subtask_service_steps_p50,avg_subtask_service_steps_p90,phase_comm_ratio,phase_compute_ratio,phase_wait_ratio,phase_finished_ratio,queue_len_vehicle_mean,queue_len_vehicle_p95,queue_len_rsu_mean,queue_len_rsu_p95,task_success_rate,deadline_miss_rate,run_tag,config_overrides
42000,200,0.10725,0.89275,21.45,21.5,25.1,2.65,0.0,9.0,11.0,0.57475,2.0,6.648648648648648,6.0,11.0,0.085,0.41,0.0,0.59,0.5597964376590331,3.0,0.12833333333333333,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42001,200,0.10625,0.89375,21.25,21.0,24.200000000000003,2.66,0.0,9.0,11.0,0.57275,3.0,6.533816425120773,6.0,11.0,0.05,0.435,0.0,0.565,0.5544329376105077,3.0,0.14166666666666666,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42002,200,0.108,0.892,21.6,22.0,25.1,2.68,0.0,8.0,10.049999999999983,0.65275,2.0,7.446913580246914,7.0,13.0,0.105,0.49,0.0,0.51,0.631981637337414,3.0,0.17666666666666667,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42003,200,0.11,0.89,22.0,21.0,25.1,2.865,0.0,9.099999999999994,13.0,0.5765,2.0,6.38785046728972,6.0,11.300000000000011,0.06,0.445,0.0,0.555,0.5513828977416899,3.0,0.20166666666666666,2.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42004,200,0.107,0.893,21.4,21.0,24.0,2.805,0.0,10.0,12.0,0.55075,2.0,6.386308068459658,6.0,11.0,0.085,0.47,0.005,0.525,0.5255989911727617,2.0,0.165,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42005,200,0.106,0.894,21.2,20.5,25.1,2.645,0.0,9.0,11.0,0.5385,2.0,6.318518518518519,6.0,11.0,0.085,0.43,0.0,0.57,0.5054916985951469,2.0,0.26,2.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42006,200,0.10675,0.89325,21.35,21.0,24.0,2.67,0.0,10.0,11.0,0.60225,3.0,6.832929782082324,6.0,12.0,0.07,0.47,0.01,0.52,0.5850928516916815,3.0,0.15833333333333333,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42007,200,0.11,0.89,22.0,22.0,25.0,2.76,0.0,9.0,10.0,0.66825,3.0,7.304245283018868,7.0,13.0,0.075,0.47,0.005,0.525,0.6475637465286543,3.0,0.15166666666666667,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42008,200,0.1015,0.8985,20.3,20.0,21.400000000000006,2.555,0.0,8.0,10.0,0.61875,3.0,7.25,7.0,12.0,0.05,0.505,0.015,0.48,0.6048223350253807,3.0,0.135,1.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
42009,200,0.10975,0.89025,21.95,22.0,24.0,2.75,0.0,9.0,11.0,0.544,2.0,6.168646080760095,6.0,11.0,0.085,0.465,0.005,0.53,0.5151207115628971,2.0,0.21833333333333332,2.0,1.0,0.0,nodes_xxl,"MIN_NODES=18,MAX_NODES=24"
