episode,seed,base_seed,t_ref,terminated,truncated,illegal_count,no_task_count,no_task_ratio,decision_step_ratio,all_steps,all_r_base_clip_ratio,all_r_shape_clip_ratio,all_r_total_clip_ratio,all_delta_t_abs_norm_p50,all_delta_t_abs_norm_p90,all_delta_t_abs_norm_p95,all_delta_phi_p50,all_delta_phi_p90,all_delta_phi_p95,all_r_total_mean,all_r_total_p50,all_r_total_p90,all_r_total_p95,all_base_clipped_rate_nonzero,decision_steps,decision_r_base_clip_ratio,decision_r_shape_clip_ratio,decision_r_total_clip_ratio,decision_delta_t_abs_norm_p50,decision_delta_t_abs_norm_p90,decision_delta_t_abs_norm_p95,decision_delta_phi_p50,decision_delta_phi_p90,decision_delta_phi_p95,decision_r_total_mean,decision_r_total_p50,decision_r_total_p90,decision_r_total_p95,decision_base_clipped_rate_nonzero,nonzero_steps,nonzero_r_base_clip_ratio,nonzero_r_shape_clip_ratio,nonzero_r_total_clip_ratio,nonzero_delta_t_abs_norm_p50,nonzero_delta_t_abs_norm_p90,nonzero_delta_t_abs_norm_p95,nonzero_delta_phi_p50,nonzero_delta_phi_p90,nonzero_delta_phi_p95,nonzero_r_total_mean,nonzero_r_total_p50,nonzero_r_total_p90,nonzero_r_total_p95,nonzero_base_clipped_rate_nonzero
1,0,0,0.5,False,True,0,3880,0.97,0.03,4000,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.007878139669333293,0.014507790432000083,0.13896176185051645,0.0,0.0008353689600000048,0.0019593746986666717,0.19801980198019803,120,0.16666666666666666,0.0,0.0,0.32735228538513184,1.2905827045440685,1.7276734650135033,0.009849087040000037,0.018106824010666617,0.019377950069333273,0.6026860781373039,0.49194743632303106,1.5008866292245333,1.5013379981893333,0.19801980198019803,101,0.19801980198019803,0.0,0.0,0.46025266806349047,1.6190294688746794,1.968536615371704,0.008731719679999972,0.015274562773333278,0.01893376192000007,0.7158364027189091,0.691214878788569,1.5009488150293333,1.5013809639786666,0.19801980198019803
2,1,0,0.5,False,True,0,3883,0.97075,0.02925,4000,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.005673396479999981,0.013549511797333127,0.10964287686871467,0.0,0.0007296214485333277,0.0017461496319999938,0.21212121212121213,117,0.1794871794871795,0.0,0.0,0.3782392740249634,1.3831506301385863,1.9039638996124262,0.012163036800000082,0.018204952575999966,0.02097477563733329,0.4705846201403077,0.5680864090641118,1.50121630368,1.5013602302165332,0.21212121212121213,99,0.21212121212121213,0.0,0.0,0.5221118927001953,1.4627361297607422,1.9894980907440158,0.0120579563733334,0.01829220607999993,0.030714109461332764,0.5559349942150034,0.7839996755516263,1.5012725300394667,1.5014826130325334,0.21212121212121213
3,2,0,0.5,False,True,0,3880,0.97,0.03,4000,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.005645631146666719,0.011616405551999952,0.13071067134326878,0.0,0.0005645631146666719,0.0015176801386666662,0.17647058823529413,120,0.15,0.0,0.0,0.3445456475019455,1.1262939691543579,1.2871901799457621,0.00974083973333334,0.018020579584000083,0.07590770305066663,0.8314110355549146,0.5174957940742515,1.5009998318165332,1.5011988595541335,0.17647058823529413,102,0.17647058823529413,0.0,0.0,0.4267606735229492,1.146674680709839,1.3240159677267977,0.010935104213333435,0.018871791189333447,0.07229264586666634,0.9778459339058604,0.6814287701073987,1.5011352494837333,1.5013443907925332,0.17647058823529413
4,3,0,0.5,False,True,0,3883,0.97075,0.02925,4000,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.005610555306666654,0.014112525440000079,0.16598580456608397,0.0,0.0005696162133333349,0.0019089045120000093,0.27184466019417475,117,0.23931623931623933,0.0,0.0,0.46984625711639005,1.3342573165893556,1.6115867614746089,0.010856453119999943,0.01912174724266671,0.042111652693332606,1.2023607664683307,0.7513693759699204,1.5011780037461333,1.5015192762837333,0.27184466019417475,103,0.27184466019417475,0.0,0.0,0.6441087547614219,1.3628015756607055,1.6410732507705685,0.010438907093333283,0.01891324194133341,0.08757896115199938,1.365588013524764,0.9987373735086509,1.5013188953002667,1.5015318148928,0.27184466019417475
5,4,0,0.5,False,True,0,3865,0.96625,0.03375,4000,0.00825,0.0,0.0,0.0,0.0,0.0,0.0,0.0071067853226666295,0.0140805260800001,0.15487308443583828,0.0,0.0007526397461333377,0.0017519259093333297,0.3,135,0.24444444444444444,0.0,0.0,0.3889700472354889,1.3193550825119018,1.5563292211758872,0.010905454079999988,0.018725732032000057,0.05272481198933318,0.9350652751167495,0.527415289643285,1.5014035394346668,1.501682949248,0.3,110,0.3,0.0,0.0,0.6181142951250336,1.358980607986451,1.5898103097778233,0.011000027519999955,0.019064147040000107,0.09591615223466664,1.147346427097926,0.9280897928422169,1.5014215914357334,1.5017659765087998,0.3
6,1000,1,0.5,False,True,3,3883,0.97075,0.02925,4000,0.00525,0.0,0.0,0.0,0.0,0.0,0.0,0.008039633706666716,0.012646013653333288,0.14098712838769936,0.0,0.0008039633706666716,0.0015293897386666755,0.22580645161290322,117,0.1794871794871795,0.0,0.0,0.30685460567474365,1.3864596569517436,1.8004915714263912,0.010855208960000029,0.016245585919999916,0.01941742293333326,0.7747635948209465,0.415681357603635,1.5009803612864,1.5012750177024,0.22580645161290322,93,0.22580645161290322,0.0,0.0,0.4733253952037877,1.4733875036239623,1.8274495371849544,0.010855208960000029,0.016245585919999916,0.01941742293333326,1.0389534929696638,0.7112920629603482,1.5011546113621335,1.5013108736426666,0.22580645161290322
7,1001,1,0.5,False,True,3,3885,0.97125,0.02875,4000,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.004397247786666669,0.013611426560000028,0.13554426858232968,0.0,0.00038041531733333246,0.0015845887040000007,0.10989010989010989,115,0.08695652173913043,0.0,0.0,0.19610344439014127,0.8960989236831666,1.1838550872463682,0.010239003306666605,0.020658434730666735,0.05875713110399973,0.16487383873063402,0.15360250202479775,1.34506439982235,1.5010999084714667,0.10989010989010989,91,0.10989010989010989,0.0,0.0,0.29502856731414795,1.0617444515228271,1.201289066336634,0.009770027413333326,0.02034256554666669,0.07478527439999993,0.2737492698851456,0.40214790703839914,1.5003504107733334,1.5013536893013333,0.10989010989010989
8,1002,1,0.5,False,True,0,3887,0.97175,0.02825,4000,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.005278519039999985,0.012245059626666647,0.15476997070405193,0.0,0.0005278519039999985,0.0018227211925333322,0.20202020202020202,113,0.17699115044247787,0.0,0.0,0.28232389203066943,1.3211872611777358,1.6560084649816893,0.011199417386666743,0.018469125205333413,0.09118412441599998,0.8490058604665467,0.4293306059791359,1.5011536827776,1.5014852180565335,0.20202020202020202,99,0.20202020202020202,0.0,0.0,0.34573873637069086,1.375577521324158,1.7198404644941723,0.011279834880000061,0.018892942592000094,0.0943003596373331,0.9689394096224623,0.5437543180432921,1.5012254135168,1.5016328305002666,0.20202020202020202
9,1003,1,0.5,False,True,0,3874,0.9685,0.0315,4000,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.004926278826666686,0.012604839680000035,0.1262587740145023,0.0,0.0004926278826666686,0.001815242154666663,0.1836734693877551,126,0.14285714285714285,0.0,0.0,0.27548021584211224,1.1848852634429932,1.4779834410207988,0.009856852480000011,0.019585592639999927,0.07805864023999995,0.6510506218629726,0.3979949013817374,1.500752416,1.5013070599093334,0.1836734693877551,98,0.1836734693877551,0.0,0.0,0.47506868839263916,1.2336309909820555,1.5643029272556301,0.01055751829333329,0.020061435093333246,0.09708874139733331,0.836700130489509,0.6906260908399541,1.5011649956053335,1.5013852408213333,0.1836734693877551
10,1004,1,0.5,False,True,1,3881,0.97025,0.02975,4000,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.005331726293333339,0.01478214377599992,0.14196817466753447,0.0,0.0005234842026666687,0.0018988771839999919,0.17391304347826086,119,0.13445378151260504,0.0,0.0,0.20672381166970677,1.1877180576324464,1.8765875101089466,0.010430415999999942,0.01700765764266659,0.09049114754133332,0.9640121849983128,0.29945021762581586,1.500715073184,1.5013691238762668,0.17391304347826086,92,0.17391304347826086,0.0,0.0,0.32424989342689514,1.4532163619995122,2.0510813258967584,0.010623853173333364,0.01811169932799993,0.10260041752533336,1.2683051361463682,0.5068882478273407,1.5009498878304,1.5014511524586667,0.17391304347826086
