episode,step,veh_id,target,power,reward,q_len
1,0,0,15,0.689,-0.965,2
1,0,1,13,0.086,0.380,0
1,0,2,13,0.154,0.813,1
1,0,3,6,0.607,-0.468,1
1,0,4,1,0.320,-0.003,0
1,0,5,8,0.405,0.994,2
1,0,6,13,0.719,0.982,0
1,0,7,12,0.369,0.609,1
1,0,8,20,0.582,0.960,0
1,0,9,12,0.799,0.086,0
1,0,10,20,0.396,0.291,0
1,0,11,4,0.362,0.987,3
1,0,12,20,0.479,0.716,3
1,0,13,9,0.289,-0.001,0
1,0,14,7,0.550,0.461,1
1,0,15,2,0.248,0.913,0
1,0,16,21,0.735,-0.010,1
1,0,17,2,0.886,0.985,0
1,0,18,5,0.865,-0.047,0
1,0,19,13,0.471,0.966,3
1,1,0,16,0.433,-1.001,0
1,1,1,12,0.260,-0.001,0
1,1,2,14,0.202,-0.002,0
1,1,3,0,0.213,-0.413,0
1,1,4,21,0.678,-0.007,1
1,1,5,14,0.295,-0.003,1
1,1,6,12,0.084,-0.001,0
1,1,7,13,0.887,-0.002,0
1,1,8,14,0.283,0.988,0
1,1,9,13,0.316,-0.003,0
1,1,10,8,0.167,-0.001,0
1,1,11,8,0.876,-0.002,0
1,1,12,6,0.683,-0.001,0
1,1,13,2,0.416,-0.001,0
1,1,14,18,0.685,-0.005,1
1,1,15,18,0.446,-0.001,0
1,1,16,10,0.843,-0.003,0
1,1,17,3,0.350,-0.002,0
1,1,18,13,0.674,-0.001,0
1,1,19,17,0.713,-0.002,1
1,2,0,4,0.116,-1.001,0
1,2,1,12,0.434,-0.001,0
1,2,2,20,0.756,-0.002,0
1,2,3,21,0.346,-0.002,0
1,2,4,8,0.543,-0.003,0
1,2,5,6,0.385,-0.001,0
1,2,6,20,0.653,-0.001,0
1,2,7,20,0.619,-0.002,0
1,2,8,19,0.560,-0.003,0
1,2,9,15,0.518,-0.003,0
1,2,10,14,0.586,-0.001,0
1,2,11,20,0.512,-0.002,0
1,2,12,12,0.428,-0.001,0
1,2,13,4,0.473,-0.001,0
1,2,14,20,0.385,-0.005,1
1,2,15,7,0.521,-0.001,0
1,2,16,12,0.318,-0.003,0
1,2,17,6,0.238,-0.002,0
1,2,18,21,0.106,-0.001,0
1,2,19,12,0.361,-0.000,0
1,3,0,15,0.821,-0.003,0
1,3,1,5,0.572,-0.001,0
1,3,2,14,0.170,-0.002,0
1,3,3,3,0.514,-0.002,0
1,3,4,4,0.582,-0.003,0
1,3,5,15,0.164,-0.001,0
1,3,6,20,0.470,-0.001,0
1,3,7,6,0.235,-0.002,0
1,3,8,20,0.872,-0.003,0
1,3,9,19,0.069,-0.003,0
1,3,10,9,0.138,-0.001,0
1,3,11,10,0.917,-0.002,0
1,3,12,4,0.741,-0.001,0
1,3,13,14,0.254,-0.001,0
1,3,14,4,0.801,-0.000,0
1,3,15,14,0.400,-0.001,0
1,3,16,9,0.524,-0.003,0
1,3,17,4,0.606,-0.002,0
1,3,18,3,0.583,-0.001,0
1,3,19,18,0.624,-0.000,0
1,4,0,1,0.210,-0.003,0
1,4,1,18,0.617,-0.001,0
1,4,2,11,0.332,-0.002,0
1,4,3,12,0.406,-0.002,0
1,4,4,2,0.629,-0.003,0
1,4,5,14,0.128,-0.001,0
1,4,6,9,0.458,-0.001,0
1,4,7,11,0.370,-0.002,0
1,4,8,21,0.739,-0.003,0
1,4,9,19,0.432,-0.003,0
1,4,10,8,0.415,-0.001,0
1,4,11,3,0.781,-0.002,0
1,4,12,13,0.724,-0.001,0
1,4,13,4,0.835,-0.001,0
1,4,14,3,0.303,-0.000,0
1,4,15,1,0.651,-0.211,0
1,4,16,9,0.058,-0.003,0
1,4,17,14,0.537,-0.002,0
1,4,18,21,0.589,-0.001,0
1,4,19,19,0.496,-0.000,0
1,5,0,1,0.316,-1.650,0
1,5,1,9,0.388,-0.001,0
1,5,2,3,0.880,-0.002,0
1,5,3,14,0.301,-0.002,0
1,5,4,21,0.481,-0.003,0
1,5,5,13,0.466,-0.001,0
1,5,6,7,0.533,-0.001,0
1,5,7,8,0.135,-2.393,0
1,5,8,18,0.915,-0.003,0
1,5,9,3,0.673,-0.003,0
1,5,10,5,0.792,-0.001,0
1,5,11,3,0.409,-0.002,0
1,5,12,11,0.707,-0.001,0
1,5,13,10,0.117,-0.001,0
1,5,14,19,0.309,-0.000,0
1,5,15,16,0.326,-2.861,0
1,5,16,13,0.191,-0.003,0
