episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,energy_mean,deadline_misses,ratio_local,ratio_rsu,ratio_v2v,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,actor_loss,critic_loss,entropy,approx_kl,clip_frac,bias_rsu,bias_local
1,106,18.517918348312378,10.600000000000001,-0.3611432909965515,-38.28119171802474,0.29827040433883667,0.06666666666666667,0.06666666666666667,0.6739846322722283,8.449999999999985,9.214999999999984,2,0.06552170823129046,28,0.3555219364599092,0.3086232980332829,0.3358547655068079,426,235,127.39616207568378,0.009433962264150964,-0.13073500990867615,1.0792310237884521,1.561976432800293,0.032265737652778625,0.08620689809322357,1.4,1.7
2,112,18.984675884246826,11.200000000000001,-0.39023298025131226,-43.70609290325843,0.3363977834582329,0.03333333333333333,0.03333333333333333,0.713495575221239,6.549999999999993,6.594999999999993,2,0.0681777386449366,29,0.3508771929824561,0.31871345029239767,0.3304093567251462,444,240,124.06148883077162,0.008928571428571449,0.01659160852432251,1.1644271612167358,1.6179465651512146,0.0007903836667537689,0.07533914595842361,1.4,1.7
3,123,20.87564468383789,12.3,-0.6244191527366638,-76.803569473988,0.2581919878721236,0.0,0.0,0.6403607666290868,0.0,0.0,0,0.05854228481468631,30,0.29790660225442833,0.3365539452495974,0.36553945249597425,436,185,103.2384041818118,0.008130081300813026,-0.11377970688045025,1.2825897336006165,1.5773335099220276,0.015593872172757983,0.09455782547593117,1.4,1.7
4,98,16.65041160583496,9.8,-0.2820318639278412,-27.6391199843696,0.3352896645665169,0.03333333333333333,0.03333333333333333,0.7028508771929824,8.399999999999986,8.399999999999986,1,0.07269002684284331,29,0.3553956834532374,0.3410071942446043,0.3035971223021583,448,247,145.25643817636563,0.020408163265306162,-0.017550031654536724,1.2209681868553162,1.530617356300354,0.013138608541339636,0.07889237441122532,1.4,1.7
5,98,16.32209014892578,9.8,-0.2513652443885803,-24.63379644603641,0.3345023229718208,0.1,0.1,0.7177508269018743,8.566666666666652,9.679999999999982,3,0.07273664067619715,27,0.38328530259365995,0.2780979827089337,0.33861671469740634,428,266,142.0430900553071,0.020408163265306162,0.037882644683122635,1.1422607898712158,1.5751506090164185,0.04477795958518982,0.0714285746216774,1.4,1.7
6,99,16.96393322944641,9.9,-0.2875579595565796,-28.46823377441773,0.3086425393819808,0.0,0.0,0.749730312837109,0.0,0.0,0,0.07900530161533617,30,0.3473541383989145,0.2876526458616011,0.3649932157394844,481,256,147.2988883756418,0.010101010101010121,0.019778450205922126,1.1987986087799072,1.5365648508071899,0.013921003229916096,0.08798849657177925,1.4,1.7
7,90,15.413479566574097,9.0,-0.26541370153427124,-23.887235545203136,0.3078389629721641,0.0,0.0,0.6988888888888889,0.0,0.0,0,0.08247059250888587,30,0.33726067746686306,0.3078055964653903,0.3549337260677467,450,229,153.30826483309153,0.01111111111111113,0.052953453036025167,1.161631464958191,1.5319941282272338,0.008180341124534607,0.09357441738247871,1.4,1.7
8,102,17.871578693389893,10.200000000000001,-0.3810617923736572,-38.868298680096665,0.23638464063405953,0.0,0.0,0.5667396061269147,0.0,0.0,0,0.05887242509965219,30,0.3527336860670194,0.3262786596119929,0.32098765432098764,367,200,111.5003863226632,0.009803921568627472,0.014301226163903872,1.2108542521794636,1.5036537647247314,0.015155948620910445,0.12126857042312622,1.4,1.7
9,95,16.49202561378479,9.5,-0.23226101696491241,-22.064796680770385,0.32285836040973664,0.0,0.0,0.7324561403508771,0.0,0.0,0,0.0737427895372374,30,0.3806179775280899,0.2949438202247191,0.324438202247191,441,271,154.66019623396528,0.010526315789473705,0.04206056846305728,1.1005924542744954,1.4731908241907756,0.012696951006849607,0.1064708133538564,1.4,1.7
10,98,15.964040279388428,9.8,-0.29316169023513794,-28.729845852276707,0.29494212120771407,0.1,0.1,0.730195177956372,8.03333333333332,8.739999999999984,3,0.07064661413405826,27,0.3602941176470588,0.2911764705882353,0.34852941176470587,435,245,144.26702825391052,0.010204081632653081,0.09352303420503934,1.1016523043314617,1.4771014054616292,0.012254778606196245,0.058106016367673874,1.4,1.7
11,94,16.108756065368652,9.4,-0.28637370467185974,-26.919129506818074,0.3262658521533012,0.0,0.0,0.6703662597114317,0.0,0.0,0,0.07048113664532912,30,0.39473684210526316,0.3018575851393189,0.30340557275541796,391,255,143.92254056474678,0.010638297872340446,-0.07789151892066001,1.0927187204360962,1.4607638835906982,0.009704578854143619,0.10051007568836212,1.4,1.7
12,96,17.208329439163208,9.600000000000001,-0.2904030978679657,-27.878698117490657,0.28698594868183136,0.03333333333333333,0.03333333333333333,0.6151351351351352,8.299999999999986,8.299999999999986,1,0.06798644673544914,29,0.3723577235772358,0.31382113821138213,0.31382113821138213,386,229,130.50304594182347,0.010416666666666687,0.06527477440734704,1.063455859820048,1.5210956732432048,-0.00249599851667881,0.07329816433290641,1.4,1.7
13,99,16.97940731048584,9.9,-0.263131320476532,-26.05000255233465,0.2925547301769254,0.06666666666666667,0.06666666666666667,0.7001102535832414,8.199999999999987,9.82999999999998,3,0.07113830520801234,28,0.3442622950819672,0.30402384500745155,0.35171385991058124,440,231,137.2695967569666,0.010101010101010121,-0.12338031083345413,0.9971681237220764,1.5181849002838135,0.020711885765194893,0.09615384787321091,1.4,1.7
14,91,15.970692157745361,9.1,-0.3162931203842163,-28.782675197795996,0.25514644384384155,0.0,0.0,0.6674057649667405,0.0,0.0,0,0.07574349632179672,30,0.3496932515337423,0.27300613496932513,0.3773006134969325,424,228,143.83696428091108,0.010989010989011009,0.019374974071979523,1.0525085926055908,1.539954960346222,0.012623638496734202,0.10000000149011612,1.4,1.7
15,102,17.90250253677368,10.200000000000001,-0.3901653289794922,-39.79686492605604,0.27335291653871513,0.0,0.0,0.6666666666666666,7.799999999999988,7.799999999999988,1,0.07147914218454579,30,0.3188854489164087,0.34829721362229105,0.3328173374613003,440,206,127.7175624727354,0.009803921568627472,0.07177254557609558,1.1370534896850586,1.5423626899719238,0.034482963383197784,0.109375,1.4,1.7
16,104,17.98435139656067,10.4,-0.3067098557949066,-31.897824325268232,0.26244383305311203,0.0,0.0,0.6835306781485468,0.0,0.0,0,0.0679476124437478,30,0.37209302325581395,0.30523255813953487,0.3226744186046512,432,256,137.27470439477696,0.009615384615384635,0.0027698961397012076,0.9781638847457038,1.4337432516945734,0.013137306371289823,0.1203113885389434,1.4,1.7
17,95,16.427873373031616,9.5,-0.30563145875930786,-29.03498762270526,0.2687817215919494,0.0,0.0,0.5719101123595506,0.0,0.0,0,0.05980860067400755,30,0.3752244165170557,0.34470377019748655,0.2800718132854578,348,209,123.71034676266343,0.010526315789473705,0.06296337302774191,0.9495015442371368,1.4145852029323578,0.018572259228676558,0.07793819764629006,1.4,1.7
18,103,17.08349847793579,10.3,-0.377538800239563,-38.886498592319626,0.27996047139167773,0.03333333333333333,0.03333333333333333,0.6685649202733486,8.649999999999984,8.964999999999984,2,0.06334222821431373,29,0.3791469194312796,0.2859399684044234,0.334913112164297,393,240,126.931505991467,0.00970873786407769,-0.13735397160053253,0.9275761842727661,1.4208227396011353,0.048788461834192276,0.08888889104127884,1.4,1.7
19,100,18.200598001480103,10.0,-0.394592821598053,-39.4592799583167,0.24271859228610992,0.0,0.0,0.5534521158129176,0.0,0.0,0,0.06130188001692295,30,0.32541133455210236,0.37294332723948814,0.3016453382084095,369,178,114.5748612213657,0.02000000000000004,-0.005370211601257324,0.9724083542823792,1.4488324880599976,-0.010829430900048464,0.11391007602214813,1.4,1.7
20,117,20.08110213279724,11.700000000000001,-0.4870314300060272,-56.982676114513474,0.2563552439212799,0.0,0.0,0.6703786191536748,0.0,0.0,0,0.05963975137731119,30,0.3669724770642202,0.30275229357798167,0.3302752293577982,414,240,115.95709239880142,0.008547008547008567,-0.05215766951441765,0.8892229795455933,1.4855393171310425,0.004227649606764317,0.0916032612323761,1.4,1.7
21,104,17.765920162200928,10.4,-0.3709208071231842,-38.57576382204529,0.2990384414792059,0.0,0.0,0.6779107725788901,0.0,0.0,0,0.06366137255114528,30,0.386094674556213,0.30177514792899407,0.3121301775147929,415,261,132.84470034895995,0.009615384615384635,0.13122068345546722,0.7894655466079712,1.3918098211288452,0.024729318916797638,0.095238097012043,1.4,1.7
22,100,17.39308762550354,10.0,-0.41527390480041504,-41.52739016484251,0.23222990259528156,0.0,0.0,0.5676905574516496,0.0,0.0,0,0.05417598574546476,30,0.3905109489051095,0.3302919708029197,0.2791970802919708,334,214,116.08157339474768,0.01000000000000002,-0.029221825301647186,0.8342437346776327,1.3842858870824177,-0.003191846733291944,0.09598784272869428,1.4,1.7
23,115,20.705588340759277,11.5,-0.48729220032691956,-56.038604750707584,0.2261909037828445,0.03333333333333333,0.03333333333333333,0.5435016111707841,8.099999999999987,8.099999999999987,1,0.04782120208633875,29,0.3752244165170557,0.35547576301615796,0.26929982046678635,348,209,98.81733501911394,0.008695652173913063,-0.11548494547605515,0.9099631309509277,1.404678225517273,0.03357655555009842,0.0784313753247261,1.4,1.7
