episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,98,11.798101425170898,42,True,False,all_finished,0.0,9.799999999999981,10.392889785766586,6.459999999999994,30,True,,,,30,30,629,0.17697173357009888,0.17740661650896072,1.1085977256298065,-1.110066294670105,2.083509683609009,0.40868648886680603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049284483753905046,-0.049284483753905046,0.06010647773742725,0.05960522441155448,0.5519761413335795,6.471063288373433e-05,0.0,10.392889785766586,,,0.5928897857666051,0.6,0.6,0.9650238473767886,0.4,0.0,0.0,0.42694805194805197,0.3068181818181818,0.2662337662337662,0.42694805194805197,0.3068181818181818,0.2662337662337662,0.10393882327440644,0.699263334274292,1.5129610896110535,0.01937842438928783,0.05326704680919647,0.02415025420486927,1.2530648708343506,0.6476567685604095,1.0282630920410156,1.5129610896110535,-1.5129610896110535,0.20952380952380953,616,2940,4.504513263702393,8.189310073852539,4.302508592605591,8.652984857559204,0.03274564817547798,0.036500703543424606,0.0,0,1.0,0.6136054421768706,0.8542759961127304,4.665986394557822,97950130.46216787,1.0,0.0006802721088435374,0.1456013593418405,0.1713621451634723,0.3169635045053128,0.9158181877139144,0.0,0.0,0.5709449152459287,0.0,0.0,0.13752398905781107,10152022995.863945,9191836734.693878,1133284.0778297915,123600166.17039193,0.011442792096836487,0.002680999652476433,0.8601257080713075,-1.2287510115304354,0.03896241105515403,0.003896241105515399,0.022789640959529272,-0.08125641998010835,7.741741969420991e-06,-0.0002924213103676971,-0.0053486705161681775,0.49934998624197835,5.714285714285714,14.149999999999991,False,0.0,0.0,0.0
2,104,12.005982398986816,42,True,False,all_finished,0.0,10.399999999999979,10.731554260253889,7.017391304347818,30,True,,,,30,30,635,0.2256493717432022,0.18963517248630524,1.7398399651050538,-1.0234804153442383,2.0168943405151367,0.4345180094242096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05200146656769976,-0.05200146656769976,0.05870437622070321,0.060926955959831296,0.5810089290142058,8.53280991260464e-05,0.0,10.731554260253889,,,0.33155426025390966,0.7333333333333333,0.7333333333333333,0.9637795275590552,0.26666666666666666,0.0,0.0,0.3903225806451613,0.3161290322580645,0.29354838709677417,0.3903225806451613,0.3161290322580645,0.29354838709677417,0.09997332475912303,0.6833451390266418,1.558942198753357,0.009371258318424225,0.037094585597515106,-0.0687124952673912,1.5252942144870758,0.690816730260849,0.8727669417858124,1.558942198753357,-1.558942198753357,0.1987179487179487,620,3120,4.852940559387207,8.098898887634277,5.728906989097595,7.863274097442627,0.4507873207330704,0.052649580873548985,0.0,0,1.0,0.55,0.8144688644688638,4.3205128205128185,90560578.06896573,1.0,0.0,0.16576641127572483,0.16999514532017074,0.3357615565958956,0.9846947135010699,0.0,0.0,0.5869950876865773,0.0,0.0,0.14037247405411285,9389031113.897436,8919230769.23077,1023185.4779186645,115020295.05285813,0.011433848827720677,0.0062914206610675425,0.8001445289802368,-1.1430636128289124,0.03355703939271481,0.0033557039392714864,0.024858863417396033,-0.08201896885850701,9.954828400819931e-06,-0.000387376216558897,-0.005544244933049828,0.503320672519905,3.9903846153846154,11.0,False,0.0,0.0,0.0
3,101,10.769810914993286,42,True,False,all_finished,0.0,10.09999999999998,10.392957083384177,6.151999999999994,30,True,,,,30,30,625,0.3196243941783905,0.22173799574375153,1.1512774229049683,-0.7878446578979492,4.034513473510742,0.4274855852127075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054616317811972244,-0.054616317811972244,0.06705890019734592,0.0637026308909698,0.5876484036445614,6.466554742618067e-05,0.0,10.392957083384177,,,0.2929570833841968,0.8,0.8,0.976,0.2,0.0,0.0,0.3814935064935065,0.2824675324675325,0.336038961038961,0.3814935064935065,0.2824675324675325,0.336038961038961,0.1031712505093502,0.7026360630989075,1.5553793907165527,0.020460916683077812,0.05882352963089943,-0.19013859331607819,2.133979320526123,0.8737401962280273,0.9889928102493286,1.5553793907165527,-1.5553793907165527,0.2033003300330033,616,3030,6.698055744171143,6.925397872924805,8.841072082519531,7.579986572265625,0.7702890634536743,0.07082463800907135,0.0,0,1.0,0.5448844884488444,0.8103253182461102,4.431353135313527,106459905.74689122,1.0,0.0,0.12737860879763824,0.16498418386657412,0.29236279266421233,0.8776798799197608,0.0,0.0,0.5262886103770261,0.0,0.0,0.15059873817094754,8575598296.227063,7992079207.920792,940554.0057301493,108883527.65873967,0.009288574412784363,0.008256002185764241,0.7321777679508028,-1.045968239929718,0.035926754365117136,0.0035926754365117187,0.009783320750893273,-0.036443341681689445,5.9702112899171425e-06,-0.0002247799525792973,-0.005819756818961223,0.5030118741144245,3.3069306930693068,8.0,False,0.0,0.0,0.0
4,89,10.443930387496948,42,True,False,all_finished,0.0,8.899999999999984,9.187875951131172,6.509523809523803,30,True,,,,30,30,634,0.2671959102153778,0.24453221261501312,1.0465059280395508,-0.9890688061714172,2.1524453163146973,0.42178553342819214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0520317764853717,-0.0520317764853717,0.08497128168741827,0.07050456411662173,0.5948481887578962,2.7469230303055425e-05,0.0,9.187875951131172,,,0.2878759511311877,0.7,0.7,0.9716088328075709,0.3,0.0,0.0,0.3782051282051282,0.2724358974358974,0.34935897435897434,0.3782051282051282,0.2724358974358974,0.34935897435897434,0.11538719701674882,0.6912684440612793,1.6116671164830525,0.007095080179472764,0.04844512324780226,0.056374358634154,1.2808635234832764,0.6935827732086182,0.8233726223309835,1.6116671164830525,-1.6116671164830525,0.23370786516853934,624,2670,4.415528297424316,8.353232383728027,4.946221232414246,7.814935525258382,1.3999594847361247,0.11566079656283061,0.0,0,1.0,0.6157303370786522,0.8213483146067418,4.501123595505616,103863451.2291696,1.0,0.0,0.16099603353082617,0.1624058619087159,0.323401895439542,0.8382076439265356,0.0,0.0,0.5241179991502882,0.0,0.0,0.1663423356108392,9762842092.34457,9649438202.24719,1154993.4078892355,158796375.32204324,0.008085487717856325,0.003524180868383273,0.825179842948286,-1.1788283470689804,0.039672913902623834,0.003967291390262398,0.019404578658331405,-0.06519460674021232,2.7418153414752717e-06,-0.00010916577780802043,-0.006349275348853249,0.4953550531021372,3.6292134831460676,11.0,False,0.0,0.0,0.0
5,88,10.277363538742065,42,True,False,all_finished,0.0,8.799999999999985,9.136032714843738,6.041666666666662,30,True,,,,30,30,642,0.36267098784446716,0.23967412114143372,2.0139524221420286,-0.8384932279586792,3.0816447734832764,0.48611676692962646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05025454694574533,-0.05025454694574533,0.0409421920776368,0.07715064919250311,0.6193505704402923,7.934107081043286e-05,0.0,9.136032714843738,,,0.3360327148437534,0.7666666666666667,0.7666666666666667,0.9657320872274143,0.23333333333333334,0.0,0.0,0.34554140127388533,0.31528662420382164,0.339171974522293,0.34554140127388533,0.31528662420382164,0.339171974522293,0.11894924089234943,0.6833935976028442,1.6856317520141602,0.020342562347650528,0.08064515888690948,0.042117394506931305,1.773505687713623,0.9254990816116333,1.0930569171905518,1.6856317520141602,-1.6856317520141602,0.23787878787878788,628,2640,6.760194778442383,7.062122344970703,8.657205581665039,7.493739128112793,2.124480724334717,0.16304625570774078,0.0,0,1.0,0.5151515151515157,0.8682900432900424,4.709090909090907,89901741.21397251,1.0,0.0,0.12670920545018496,0.1626013585615482,0.28931056401173305,0.7773446035121229,0.0,0.0,0.47638739625368504,0.0,0.0,0.17244636292736926,9456119647.79394,8881818181.818182,1085209.1708707323,119238289.58745712,0.009161913130372458,0.005436751242726399,0.8026086350225902,-1.1465837643179906,0.040374011928045885,0.0040374011928046025,0.006951982838804864,-0.026232584131413675,6.726106334435448e-06,-0.000266234697099864,-0.0070109520533078095,0.5012787170577653,4.988636363636363,12.0,False,0.0,0.0,0.0
6,101,11.003475904464722,42,True,False,all_finished,0.0,10.09999999999998,10.461586983998597,6.587999999999993,30,True,,,,30,30,635,0.2979418933391571,0.19847264885902405,1.2839261293411255,-1.353554368019104,3.039219379425049,0.4438462555408478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04982486133134798,-0.04982486133134798,0.05687379837036141,0.07010866395465218,0.6044660627841946,8.496357392952505e-05,0.0,10.461586983998597,,,0.3615869839986168,0.7666666666666667,0.7666666666666667,0.9748031496062992,0.23333333333333334,0.0,0.0,0.32,0.3456,0.3344,0.32,0.3456,0.3344,0.1035494930390576,0.6527286171913147,1.6407093048095702,0.012262478098273277,0.06741504333913326,0.03214217149652541,1.6011110305786134,0.8294162273406982,1.5015940427780152,1.6407093048095702,-1.6407093048095702,0.20627062706270627,625,3030,5.846298694610596,6.935966968536377,8.007940292358398,7.153767204284668,2.9581374645233156,0.2400992125272751,0.01666666716337204,0,1.0,0.5198019801980205,0.8278170674210271,4.457425742574256,106264735.19787854,1.0,0.0,0.15272349492653173,0.17092170812430332,0.323645203050835,0.8895451606992368,0.0,0.0,0.5314617373146755,0.0,0.0,0.14889103093165848,9187850833.974918,8423762376.237624,1017769.0137419337,124285873.69018808,0.008221489999139133,0.0038599333781047006,0.7777356595418191,-1.1110509422025971,0.03675054143236314,0.003675054143236331,0.013172769463818628,-0.049101975670806035,7.890451664065675e-06,-0.00030885089781899525,-0.006533503124352426,0.5013736816542684,4.9504950495049505,13.0,False,0.0,0.0,0.0
7,105,11.628186702728271,42,True,False,all_finished,0.0,10.499999999999979,10.755940151214586,6.42916666666666,30,True,,,,30,30,640,0.27720871567726135,0.23159481585025787,1.1064740657806396,-0.930484414100647,2.0327110290527344,0.43440625071525574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053953274318150196,-0.053953274318150196,0.05768218676249379,0.06957745277396743,0.5843711048364637,7.565837907497809e-05,0.0,10.755940151214586,,,0.2559401512146078,0.7666666666666667,0.7666666666666667,0.9828125,0.23333333333333334,0.0,0.0,0.29763779527559053,0.30393700787401573,0.3984251968503937,0.29763779527559053,0.30393700787401573,0.3984251968503937,0.10055133399804907,0.6871635913848877,1.6834563811620076,0.01029122807085514,0.07511337970693906,-0.04121256619691849,1.6326058705647786,0.771723469098409,1.8292276461919148,1.6834563811620076,-1.6834563811620076,0.2015873015873016,635,3150,5.820639133453369,6.577413082122803,10.047340710957846,7.5259354909261065,4.4173018137613935,0.2983027597268422,0.006802720949053764,0,1.0,0.41238095238095207,0.8657142857142851,4.573333333333324,103104641.15946211,1.0,0.0,0.1478237577140219,0.16840468835110523,0.31622844606512734,0.8554813951983018,0.0,0.0,0.47573450440132353,0.0,0.0,0.15046104197231683,8334757046.125714,8186666666.666667,862567.5484372461,103751138.00201465,0.007312221155040465,0.005976929110022555,0.7078522374422087,-1.0112174820602895,0.034017338780716735,0.0034017338780716853,0.015176332032166803,-0.05424520392868111,7.321024448329431e-06,-0.0002819662951002095,-0.00625387231791085,0.5001862190215893,4.066666666666666,14.799999999999997,False,0.0,0.0,0.0
8,88,10.073444128036499,42,True,False,all_finished,0.0,8.799999999999985,8.950626589457183,6.411538461538455,30,True,,,,30,30,620,0.38994547724723816,0.23827731609344482,1.1410536348819729,-0.7075011134147644,4.2944655418396,0.44436872005462646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04403398716088502,-0.04403398716088502,0.06987094879150443,0.08692478143722948,0.6783647745847701,5.826785008870594e-05,0.0,8.950626589457183,,,0.15062658945719853,0.8666666666666667,0.8666666666666667,0.9870967741935484,0.13333333333333333,0.0,0.0,0.28084415584415584,0.3474025974025974,0.3717532467532468,0.28084415584415584,0.3474025974025974,0.3717532467532468,0.12094209591635842,0.7228270769119263,1.6777900854746501,-0.0024682017198453345,0.08298586681485176,-0.039862165305142604,1.621875027815501,0.7677197853724161,1.5434279044469197,1.6777900854746501,-1.6777900854746501,0.23333333333333334,616,2640,4.942256927490234,6.900705337524414,10.49179474512736,6.362688859303792,6.551429669062297,0.4488329937060674,0.5266143083572388,0,1.0,0.6386363636363644,0.8377164502164497,4.514772727272722,102302201.2431143,1.0,0.010227272727272727,0.15256686646804266,0.1683348003082719,0.3209016667763146,0.8198574809540371,0.0,0.0,0.4555430366521091,0.0,0.0,0.16226342301745988,9348574050.630302,9059090909.09091,1052721.7657033515,138783541.82375827,0.00808823822693673,0.004161448942566703,0.7912975247220292,-1.130425035317187,0.03982022051080193,0.003982022051080202,0.009397930792870369,-0.03292646176387139,6.361452019686154e-06,-0.0002517869234093511,-0.00827323266574638,0.5037533359935464,6.375,16.64999999999999,False,0.0,0.0,0.0
9,93,10.417863845825195,42,True,False,all_finished,0.0,9.299999999999983,9.449191519419337,6.217857142857136,30,True,,,,30,30,616,0.40421995520591736,0.23544883728027344,2.0141891002655026,-0.761745810508728,2.996206760406494,0.47958284616470337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05585080768899675,-0.05585080768899675,0.3487337303161612,0.08023487283484376,0.6280192255973804,0.00010862261430607048,0.0,9.449191519419337,,,0.14919151941935382,0.9,0.9,0.9902597402597403,0.1,0.0,0.0,0.28431372549019607,0.3300653594771242,0.38562091503267976,0.28431372549019607,0.3300653594771242,0.38562091503267976,0.11354551846128104,0.6878350973129272,1.7400661706924438,0.010504454457986867,0.08411379251629114,0.011370018124580383,1.8134303987026215,0.9146050661802292,3.1239779591560364,1.7400661706924438,-1.7400661706924438,0.21935483870967742,612,2790,5.9287590980529785,6.94252347946167,14.24230432510376,6.435115337371826,8.917653799057007,0.5889764130115509,0.18361582607030869,0,1.0,0.5627240143369178,0.8819764464925757,4.810752688172044,91367163.01651466,1.0,0.0007168458781362007,0.1411942793677587,0.1734046684960756,0.31459894786383436,0.7624050298388859,0.0,0.0,0.43735524887012045,0.0,0.0,0.1620025126526606,8981513470.233692,8167741935.4838705,940311.24199643,111141981.30284739,0.00791693441942219,0.003723879102345528,0.7601002693745762,-1.0858575276779676,0.039197446753090434,0.003919744675309024,0.010572397321295385,-0.03368671538190215,8.849645164125377e-06,-0.0003473995040678133,-0.0072380793825701575,0.503349756634724,5.516129032258065,13.399999999999991,False,0.0,0.0,0.0
10,88,10.611381769180298,42,True,False,all_finished,0.0,8.799999999999985,9.154744046529125,6.799999999999993,30,True,,,,30,30,637,0.28310033679008484,0.24538667500019073,1.1027680277824397,-2.078620433807373,1.9797289371490479,0.4159480333328247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04117326187364989,-0.04117326187364989,0.06461811065673792,0.08515266972015414,0.6788149416446683,0.00011200778910771465,0.0,9.154744046529125,,,0.3547440465291398,0.7,0.7,0.9717425431711146,0.3,0.0,0.0,0.29233226837060705,0.33386581469648563,0.3738019169329074,0.29233226837060705,0.33386581469648563,0.3738019169329074,0.11998399886246207,0.7711406350135803,1.637744665145874,0.035081129521131516,0.057692307978868484,-0.08718784153461456,1.1922646760940552,0.5056690573692322,1.6506694555282593,1.637744665145874,-1.637744665145874,0.23712121212121212,626,2640,2.67799711227417,7.568667411804199,13.287463188171387,7.748983860015869,9.93509292602539,0.520234227180481,0.01923076994717121,0,1.0,0.6022727272727276,0.7765151515151512,4.172348484848484,97347021.99400125,1.0,0.0,0.19525841925304305,0.16326752016281076,0.35852593941585376,0.9270346970969158,0.0,0.0,0.5013775658572666,0.0,0.0,0.16192539868039602,10384291604.969696,9995454545.454546,1143904.0777340767,143142855.3609449,0.009693950398288948,0.008724610042189756,0.8837761941879471,-1.2625374202685062,0.03780705035541901,0.0037807050355419124,0.011745263364181684,-0.044706946045091886,1.0819861438140607e-05,-0.00040077449266491847,-0.007952576234778564,0.4953729388543941,5.215909090909091,11.0,False,0.0,0.0,0.0
