episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,96,11.670114994049072,42,True,False,all_finished,0.0,9.599999999999982,10.30506532669066,6.8052631578947285,30,True,,,,30,30,629,0.17178715765476227,0.19018886238336563,1.039438545703888,-1.010536551475525,2.4338557720184326,0.39485201239585876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04914098163445794,-0.04914098163445794,0.1937179565429684,0.059223743011372995,0.5654327839612958,0.00012604679187449495,0.0,10.30506532669066,,,0.7050653266906775,0.6,0.6,0.9491255961844197,0.4,0.0,0.0,0.4269293924466338,0.2889983579638752,0.28407224958949095,0.4269293924466338,0.2889983579638752,0.28407224958949095,0.10537278019732589,0.6994502544403076,1.482675850391388,0.004822473041713238,0.03794326260685921,0.015418123453855515,1.1477693915367126,0.58633753657341,0.8441478610038757,1.482675850391388,-1.482675850391388,0.21145833333333333,609,2880,3.7181906700134277,7.932690620422363,3.5045875310897827,9.48696756362915,0.009904138743877411,0.04058072343468666,0.0,0,1.0,0.6180555555555555,0.8185515873015873,4.419097222222221,95989110.98579393,1.0,0.0,0.16655381792047905,0.17331363798454222,0.3398674559050212,0.9632033904919104,0.0,0.0,0.6040936898462346,0.0,0.0,0.14501224806967414,10617479137.222221,9708333333.333334,1194373.183521695,128357673.69228713,0.012343132478422161,0.008935837859728527,0.9060688984400045,-1.2943841406285734,0.0370707000086496,0.003707070000864954,0.02425109072679553,-0.08564960232745808,1.1652821743393034e-05,-0.0004460970346539011,-0.005419787732766929,0.498686258348203,4.4375,10.0,False,0.0,0.0,0.0
2,89,10.33898115158081,42,True,False,all_finished,0.0,8.899999999999984,9.524687423706045,6.383333333333327,30,True,,,,30,30,617,0.20909573137760162,0.22133196890354156,1.0752476930618282,-1.4487953186035156,2.0871119499206543,0.4292007088661194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05422707182637767,-0.05422707182637767,0.06502962112426722,0.05694579216913226,0.5151209622621533,7.961914156503859e-05,0.0,9.524687423706045,,,0.6246874237060602,0.6,0.6,0.9546191247974068,0.4,0.0,0.0,0.465,0.24166666666666667,0.29333333333333333,0.465,0.24166666666666667,0.29333333333333333,0.1096671827549066,0.6638928651809692,1.489545464515686,0.022475661244243383,0.03390313405543566,0.1021264917217195,1.156756043434143,0.6775254011154175,0.7406799495220184,1.489545464515686,-1.489545464515686,0.2247191011235955,600,2670,3.831402063369751,7.913091659545898,3.2146365642547607,8.23539113998413,0.2831370234489441,0.04405335523188114,0.0,0,1.0,0.4681647940074895,0.8474585339753881,4.496254681647939,84651319.5421217,1.0,0.0,0.17549429177318462,0.16346358976130032,0.33895788153448486,0.9399846236229463,0.0,0.0,0.6414198030890041,0.0,0.0,0.15785924986032135,9782924459.098127,9883146067.41573,1040481.3989947762,116851906.3560303,0.01064186037382808,0.005289060732417092,0.8311746260310897,-1.187392322901559,0.03811272473982804,0.0038112724739827906,0.016010109643591574,-0.05957878286059173,7.610529929540708e-06,-0.0002968034048748999,-0.005058759113384753,0.4974419995465696,2.943820224719101,8.0,False,0.0,0.0,0.0
3,100,11.423178911209106,42,True,False,all_finished,0.0,9.99999999999998,10.826206270853667,6.411764705882346,30,True,,,,30,30,628,0.11559036374092102,0.18841250985860825,1.0527652740478515,-1.4624571800231934,3.103421926498413,0.43257129192352295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05529069782892871,-0.05529069782892871,0.12557616233825633,0.054875092193484305,0.5002229630947089,9.130385268521083e-05,0.0,10.826206270853667,,,0.826206270853687,0.5666666666666667,0.5666666666666667,0.9442675159235668,0.43333333333333335,0.0,0.0,0.42454394693200664,0.27197346600331673,0.3034825870646766,0.42454394693200664,0.27197346600331673,0.3034825870646766,0.0990946380533278,0.674795389175415,1.4419101774692535,0.004983904000255279,0.07798047945834696,0.036696497816592455,1.1415695548057556,0.6045974567532539,0.7598527297377586,1.4419101774692535,-1.4419101774692535,0.201,603,3000,3.360321283340454,8.572967529296875,3.6554453372955322,8.305214822292328,0.9600096121430397,0.08533534640446305,0.0,0,1.0,0.44366666666666643,0.8368571428571425,4.406999999999993,85811845.84086896,1.0,0.0,0.14608536985837967,0.17140467237188334,0.31749004223026295,0.9869760907167008,0.0,0.0,0.6309072346130392,0.0,0.0,0.14019769671725232,9876724226.016,9492000000.0,1013535.8553387045,128246529.25721163,0.007912289428121827,0.006522711055573492,0.8374953526516951,-1.1964219323595686,0.034340847654954605,0.003434084765495436,0.030275725487481822,-0.10614783991216928,7.137113921223247e-06,-0.00027764579773172603,-0.004949266499690084,0.49124376265859854,3.09,10.0,False,0.0,0.0,0.0
4,99,11.328709125518799,42,True,False,all_finished,0.0,9.89999999999998,10.564470202128076,6.686956521739123,30,True,,,,30,30,635,0.26916342973709106,0.21649517118930817,1.06880544424057,-0.8255029916763306,2.1419849395751953,0.38136181235313416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04768372937083648,-0.04768372937083648,0.03370639165242614,0.05943638272834346,0.5675889223814006,5.246283841211088e-05,0.0,10.564470202128076,,,0.6644702021280953,0.7333333333333333,0.7333333333333333,0.9606299212598425,0.26666666666666666,0.0,0.0,0.43156199677938806,0.32045088566827695,0.24798711755233493,0.43156199677938806,0.32045088566827695,0.24798711755233493,0.10563941788875345,0.6406868100166321,1.435874104499817,0.004278325662016869,0.05211111269891262,-0.06285596489906312,1.7364741563796997,0.8025093793869018,1.3216143250465393,1.435874104499817,-1.435874104499817,0.20909090909090908,621,2970,5.068304061889648,6.908286094665527,7.245236110687256,6.954796409606933,2.11571843624115,0.1552470177412033,0.0,0,1.0,0.6289562289562298,0.8165464165464162,4.351851851851851,96924721.21389632,1.0,0.0,0.11360924758820973,0.16684871272455215,0.280457960312762,0.9895534915753466,0.0,0.0,0.5944849269394816,0.0,0.0,0.14127073948670957,9918915225.729294,8921212121.212122,1118157.4933899,130291366.40597503,0.008219555746599388,0.001890540180347716,0.8366863647377227,-1.1952662353396004,0.03683422132452798,0.003683422132452804,0.013238620741687851,-0.04872314084078464,2.7894513556046053e-06,-0.00011140964230155626,-0.005407346067633329,0.5011614228979769,5.01010101010101,13.099999999999994,False,0.0,0.0,0.0
5,118,12.536094665527344,42,True,False,all_finished,0.0,11.799999999999974,12.250179615020729,6.237499999999994,30,True,,,,30,30,663,0.24071574211120605,0.17510931938886642,1.2350088119506835,-1.3134119510650635,2.1114861965179443,0.42488178610801697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060648307692533175,-0.060648307692533175,0.05484601974487288,0.05033837773095248,0.485679097473621,2.561049109383084e-05,0.0,12.250179615020729,,,0.45017961502075465,0.8,0.8,0.9683257918552036,0.2,0.0,0.0,0.4270353302611367,0.30721966205837176,0.26574500768049153,0.4270353302611367,0.30721966205837176,0.26574500768049153,0.08878393857871408,0.7184482216835022,1.5016705393791199,0.009048852603882551,0.012820512987673283,0.03756526205688715,1.711089551448822,0.8901067674160004,1.6877775192260742,1.5016705393791199,-1.5016705393791199,0.18389830508474575,651,3540,5.937057018280029,6.701278209686279,8.639851570129395,6.57620906829834,3.072784185409546,0.28135518729686737,0.0,0,1.0,0.6285310734463277,0.8553268765133176,4.687288135593221,91544705.38283896,1.0,0.0,0.11439170115274663,0.1642432279290473,0.278634929081794,0.8791223159687083,0.0,0.0,0.5429150744701258,0.0,0.0,0.13335782784917685,7852304946.232768,7393220338.983051,873093.4290958346,104505821.447116,0.00879495543604228,0.0025375675329267875,0.6656912684883662,-0.950594145667164,0.03109095525655526,0.0031090955256555352,0.0183455714363383,-0.06057013710523186,2.9023225576800935e-06,-0.00011433163909489133,-0.004558223116418743,0.5002557928260879,4.186440677966102,13.0,False,0.0,0.0,0.0
6,95,10.549996137619019,42,True,False,all_finished,0.0,9.499999999999982,9.797009150187163,6.169565217391297,30,True,,,,30,30,619,0.29064735770225525,0.23038026690483093,1.0936012148857117,-0.940325915813446,3.1119344234466553,0.4117465913295746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05771543168185056,-0.05771543168185056,0.09456125577290883,0.057855182292691446,0.5182156383991239,7.404261584806373e-05,0.0,9.797009150187163,,,0.297009150187181,0.7666666666666667,0.7666666666666667,0.962843295638126,0.23333333333333334,0.0,0.0,0.41721854304635764,0.2682119205298013,0.31456953642384106,0.41721854304635764,0.2682119205298013,0.31456953642384106,0.1044904309262832,0.7363834977149963,1.5222646594047546,0.00999558623880148,0.04308390058577061,-0.012013722211122513,1.4654646813869476,0.7176740914583206,1.4722587168216705,1.5222646594047546,-1.5222646594047546,0.2119298245614035,604,2850,4.928184509277344,7.638000965118408,8.534665822982788,8.235140323638916,4.2109328508377075,0.3188059702515602,0.009731670375913382,0,1.0,0.5364912280701756,0.8656140350877196,4.643508771929822,95313981.23817842,1.0,0.0,0.1345845437226158,0.16812451329469472,0.3027090570173106,0.8451611660639187,0.0,0.0,0.5511766980340772,0.0,0.0,0.15396485293675635,8585985296.258245,8677894736.842106,932950.30540903,116408510.3195236,0.008003416614883074,0.0032664812644854833,0.7267686725675556,-1.0382409608107943,0.03557972626051848,0.003557972626051841,0.015888177219932728,-0.054257955177372454,6.2334421279484934e-06,-0.00024374567834788868,-0.005356215518535269,0.49020605710857923,3.873684210526316,10.0,False,0.0,0.0,0.0
7,104,12.162873983383179,42,True,False,all_finished,0.0,10.399999999999979,11.332712205251047,6.666666666666658,30,True,,,,30,30,627,0.015001832507550716,0.11778129264712334,0.9933537244796747,-1.8293980360031128,2.0701756477355957,0.45004093647003174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05686908226746788,-0.05686908226746788,0.08013095855713068,0.055216221337636505,0.5426874876022338,4.68904816360093e-05,0.0,11.332712205251047,,,0.9327122052510681,0.5,0.5,0.9043062200956937,0.5,0.0,0.0,0.41467576791808874,0.2832764505119454,0.30204778156996587,0.41467576791808874,0.2832764505119454,0.30204778156996587,0.09496955038346828,0.5742031335830688,1.466823935508728,0.02357528917491436,0.0416666679084301,-0.04187065735459328,1.007391333580017,0.458891361951828,0.7058948278427124,1.466823935508728,-1.466823935508728,0.18782051282051282,586,3120,0.6962431073188782,8.907341957092285,6.418191432952881,10.081995964050293,5.374829292297363,0.4518050253391266,0.0,0,1.0,0.53173076923077,0.8257783882783871,4.392628205128203,104484783.4013425,1.0,0.0,0.18824547161994729,0.16579272527304556,0.3540381968929929,1.0304297631515724,0.0,0.0,0.6511053271512729,0.0,0.0,0.12135403642192041,9846715326.123077,9788461538.461538,1145010.6158117217,130481474.61599256,0.010400372675501543,0.005402637442862222,0.8363626206286152,-1.1948037437551733,0.031416245452213165,0.0031416245452213286,0.04600136729721795,-0.15143963365136226,5.2462775417643225e-06,-0.00019883335618384727,-0.005291259469043242,0.4933880722589003,3.4326923076923075,9.0,False,0.0,0.0,0.0
8,83,9.966557502746582,42,True,False,all_finished,0.0,8.299999999999986,9.100769710540764,6.259999999999994,30,True,,,,30,30,631,0.1651759147644043,0.20857641100883484,1.016186499595642,-2.1251115798950195,1.9197447299957275,0.41541817784309387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047233752744743694,-0.047233752744743694,0.04909296989440878,0.0621819002321925,0.550089475512504,0.00013628761080043198,0.0,9.100769710540764,,,0.8007697105407772,0.5,0.5,0.9080824088748018,0.5,0.0,0.0,0.4450084602368866,0.29441624365482233,0.26057529610829105,0.4450084602368866,0.29441624365482233,0.26057529610829105,0.1177379770533567,0.6767722964286804,1.4912270903587341,0.010821154341101646,0.04062078334391117,-0.04778302658814937,1.078452229499817,0.48846060037612915,0.7618241310119629,1.4912270903587341,-1.4912270903587341,0.23734939759036144,591,2490,1.8803281784057617,8.833226203918457,8.018720865249634,8.753210067749023,5.8103437423706055,0.40634606778621674,0.0,0,1.0,0.6775100401606426,0.7985083189902468,4.379518072289154,95523806.1103865,1.0,0.0,0.15611504852760716,0.16428755625659971,0.3204026047842068,0.9217229687680955,0.0,0.0,0.6106658073855092,0.0,0.0,0.16288688013782282,11418795242.96225,10453012048.192772,1322891.621169791,163134217.42816845,0.011687304057747774,0.0018427031599976104,0.9650962774645959,-1.378708967806574,0.04223345785423549,0.004223345785423558,0.014749082024380963,-0.05611576222886771,1.1419202171380608e-05,-0.0004214815328481073,-0.005638041277594941,0.49245795436861767,4.0843373493975905,8.0,False,0.0,0.0,0.0
9,85,10.01034688949585,42,True,False,all_finished,0.0,8.499999999999986,8.687749989827465,6.833333333333325,30,True,,,,30,30,640,0.31354618072509766,0.252512663602829,1.1355561494827269,-1.1858165264129639,2.0288312435150146,0.438529908657074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04292948255351951,-0.04292948255351951,0.18416022936503182,0.07317596017510868,0.6058978259563444,4.524892028945781e-05,0.0,8.687749989827465,,,0.1877499898274788,0.6666666666666666,0.6666666666666666,0.975,0.3333333333333333,0.0,0.0,0.40634920634920635,0.2857142857142857,0.30793650793650795,0.40634920634920635,0.2857142857142857,0.30793650793650795,0.12379039792964856,0.6549122333526611,1.4707048535346985,0.026498474646359682,0.008064515888690948,-0.018063446506857872,1.1821770071983337,0.5700836479663849,1.2701104879379272,1.4707048535346985,-1.4707048535346985,0.24705882352941178,630,2550,3.385362386703491,8.145519256591797,10.305588245391846,7.765094995498657,7.004464149475098,0.5542015731334686,0.0,0,1.0,0.5443137254901963,0.8313725490196071,4.432941176470587,88063196.4594292,1.0,0.0,0.1465685565446553,0.16330222729324861,0.3098707838379039,0.8654306593418506,0.0,0.0,0.5459998931348443,0.0,0.0,0.1774636710134665,10822498087.391373,10004705882.352942,1222025.5147179165,137029802.51606703,0.011760994494840112,0.006708058507692052,0.9203438936184792,-1.314776990883541,0.04188576548719917,0.004188576548719925,0.01920256758137472,-0.06496905521117287,4.348340843377648e-06,-0.00017337445883064588,-0.006885210286148747,0.49056308981451185,4.8352941176470585,9.0,False,0.0,0.0,0.0
10,103,11.51385498046875,42,True,False,all_finished,0.0,10.29999999999998,10.738251927693666,6.61818181818181,30,True,,,,30,30,633,0.18475781381130219,0.18242870271205902,1.0927047014236448,-1.1070947647094727,1.8327851295471191,0.4141828715801239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05337805195533729,-0.05337805195533729,0.04470968246459925,0.0619317810632843,0.5998324304819099,7.156184018435968e-05,0.0,10.738251927693666,,,0.4382519276936865,0.6333333333333333,0.6333333333333333,0.9699842022116903,0.36666666666666664,0.0,0.0,0.392914653784219,0.2785829307568438,0.3285024154589372,0.392914653784219,0.2785829307568438,0.3285024154589372,0.09952853162408261,0.6856070756912231,1.4830161333084106,0.008730491215828806,0.04659456945955753,-0.049251007148995996,1.0726204216480255,0.48409314453601837,0.9294787794351578,1.4830161333084106,-1.4830161333084106,0.20097087378640777,621,3090,2.6472890377044678,7.980945110321045,10.818338394165039,8.368959069252014,8.732800722122192,0.6381818652153015,0.2783018872141838,0,1.0,0.41003236245954716,0.8302357836338414,4.354692556634299,95979013.56551453,1.0,0.0,0.13965931590254455,0.1636781507901587,0.3033374666927034,0.9000773292867619,0.0,0.0,0.571459069419346,0.0,0.0,0.13925068728677892,9231895346.381878,8768932038.834951,1039573.472832703,122087291.2942623,0.007666837204116215,0.004444080860024224,0.7814355302626347,-1.1163364718037594,0.033465931649405874,0.003346593164940585,0.027929906734698768,-0.09341242006592065,8.66259372030172e-06,-0.0003348196186327846,-0.005839826444250792,0.4927397407500923,3.6310679611650487,10.0,False,0.0,0.0,0.0
11,86,9.784456253051758,42,True,False,all_finished,0.0,8.599999999999985,8.817846412658678,6.323076923076917,30,True,,,,30,30,626,0.4147777557373047,0.2605505585670471,1.1947461664676666,-0.7867656946182251,2.982943296432495,0.4812648594379425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04694060525228812,-0.04694060525228812,0.11593578020731563,0.07479391603246908,0.6170380413532252,5.888137262747974e-05,0.0,8.817846412658678,,,0.21784641265869276,0.8666666666666667,0.8666666666666667,0.9824281150159745,0.13333333333333333,0.0,0.0,0.35864297253634897,0.31017770597738287,0.33117932148626816,0.35864297253634897,0.31017770597738287,0.33117932148626816,0.11999176867493941,0.7194042801856995,1.600934624671936,0.0057219072671917575,0.01592009716356794,-0.018049970269203186,1.4238893389701843,0.6906928022702535,1.9330116510391235,1.600934624671936,-1.600934624671936,0.23992248062015503,619,2580,4.438974380493164,6.683115005493164,14.6605118115743,6.487384557723999,11.535410563151041,0.8506137033303579,0.5522044841200113,0,1.0,0.5782945736434111,0.8543189368770768,4.594186046511625,99291973.75850439,1.0,0.01744186046511628,0.12854425361997515,0.17591648982005342,0.30446074344002855,0.7875173461361854,0.0,0.0,0.4874028624605442,0.0,0.0,0.16962308952234187,9893130316.750387,9125581395.348837,1057055.0074700587,118519780.92464547,0.009257668465070801,0.0009690573831013064,0.8346542522440364,-1.1923632174914802,0.04284947622120479,0.0042849476221204635,0.0067406997384769855,-0.023177142894752766,6.629271667788353e-06,-0.0002586166386217445,-0.007012273677224937,0.4942376433683978,7.127906976744186,18.0,False,0.0,0.0,0.0
12,95,10.541470050811768,42,True,False,all_finished,0.0,9.499999999999982,9.683619372049954,6.291999999999994,30,True,,,,30,30,641,0.322476327419281,0.24075542390346527,1.1978143215179435,-0.8891961574554443,2.134237289428711,0.4308997392654419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05137322542960188,-0.05137322542960188,0.2850432395935055,0.07172491265951018,0.5970188319683074,5.8699582238888885e-05,0.0,9.683619372049954,,,0.18361937204997147,0.8333333333333334,0.8333333333333334,0.9797191887675507,0.16666666666666666,0.0,0.0,0.3375594294770206,0.312202852614897,0.3502377179080824,0.3375594294770206,0.312202852614897,0.3502377179080824,0.11263101086870098,0.6535070538520813,1.5750526189804077,0.006177694344842166,0.04525250010192394,-0.045701535418629646,1.2561719119548798,0.5792343020439148,1.919836774468422,1.5750526189804077,-1.5750526189804077,0.22140350877192982,631,2850,3.5245754718780518,7.899374485015869,17.055520057678223,7.459254622459412,13.882803678512573,0.9947586953639984,0.17740283906459808,0,1.0,0.7070175438596503,0.823859649122807,4.7207017543859635,105649018.76248407,1.0,0.0,0.12555397610297991,0.1658902210006476,0.2914441971036274,0.7500894563494263,0.0,0.0,0.4527637619638638,0.0,0.0,0.15442623671341651,9107360745.105965,8517894736.842105,1057713.8018411207,135253156.04531088,0.010629371945658146,0.0011493279993953923,0.7707254287038863,-1.1010363267198306,0.03972929888566346,0.0039729298885663265,0.017943564763771267,-0.056533704152845136,5.902235941794589e-06,-0.0002310689181954693,-0.006526403917212722,0.5011680039788776,5.905263157894737,13.299999999999997,False,0.0,0.0,0.0
