episode,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,ma_fairness,ma_reward_gap,ma_collaboration,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,-150.43142001889996,-0.4981047333963332,0.9817239093328161,0.0,0.0,0.0,0.16901408450704225,0.0,0.5,0.5,0.0,0.49819608978668434,0.0002777777777777778,1.0,0.0,0.1388888888888889,-0.4981047333963329,-0.4981047333963329,4.7560677089690655,12,12,3.527255058288574
1,-145.15030379344185,-0.4838343459781395,0.0,0.0,0.0,0.09022556390977443,1.0,0.07722222222222222,0.07805555555555556,0.8447222222222223,0.597600410688162,0.005277777777777778,1.0,0.0,0.8447222222222223,-145.15030379344185,-145.15030379344185,0.0,0.0,0.0,Random
1,-149.6390387415886,-0.4987967958052953,0.0,0.0,0.0,0.08955223880597014,0.0,1.0,0.0,0.0,1.0,0.0008333333333333334,1.0,0.0,0.0,-149.6390387415886,-149.6390387415886,0.0,0.0,0.0,Local-Only
1,-5.428604001506055,-0.3392877500941284,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-5.428604001506055,-5.428604001506055,0.0,0.0,0.0,Greedy
2,-150.5042064880686,-0.4983473549602287,0.42626899906567167,0.0,0.0,0.0,0.171875,0.0,0.5454545454545454,0.45454545454545453,0.0,0.5111697500237885,0.0,1.0,0.0,0.05555555555555555,-0.4983473549602285,-0.4983473549602285,4.6662264732405285,12,12,3.561444044113159
3,-150.57331746159093,-0.4985777248719698,0.4693339991915439,0.0,0.0,0.0,0.11486486486486487,0.0,0.7058823529411765,0.29411764705882354,0.0,0.4972213075453571,0.0,1.0,0.0,0.1388888888888889,-0.49857772487196944,-0.49857772487196944,4.741291274311165,12,12,3.549406051635742
4,-150.14801649837733,-0.4971600549945911,0.5446409241163305,0.0,0.0,0.0,0.2,0.0,0.4444444444444444,0.5555555555555556,0.0,0.4923870101572377,0.0011111111111111111,1.0,0.0,0.2777777777777778,-0.49716005499459076,-0.49716005499459076,5.131157254825494,12,12,3.4454078674316406
5,-150.40737639876454,-0.4980245879958818,0.5875697322189808,0.0,0.0,0.0,0.14912280701754385,0.0,0.7058823529411765,0.29411764705882354,0.0,0.49609430585936126,0.0011111111111111111,1.0,0.0,0.25,-0.4980245879958815,-0.4980245879958815,4.833189992924705,12,12,3.3960680961608887
6,-150.45976092998123,-0.4981992030999374,0.5933229876016932,0.0,0.0,0.0,0.14285714285714285,0.0,0.631578947368421,0.3684210526315789,0.0,0.4944361660668316,0.0008333333333333334,1.0,0.0,0.16666666666666669,-0.49819920309993715,-0.49819920309993715,4.516166304114583,12,12,3.45438814163208
7,-150.51018765027067,-0.49836729216756886,0.5982946450156825,0.0,0.0,0.0,0.18791946308724833,0.0,0.42857142857142855,0.5714285714285714,0.0,0.4994391930074845,0.0002777777777777778,1.0,0.0,0.2222222222222222,-0.49836729216756864,-0.49836729216756864,4.776438913168288,12,12,3.7014291286468506
8,-150.55529374910057,-0.49851764583033525,0.5781700191354113,0.0,0.0,0.0,0.1347517730496454,0.0,0.631578947368421,0.3684210526315789,0.0,0.5011307195188581,0.0,1.0,0.0,0.1111111111111111,-0.49851764583033487,-0.49851764583033487,4.986586078819452,12,12,3.6087489128112793
9,-150.6532745781257,-0.4988442485937523,0.580809767358005,0.0,0.0,0.0,0.13793103448275862,0.0,0.6,0.4,0.0,0.49927843241887687,0.0002777777777777778,1.0,0.0,0.2777777777777778,-0.49884424859375204,-0.49884424859375204,5.147762777115895,12,12,3.9587059020996094
10,-149.94851471285773,-0.49649504904285907,0.5766968251472073,0.0,0.0,0.0,0.34710743801652894,0.0,0.2857142857142857,0.7142857142857143,0.0,0.4867391992348712,0.0008333333333333334,1.0,0.0,0.16666666666666669,-0.4964950490428588,-0.4964950490428588,5.307032394234423,12,12,3.645426034927368
