policy,metric_id,metric_name,direction,matched_tail_k,rl_mean,baseline_mean,oriented_delta
CP-EFT,reward_mean,平均步奖励,higher,50,0.010792111614718982,0.003159799102050219,0.007632312512668764
CP-EFT,task_sr,任务成功率,higher,50,0.9390000000000001,0.605,0.3340000000000001
CP-EFT,subtask_sr,子任务成功率,higher,50,0.9912540389610324,0.8599126736532822,0.1313413653077502
CP-EFT,avg_power,平均功率,lower,50,0.4613479479504042,0.00019649152997266127,-0.46115145642043154
CP-EFT,avg_rsu_queue,平均RSU队列,lower,50,1.4965416219636165,1.379129094567507,-0.11741252739610952
EFT,reward_mean,平均步奖励,higher,50,0.010792111614718982,0.0026235379296983556,0.008168573685020627
EFT,task_sr,任务成功率,higher,50,0.9390000000000001,0.5720000000000001,0.367
EFT,subtask_sr,子任务成功率,higher,50,0.9912540389610324,0.843167925086234,0.14808611387479842
EFT,avg_power,平均功率,lower,50,0.4613479479504042,0.0002410972238358642,-0.4611068507265683
EFT,avg_rsu_queue,平均RSU队列,lower,50,1.4965416219636165,1.8148418853127126,0.3183002633490961
Greedy,reward_mean,平均步奖励,higher,50,0.010792111614718982,0.009721050128059648,0.0010710614866593342
Greedy,task_sr,任务成功率,higher,50,0.9390000000000001,0.86,0.07900000000000007
Greedy,subtask_sr,子任务成功率,higher,50,0.9912540389610324,0.9382050253037941,0.05304901365723824
Greedy,avg_power,平均功率,lower,50,0.4613479479504042,0.4204735547029702,-0.04087439324743397
Greedy,avg_rsu_queue,平均RSU队列,lower,50,1.4965416219636165,6.9113026155819135,5.414760993618297
Local-Only,reward_mean,平均步奖励,higher,50,0.010792111614718982,0.012021835427787491,-0.0012297238130685086
Local-Only,task_sr,任务成功率,higher,50,0.9390000000000001,0.853,0.08600000000000008
Local-Only,subtask_sr,子任务成功率,higher,50,0.9912540389610324,0.9796079568151137,0.011646082145918668
Local-Only,avg_power,平均功率,lower,50,0.4613479479504042,0.0,-0.4613479479504042
Local-Only,avg_rsu_queue,平均RSU队列,lower,50,1.4965416219636165,0.20565860918362247,-1.290883012779994
