episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-1.1798194257428456,-0.0008990971287142279,0.5451572487751642,0.15,0.15,0.15,0.6008771929824561,0.7209302325581395,0.34591194968553457,0.3836477987421384,0.27044025157232704,0.5001321676457301,0.10325,0.10325,0.015,0.22657101363632645,1.2562670739931776,48.837209302325576,-0.06678267721219722,0.4883720930232558,0.28775496229126,0.8264202463385151,-0.42984682765466264,1.646880704027893,20,20,16.610618114471436
2,,-1.2838333072327597,-0.001419166536163799,0.5134878046810627,0.05,0.05,0.05,0.7076271186440678,0.7446808510638298,0.43157894736842106,0.3157894736842105,0.25263157894736843,0.49715194885327946,0.14425,0.14425,0.015,0.8687869970005386,0.5070788358850291,43.75,-0.034105539631297484,0.4375,0.5421513319415209,-0.16162296438758456,-0.6687018002726136,2.3787400139656714,20,20,15.762975692749023
3,,0.02652704968145129,0.00036338424221166155,0.47920655965805053,0.3,0.3,0.3,0.7692307692307693,0.8108108108108109,0.5095238095238095,0.3,0.19047619047619047,0.4993081486898742,0.4767123287671233,0.4767123287671233,0.0547945205479452,0.013259895412624956,0.9974526232737121,42.5,-0.16586487125081148,0.425,0.25038088747510917,0.7885149452612138,-0.20893767801249827,2.3843611368686015,20,20,5.783461093902588
4,,0.10655159224558378,0.002316338961860517,0.7060437480608622,0.25,0.25,0.25,0.7272727272727273,0.8571428571428571,0.4744897959183674,0.3112244897959184,0.21428571428571427,0.5063592505681774,0.7663043478260869,0.7663043478260869,0.043478260869565216,0.11921693352763657,0.9659037814919289,42.857142857142854,-0.15040921329599607,0.42857142857142855,0.488466440142566,0.8048267754051605,-0.16107700608676842,2.3625964247563345,20,20,3.68420672416687
5,,-0.17085966267791675,-0.0008852832263104495,0.4005797803401947,0.15,0.15,0.15,0.6150234741784038,0.6666666666666666,0.36470588235294116,0.35294117647058826,0.2823529411764706,0.4994359737467214,0.1883419689119171,0.1883419689119171,0.010362694300518135,0.2085086241254559,1.2685331881112516,43.75,-0.12511157450230942,0.4375,0.5090702253252358,0.8128780503928592,-0.4556551377183925,1.9400453504330468,20,20,14.926812887191772
6,,-0.06368214974520876,-0.0005489840495276618,0.6924698174827628,0.2,0.2,0.2,0.6577777777777778,0.7254901960784313,0.4406779661016949,0.2655367231638418,0.2937853107344633,0.5078556294886171,0.29267241379310344,0.29267241379310344,0.017241379310344827,0.05414252664127295,1.018718548669363,36.53846153846153,-0.2229963156905899,0.36538461538461536,0.18945453880018187,0.7384637630936379,-0.28025478557572525,2.2627970389339103,20,20,8.995105504989624
7,,-0.2012444221968301,-0.001087807687550433,0.7272011566729772,0.25,0.25,0.25,0.7795918367346939,0.8524590163934426,0.5,0.2102803738317757,0.2897196261682243,0.49005621030322605,0.1589189189189189,0.1589189189189189,0.021621621621621623,0.4980156040260166,0.8802131201905705,29.03225806451613,-0.17973218062092008,0.2903225806451613,0.4278792840653666,0.37700862352668196,-0.5032044966638886,2.6437646520059523,20,20,13.621299266815186
8,,-1.2674071470479673,-0.0013370357352398366,0.7900284677743912,0.15,0.15,0.15,0.6483050847457628,0.7105263157894737,0.6073298429319371,0.17801047120418848,0.21465968586387435,0.49418724327068775,0.21725,0.21725,0.01,0.8117506609998354,0.5306887236003607,46.34146341463415,-0.005569463770345024,0.4634146341463415,0.5335155291492334,0.04949637823047463,-0.48119234536988603,1.7821157965843692,20,20,16.265040159225464
9,,-1.1507387822208377,-0.0007536939111041885,0.6788543025652568,0.2,0.2,0.2,0.5943775100401606,0.6486486486486487,0.5888888888888889,0.2,0.2111111111111111,0.486040897958912,0.25825,0.25825,0.01,0.3025720697286944,0.7493375886307896,39.473684210526315,-0.32729945931093124,0.39473684210526316,0.5929935859641693,0.362777908981713,-0.3865596796490765,1.6120881814479529,20,20,15.481114149093628
10,,0.09323920675296272,0.00202693927723832,0.4941209057966868,0.2,0.2,0.2,0.7824074074074074,0.9615384615384616,0.6631578947368421,0.19473684210526315,0.14210526315789473,0.4974696376765876,0.8945652173913043,0.8945652173913043,0.08695652173913043,0.06153079957802589,1.3751234055760844,51.85185185185185,0.068361662156487,0.5185185185185185,0.6110838804004323,1.2050304854617973,-0.1700929201142872,2.4226520708437334,20,20,3.403090000152588
11,,-0.04399752310953119,-0.0004834892649399032,0.5346067900007422,0.2,0.2,0.2,0.7324561403508771,0.7619047619047619,0.48404255319148937,0.28191489361702127,0.23404255319148937,0.4831648474589891,0.2703296703296703,0.2703296703296703,0.01098901098901099,0.030400543511342935,1.0753472563377688,45.45454545454545,0.0549683229461197,0.45454545454545453,0.4053634623004586,0.8351513090163064,-0.24019594732146246,1.884871726631185,20,20,7.289711952209473
12,,-0.1380460913816405,-0.0011132749304971008,0.7381479051606409,0.05,0.05,0.05,0.6587301587301587,0.7627118644067796,0.43523316062176165,0.24352331606217617,0.32124352331606215,0.49353224312090466,0.21854838709677418,0.21854838709677418,0.03225806451612903,0.19232785514390202,1.3659374194343783,30.64516129032258,-0.012765281333977585,0.3064516129032258,0.4403900521346385,1.0753957914217152,-0.2905416280126632,1.768333423435448,20,20,10.320425748825073
13,,-0.029761383314564748,-0.0005221295318344692,0.4510471224784851,0.1,0.1,0.1,0.6796536796536796,0.7631578947368421,0.5351351351351351,0.25405405405405407,0.21081081081081082,0.47870275001123286,0.762280701754386,0.762280701754386,0.07017543859649122,0.037982028969526266,0.6698561128507795,28.205128205128204,-0.16310882936509494,0.28205128205128205,0.470273156007217,0.4733188210997483,-0.1965372917510312,1.869150908156836,20,20,4.501662969589233
14,,-0.08986323116204266,-0.001198176415493902,0.5918061461137689,0.05,0.05,0.05,0.6485355648535565,0.6666666666666666,0.5614973262032086,0.20855614973262032,0.22994652406417113,0.48329273156945907,0.6473333333333333,0.6473333333333333,0.013333333333333334,0.5911187845635529,0.34287569733715106,37.2093023255814,-0.40026229103343963,0.37209302325581395,0.4427999060412861,0.10054565600642827,-0.2423300413307228,2.291889561087706,20,20,5.88672661781311
15,,-0.02206210349011808,-0.0004085574720392237,0.6953584432601929,0.1,0.1,0.1,0.6716417910447762,0.7428571428571429,0.5545023696682464,0.27014218009478674,0.17535545023696683,0.48867034101168866,0.7388888888888889,0.7388888888888889,0.1111111111111111,0.028013698451191563,0.6186025967242352,40.54054054054054,-0.11611051790269669,0.40540540540540543,0.3649779239577807,0.4484012016362161,-0.17020139508801915,2.0069076935549477,20,20,4.49055027961731
16,,-0.07494826784824633,-0.0013148818920744971,0.47832741313859034,0.05,0.05,0.05,0.6375545851528385,0.6428571428571429,0.4918918918918919,0.2594594594594595,0.24864864864864866,0.47688613286274567,0.8043859649122806,0.8043859649122806,0.017543859649122806,0.6041397588071258,0.2880027371593986,41.30434782608695,-0.18788198330523947,0.41304347826086957,0.503919393214754,0.08453438624239008,-0.20346835091700852,1.6551287838150224,20,20,4.485151052474976
