episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,95,11.76161003112793,42,True,False,all_finished,0.0,9.499999999999982,10.333742332458488,6.85263157894736,30,True,,,,30,30,629,0.1908927857875824,0.21171416342258453,1.0322810053825375,-0.9786287546157837,2.295870304107666,0.40697723627090454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049960118343955695,-0.049960118343955695,0.09410238265991175,0.06300571532103054,0.5658154457807537,6.675445270194355e-05,0.0,10.333742332458488,,,0.833742332458506,0.6333333333333333,0.6333333333333333,0.9570747217806042,0.36666666666666664,0.0,0.0,0.42414355628058725,0.2969004893964111,0.27895595432300163,0.42414355628058725,0.2969004893964111,0.27895595432300163,0.10960021362754337,0.7594214677810669,1.4957346320152283,0.02402986353263259,0.031481482088565826,0.13423553109169006,1.1739779114723206,0.7182330787181854,0.751242995262146,1.4957346320152283,-1.4957346320152283,0.2150877192982456,613,2850,3.52423095703125,8.375104904174805,2.311991661787033,7.408477306365967,-0.00867263600230217,0.03816702216863632,0.0,0,1.0,0.6203508771929824,0.8324310776942353,4.517894736842103,96437235.24569228,1.0,0.0,0.14249706308479856,0.1720499627190591,0.3145470258038577,0.9148700636027232,0.0,0.0,0.564706319264376,0.0,0.0,0.14352842408784633,10820492059.677193,9802105263.157894,1230621.1565816652,127297456.99677801,0.012214598799529415,0.003705669471214825,0.917627939910505,-1.3108970570150147,0.03990391007766401,0.00399039100776639,0.020707286043811394,-0.07330593738666187,7.986206102539079e-06,-0.0003016551772382279,-0.005825435695779931,0.4990344154530842,5.347368421052631,12.0,False,0.0,0.0,0.0
2,116,12.915515661239624,42,True,False,all_finished,0.0,11.599999999999975,12.716612459818505,6.499999999999993,30,True,,,,30,30,642,0.052035991102457047,0.1413051337003708,0.8676676154136658,-1.0508484840393066,3.047518253326416,0.404349684715271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06013259536918561,-0.06013259536918561,0.058074054718017715,0.04325398272866833,0.44192248880863055,7.348299602532435e-05,0.0,12.716612459818505,,,1.1166124598185299,0.6,0.6,0.9034267912772586,0.4,0.0,0.0,0.48322147651006714,0.25671140939597314,0.2600671140939597,0.48322147651006714,0.25671140939597314,0.2600671140939597,0.08494927108424298,0.6168110966682434,1.3057293097178142,0.001871239432754616,0.04090307932347059,0.07416057089964549,1.277087152004242,0.7100926637649536,0.8738287289937338,1.3057293097178142,-1.3057293097178142,0.17126436781609194,596,3480,4.303924560546875,7.857441425323486,3.9531570275624595,7.540225823720296,0.4551079409817855,0.0555759904285272,0.0,0,1.0,0.5316091954022992,0.7953201970443345,4.251724137931033,89767039.26287375,1.0,0.0,0.15662916450137238,0.16622958547861333,0.32285874997998576,1.0536157832743576,0.0,0.0,0.709138318157027,0.0,0.0,0.11732001484168994,9196871633.03908,8772413793.103449,1076174.4116227555,108010999.0970115,0.013689362495004027,0.006805310019346284,0.7869006419342676,-1.1241437741918272,0.030152394280210642,0.003015239428021077,0.047271859551058615,-0.1503967274778274,7.277090643088359e-06,-0.0002638173826293925,-0.003845626111927335,0.5012473361286999,2.9913793103448274,11.0,False,0.0,0.0,0.0
3,94,11.225332260131836,42,True,False,all_finished,0.0,9.399999999999983,10.224758523305244,6.468181818181811,30,True,,,,30,30,641,0.3041461706161499,0.22594650834798813,1.1578269124031066,-0.8067159056663513,3.0423545837402344,0.40561968088150024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051642971782819645,-0.051642971782819645,0.028102874755859014,0.05046168243618193,0.4976661249995229,6.514723403285429e-05,0.0,10.224758523305244,,,0.8247585233052614,0.7333333333333333,0.7333333333333333,0.9344773790951638,0.26666666666666666,0.0,0.0,0.5098039215686274,0.22549019607843138,0.2647058823529412,0.5098039215686274,0.22549019607843138,0.2647058823529412,0.10500481733854147,0.694474995136261,1.3326255798339843,-0.0013395925750955939,0.05691061690449715,-0.10784297436475754,1.8579557895660401,0.8184695839881897,1.1637694358825683,1.3326255798339843,-1.3326255798339843,0.2170212765957447,612,2820,5.508955478668213,7.1006669998168945,7.220409202575683,6.480792999267578,1.2816580653190612,0.11316757202148438,0.0,0,1.0,0.35886524822695054,0.8627152988855116,4.504964539007092,98063213.07254913,1.0,0.0,0.12371016096719471,0.16811459548484553,0.2918247564520402,0.9392724377418189,0.0,0.0,0.6422376660983967,0.0,0.0,0.1605820767322318,10450021780.834044,9161702127.659575,1179559.221476777,107438430.87314066,0.01151803618486968,0.00612417160170926,0.8884773561894188,-1.26925336598488,0.03972841441541088,0.003972841441541092,0.008432605879928645,-0.03303218083015234,5.324267683653545e-06,-0.00020444934469227767,-0.00447707300837498,0.49433350804070314,2.8085106382978724,7.0,False,0.0,0.0,0.0
4,81,9.8549964427948,42,True,False,all_finished,0.0,8.099999999999987,8.753489640553784,6.299999999999994,30,True,,,,30,30,616,0.2561761140823364,0.20934447646141052,1.1244912147521973,-0.6686239242553711,2.1150498390197754,0.37573039531707764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05269947008831516,-0.05269947008831516,0.04035615921020472,0.06107179599319711,0.5588265001773826,0.00010387523167933013,0.0,8.753489640553784,,,0.6534896405537971,0.6,0.6,0.935064935064935,0.4,0.0,0.0,0.47700170357751276,0.24361158432708688,0.27938671209540034,0.47700170357751276,0.24361158432708688,0.27938671209540034,0.12139023146572918,0.710202693939209,1.3609274625778198,0.03812406212091446,0.04615384712815285,0.03548794239759445,1.1940194368362427,0.6297759413719177,0.6953912377357483,1.3609274625778198,-1.3609274625778198,0.24156378600823045,587,2430,3.5325281620025635,8.137568473815918,5.108542442321777,7.191547870635986,1.9020003080368042,0.1410006731748581,0.0,0,1.0,0.5069958847736615,0.857907113462669,4.534567901234567,89621559.611641,1.0,0.0,0.15649915534168427,0.1616698402227882,0.31816899556447237,0.8649276268568636,0.0,0.0,0.6031333533393889,0.0,0.0,0.15775381699349394,10687111236.977777,10029629629.62963,1160486.8249303964,123077047.38298018,0.012872416786476583,0.0015877774504542443,0.9050527973184103,-1.2929325675977286,0.0418029884560989,0.004180298845609899,0.016073903511801203,-0.06024341964974668,8.062828774285241e-06,-0.0003180842979700863,-0.005690351155865621,0.5085556063440786,4.567901234567901,10.0,False,0.0,0.0,0.0
5,111,12.788619756698608,42,True,False,all_finished,0.0,11.099999999999977,11.79726781845091,6.429999999999993,30,True,,,,30,30,656,0.1660810112953186,0.17899398505687714,1.129200518131256,-2.051265001296997,2.928313970565796,0.412710577249527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059573378004469366,-0.059573378004469366,0.18903988838195893,0.046651078498846775,0.48391393274068695,7.479693521421575e-05,0.0,11.79726781845091,,,0.6972678184509338,0.6666666666666666,0.6666666666666666,0.9375,0.3333333333333333,0.0,0.0,0.5126984126984127,0.2761904761904762,0.2111111111111111,0.5126984126984127,0.2761904761904762,0.2111111111111111,0.0957910859107121,0.6571251749992371,1.307241060517051,0.0008957414379851384,0.08111816238273274,0.0266776451502334,1.2106052745472302,0.629365780136802,0.9086986617608503,1.307241060517051,-1.307241060517051,0.1891891891891892,630,3330,4.258016109466553,7.800883769989014,6.1916915286671035,7.628103126179088,3.585984468460083,0.2693727964704687,0.4899321361021562,0,1.0,0.5927927927927932,0.8503646503646503,4.5741741741741695,92753414.82880457,1.0,0.0003003003003003003,0.14336068664911758,0.1671343755591327,0.31049506220825024,0.9694567837837228,0.0,0.0,0.6655083836635703,0.0,0.0,0.12814690032027493,9261149647.058258,8562162162.162162,1076465.495179223,102459685.9648478,0.014789803879892835,0.001637333642238938,0.7881896081103186,-1.1259851544433115,0.033457941259410026,0.003345794125941004,0.023872728221608845,-0.08089434050427606,6.0655008869575045e-06,-0.00023528156234656623,-0.004402149366826314,0.5016485470103788,3.6576576576576576,10.5,False,0.0,0.0,0.0
6,101,11.48429274559021,42,True,False,all_finished,0.0,10.09999999999998,10.890067348480212,6.3499999999999925,30,True,,,,30,30,627,0.12560100853443146,0.1698259860277176,1.1293540000915527,-1.4009703397750854,2.0952794551849365,0.4555869996547699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060679361702192014,-0.060679361702192014,0.017154216766357505,0.046561225492617875,0.48510254770517225,5.981688641169952e-05,0.0,10.890067348480212,,,0.7900673484802319,0.5666666666666667,0.5666666666666667,0.9202551834130781,0.43333333333333335,0.0,0.0,0.5210084033613446,0.21008403361344538,0.2689075630252101,0.5210084033613446,0.21008403361344538,0.2689075630252101,0.09766947128979041,0.7103865146636963,1.1927164793014526,0.021596478298306465,0.06415174622088671,0.09595757350325584,1.0559741258621216,0.6215592324733734,0.8772691786289215,1.1927164793014526,-1.1927164793014526,0.19636963696369636,595,3030,2.5092806816101074,8.337773323059082,6.712761640548706,8.224398374557495,4.963113307952881,0.35694579780101776,0.0,0,1.0,0.4247524752475246,0.8168316831683161,4.278547854785471,92815539.22700182,1.0,0.0,0.11776428913440463,0.1676413875100623,0.28540567664446714,0.9423207917790193,0.0,0.0,0.6747281368281444,0.0,0.0,0.1370964745866817,9929399900.134653,9255445544.554455,1087135.1248463006,115024986.1202037,0.013427840494968674,0.0015486804817519482,0.8424265126546144,-1.203466446649434,0.036516684008717167,0.0036516684008716946,0.02991312320939768,-0.10298305073982843,5.373264659366187e-06,-0.00021179618104267645,-0.004361519511074657,0.5101706492244312,2.3168316831683167,7.0,False,0.0,0.0,0.0
7,93,10.78445291519165,42,True,False,all_finished,0.0,9.299999999999983,9.818709595998117,6.424999999999993,30,True,,,,30,30,620,0.2191234976053238,0.21500536799430847,1.1002085685729974,-1.0393046140670776,2.387145519256592,0.41704854369163513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05072379095152721,-0.05072379095152721,0.09373950958251961,0.05398272583962128,0.5269451111555097,7.226133377197728e-05,0.0,9.818709595998117,,,0.5187095959981338,0.6333333333333333,0.6333333333333333,0.9564516129032258,0.36666666666666664,0.0,0.0,0.4900990099009901,0.24587458745874588,0.264026402640264,0.4900990099009901,0.24587458745874588,0.264026402640264,0.10731164053062438,0.6915284395217896,1.311506748199463,0.033730648458004,0.0181818176060915,0.16337703168392181,1.0957447290420532,0.7086264491081238,0.931821882724762,1.311506748199463,-1.311506748199463,0.2172043010752688,606,2790,3.628004550933838,7.999914646148682,7.473662376403809,7.498341083526611,5.1185221672058105,0.39102041721343994,0.0,0,1.0,0.6064516129032261,0.8117255504352279,4.447311827956983,95878167.5379853,1.0,0.0,0.1436005408995621,0.1718216173989182,0.31542215829848036,0.9058188375427001,0.0,0.0,0.5983756819682008,0.0,0.0,0.15685345784552432,9852616185.405018,9440860215.053764,1051519.9190991353,130593725.6280483,0.009285801312540105,0.006108782860047514,0.8364459329563398,-1.194922761366201,0.039576963226863535,0.0039576963226863595,0.020283925446365623,-0.07263901254268769,5.929927970971665e-06,-0.0002310223937175566,-0.005018320711323587,0.497013907084128,3.827956989247312,9.399999999999991,False,0.0,0.0,0.0
8,106,12.652451515197754,42,True,False,all_finished,0.0,10.599999999999978,12.030276533762605,6.821428571428562,30,True,,,,30,30,636,0.014311830513179302,0.13946865499019623,0.8640389144420624,-1.4282978773117065,2.148343086242676,0.387004554271698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058035444943410154,-0.058035444943410154,0.1409019279479967,0.04252043424654494,0.42083277553319864,4.800556793628175e-05,0.0,12.030276533762605,,,1.4302765337626262,0.43333333333333335,0.43333333333333335,0.8742138364779874,0.5666666666666667,0.0,0.0,0.5347222222222222,0.24479166666666666,0.2204861111111111,0.5347222222222222,0.24479166666666666,0.2204861111111111,0.09207534180403505,0.5389620661735535,1.206712245941162,0.012580738868564367,0.011904762126505375,0.05563085898756981,0.999508798122406,0.552971825003624,0.8448416292667389,1.206712245941162,-1.206712245941162,0.1811320754716981,576,3180,1.0145196914672852,8.198873519897461,5.792740106582642,8.741023063659668,5.408771753311157,0.3925466984510422,0.0,0,1.0,0.5531446540880504,0.7711590296495949,4.092138364779874,87995553.76624098,1.0,0.0,0.16333346760979017,0.17148533917364353,0.3348188067834336,1.136080616955501,0.0,0.0,0.8092994581946062,0.0,0.0,0.12372547792502807,10829557723.411322,9950943396.226416,1147964.1376022603,132450764.35251296,0.011993110876834065,0.010239608664818113,0.9246958631592619,-1.320994090227517,0.03268061028137761,0.003268061028137755,0.03778445505053608,-0.13379099086128313,4.719230279437811e-06,-0.00018464381118383168,-0.0038632955018196233,0.5046892589486772,2.6132075471698113,7.0,False,0.0,0.0,0.0
9,104,12.193838119506836,42,True,False,all_finished,0.0,10.399999999999979,11.115616747538233,6.314285714285707,30,True,,,,30,30,629,0.16881346702575684,0.1479819491505623,1.1759589731693267,-1.0321160554885864,2.2851879596710205,0.423221230506897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055760020904052,-0.055760020904052,0.04453908920287972,0.048992933650524956,0.5054402261972424,1.940032459767621e-05,0.0,11.115616747538233,,,0.7156167475382542,0.6666666666666666,0.6666666666666666,0.9379968203497615,0.3333333333333333,0.0,0.0,0.48580968280467446,0.27212020033388984,0.24207011686143573,0.48580968280467446,0.27212020033388984,0.24207011686143573,0.09435586236799375,0.5982733368873596,1.4013872543970745,0.016754227690398693,0.06868347401420276,0.007227609554926555,1.1069577932357788,0.5579037467638651,1.2822892268498738,1.4013872543970745,-1.4013872543970745,0.1919871794871795,599,3120,3.308866024017334,8.270259857177734,8.685465494791666,8.783546924591064,5.7762322425842285,0.41845287879308063,0.0,0,1.0,0.7166666666666685,0.8338369963369962,4.649999999999998,99050466.55563956,1.0,0.0003205128205128205,0.1343690779041338,0.16422928412946813,0.29859836203360196,0.9365813876457407,0.0,0.0,0.6176959271307724,0.0,0.0,0.1282069002146843,9226047561.846153,8619230769.23077,1045801.8535544687,138384436.71718034,0.007930897963329313,0.001382788176431215,0.7781509829602764,-1.1116442613718156,0.033702215026084156,0.0033702215026083903,0.029218299788954027,-0.09604512009693139,2.6595106038043426e-06,-0.00010574435731373444,-0.004433280089648502,0.49960527901436225,4.355769230769231,11.0,False,0.0,0.0,0.0
10,85,10.850566148757935,42,True,False,all_finished,0.0,8.499999999999986,8.910568714141839,6.874999999999991,30,True,,,,30,30,629,0.2741607129573822,0.2173420637845993,1.3726148366928088,-0.9488491415977478,3.3847110271453857,0.40145501494407654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049151326048608,-0.049151326048608,0.11772615750630652,0.06349607396359537,0.550384977459907,7.171215534558451e-05,0.0,8.910568714141839,,,0.4105687141418528,0.6,0.6,0.9491255961844197,0.4,0.0,0.0,0.45799011532125206,0.23887973640856672,0.3031301482701812,0.45799011532125206,0.23887973640856672,0.3031301482701812,0.11763369843071582,0.6737328767776489,1.4293052107095718,0.004495346031035297,0.06509691174142063,0.018286906648427248,1.1280141174793243,0.5794353373348713,1.141967199742794,1.4293052107095718,-1.4293052107095718,0.2380392156862745,607,2550,2.8494956493377686,7.375771522521973,9.118429899215698,7.313826084136963,7.62910270690918,0.5141814425587654,0.4247253257781267,0,1.0,0.49490196078431353,0.8740616246498604,4.612156862745097,102835217.96293005,1.0,0.0,0.1838238875162602,0.17082883107902455,0.35465271859528463,0.9602285898187242,0.0,0.0,0.630797432905645,0.0,0.0,0.16928647731121385,11125138448.865883,10376470588.235294,1246789.1482520434,136770770.85009444,0.010524084694865017,0.006201084776131297,0.9438200402098177,-1.3483143431568838,0.04129584985051798,0.0041295849850517844,0.008764555418920907,-0.03444354168489932,7.720258396229414e-06,-0.0003024356766579358,-0.005685819834930447,0.5037699106620515,3.5058823529411764,8.0,False,0.0,0.0,0.0
