episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-20.548603130131408,-0.17414070449263905,0.5114131718873978,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.8066581306017926,0.9560975609756097,0.4431137724550898,0.25,0.3068862275449102,0.49739366121666434,1.1799435028248588,1.1799435028248588,2.9491525423728815,0.28301779598401416,118.99546378837451,75.60975609756098,0.4304780269311891,0.7560975609756098,0.6187213633852329,54.66699631037139,-64.32846747800312,5.818024432143543,30,30,17.79907464981079
2,,-32.33323915601338,-0.2377444055589219,0.34228143095970154,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.8475452196382429,0.9834254143646409,0.5036284470246735,0.23367198838896952,0.262699564586357,0.5070009174934753,1.0732843137254902,1.0732843137254902,2.7279411764705883,0.248764712871961,185.59748414790397,82.87292817679558,0.4497073121859068,0.8287292817679558,0.5796330951833014,56.74594330655577,-128.8515408413482,6.261758298590901,30,30,18.432448625564575
3,,-4.424442303586867,-0.03950394913916845,0.8437485694885254,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.8691709844559585,0.9516129032258065,0.47844827586206895,0.2543103448275862,0.2672413793103448,0.5014370384714788,1.1407738095238096,1.1407738095238096,3.375,0.014677185472901345,119.14697435893902,77.95698924731182,0.45131560004358995,0.7795698924731183,0.6293449385099604,54.1441693973764,-65.00280496156262,6.254520615287053,30,30,15.109375715255737
4,,3.3066904854152748,0.030060822594684317,0.5515919923782349,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8822768434670116,0.9787234042553191,0.4466571834992888,0.28591749644381226,0.267425320056899,0.5017261029573892,1.2227272727272727,1.2227272727272727,4.927272727272728,0.009470220618795825,102.96658814840316,81.91489361702128,0.44397882590613846,0.8191489361702128,0.5695882729262297,51.943786718064516,-51.022801430338646,6.332125627176782,30,30,15.490148544311523
5,,2.9917857883398367,0.025141057044872576,0.5492943748831749,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.8813559322033898,0.9896907216494846,0.4157142857142857,0.30714285714285716,0.27714285714285714,0.4982159446041864,0.9624649859943978,0.9624649859943978,4.840336134453781,0.0040439671008101665,138.014229857388,79.38144329896907,0.38333068499486267,0.7938144329896907,0.5262744453639436,55.265937995740146,-82.74829186164786,6.6936384828059285,30,30,15.309636116027832
6,,-3.8834571734119683,-0.03406541380185937,0.6312982042630514,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.8850574712643678,0.952755905511811,0.3514644351464435,0.29428172942817293,0.3542538354253835,0.49273368480767815,1.05,1.05,4.578947368421052,0.00724863586538108,186.42588243917157,81.49606299212599,0.4146969896182608,0.8149606299212598,0.5372435144718334,55.90798365222637,-130.5178987869452,6.44807255123931,30,30,15.657312631607056
7,,-26.85171270340251,-0.18777421470910846,0.4942986113684518,0.4,0.4,0.4,0.9278481012658227,0.9924528301886792,0.34308510638297873,0.3045212765957447,0.3523936170212766,0.5000928711076646,0.8076923076923077,0.8076923076923077,4.118881118881119,0.12311549982317622,230.7375401404948,78.8679245283019,0.3101637000011683,0.7886792452830189,0.42780328598964384,56.638139690677704,-174.09940044981707,6.684577287354901,30,30,18.284367322921753
8,,7.181846365915213,0.0671200594945347,0.5142831951379776,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.9508408796895214,0.9849056603773585,0.3076923076923077,0.34084880636604775,0.35145888594164454,0.4941792777899038,0.9722741433021806,0.9722741433021806,6.158878504672897,0.0305510579291923,128.4908282391654,81.13207547169812,0.3618949214358571,0.8113207547169812,0.477797691287022,55.47485472882488,-73.01597351034054,6.80815641523535,30,30,14.663884162902832
9,,17.700714072069093,0.17185159293270966,0.5432523727416992,0.5,0.5,0.5,0.9424280350438048,0.978125,0.2747395833333333,0.30859375,0.4166666666666667,0.4970551671728516,1.0472491909385113,1.0472491909385113,5.844660194174757,0.2021225067660065,94.20099717280338,81.875,0.34347792002122074,0.81875,0.4503564591596543,54.419838734247875,-39.78115843855551,6.411391549561929,30,30,14.209344863891602
10,,-17.494577248674542,-0.13354639121125605,0.4245259662469228,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9072681704260651,0.9688581314878892,0.3096514745308311,0.30294906166219837,0.3873994638069705,0.4970041124403723,0.9394402035623409,0.9394402035623409,4.145038167938932,0.0932617737415058,168.11957776490095,83.04498269896193,0.45450739547643026,0.8304498269896193,0.5786194922819968,55.648812492114246,-112.47076527278669,6.4683739209705635,30,30,17.536350965499878
11,,14.14949276359211,0.1286317523962919,0.4427169660727183,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.9626865671641791,0.9782608695652174,0.2522179974651457,0.3396704689480355,0.40811153358681873,0.4955329621399781,1.013939393939394,1.013939393939394,6.245454545454545,0.08699370643033195,146.24987468326628,85.40372670807453,0.380129819754909,0.8540372670807453,0.47133020154315897,55.714185246366696,-90.53568943689957,6.609246564627507,30,30,14.913988828659058
12,,10.737463434831026,0.09336924725940023,0.46333530970982145,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.9392764857881137,0.978978978978979,0.22972972972972974,0.3202702702702703,0.45,0.49383229942560414,0.9765217391304348,0.9765217391304348,4.860869565217391,0.05019752496267162,148.82542255077232,82.58258258258259,0.36556770550364553,0.8258258258258259,0.471468325300853,55.01004280381922,-93.81537974695308,6.4904874634055165,30,30,15.286865949630737
13,,15.209925476742722,0.14083264330317335,0.4458891525864601,0.6,0.6,0.6,0.9581699346405229,0.9782608695652174,0.20080321285140562,0.36813922356091033,0.43105756358768405,0.49830318005916513,0.8447530864197531,0.8447530864197531,7.75,0.10905806792593614,120.02573599053935,84.16149068322981,0.33022459149809674,0.8416149068322981,0.41635125087877445,52.2756361663405,-67.75009982419886,6.69873355029588,30,30,14.587897062301636
14,,23.979145156226867,0.23979145156226866,0.5508841276168823,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.9646133682830931,0.9815950920245399,0.21236559139784947,0.34946236559139787,0.4381720430107527,0.49625137308208894,0.977,0.977,6.28,0.32884201311354333,89.97238936985914,83.12883435582822,0.33318122131638855,0.8312883435582822,0.42794711828790144,54.829310336748335,-35.14307903311081,6.82878283194019,30,30,13.23460865020752
15,,7.125760826223523,0.06142897263985796,0.34924861788749695,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.9244558258642765,0.9798657718120806,0.28205128205128205,0.3157894736842105,0.40215924426450744,0.502771509204484,1.0293103448275862,1.0293103448275862,4.870689655172414,0.028733423328712364,120.68594369035748,84.22818791946308,0.43569316547582665,0.8422818791946308,0.544263250402747,54.61823395842675,-66.06770973193073,6.645190459453059,30,30,15.364130735397339
16,,17.92685937996213,0.19071126999959714,0.5980850234627724,0.5,0.5,0.5,0.9352708058124174,0.9673202614379085,0.2,0.3779310344827586,0.4220689655172414,0.491501387151731,1.0308510638297872,1.0308510638297872,8.617021276595745,0.24052072582438636,81.68793659302065,81.37254901960785,0.32567352247613446,0.8137254901960784,0.42031385130835075,54.7510648616042,-26.936871731416456,6.949743520333131,30,30,13.099542617797852
17,,14.647767307976814,0.1525809094580918,0.46373096108436584,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.9471649484536082,0.9807692307692307,0.21954484605087016,0.3627844712182062,0.41767068273092367,0.5082150276498093,0.9232638888888889,0.9232638888888889,8.395833333333334,0.15190772949501963,113.70093505431132,80.44871794871796,0.3210212892091274,0.8044871794871795,0.4251385358788204,54.51809695784341,-59.18283809646791,6.932222645697731,30,30,13.416616678237915
18,,19.967740048115132,0.1866143929730386,0.39639855921268463,0.6,0.6,0.6,0.9675324675324676,0.9914040114613181,0.1981382978723404,0.3377659574468085,0.4640957446808511,0.504285838951377,0.8841121495327103,0.8841121495327103,5.94392523364486,0.1981706423645029,135.5044924706493,78.79656160458453,0.25636838083093777,0.7879656160458453,0.3650177388369145,54.3178492622371,-81.18664320841219,6.61398349151834,30,30,13.741973638534546
19,,-13.475237190339463,-0.12031461777088806,0.26919159293174744,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.9041994750656168,0.9552238805970149,0.200836820083682,0.3319386331938633,0.46722454672245467,0.5068359755499322,1.0279761904761904,1.0279761904761904,5.071428571428571,0.10459923297629903,139.4376982508656,82.98507462686567,0.37739765795986485,0.8298507462686567,0.480072438150954,56.55441010122654,-82.88328814963906,5.742227850684411,30,30,15.389272212982178
20,,2.7654414121759654,0.02608906992618835,0.4315093159675598,0.5,0.5,0.5,0.9170068027210885,0.959866220735786,0.1985611510791367,0.3712230215827338,0.4302158273381295,0.5019172156015821,0.9150943396226415,0.9150943396226415,6.339622641509434,0.003295948991819194,131.162399713127,84.94983277591973,0.34942761161394204,0.8494983277591973,0.43130527232992805,56.63284882537924,-74.52955088774776,6.810843505333279,30,30,14.292970180511475
21,,-0.8172756618655056,-0.0074297787442318694,0.4352119602262974,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9122137404580153,0.9747191011235955,0.2029769959404601,0.3152909336941813,0.4817320703653586,0.5010759919450025,1.03,1.03,5.627272727272727,0.00040744521717428364,135.43573773776848,80.6179775280899,0.38097033127750984,0.8061797752808989,0.5017995263916972,51.29014822436466,-84.14558951340383,6.371597775314467,30,30,15.597476959228516
22,,15.690714228294738,0.1601093288601504,0.3128175536791484,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.9317889317889317,0.9774011299435028,0.2,0.3216216216216216,0.4783783783783784,0.5062245920769313,1.1316326530612244,1.1316326530612244,5.76530612244898,0.1804437809613792,102.42285626795893,83.33333333333334,0.3298229236002029,0.8333333333333334,0.4259350589068193,54.218664012103886,-48.20419225585505,6.704336068515206,30,30,13.729049444198608
23,,15.6615213214109,0.14109478667937747,0.445655678709348,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.9730769230769231,0.9835616438356164,0.1599479843953186,0.36540962288686607,0.47464239271781533,0.5009595213308315,0.8726726726726727,0.8726726726726727,7.045045045045045,0.139822212256903,109.37438451173419,83.28767123287672,0.3444857896714023,0.8328767123287671,0.4410592528790968,56.74974951303137,-52.624634998702824,6.989240964988422,30,30,14.886213302612305
24,,28.66937788054506,0.2895896755610612,0.504474401473999,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.9746192893401016,0.9873417721518988,0.16216216216216217,0.32947232947232946,0.5083655083655083,0.5044357678409265,1.0831649831649832,1.0831649831649832,6.373737373737374,0.5070170938432625,79.84509180986551,83.79746835443038,0.3226789411192278,0.8379746835443038,0.404489757130031,54.292239579279965,-25.552852230585543,6.656546694901672,30,30,13.966421842575073
25,,38.027185421944,0.38027185421944,0.7747390568256378,0.8,0.8,0.8,0.9832904884318766,0.9971264367816092,0.17769130998702984,0.37094682230869,0.45136186770428016,0.5059560398215739,0.91,0.91,7.09,0.7149678904562119,88.38192465635784,82.47126436781609,0.3016182072264524,0.8247126436781609,0.3919430328686013,57.100467087112165,-31.281457569245674,6.869575864006144,30,30,13.293060541152954
26,,14.250756852603402,0.13444110238305096,0.4121553599834442,0.5,0.5,0.5,0.9472990777338604,0.975,0.1564625850340136,0.35374149659863946,0.4897959183673469,0.5018745797311407,1.0575471698113208,1.0575471698113208,5.820754716981132,0.13590265226104556,112.648080768117,83.05555555555556,0.3614703214046647,0.8305555555555556,0.46488979876527126,52.63550372070698,-60.01257704741002,5.768331634153355,30,30,14.020103454589844
27,,23.698556605748717,0.23463917431434372,0.44538024067878723,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.9564102564102565,0.9814323607427056,0.16116248348745046,0.34081902245706736,0.49801849405548215,0.5085602515361736,1.031023102310231,1.031023102310231,6.465346534653466,0.3061980411038112,104.88878583710255,81.16710875331566,0.3353449869822382,0.8116710875331565,0.43878351417091954,55.24240521557827,-49.64638062152427,6.807890820963279,30,30,13.927902936935425
28,,19.264203063224134,0.17673580791948745,0.4555366635322571,0.6,0.6,0.6,0.9475032010243278,0.9858757062146892,0.16622340425531915,0.363031914893617,0.47074468085106386,0.5106469250640145,0.8981651376146789,0.8981651376146789,5.990825688073395,0.18603409000390814,116.99355770825002,81.92090395480226,0.2975863821122191,0.8192090395480226,0.38491458571195225,56.597988543378065,-60.39556916487196,6.424591427641371,30,30,14.611470699310303
29,,10.983930052514486,0.08930024432938606,0.3500407338142395,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.9452054794520548,0.9847560975609756,0.21345407503234154,0.36222509702457956,0.4243208279430789,0.5092322547861998,0.8772357723577235,0.8772357723577235,5.59349593495935,0.060054542693804995,134.56413175419038,82.92682926829268,0.3626444145113986,0.8292682926829268,0.46412937803417526,56.97908065112931,-77.58505110306108,6.333846068659253,30,30,16.114795684814453
30,,20.323443201321187,0.18309408289478546,0.4399784604708354,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.9486858573216521,0.9766763848396501,0.1828793774319066,0.3722438391699092,0.44487678339818415,0.5094756260589772,1.0018018018018018,1.0018018018018018,6.918918918918919,0.23728479316605358,111.32057168798296,81.34110787172013,0.4113227175564802,0.8134110787172012,0.5382839735122091,55.172615180947155,-56.14795650703581,6.516722497905047,30,30,15.24418330192566
31,,23.6418375210756,0.23178272079485884,0.43664321303367615,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.9373368146214099,0.9861878453038674,0.19696969696969696,0.3044077134986226,0.4986225895316804,0.5045766563599113,1.0640522875816993,1.0640522875816993,5.107843137254902,0.2786584809267628,145.2186050337687,80.93922651933701,0.31956956609034004,0.8093922651933702,0.4546682153672732,56.29465337090376,-88.92395166286497,6.173859798762734,30,30,13.964200258255005
32,,14.161046574864033,0.13748588907634984,0.4353468157351017,0.5,0.5,0.5,0.9312581063553826,0.9722222222222222,0.2391304347826087,0.32065217391304346,0.44021739130434784,0.502953692409436,1.0637540453074434,1.0637540453074434,5.087378640776699,0.13080847057326403,100.62670304208416,79.93827160493827,0.32304472458143213,0.7993827160493827,0.4351400715525316,53.4403811174587,-47.18632192462547,6.272738920650654,30,30,13.8709237575531
33,,6.932181934295329,0.06796256798328754,0.34398481498161954,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9219143576826196,0.9908256880733946,0.2440318302387268,0.3222811671087533,0.4336870026525199,0.5035721672832771,1.1186274509803922,1.1186274509803922,5.872549019607843,0.03856487990032444,120.6395247244471,79.51070336391437,0.3338645543709537,0.7951070336391437,0.4583826871022472,55.55082201285829,-65.08870271158881,5.90491035070184,30,30,14.871005535125732
34,,0.3995242862181093,0.003699298946463975,0.715153694152832,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.8657289002557544,0.9639344262295082,0.2503576537911302,0.3133047210300429,0.4363376251788269,0.5113392510603723,1.1253086419753087,1.1253086419753087,4.2592592592592595,9.069989756423614e-05,133.48035011473885,83.60655737704919,0.39525641472522877,0.8360655737704918,0.510487908110687,55.11528944868948,-78.36506066604937,5.849725728936362,30,30,15.314294338226318
35,,0.9822747648198997,0.008467885903619824,0.3771725594997406,0.4,0.4,0.4,0.9154929577464789,0.9675324675324676,0.25679347826086957,0.32472826086956524,0.41847826086956524,0.5083110109423876,0.9324712643678161,0.9324712643678161,5.603448275862069,0.0005068195547801007,151.03884181691637,82.79220779220779,0.33960017848510166,0.827922077922078,0.43614312996367366,53.094764976808094,-97.94407684010827,6.127248849472896,30,30,15.863142967224121
36,,-2.314202874259414,-0.01822206987605838,0.3948461413383484,0.5,0.5,0.5,0.9370988446726572,0.9875389408099688,0.23962516733601072,0.33065595716198126,0.42971887550200805,0.5048122695146074,0.8719160104986876,0.8719160104986876,4.874015748031496,0.0016986914322950064,170.14609488878543,82.2429906542056,0.356728684904352,0.822429906542056,0.45559665802188287,52.49735598148775,-117.64873890729768,6.510629967540033,30,30,16.448262214660645
