episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,114,17.060106992721558,42,True,False,all_finished,0.0,11.399999999999975,14.108613910675047,8.099999999999987,30,True,,,,30,30,781,-0.15657015144824982,0.11945374310016632,0.36846387982368467,-2.394325017929077,1.0746524333953857,0.4423113763332367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048341653500384225,-0.048341653500384225,0.1851587295532223,0.04953945200367455,0.5023384958505629,7.580047170723625e-05,0.0,14.108613910675047,,,2.708613910675071,0.1,0.1,0.793854033290653,0.9,0.0,0.0,0.472809667673716,0.2311178247734139,0.29607250755287007,0.472809667673716,0.2311178247734139,0.29607250755287007,0.09469904982081849,0.714436411857605,1.409829020500183,0.028005219995975494,0.0,-0.1294768750667572,1.0055726766586304,0.3704899251461029,0.603917121887207,1.409829020500183,-1.409829020500183,0.1935672514619883,662,3420,-1.5788295269012451,7.540477752685547,-0.41865137219429016,6.120403289794922,0.1440400779247284,0.029715461656451225,0.0,0,1.0,0.46929824561403355,0.7619883040935673,3.8868421052631597,85009977.41298844,1.0,0.0,0.2387816811536061,0.1876934253963655,0.4264751065499716,1.2503784849046136,0.0,0.0,0.8234388376861691,0.0,0.0,0.12679065203928494,18179652420.968422,11642105263.157894,1826556.80026296,141765837.57362852,0.01906497939280241,0.01027215026709782,1.5443081647406065,-2.2054709517924205,0.04423891660032036,0.00442389166003202,0.041638470800534455,-0.15074905586619236,7.942489872995302e-06,-0.0003035833880857091,-0.004568318155352996,0.4981459017459042,3.0789473684210527,9.0,False,0.0,0.0,0.0
2,124,17.16239619255066,42,True,False,all_finished,0.0,12.399999999999972,13.987062778472886,8.884615384615369,30,True,,,,30,30,790,-0.057385485619306564,0.1435587927699089,0.793107846379279,-1.5116156339645386,1.1424599885940552,0.43235325813293457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05375109980183275,-0.05375109980183275,0.05441128094991185,0.056686051783242056,0.5445238232612609,4.255483155992645e-05,0.0,13.987062778472886,,,1.587062778472914,0.36666666666666664,0.36666666666666664,0.8949367088607595,0.6333333333333333,0.0,0.0,0.41460055096418735,0.2644628099173554,0.3209366391184573,0.41460055096418735,0.2644628099173554,0.3209366391184573,0.10044222260119333,0.7204412221908569,1.5047996441523235,0.01500218982497851,0.03878063646455606,0.026784247408310573,1.014108121395111,0.5308286647001902,0.7508653799692789,1.5047996441523235,-1.5047996441523235,0.19516129032258064,726,3720,1.138521432876587,8.694564819335938,1.076490839322408,8.282964388529459,0.13565618048111597,0.048905828346808754,0.0,0,1.0,0.48198924731182796,0.8376344086021514,4.390053763440857,88075013.72933348,1.0,0.0,0.19039207345182288,0.1888473913811738,0.3792394648329969,1.0689075929682068,0.0,0.0,0.6775744737101175,0.0,0.0,0.13805781716073187,15106122655.225807,10483870967.741936,1462939.7382245974,125240576.58396381,0.01398407550584566,0.0160920787826826,1.2889197088906812,-1.8412610377112946,0.04212438362630251,0.004212438362630255,0.06038933556413881,-0.1968637265305128,3.5288718009351214e-06,-0.0001395583281047397,-0.005340629583357229,0.5063844646001735,3.6451612903225805,9.0,False,0.0,0.0,0.0
3,121,16.745818376541138,42,True,False,all_finished,0.0,12.099999999999973,13.515988629659006,8.492307692307678,30,True,,,,30,30,796,0.018294647336006165,0.16814261674880981,0.8807389736175537,-2.9412331581115723,1.9439970254898071,0.4253869354724884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05259249027767143,-0.05259249027767143,0.08919048309326225,0.05641076668183583,0.5374110847711555,7.300256938282717e-05,0.0,13.515988629659006,,,1.415988629659033,0.43333333333333335,0.43333333333333335,0.8907035175879398,0.5666666666666667,0.0,0.0,0.43383356070941337,0.2783083219645293,0.2878581173260573,0.43383356070941337,0.2783083219645293,0.2878581173260573,0.09847790372221842,0.5973820090293884,1.4602071642875671,0.011663844692520797,0.02950622234493494,0.06493817735463381,1.0180181711912155,0.5710268840193748,0.641959622502327,1.4602071642875671,-1.4602071642875671,0.2019283746556474,733,3630,1.4961007833480835,8.187493324279785,1.2976303856121376,7.992683529853821,0.41134852170944214,0.08409079909324646,0.0,0,1.0,0.5385674931129469,0.8004722550177104,4.201928374655648,92137152.42198382,1.0,0.0,0.1767911832319707,0.18829168592387102,0.36508286915584176,1.0941103641184815,0.0,0.0,0.6907178824726448,0.0,0.0,0.1464146585463755,14622930483.464462,10406611570.247934,1521117.7783972302,146984214.26638582,0.011617364671938865,0.01102559468710562,1.2412204996477463,-1.7725535583417287,0.039998079896669224,0.0039998079896669154,0.041799856653273834,-0.14050855860325204,5.752569898343517e-06,-0.0002192724299473745,-0.005166092415652116,0.5015346830387499,4.074380165289257,10.0,False,0.0,0.0,0.0
4,132,17.561639308929443,42,True,False,all_finished,0.0,13.199999999999969,14.917862949371324,8.542857142857128,30,True,,,,30,30,790,-0.09383437037467957,0.11928822472691536,0.7972106516361224,-1.700459361076355,1.838521122932434,0.46911799907684326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06039893222577651,-0.06039893222577651,0.17038280487060362,0.0443989903492044,0.4805563613772389,8.613028843264013e-05,0.0,14.917862949371324,,,1.717862949371355,0.43333333333333335,0.43333333333333335,0.8518987341772152,0.5666666666666667,0.0,0.0,0.5021520803443329,0.23529411764705882,0.26255380200860834,0.5021520803443329,0.23529411764705882,0.26255380200860834,0.08827498539614331,0.6060885190963745,1.4452720483144124,0.010976677294820547,0.028139518573880196,-0.13263491416970888,1.0528111656506856,0.39088015755017597,0.8290471037228903,1.4452720483144124,-1.4452720483144124,0.176010101010101,697,3960,1.1286112070083618,8.462481498718262,2.7079946597417197,8.696249802907309,0.8177843491236368,0.13390236099561056,0.0,0,1.0,0.47676767676767634,0.7996753246753239,4.240656565656565,100222268.10794266,1.0,0.0,0.16197940717180884,0.18344045089371866,0.3454198580655275,1.0442314379443076,0.0,0.0,0.7286979333241796,0.0,0.0,0.12330227993366685,14647534784.088888,9981818181.818182,1498287.7666578908,132866843.14982633,0.017112670066795663,0.005639230841341882,1.2433797995822098,-1.7758037149265253,0.039771347062206926,0.003977134706220688,0.07574672612459275,-0.23704257650666424,7.567349478928545e-06,-0.0002606022627573382,-0.004012616761012471,0.5001160053611554,2.6742424242424243,8.0,False,0.0,0.0,0.0
5,114,16.296571254730225,42,True,False,all_finished,0.0,11.399999999999975,13.189048824310298,8.228571428571415,30,True,,,,30,30,772,-0.09765307605266571,0.13829856365919113,0.6081392288207995,-2.21061372756958,1.208421230316162,0.4451301395893097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04840463682922024,-0.04840463682922024,0.22021073659261212,0.05497640269095002,0.5199172824621199,6.33636560775873e-05,0.0,13.189048824310298,,,1.7890488243103224,0.23333333333333334,0.23333333333333334,0.8704663212435233,0.7666666666666667,0.0,0.0,0.4471428571428571,0.25285714285714284,0.3,0.4471428571428571,0.25285714285714284,0.3,0.09819388268406541,0.5894069671630859,1.5011223554611206,0.029264019802212715,0.06976744532585144,0.11644229292869568,1.0174989700317383,0.6221895813941956,0.7446452975273132,1.5011223554611206,-1.5011223554611206,0.2046783625730994,700,3420,-0.41894373297691345,8.017290115356445,-0.5745976567268372,8.512474060058594,1.0242105722427368,0.15851707756519318,0.0,0,1.0,0.6459064327485372,0.7985380116959052,4.305555555555556,84948512.57596456,1.0,0.0,0.18984966789952004,0.18745031927630007,0.3772999871758202,1.1418999967110395,0.0,0.0,0.7202443112170095,0.0,0.0,0.13513521234543285,15179959801.43158,11196491228.070175,1552349.6647249043,143508699.3763139,0.029141974457505222,0.013065505561499916,1.3072041301383022,-1.8658814004485853,0.03973063351020924,0.003973063351020934,0.044555509099313585,-0.1580195386423524,5.996459736082394e-06,-0.00022887179135164373,-0.004828732779259664,0.496842167316119,3.8157894736842106,10.349999999999994,False,0.0,0.0,0.0
6,113,15.812854766845703,42,True,False,all_finished,0.0,11.299999999999976,12.587461922963453,9.355555555555538,30,True,,,,30,30,777,-0.06052606552839279,0.15835784375667572,0.5059730887413023,-1.5045913457870483,0.9251163005828857,0.39138057827949524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05153529389417994,-0.05153529389417994,0.057795524597168496,0.054325019169302116,0.5067810744047162,0.00014025497789361963,0.0,12.587461922963453,,,1.2874619229634767,0.3,0.3,0.8944658944658944,0.7,0.0,0.0,0.4599447513812155,0.19060773480662985,0.3494475138121547,0.4599447513812155,0.19060773480662985,0.3494475138121547,0.1034354331804258,0.6829075813293457,1.4193890392780304,0.017321611056104302,0.07294478453695774,-0.07389896363019943,0.9966570138931274,0.42159078270196915,0.8063403069972992,1.4193890392780304,-1.4193890392780304,0.2135693215339233,724,3390,-0.49333706498146057,8.857779502868652,1.2200444117188454,8.601108193397522,1.2605239748954773,0.2096152976155281,0.0,0,1.0,0.4212389380530966,0.8002107037505265,4.162831858407079,96855408.58041136,1.0,0.0,0.18792653078474536,0.1880768441989435,0.37600337498368874,1.0610278236929833,0.0,0.0,0.7232763415675055,0.0,0.0,0.14778664149279047,16512500132.766962,11348672566.371681,1632767.121991528,150191243.02053308,0.016895598086300916,0.012296282258410176,1.4052335580752957,-2.0063352525804468,0.04638404490154834,0.004638404490154832,0.048633073950258905,-0.16302109360014488,8.93214216840134e-06,-0.00033512105561850835,-0.004757138752225924,0.49178442366141,2.415929203539823,6.0,False,0.0,0.0,0.0
7,117,16.138793468475342,42,True,False,all_finished,0.0,11.699999999999974,13.781487019856767,7.259999999999989,30,True,,,,30,30,770,-0.15359415113925934,0.08970475941896439,0.3716225743293761,-1.7106866836547852,2.086239814758301,0.449393093585968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05539099158045252,-0.05539099158045252,0.2185306549072262,0.051031049650342886,0.5061293661594387,4.4974053511324366e-05,0.0,13.781487019856767,,,2.0814870198567927,0.16666666666666666,0.16666666666666666,0.8194805194805195,0.8333333333333334,0.0,0.0,0.45385779122541603,0.2526475037821483,0.2934947049924357,0.45385779122541603,0.2526475037821483,0.2934947049924357,0.09245554605801391,0.5179221630096436,1.353318214416504,0.025566911324858665,0.02222222276031971,-0.17942087352275848,1.0377027988433838,0.33672380447387695,0.7909271717071533,1.353318214416504,-1.353318214416504,0.1883190883190883,661,3510,-0.1431223601102829,8.0479736328125,2.8814215660095215,7.499853610992432,1.449569582939148,0.2365885078907013,0.0,0,1.0,0.5225071225071217,0.7224257224257229,3.695726495726495,99759076.33417319,1.0,0.0,0.21539244790164183,0.18589580938286537,0.401288257284507,1.198256298481147,0.0,0.0,0.7846820027803549,0.0,0.0,0.12657463034331345,15529764106.064957,11223931623.931623,1561430.550986454,136074713.897979,0.019626393791750633,0.007680432516198753,1.3214538351466985,-1.8875243415951002,0.04061981101857736,0.00406198110185772,0.051339747587718226,-0.17975041666541883,4.38063436074586e-06,-0.00017368496322895527,-0.004591565458313301,0.4986695273194271,3.3162393162393164,7.199999999999989,False,0.0,0.0,0.0
8,109,15.495004653930664,42,True,False,all_finished,0.0,10.899999999999977,12.570261764526359,8.119999999999987,30,True,,,,30,30,764,-0.020354507490992546,0.15425090491771698,0.517104792594908,-1.4866337776184082,1.1065096855163574,0.3672797977924347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053824194636913736,-0.053824194636913736,0.16510563850402846,0.059970692910869185,0.5623127818107597,3.658106568393921e-05,0.0,12.570261764526359,,,1.6702617645263818,0.3333333333333333,0.3333333333333333,0.849476439790576,0.6666666666666666,0.0,0.0,0.4085545722713864,0.2669616519174041,0.32448377581120946,0.4085545722713864,0.2669616519174041,0.32448377581120946,0.1012914536110715,0.6423361301422119,1.4419327974319458,-0.0009753544582054019,0.054435938596725464,-0.10360062937252223,1.0235572308301926,0.40529412776231766,0.8278805315494537,1.4419327974319458,-1.4419327974319458,0.20733944954128442,678,3270,0.5392549633979797,8.68726921081543,2.875316768884659,8.505494236946106,1.613158494234085,0.2788311429321766,0.0,0,1.0,0.6740061162079501,0.7697247706422012,4.194495412844036,89727484.90901755,1.0,0.0,0.1935016797248976,0.1853802085991138,0.37888188832401154,1.1115673951323106,0.0,0.0,0.6923465896140711,0.0,0.0,0.1361841736013722,15648269262.189602,10943119266.055046,1613608.3909595849,150448881.250959,0.021428112280171743,0.008223245841704871,1.3336737966376733,-1.9051515546367368,0.0440400500468122,0.0044040050046812084,0.03344456630516105,-0.12301656770629232,3.4976518183455394e-06,-0.00013782977316805704,-0.0053723916409216576,0.49449560943056775,4.541284403669724,11.0,False,0.0,0.0,0.0
9,138,17.860986471176147,42,True,False,all_finished,0.0,13.799999999999967,14.818846308390281,8.799999999999986,30,True,,,,30,30,780,-0.02230980060994625,0.14941095560789108,0.7397163003683096,-1.3832727670669556,1.190597653388977,0.42796003818511963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05701649767189221,-0.05701649767189221,0.11480236053466761,0.05471383594763848,0.5289378285408017,8.688886444280174e-05,0.0,14.818846308390281,,,1.018846308390314,0.5666666666666667,0.5666666666666667,0.9282051282051282,0.43333333333333335,0.0,0.0,0.35714285714285715,0.25471698113207547,0.3881401617250674,0.35714285714285715,0.25471698113207547,0.3881401617250674,0.08531788514256658,0.5753785967826843,1.5815271735191345,0.030504369642585516,0.03191489353775978,0.00949906650930643,0.9987443089485168,0.5057081878185272,0.7172991633415222,1.5815271735191345,-1.5815271735191345,0.17922705314009663,742,4140,1.2847790718078613,8.622429847717285,3.111453652381897,8.371642351150513,2.005654275417328,0.35244181752204895,0.0,0,1.0,0.5649758454106284,0.8188405797101435,4.360144927536232,93177827.77394862,1.0,0.0,0.14367590894319096,0.19203713503082,0.33571304397401097,0.9894556816923502,0.0,0.0,0.6228338836438783,0.0,0.0,0.1286219209477377,13322852608.007729,9486956521.73913,1274957.4476616387,121237328.51003698,0.014851865018325253,0.0034805719518221064,1.1285701543041278,-1.6116767442490636,0.04030353602424343,0.004030353602424357,0.06895057554491572,-0.21019471357020444,8.311063581664089e-06,-0.00031199618739165833,-0.0048418282408909386,0.4962359944308978,3.4130434782608696,9.0,False,0.0,0.0,0.0
10,103,13.814821243286133,42,True,False,all_finished,0.0,10.29999999999998,11.179122816721584,8.09411764705881,30,True,,,,30,30,766,0.16220512986183167,0.21752238273620605,0.8934799611568444,-1.079430103302002,2.836879014968872,0.3837173879146576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04390142576594188,-0.04390142576594188,0.11823177337646448,0.07907571491324207,0.6418482959270477,0.0001325298764389941,0.0,11.179122816721584,,,0.8791228167216047,0.5333333333333333,0.5333333333333333,0.9425587467362925,0.4666666666666667,0.0,0.0,0.33741496598639453,0.2761904761904762,0.38639455782312926,0.33741496598639453,0.2761904761904762,0.38639455782312926,0.1216325240939084,0.6382286548614502,1.5850975116093953,0.016848432055364054,0.06274549290537834,0.03684319524715344,1.064622700214386,0.5659843484560648,0.9515124559402466,1.5850975116093953,-1.5850975116093953,0.23786407766990292,735,3090,2.394836187362671,7.502857208251953,4.360370477040608,8.781319459279379,2.5861940383911133,0.40609625975290936,0.0,0,1.0,0.5514563106796119,0.8104022191400821,4.310032362459545,95341878.42067656,1.0,0.0,0.16464826549761735,0.19132803917310687,0.3559763046707241,0.9968327528206817,0.0,0.0,0.5896832816386869,0.0,0.0,0.17199571377457645,14920195154.071198,10477669902.91262,1378675.758840089,134038179.1578318,0.016676682594050644,0.0068120073090851664,1.2668382860757377,-1.809768980108198,0.04900647297774219,0.004900647297774207,0.02202176609711644,-0.08136105477810401,9.70998715019648e-06,-0.0003683068310771935,-0.0073955401077697965,0.5004086372716816,4.87378640776699,9.0,False,0.0,0.0,0.0
