episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,99,20.360074758529663,42,True,False,all_finished,0.0,9.89999999999998,10.451279426574693,6.967567567567559,50,True,,,,50,50,1062,0.24535349011421204,0.20967480540275574,1.1500629782676688,-0.9315378665924072,2.0287599563598633,0.38007014989852905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05444539503617727,-0.05444539503617727,0.08057975769042933,0.05711285649902291,0.5343665808439259,5.672242437042879e-05,0.0,10.451279426574693,,,0.5512794265747125,0.68,0.68,0.9595103578154426,0.32,0.0,0.0,0.44830917874396137,0.20869565217391303,0.34299516908212563,0.44830917874396137,0.20869565217391303,0.34299516908212563,0.1043016655771344,0.6974686980247498,1.523909866809845,0.009330832486739382,0.06355178379453719,0.0759694087319076,1.3132047057151794,0.7279999852180481,0.9537386670708656,1.523909866809845,-1.523909866809845,0.20909090909090908,1035,4950,4.7573723793029785,7.735236644744873,4.126662403345108,7.8326005935668945,0.441084501799196,0.051966933999210596,0.0,0,1.0,0.3226262626262632,0.7108888888888888,5.709898989898989,108325730.79586671,1.0,0.0,0.14511044338466428,0.17119738420129288,0.31630782758595716,0.931035388094384,0.0,0.0,0.6111665674081456,0.0,0.0,0.15142553780846635,10555783474.314342,9280000000.0,1161247.7479452768,110456061.90171501,0.012503513775076936,0.003124011159985805,0.8952761477945961,-1.278965925420848,0.03853844718706983,0.0038538447187069875,0.01812062428169405,-0.06413432779402778,5.311066589168814e-06,-0.00020839970163192585,-0.005179144598404434,0.49892212046667783,5.02020202020202,12.0,False,0.0,0.0,0.0
2,107,20.731781005859375,42,True,False,all_finished,0.0,10.699999999999978,11.216707443237288,6.75277777777777,50,True,,,,50,50,1058,0.1823912262916565,0.24260154366493225,1.0386373817920675,-1.0914210081100464,1.878814458847046,0.39790233969688416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06038402960233603,-0.06038402960233603,0.11739540100097665,0.04909479027248432,0.4833804637193686,5.9223388322691276e-05,0.0,11.216707443237288,,,0.5167074432373102,0.7,0.7,0.9508506616257089,0.3,0.0,0.0,0.47855750487329435,0.19200779727095516,0.32943469785575047,0.47855750487329435,0.19200779727095516,0.32943469785575047,0.09538885013452757,0.6857780814170837,1.5498632192611694,0.052072037011384964,0.0476190485060215,0.11683952063322067,1.1663264036178589,0.6953531503677368,1.0608569383621216,1.5498632192611694,-1.5498632192611694,0.19177570093457944,1026,5350,4.462151050567627,7.803803443908691,4.401095390319824,8.141921043395996,1.0663962364196777,0.10024295747280121,0.0,0,1.0,0.26616822429906545,0.7226542056074761,5.736448598130837,114763678.66918047,1.0,0.0,0.12467830864292317,0.16553952359289473,0.29021783223581776,0.8823714141727242,0.0,0.0,0.6396408129332958,0.0,0.0,0.13836517191487044,9226357912.026917,8731962616.82243,1003555.9640606561,109387870.91145396,0.010063960051760579,0.0030226803860260816,0.78194979977336,-1.1170711425333768,0.03474384861226092,0.0034743848612260684,0.031472173617217894,-0.1006695442283349,5.160631619319232e-06,-0.00019917964216348272,-0.004373998392419867,0.49460442979071534,3.9158878504672896,11.0,False,0.0,0.0,0.0
3,100,20.909907341003418,42,True,False,all_finished,0.0,9.99999999999998,11.057903156280506,6.896296296296288,50,True,,,,50,50,1072,0.11174005270004272,0.20282698422670364,0.8881635814905163,-1.4571244716644287,1.3164751529693604,0.3841453194618225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061594381408691494,-0.061594381408691494,0.267310080719,0.05455312229208648,0.5318885803222656,4.809098598733827e-05,0.0,11.057903156280506,,,1.057903156280526,0.54,0.54,0.9169776119402985,0.46,0.0,0.0,0.4733201581027668,0.18972332015810275,0.33695652173913043,0.4733201581027668,0.18972332015810275,0.33695652173913043,0.10512754176482558,0.6643742918968201,1.5863278763634818,0.013932757512001055,0.04734727341149535,0.0029875008123261587,1.1201329742159163,0.5582949987479618,0.806909578187125,1.5863278763634818,-1.5863278763634818,0.2024,1012,5000,3.0823965072631836,8.736849784851074,4.216212681361607,8.18163469859532,1.7309966938836234,0.12442056089639664,0.0,0,1.0,0.2655999999999992,0.6946599999999996,5.451599999999998,96568193.8676142,1.0,0.0,0.14809721188479402,0.16831251296274238,0.3164097248475365,0.9642342464183251,0.0,0.0,0.6703053248542122,0.0,0.0,0.14473192587224495,10611503886.6496,9924000000.0,1187054.669707607,111780724.42944218,0.014113559281588863,0.004444643795532279,0.9028501936312466,-1.2897859909017948,0.03719419988953287,0.003719419988953253,0.029238980187822415,-0.10148231111164162,5.026006314594914e-06,-0.0001950753850084892,-0.005033900216437588,0.5017105305541306,4.29,11.0,False,0.0,0.0,0.0
4,108,21.873446941375732,42,True,False,all_finished,0.0,10.799999999999978,11.681271339416492,6.934615384615375,50,True,,,,50,50,1045,0.023713095113635063,0.155270516872406,0.676815730333328,-1.2414933443069458,1.3823788166046143,0.3745318055152893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052902632448408426,-0.052902632448408426,0.06600952148437553,0.05538381736656582,0.5353548198938375,6.368715653278404e-05,0.0,11.681271339416492,,,0.8812713394165144,0.5,0.5,0.9272727272727272,0.5,0.0,0.0,0.392,0.26,0.348,0.392,0.26,0.348,0.09277134203800448,0.49754270911216736,1.5823577344417572,0.0066671730019152164,0.03998564835637808,-0.06284631323069334,1.102942630648613,0.48387792706489563,0.8028885796666145,1.5823577344417572,-1.5823577344417572,0.18518518518518517,1000,5400,1.9823087453842163,8.705524444580078,4.902895152568817,7.622028231620789,2.8574798107147217,0.18816883489489555,0.0,0,1.0,0.41314814814814865,0.6604814814814809,5.28462962962963,100362546.51028667,1.0,0.0,0.17583829109017898,0.16838534072732167,0.3442236318175006,1.0372692590921264,0.0,0.0,0.6537657668407131,0.0,0.0,0.12353782996077455,9942602570.524445,9708888888.88889,1097696.2617796448,124387520.86988962,0.011861921507445453,0.005662566385934326,0.8460747021037525,-1.2086781458625073,0.03183792222679052,0.00318379222267906,0.04591056215094981,-0.14945743075186235,6.2389231013219805e-06,-0.0002435462122277505,-0.00515940383820411,0.500975071657449,6.037037037037037,13.0,False,0.0,0.0,0.0
5,101,20.939064979553223,42,True,False,all_finished,0.0,10.09999999999998,11.059777580261223,7.086956521739122,50,True,,,,50,50,1051,0.0313057079911232,0.15664894878864288,0.6412923336029053,-1.1182979345321655,1.3550784587860107,0.3688400089740753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05077387588803142,-0.05077387588803142,0.11025524139404261,0.06323671293140638,0.5814779549837116,9.18057841674846e-05,0.0,11.059777580261223,,,0.9597775802612425,0.46,0.46,0.9143672692673644,0.54,0.0,0.0,0.3675730110775428,0.24370594159113795,0.38872104733131924,0.3675730110775428,0.24370594159113795,0.38872104733131924,0.0982127411906967,0.6716034412384033,1.671709156036377,0.00014633447863161565,0.05468927472829819,-0.019031373038887977,1.0278748989105224,0.48989092111587523,0.8374906659126282,1.671709156036377,-1.671709156036377,0.19663366336633664,993,5050,0.9911420941352844,8.664072036743164,4.652914237976074,8.753277587890626,4.076797342300415,0.2806050181388855,0.0,0,1.0,0.43069306930693135,0.6635445544554454,5.269306930693071,95650012.47471958,1.0,0.0,0.22070207987189808,0.16834775027139204,0.3890498301432902,1.0631459541473407,0.0,0.0,0.6686928448357724,0.0,0.0,0.13378999713102102,10876615273.473267,10298613861.386139,1144277.812953532,124528308.18767782,0.014285462079002364,0.011038649128332637,0.9317087173301071,-1.3310124533287246,0.035430772584753016,0.0035430772584753053,0.03727986174751962,-0.12967600593450915,8.985115198688438e-06,-0.00034965845983193135,-0.005704673084162029,0.5036795560853317,5.415841584158416,16.0,False,0.0,0.0,0.0
6,93,19.86766290664673,42,True,False,all_finished,0.0,9.299999999999983,9.698476764678942,7.067567567567559,50,True,,,,50,50,1090,0.29142382740974426,0.24475637078285217,0.9665709376335125,-0.6356538534164429,1.3753361701965332,0.362783819437027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0484238908829228,-0.0484238908829228,0.18157052993774422,0.07969623526758564,0.6433760702610016,9.791548478077661e-05,0.0,9.698476764678942,,,0.3984767646789589,0.7,0.7,0.9642201834862385,0.3,0.0,0.0,0.3061797752808989,0.25374531835205993,0.4400749063670412,0.3061797752808989,0.25374531835205993,0.4400749063670412,0.11487326625674482,0.6637845635414124,1.8361085653305054,0.028947364538908005,0.018518518656492233,0.031558308750391006,1.2533164024353027,0.6527081727981567,1.549674153327942,1.8361085653305054,-1.8361085653305054,0.2296774193548387,1068,4650,3.6700663566589355,7.29356050491333,8.441898345947266,6.8089470863342285,4.858225345611572,0.35786494612693787,0.0,0,1.0,0.43010752688172144,0.7422795698924728,6.042580645161293,114153157.7227933,1.0,0.0,0.17411050858597202,0.1685755617574667,0.34268607034343873,0.8929773664193539,0.0,0.0,0.5242327350247687,0.0,0.0,0.16522187146130865,10852728440.299355,9772903225.806452,1225534.388705769,133554115.96887986,0.011900686304681817,0.0036833729061553334,0.9199780959024505,-1.3142544227177864,0.04000496636633883,0.004000496636633857,0.01185379622943656,-0.04436297406119809,9.153684020909923e-06,-0.00035482110163457506,-0.007274303720589185,0.5001615649563891,6.67741935483871,13.0,False,0.0,0.0,0.0
7,97,19.943257093429565,42,True,False,all_finished,0.0,9.699999999999982,10.325288814544665,6.7709677419354755,50,True,,,,50,50,1074,0.20032158493995667,0.22299093008041382,0.8331096649169915,-0.6804813146591187,1.374476432800293,0.3446859121322632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052820619052218465,-0.052820619052218465,0.1468076763153073,0.06679762508614545,0.578513276576996,0.00010764845236777442,0.0,10.325288814544665,,,0.6252888145446835,0.62,0.62,0.9422718808193669,0.38,0.0,0.0,0.34462729912875123,0.22846079380445306,0.4269119070667957,0.34462729912875123,0.22846079380445306,0.4269119070667957,0.10433073174410029,0.6027941703796387,1.7434768676757812,0.022169068455696106,0.0,-0.05353127792477608,1.1630257368087769,0.5227510929107666,1.0771763324737549,1.7434768676757812,-1.7434768676757812,0.21298969072164947,1033,4850,3.0356879234313965,7.8069915771484375,8.676884651184082,8.085920333862305,5.222419738769531,0.369113564491272,0.0,0,1.0,0.2800000000000003,0.7174432989690719,5.699381443298971,110400971.24981819,1.0,0.0,0.1664812434892545,0.16494883093243334,0.3314300744216878,0.9155272802124698,0.0,0.0,0.5615421680124376,0.0,0.0,0.15695745294959915,10160701892.216082,9676701030.927835,1153354.378220965,115878299.41335772,0.013534758251129417,0.0033758480165091264,0.8636357639523174,-1.2337653770747345,0.037931950958302874,0.003793195095830266,0.018397585502625366,-0.06747009537024423,7.646087975771558e-06,-0.00029266158091010213,-0.006068371455923224,0.4973334287770918,4.670103092783505,11.0,False,0.0,0.0,0.0
8,104,21.669957160949707,42,True,False,all_finished,0.0,10.399999999999979,11.25797669982909,6.829629629629621,50,True,,,,50,50,1059,0.03981642425060272,0.1649591103196144,0.6709306716918944,-0.9389602541923523,1.320519208908081,0.35588598251342773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0546272348807409,-0.0546272348807409,0.1335244178771969,0.0647247861741254,0.5922272354364395,0.00011018993229210904,0.0,11.25797669982909,,,0.857976699829111,0.52,0.52,0.9235127478753541,0.48,0.0,0.0,0.3240279162512463,0.2901296111665005,0.38584247258225324,0.3240279162512463,0.2901296111665005,0.38584247258225324,0.09670523632890902,0.6719526648521423,1.7840858697891235,0.02272861637175083,0.06382978707551956,-0.12022285908460617,1.0420422554016113,0.39544612169265747,1.020979642868042,1.7840858697891235,-1.7840858697891235,0.19288461538461538,1003,5200,0.8835937976837158,8.740327835083008,7.461790561676025,9.879335403442383,5.495749473571777,0.3834368586540222,0.0,0,1.0,0.5340384615384615,0.6973076923076913,5.7463461538461535,99682910.40895836,1.0,0.029423076923076923,0.16380257693207928,0.17546926944131008,0.33927184637338925,0.9833842136405772,0.0,0.0,0.587262560420561,0.0,0.0,0.12783481927013102,10274589670.510769,9713076923.076923,1121606.9414719562,117219890.51145777,0.016192970207876557,0.0014439386938912464,0.873852714777659,-1.2476792427647598,0.036155924630514626,0.0036155924630514634,0.04586171357592783,-0.14873358504266068,1.1140200819403336e-05,-0.00043079337834002213,-0.0059311423299705695,0.4996717461782436,8.903846153846153,20.0,False,0.0,0.0,0.0
9,94,20.078192472457886,42,True,False,all_finished,0.0,9.399999999999983,10.366121242523183,6.723076923076915,50,True,,,,50,50,1068,0.0937681794166565,0.1771494448184967,0.7332348376512523,-1.0233380794525146,1.8328255414962769,0.35990336537361145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05109766643605341,-0.05109766643605341,0.09415529823303145,0.07465443497959603,0.6254472523927689,8.306663501955359e-05,0.0,10.366121242523183,,,0.9661212425232009,0.5,0.5,0.9185393258426966,0.5,0.0,0.0,0.31521739130434784,0.23715415019762845,0.44762845849802374,0.31521739130434784,0.23715415019762845,0.44762845849802374,0.10762559331953525,0.6085302233695984,1.7635142803192139,0.02392178401350975,0.06557376682758331,-0.07732793688774109,1.0162699222564697,0.4255164861679077,0.8388580083847046,1.7635142803192139,-1.7635142803192139,0.2153191489361702,1012,4700,1.0988364219665527,8.425971031188965,7.402870178222656,8.09390926361084,5.898799419403076,0.40476784110069275,0.0,0,1.0,0.349787234042553,0.7058297872340422,5.612765957446808,98872840.61567044,1.0,0.0,0.15912406475158544,0.1611492966366044,0.32027336138819,0.9413814263148736,0.0,0.0,0.5673734643282409,0.0,0.0,0.1483148398844183,10695442237.732765,10156595744.680851,1199810.297950728,114778438.09369692,0.01460412139497415,0.00572353480212952,0.911614509341498,-1.3023064419164192,0.03687215660075438,0.0036872156600754533,0.032374897331625144,-0.11062149837797094,9.43484564120027e-06,-0.0003621360706750968,-0.006824715387708977,0.505185218094749,5.031914893617022,13.0,False,0.0,0.0,0.0
10,97,19.922589778900146,42,True,False,all_finished,0.0,9.699999999999982,10.493742500305165,6.749999999999993,50,True,,,,50,50,1046,0.015781231224536896,0.1692216694355011,0.5702264189720131,-1.49449622631073,1.3078079223632812,0.3665681779384613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05392233598846759,-0.05392233598846759,0.2503337860107423,0.06789060836158615,0.5896570712327958,0.0001532336783115173,0.0,10.493742500305165,,,0.7937425003051839,0.42,0.42,0.9302103250478011,0.58,0.0,0.0,0.32103688933200397,0.25523429710867396,0.423728813559322,0.32103688933200397,0.25523429710867396,0.423728813559322,0.10297100807952973,0.6517349481582642,1.7076336741447449,0.010840726259630173,0.04242424387484789,-0.06153486575931311,1.0033153742551804,0.4349999576807022,0.8972878903150558,1.7076336741447449,-1.7076336741447449,0.20680412371134022,1003,4850,0.284166544675827,9.130505561828613,7.167749047279358,8.876655340194702,6.908524513244629,0.4893851801753044,0.0,0,1.0,0.37649484536082456,0.6709278350515462,5.347628865979382,109043891.22905527,1.0,0.0,0.1597958969606484,0.16259613989856872,0.32239203685921713,0.9930661223244798,0.0,0.0,0.5767248857618709,0.0,0.0,0.13973848563194932,10164849662.060205,10188865979.381443,1146096.4790246205,132535480.76676396,0.013082683084922574,0.006861521366071104,0.8670150096226825,-1.238592870889538,0.03376828161813415,0.003376828161813416,0.044889692113466204,-0.1494481514686728,1.4761565081855431e-05,-0.0005612243778849937,-0.006190683982024833,0.5001387904403904,5.34020618556701,13.399999999999977,False,0.0,0.0,0.0
