episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,act_seconds,makespan_seconds,task_duration_mean,task_duration_p95,deadline_miss_rate,deadline_meet_ratio,time_limit_rate,energy_mean,energy_p95,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Random,-0.00034886516757263135,-0.06977303351452627,0.0,0.0,0.45714285714285713,0.7962962962962963,0.156,0.2995,0.5445,0.156,0.2995,0.5445,0.6676236410768746,0.6061891481953496,0.9602825654643039,20.000000000000014,23.956140518188477,0.0,0.0,20.000000000000014,0.0,0.0,0.9,0.09999999999999998,1.0,0.005969568214440121,0.0,0.0,0.935,0.06499999999999995,0.06499999999999995,0.0,2.0385239720213666e-13,0.0,1.0657718848075537e-12,1.8743451682770064e-14,0.0,0.8537680506706238,0.800000011920929,0.022054504603147507,,,,,0.13443739712238312,0.20000000298023224,108,0.0,0.0,0.0,94,4,0.0425531914893617,4,0.25,0.2
1,Local-Only,0.003202351767849389,0.6404703535698778,0.5,0.5,0.8920454545454546,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20.000000000000014,20.78158206939698,5.4599999999999955,5.4599999999999955,20.000000000000014,5.4599999999999955,6.699999999999992,0.5,0.5,1.0,0.0,0.0,0.0,0.914,0.08599999999999997,0.08599999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.3475,0.0
1,Greedy,0.011611058011615199,2.3222116023230397,1.0,1.0,1.0,0.0,0.9165,0.0835,0.0,0.9165,0.0835,0.0,1.0,1.0,1.0,20.000000000000014,20.00000000000001,3.658333333333331,3.658333333333331,20.000000000000014,3.658333333333331,6.289999999999994,0.0,1.0,1.0,0.0015545824053464158,0.0,0.0,0.913,0.08699999999999997,0.08699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.9400429129600525,0.8333333134651184,0.008812698535621166,,,,,0.05995704606175423,0.1666666716337204,167,0.0,0.0,0.0,167,0,0.0,0,0.008,1.78
1,Oracle-Min,0.008197630793519834,1.639526158703967,0.9,0.9,0.9757575757575757,0.9714285714285714,0.9155,0.0595,0.025,0.9155,0.0595,0.025,0.0845,1.0,1.0,20.000000000000014,20.32880840301515,4.390909090909087,4.390909090909087,20.000000000000014,4.390909090909087,6.099999999999994,0.1,0.9,1.0,0.0019738874780319817,0.0,0.0,0.9035,0.09650000000000003,0.09650000000000003,0.0,1.9230307586126996e-15,0.0,0.0,1.9230307586126996e-15,0.0,0.8864557147026062,0.800000011920929,0.013812168501317501,,,,,0.08857356756925583,0.20000000298023224,169,0.0,0.0,0.0,168,10,0.05952380952380952,10,0.0885,1.35
1,EFT,0.009575794807793773,1.9151589615587548,0.9,0.9,0.9751552795031055,1.0,0.9195,0.059,0.0215,0.9195,0.059,0.0215,0.0007776378675132641,0.009660097733084025,0.018267678104660776,20.000000000000014,20.31012115478517,3.9599999999999973,3.9599999999999973,20.000000000000014,3.9599999999999973,5.319999999999997,0.1,0.9,1.0,0.0002388915269015986,0.0,0.0,0.9095,0.09050000000000002,0.09050000000000002,0.0,3.844365241104294e-17,0.0,0.0,3.844365241104294e-17,0.0,0.9105175137519836,0.800000011920929,0.012053852900862694,,,,,0.08948233723640442,0.20000000298023224,161,0.0,0.0,0.0,159,2,0.012578616352201259,2,0.083,1.2
1,CP-EFT,0.011083661301957443,2.2167322603914887,0.9,0.9,1.0,1.0,0.9365,0.047,0.0165,0.9365,0.047,0.0165,7.689345505711142e-05,0.0012109205520804947,0.0,20.000000000000014,20.00000000000001,3.774999999999999,3.774999999999999,20.000000000000014,3.774999999999999,4.7799999999999985,0.1,0.9,1.0,5.235888804488806e-05,0.0,0.0,0.9075,0.09250000000000003,0.09250000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.9018035531044006,0.800000011920929,0.012909227050840855,,,,,0.09819640964269638,0.20000000298023224,127,0.0,0.0,0.0,127,0,0.0,0,0.095,0.95
1,LB-Greedy,0.010199016330935293,2.0398032661870587,0.9,0.9,0.9822485207100592,1.0,0.9125,0.068,0.0195,0.9125,0.068,0.0195,0.0006317121430048807,0.0072195673486272075,0.0,20.000000000000014,20.18845310211183,3.874999999999998,3.874999999999998,20.000000000000014,3.874999999999998,5.734999999999995,0.1,0.9,1.0,0.00025428821333354807,0.0,0.0,0.9005,0.09950000000000003,0.09950000000000003,0.0,6.552036751539448e-17,0.0,0.0,6.552036751539448e-17,0.0,0.9135408401489258,0.800000011920929,0.011461245827376842,,,,,0.08234979957342148,0.20000000298023224,175,0.0,0.0,0.0,174,1,0.005747126436781609,1,0.0735,1.37
1,Static,0.010903557543236068,2.1807115086472137,1.0,1.0,1.0,0.0,0.357,0.643,0.0,0.357,0.643,0.0,1.0,1.0,1.0,20.000000000000014,20.00000000000001,3.7333333333333307,3.7333333333333307,20.000000000000014,3.7333333333333307,5.904999999999994,0.0,1.0,1.0,0.005192289386624594,0.0,0.0,0.913,0.08699999999999997,0.08699999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.9364751577377319,0.800000011920929,0.010372799821197987,,,,,0.06352488696575165,0.20000000298023224,163,0.0,0.0,0.0,163,0,0.0,0,0.0165,1.74
100,Random,-0.0011658539307389637,-0.2331707861477927,0.0,0.0,0.3058823529411765,0.6388888888888888,0.136,0.231,0.633,0.136,0.231,0.633,0.6534907707443819,0.5989476513245151,0.9523754294395363,20.000000000000014,23.197683334350586,0.0,0.0,20.000000000000014,0.0,0.0,1.0,0.0,1.0,0.0132067573662455,0.0,0.0,0.956,0.04400000000000004,0.04400000000000004,0.0,5.718138115784477e-11,0.0,9.633928333904748e-12,5.949463578042158e-12,0.0,0.84388267993927,0.800000011920929,0.026395156979560852,,,,,0.15611733496189117,0.20000000298023224,68,0.0,0.0,0.0,55,2,0.03636363636363636,2,0.1095,0.21
100,Local-Only,0.000513354179358661,0.1026708358717322,0.0,0.0,0.5632183908045977,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,20.000000000000014,22.706071853637695,4.849999999999996,4.849999999999996,20.000000000000014,4.849999999999996,6.784999999999991,0.7,0.30000000000000004,1.0,0.0,0.0,0.0,0.897,0.10299999999999998,0.10299999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0.686,0.0
