episode,steps,wall_time,sim_time,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,9.500884294509888,20.0,-0.0060632722452282906,-2.2126545174115364,-2.2126545174115364,1.1312170136079148e-05,0.006139477714896202,0.0,0.0,0.1111111111111111,0.0,0.0,0,26.045120239257812,20.000000000000014,0.00648953488775749,0.0,0.0012794886527912946,5.2005038504600805,9,0.9,0.34615384615384615,0.21794871794871795,0.4358974358974359,0.34615384615384615,0.21794871794871795,0.4358974358974359,0.49827947181090715,0.0,0.0,0.4971490833652148,0.86782163977623,0.0,0.0,1.7409461489298904e-18,0.0,0.0,0.800000011920929,0.20000000298023224,24,13,3.6541538362499164,0.34000000000000025,1.0,0.0,0.0,0.961,0.039000000000000035,0.039000000000000035,0.0,0.0,0.04183681309223175,2.3109010457992554,2.3109010457992554,2.310901463031769,1.5948647260665894,-0.009816687554121017,0.19285714998841286,2.8122347593307495,0.039,0.033203125,0.5017605633474886,10.042266070842743,0.7236445397138596,1,2,0.0911543145775795,0.08105721436440944,0,1,0,True,0.0002,0.0,0.0999
2,200,9.131582260131836,20.0,-0.004459099844098091,-1.8918199887807226,-1.8918199887807226,0.0011770891374908356,0.004771703388541937,0.0,0.0,0.12209302325581395,0.0,0.0,0,37.556278228759766,20.000000000000014,0.00522107785879259,0.0,0.0012121311358410682,0.123997442007063,9,0.9,0.367816091954023,0.27586206896551724,0.3563218390804598,0.367816091954023,0.27586206896551724,0.3563218390804598,0.49934385508531703,0.0,0.0,0.4989425545291169,0.8571045398712158,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,21,12,3.7782224303057754,0.3650000000000002,1.0,0.0,0.0,0.9565,0.04349999999999998,0.04349999999999998,0.0,0.0,0.07446718961000443,1.4009276926517487,1.4009276926517487,1.4009276703000069,1.473874881863594,0.03154462523525581,0.06250000186264515,2.2113014459609985,0.0435,0.0439453125,0.44822611106792465,4.295875346288085,0.9182385401800275,2,8,0.08017265796661377,0.07202512267976999,1,0,0,True,0.0002,0.0,0.0998
3,200,9.476372241973877,20.0,-0.004124121740460396,-1.8248243630627958,-1.8248243630627958,0.0004888892566668789,0.004291074350476265,0.0,0.0,0.13559322033898305,0.0,0.0,0,35.730674743652344,20.000000000000014,0.0035072205118358165,0.0,0.0012498620914624795,-0.07394751667976354,10,1.0,0.36231884057971014,0.17391304347826086,0.463768115942029,0.36231884057971014,0.17391304347826086,0.463768115942029,0.49540753429266626,0.0,0.0,0.4923522636014425,0.8676796555519104,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,21,14,3.247176265668968,0.42000000000000015,1.0,0.0,0.0,0.9655,0.034499999999999975,0.034499999999999975,0.0,0.0,-0.14920558035373688,1.465553879737854,1.465553879737854,1.465554118156433,1.5136282444000244,0.12813520431518555,0.125,14.971126556396484,0.0345,0.03125,0.1180555522441864,0.6890566349029541,1.5907952785491943,1,1,0.12813520431518555,0.12813520431518555,0,0,0,True,0.0002,0.0,0.09970000000000001
4,200,9.130467414855957,20.0,-0.0045508346520364285,-1.910166901309792,-1.910166901309792,0.0009486579772783442,0.00474617350846529,0.0,0.0,0.09090909090909091,0.0,0.0,0,31.65628433227539,20.000000000000014,0.010376149818283125,0.0,0.003343194343174688,0.4328751735687174,10,1.0,0.3181818181818182,0.18181818181818182,0.5,0.3181818181818182,0.18181818181818182,0.5,0.4978918387228623,0.0,0.0,0.4965776602643869,0.8621150881052019,0.0,0.0,8.844002523999546e-18,0.0,0.18181818181818182,0.800000011920929,0.20000000298023224,14,11,2.4474101221039954,0.48000000000000004,1.0,0.0,0.0,0.978,0.02200000000000002,0.02200000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,-1,1,,0.0002,0.0,0.09960000000000001
5,200,8.90372920036316,20.0,-0.006567205302417278,-2.313441019131647,-2.313441019131647,0.0007991354708792619,0.006740365643054247,0.0,0.0,0.18,0.0,0.0,0,136.09707641601562,20.000000000000014,0.004568504548866553,0.0,0.0015542334524307172,2.669367280960083,10,1.0,0.4533333333333333,0.16,0.38666666666666666,0.4533333333333333,0.16,0.38666666666666666,0.5071348536347504,0.0,0.0,0.5117834081498769,0.8623874187469482,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,22,18,3.07313192980419,0.3700000000000002,1.0,0.0,0.0,0.9625,0.03749999999999998,0.03749999999999998,0.0,0.0,-0.04549699311610311,1.5710802525281906,1.5710802525281906,1.5710804760456085,1.617176964879036,-0.0034756079548969865,0.09618055820465088,6.162032037973404,0.0375,0.03955078125,0.8143834937363863,2.4718985706567764,1.3799070864915848,2,8,0.08760713040828705,0.06658252198249098,1,0,0,True,0.0002,0.0,0.0995
6,200,9.643792390823364,20.0,-0.0054629105143249035,-2.09258208384482,-2.09258208384482,0.0014552473963703933,0.005848549772053957,0.0,0.0,0.10588235294117647,0.0,0.0,0,25.847625732421875,20.000000000000014,0.007879407449085487,0.0,0.0020974863191050947,-0.09746453201770829,10,1.0,0.4888888888888889,0.2,0.3111111111111111,0.4888888888888889,0.2,0.3111111111111111,0.5010629036073806,0.0,0.0,0.5018341736106654,0.8687561392784117,0.0,0.0,4.914911985165528e-17,0.0,0.0,0.800000011920929,0.20000000298023224,17,15,2.4114859285739745,0.47000000000000003,1.0,0.0,0.0,0.9775,0.022499999999999964,0.022499999999999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,-1,1,,0.0002,0.0,0.0994
7,200,9.40704345703125,20.0,-0.003942587412893772,-1.7885174875683165,-1.7885174875683165,0.0011695775960106393,0.004229042213410139,0.0,0.0,0.12105263157894737,0.0,0.0,0,31.594650268554688,20.000000000000014,0.0075257114507901275,0.0,0.0027934521603590937,0.5673157316446304,9,0.9,0.46153846153846156,0.18461538461538463,0.35384615384615387,0.46153846153846156,0.18461538461538463,0.35384615384615387,0.49738601739890875,0.0,0.0,0.4954380757398058,0.8645578175783157,0.0,0.0,8.03084841309358e-18,0.0,0.0,0.800000011920929,0.20000000298023224,23,12,3.1799986526091013,0.3850000000000002,1.0,0.0,0.0,0.9675,0.03249999999999997,0.03249999999999997,0.0,0.0,-0.06532828306080773,1.2992611303925514,1.2992611303925514,1.2992613166570663,1.3075145222246647,0.01908116610138677,0.05932539887726307,5.289793811738491,0.0325,0.030517578125,0.6755180615000427,1.2549699740484357,1.2953418865799904,3,16,0.102901391685009,0.07759672217071056,2,1,0,True,0.0002,0.0,0.0993
8,200,9.212013006210327,20.0,-0.00484984926879406,-1.9699699066770977,-1.9699699066770977,0.0003701625071698791,0.004977687727659941,0.0,0.0,0.09883720930232558,0.0,0.0,0,26.5512752532959,20.000000000000014,0.0036736188519127795,0.0,0.0010817447559261324,-0.08713504612445831,8,0.8,0.5,0.14285714285714285,0.35714285714285715,0.5,0.14285714285714285,0.35714285714285715,0.5037258252615575,0.0,0.0,0.5069576568843277,0.8690649271011353,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,16,18,3.139039842105831,0.5399999999999999,1.0,0.0,0.0,0.972,0.028000000000000025,0.028000000000000025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,-1,1,,0.0002,0.0,0.09920000000000001
9,200,9.24097490310669,20.0,-0.003446607617661357,-1.6893214823252494,-1.6893214823252494,0.0004524487609160089,0.003615757217630744,0.0,0.0,0.19148936170212766,0.0,0.0,0,52.6549072265625,20.000000000000014,0.0009299271599605765,0.0,0.0004644506156762332,-0.1865475641488997,9,0.9,0.6615384615384615,0.12307692307692308,0.2153846153846154,0.6615384615384615,0.12307692307692308,0.2153846153846154,0.49905918586626646,0.0,0.0,0.49809165490114904,0.8542264401912689,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,18,33,4.540965598025214,0.6249999999999998,1.0,0.0,0.0,0.9675,0.03249999999999997,0.03249999999999997,0.0,0.0,-0.2895640432834625,0.955889105796814,0.955889105796814,0.9558891654014587,1.2859834432601929,0.0958307683467865,0.1666666716337204,1.433797001838684,0.0325,0.0234375,0.0,0.06272940337657928,1.063068151473999,1,1,0.0958307683467865,0.0958307683467865,0,0,0,True,0.0002,0.0,0.09910000000000001
10,200,9.73363208770752,20.0,-0.006153643596917391,-2.2307286772907355,-2.2307286772907355,0.00100983006414026,0.006368151865899563,0.0,0.0,0.06043956043956044,0.0,0.0,0,98.78438568115234,20.000000000000014,0.006035495665895277,0.0,0.0027603765610657647,0.006968883633613138,7,0.7,0.35802469135802467,0.20987654320987653,0.43209876543209874,0.35802469135802467,0.20987654320987653,0.43209876543209874,0.49761459236964584,0.0,0.0,0.49569809264138115,0.8565274000167846,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,14,12,3.5820649290767794,0.40500000000000014,1.0,0.0,0.0,0.9595,0.04049999999999998,0.04049999999999998,0.0,0.0,0.03845036029815674,1.387821078300476,1.387821078300476,1.3878212571144104,1.7087515195210774,0.03644586851199468,0.13888889054457346,2.7159023682276406,0.0405,0.036458333333333336,0.002314814987281958,4.115359142422676,0.9669069051742554,1,3,0.08139588683843613,0.07664242908358573,0,2,0,True,0.0002,0.0,0.099
11,200,8.786032438278198,20.0,-0.006329457275569439,-2.2658914380013515,-2.2658914380013515,-0.0002898962324252355,0.006370033137500286,0.0,0.0,0.1511627906976744,0.0,0.0,0,768.0484619140625,20.000000000000014,0.0016146031008016722,0.0,0.0005663923489265747,-3.4428403818607345,10,1.0,0.5897435897435898,0.21794871794871795,0.19230769230769232,0.5897435897435898,0.21794871794871795,0.19230769230769232,0.5020775902387686,0.0,0.0,0.5043692749500918,0.865665078163147,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,22,26,3.1534075352248947,0.3200000000000003,1.0,0.0,0.0,0.961,0.039000000000000035,0.039000000000000035,0.0,0.0,-0.14757653879415658,1.3774517112308078,1.3774517112308078,1.3774518834220038,1.433093441857232,0.020456161143051252,0.06481481509076224,5.8240221871270075,0.039,0.03602430555555555,0.7184553460942374,1.5884088807635837,1.3186517821417914,2,9,0.08569352328777313,0.0682420492172241,1,1,0,True,0.0002,0.0,0.0989
12,200,9.260323762893677,20.0,-0.005731686484068632,-2.1463372612784193,-2.1463372612784193,0.0003189527415088374,0.005820199381560087,0.0,0.0,0.11695906432748537,0.0,0.0,0,26.30410385131836,20.000000000000014,0.0017688700201488258,0.0,0.0004170416214803713,-0.3983477483987809,9,0.9,0.5,0.25,0.25,0.5,0.25,0.25,0.4969715226269327,0.0,0.0,0.4939430452538654,0.8649748682975767,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,21,14,3.082679697254205,0.28000000000000036,1.0,0.0,0.0,0.964,0.03600000000000003,0.03600000000000003,0.0,0.0,-0.1412617646985584,0.9795264138115777,0.9795264138115777,0.9795263873206245,1.4780510001712375,-0.0059439243955744635,0.02469135820865631,1.2586648795339797,0.036,0.033854166666666664,0.1527488968697273,0.8688476062897179,0.8727254304620955,2,9,0.09764093160629272,0.06981057450175282,1,1,0,True,0.0002,0.0,0.0988
13,200,9.042469024658203,20.0,-0.004138602409511805,-1.8277205321683863,-1.8277205321683863,0.0014819744159467508,0.004442564677447081,0.0,0.0,0.12994350282485875,0.0,0.0,0,27.443492889404297,20.000000000000014,0.006859201185421146,0.0,0.0018035008883001843,0.01223854851722719,9,0.9,0.36666666666666664,0.2,0.43333333333333335,0.36666666666666664,0.2,0.43333333333333335,0.5003499077885645,0.0,0.0,0.5006735472349653,0.8642583072185513,0.0,0.0,3.415769547643823e-17,0.0,0.0,0.800000011920929,0.20000000298023224,23,12,2.136795499450011,0.3850000000000002,1.0,0.0,0.0,0.97,0.030000000000000027,0.030000000000000027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,-1,1,,0.0002,0.0,0.09870000000000001
14,200,9.686569213867188,20.0,-0.005721774883568287,-2.144354911746105,-2.144354911746105,0.0006811050552641948,0.005911416839808226,0.0,0.0,0.1783783783783784,0.0,0.0,0,25.002906799316406,20.000000000000014,0.0011009591878366996,0.0,0.000545556141051512,-0.1026911690235138,10,1.0,0.4090909090909091,0.23863636363636365,0.3522727272727273,0.4090909090909091,0.23863636363636365,0.3522727272727273,0.4983064639968798,0.0,0.0,0.4966923124939058,0.8625922679901122,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,29,26,4.045022531134558,0.4250000000000001,1.0,0.0,0.0,0.956,0.04400000000000004,0.04400000000000004,0.0,0.0,-0.015326842327009548,0.8634204485199668,0.8634204485199668,0.8634206002408807,1.6301137534054844,0.02681074433282695,0.0758300545540723,3.6280925924127754,0.044,0.04580965909090909,0.5479641963135112,0.4283439517021179,0.9676273465156555,2,11,0.12290851026773453,0.09270630031824112,1,3,0,True,0.0002,0.0,0.09860000000000001
15,200,8.990069389343262,20.0,-0.006076929625123739,-2.2153858836593154,-2.2153858836593154,0.0006143620004877446,0.006192765198647976,0.0,0.0,0.19186046511627908,0.0,0.0,0,56.858238220214844,20.000000000000014,0.005251758871585818,0.0,0.0013970047724214773,0.22180143535137536,9,0.9,0.47435897435897434,0.19230769230769232,0.3333333333333333,0.47435897435897434,0.19230769230769232,0.3333333333333333,0.49808085710182787,0.0,0.0,0.496341004960587,0.8782707929611204,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,27,24,3.370353758379628,0.2500000000000004,1.0,0.0,0.0,0.961,0.039000000000000035,0.039000000000000035,0.0,0.0,0.00520276916878564,1.0368245499474662,1.0368245499474662,1.0368247074740273,1.3906549300466264,0.013782132450225098,0.07954041766268867,5.402672324861799,0.039,0.04045758928571429,0.6383448683523706,0.7644523509911129,1.0908831698553902,2,14,0.08762018382549286,0.0698514899238944,1,6,0,True,0.0002,0.0,0.0985
16,200,9.363899230957031,20.0,-0.004304105881601572,-1.860821230508336,-1.860821230508336,0.0010285035066772239,0.004561462439596653,0.0,0.0,0.16883116883116883,0.0,0.0,0,36.2360954284668,20.000000000000014,0.0030642409756576226,0.0,0.0012621875505461357,-0.347194726109501,9,0.9,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.50228990006214,0.0,0.0,0.5044856024723606,0.8607975840568542,0.0,0.0,0.0,0.0,0.037037037037037035,0.800000011920929,0.20000000298023224,19,18,3.2515189092248717,0.2600000000000004,1.0,0.0,0.0,0.9595,0.04049999999999998,0.04049999999999998,0.0,0.0,0.2964966893196106,1.2580797672271729,1.2580797672271729,1.258080005645752,1.5980217456817627,0.08270599693059921,0.0,9.120759963989258,0.0405,0.0390625,0.02364865131676197,2.060835361480713,1.0949177742004395,1,1,0.08270599693059921,0.08270599693059921,0,0,0,True,0.0002,0.0,0.0984
17,200,9.596040487289429,20.0,-0.005157128442078829,-2.0314256892278095,-2.0314256892278095,0.0009822949010413122,0.005367274396121502,0.0,0.0,0.13114754098360656,0.0,0.0,0,33.49122619628906,20.000000000000014,0.003915447214530062,0.0,0.0016030569781955437,0.534994148731224,10,1.0,0.5161290322580645,0.1774193548387097,0.3064516129032258,0.5161290322580645,0.1774193548387097,0.3064516129032258,0.5024316315338947,0.0,0.0,0.5041997090395418,0.8696948140859602,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,19,23,3.162516535130174,0.48000000000000004,1.0,0.0,0.0,0.969,0.031000000000000028,0.031000000000000028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,-1,1,,0.0002,0.0,0.0983
18,200,9.257888793945312,20.0,-0.0034115875605493784,-1.682317496853209,-1.682317496853209,-0.00012532533073681654,0.003533186623826623,0.0,0.0,0.14285714285714285,0.0,0.0,0,28.566415786743164,20.000000000000014,0.0023152749926369765,0.0,0.0007753369928977234,0.07675018048286437,10,1.0,0.40476190476190477,0.19047619047619047,0.40476190476190477,0.40476190476190477,0.19047619047619047,0.40476190476190477,0.49959798336494715,0.0,0.0,0.4993122042171893,0.8723963737487793,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,21,15,4.076845155987122,0.7399999999999997,1.0,0.0,0.0,0.979,0.02100000000000002,0.02100000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,-1,1,,0.0002,0.0,0.09820000000000001
19,200,8.982425689697266,20.0,-0.00500052236020565,-2.0001044941167327,-2.0001044941167327,0.0009577844233717758,0.005225673783570528,0.0,0.0,0.13815789473684212,0.0,0.0,0,27.11200523376465,20.000000000000014,0.004423133394776903,0.0,0.0011505626687621769,-0.07236034286022197,9,0.9,0.5384615384615384,0.13846153846153847,0.3230769230769231,0.5384615384615384,0.13846153846153847,0.3230769230769231,0.504338732086122,0.0,0.0,0.5078034749750396,0.8688876688480377,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,15,17,3.680488774534489,0.33500000000000024,1.0,0.0,0.0,0.9675,0.03249999999999997,0.03249999999999997,0.0,0.0,-0.0004904121160507202,0.9742904173003303,0.9742904173003303,0.9742905298868815,1.3652440309524536,0.01077721014411913,0.06693121873670155,6.28321894009908,0.0325,0.03125,0.7357460322479407,0.6795104626152251,1.019467466407352,2,9,0.12063291668891907,0.08729787319898602,1,1,0,True,0.0002,0.0,0.0981
20,200,8.701689004898071,20.0,-0.004686524160206318,-1.9373047745260685,-1.9373047745260685,0.00028914850699948106,0.004813755862414837,0.0,0.0,0.09868421052631579,0.0,0.0,0,27.464879989624023,20.000000000000014,0.005487604027846524,0.0,0.0013494452958618753,-0.029884592771530605,8,0.8,0.35185185185185186,0.3148148148148148,0.3333333333333333,0.35185185185185186,0.3148148148148148,0.3333333333333333,0.500549835851416,0.0,0.0,0.5009455474658916,0.8622821688652038,0.0,0.0,0.0,0.0,0.0,0.800000011920929,0.20000000298023224,13,14,2.2077911285526275,0.42000000000000015,1.0,0.0,0.0,0.973,0.027000000000000024,0.027000000000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-1,-1,1,,0.0002,0.0,0.098
