source,metric,mean
Ours (MAPPO),steps,113.11266666666667
Ours (MAPPO),elapsed_sec,11.836687189102173
Ours (MAPPO),seed,42.0
Ours (MAPPO),terminated,0.944
Ours (MAPPO),truncated,0.056
Ours (MAPPO),time_limit_rate,0.056
Ours (MAPPO),episode_time_seconds,11.311266666666645
Ours (MAPPO),mean_cft_est,11.592354576098106
Ours (MAPPO),mean_cft_completed,8.054806348089462
Ours (MAPPO),vehicle_cft_count,20.0
Ours (MAPPO),cft_est_valid,1.0
Ours (MAPPO),deadline_gamma,1.3495771017316742
Ours (MAPPO),deadline_seconds,11.32742787919989
Ours (MAPPO),critical_path_cycles,22727493523.613087
Ours (MAPPO),r_time,-0.0018059680327259802
Ours (MAPPO),r_interf,-309708.7635115641
Ours (MAPPO),r_risk,-0.018031511948590928
Ours (MAPPO),r_illegal,-1.5163674862592824
Ours (MAPPO),r_pbrs,0.00036919001503647584
Ours (MAPPO),r_term,0.017683734427699153
Ours (MAPPO),r_step,-309710.31596804113
Ours (MAPPO),r_total,-1.569013137896661
Ours (MAPPO),abs_ratio_r_time,0.0011233352247073097
Ours (MAPPO),abs_ratio_r_energy,0.008476716590725176
Ours (MAPPO),abs_ratio_r_interf,0.033043234967508744
Ours (MAPPO),abs_ratio_r_risk,0.011458372655104531
Ours (MAPPO),abs_ratio_r_illegal,0.934289862760036
Ours (MAPPO),abs_ratio_r_pbrs,0.00016847172838024068
Ours (MAPPO),abs_ratio_r_term,0.011440006073537711
Ours (MAPPO),I_total_mean,1.2733080950115378e-09
Ours (MAPPO),I_total_p95,2.9376635916657388e-12
Ours (MAPPO),rho_selected_mean,0.7430462668140729
Ours (MAPPO),rho_selected_p10,0.5716538789848487
Ours (MAPPO),rho_selected_p50,0.774137134095033
Ours (MAPPO),rho_selected_p95,0.9137061544636885
Ours (MAPPO),rho_selected_lt_0p6_rate,0.21093434366062608
Ours (MAPPO),rho_selected_lt_0p7_rate,0.3225524963868469
Ours (MAPPO),risk_penalty_mean,0.076484391492481
Ours (MAPPO),chain_tx_total,524.39
Ours (MAPPO),chain_p95_mean,0.049999999999999864
Ours (MAPPO),chain_pfail_mean,0.01
Ours (MAPPO),chain_risk_cost_total,0.0
Ours (MAPPO),trust_attempts,521.3766666666667
Ours (MAPPO),trust_failures,121.456
Ours (MAPPO),trust_failure_rate,0.22153856677181313
Ours (MAPPO),trust_retry_count,121.456
Ours (MAPPO),episode_vehicle_count,20.0
Ours (MAPPO),episode_task_count,20.0
Ours (MAPPO),total_subtasks,419.8213333333333
Ours (MAPPO),reward_mean,-1.5690131350358327
Ours (MAPPO),reward_p50,-1.5588761367003123
Ours (MAPPO),reward_p95,-1.1382541805823645
Ours (MAPPO),reward_min,-2.1950347023804984
Ours (MAPPO),reward_max,-0.21899398650725682
Ours (MAPPO),reward_abs_mean,1.5690131350358327
Ours (MAPPO),dT_mean,0.0
Ours (MAPPO),cft_prev_rem_mean,0.0
Ours (MAPPO),cft_curr_rem_mean,0.0
Ours (MAPPO),dCFT_abs_mean,0.0
Ours (MAPPO),dCFT_abs_p95,0.0
Ours (MAPPO),dCFT_rem_mean,0.0
Ours (MAPPO),dCFT_rem_p95,0.0
Ours (MAPPO),dt_used_mean,0.0
Ours (MAPPO),implied_dt_mean,0.0
Ours (MAPPO),dT_eff_mean,0.0
Ours (MAPPO),dT_eff_p95,0.0
Ours (MAPPO),energy_norm_mean,0.02666048305405557
Ours (MAPPO),energy_norm_p95,0.13353777870815112
Ours (MAPPO),t_tx_mean,0.0
Ours (MAPPO),reward_step_p95,0.0
Ours (MAPPO),mean_cft,11.592354576098106
Ours (MAPPO),delta_cft_rem_mean,
Ours (MAPPO),delta_cft_rem_p95,
Ours (MAPPO),mean_cft_rem,0.2810879094314599
Ours (MAPPO),success_rate_end,0.8512999999999998
Ours (MAPPO),task_success_rate,0.8512999999999998
Ours (MAPPO),subtask_success_rate,0.9586197791298419
Ours (MAPPO),deadline_miss_rate,0.1487
Ours (MAPPO),illegal_action_rate,0.0
Ours (MAPPO),hard_trigger_rate,0.0
Ours (MAPPO),decision_local_frac,0.00680150836837582
