episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,I_total_mean,I_total_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,CP-EFT,-3.3922416105765585,-678.4483221153117,0.2,0.2,0.46635367762128327,0.7956204379562044,0.5736666666666667,0.3288333333333333,0.0975,0.02457908481793612,0.057652270878661746,0.4675088240784048,20.000000000000014,23.608772722880044,8.783333333333319,8.783333333333319,12.349999999999973,0.8,1.0,4.206180542754012e-11,8.379788911383468e-11,0.6941564083099365,0.5,0.09354326128959656,,,,,342,0.0,0.0,0.0,311,51,0.1639871382636656,51,0.10316666666666667,3.44
2,CP-EFT,-2.291314227207591,-458.26284544151815,0.2,0.2,0.53198127925117,0.8181818181818182,0.6015,0.27416666666666667,0.12433333333333334,0.027153202035895777,0.0681385245568276,0.6091498483403015,20.000000000000014,25.0158229192098,8.81666666666665,8.81666666666665,11.299999999999976,0.8,1.0,1.3302499723977235e-07,1.2254953649093468e-11,0.6621156930923462,0.4850713014602661,0.11148131638765335,,,,,416,0.0,0.0,0.0,385,99,0.2571428571428571,99,0.169,3.66
3,CP-EFT,-2.45264741647306,-490.52948329461196,0.2,0.2,0.6009693053311793,0.8793969849246231,0.6098333333333333,0.22583333333333333,0.16433333333333333,0.04229319736121579,0.10839777196381675,0.7517696306759677,20.000000000000014,23.12773240407308,8.683333333333318,8.683333333333318,11.324999999999976,0.8,1.0,1.0947952233664182e-07,5.9449084760868086e-12,0.643771231174469,0.42424243688583374,0.11448270082473755,,,,,472,0.0,0.0,0.0,445,125,0.2808988764044944,125,0.1555,3.765
4,CP-EFT,-2.685921287831058,-537.1842575662116,0.13333333333333333,0.13333333333333333,0.43343653250773995,0.680672268907563,0.557,0.34,0.103,0.030667898872313866,0.06922776269145346,0.6457727699461774,20.000000000000014,24.604191080729166,7.649999999999989,7.649999999999989,9.624999999999982,0.8666666666666667,1.0,6.663915996796277e-08,3.348259343394226e-11,0.6541503667831421,0.5,0.11189232766628265,,,,,349,0.0,0.0,0.0,310,80,0.25806451612903225,80,0.11383333333333333,3.07
5,CP-EFT,-2.812379017692052,-562.4758035384103,0.3,0.3,0.4896988906497623,0.711864406779661,0.6415,0.25583333333333336,0.10266666666666667,0.01828749972366063,0.05101115683029465,0.46026096743871525,20.000000000000014,25.019416173299152,6.844444444444436,6.844444444444436,9.099999999999984,0.7,1.0,6.690576981327467e-08,3.363109443710324e-11,0.667202353477478,0.5,0.10357952862977982,,,,,343,0.0,0.0,0.0,309,69,0.22330097087378642,69,0.12383333333333334,3.305
6,CP-EFT,-2.5682345994416886,-513.6469198883377,0.16666666666666666,0.16666666666666666,0.5877742946708464,0.8552631578947368,0.6001666666666666,0.2688333333333333,0.131,0.026165346940916236,0.06544063428324193,0.6237251049477838,20.000000000000014,23.306404495239256,9.649999999999983,9.649999999999983,12.82499999999997,0.8333333333333334,1.0,2.3367182677702658e-07,2.0261361338702602e-11,0.6953228116035461,0.47058823704719543,0.0960887148976326,,,,,437,0.0,0.0,0.0,411,90,0.21897810218978103,90,0.143,3.975
7,CP-EFT,-3.696735999538749,-739.3471999077498,0.16666666666666666,0.16666666666666666,0.5487012987012987,0.8098591549295775,0.6078333333333333,0.296,0.09616666666666666,0.023566710860265593,0.06009361035341835,0.6322939046142667,20.000000000000014,23.45920639038086,9.639999999999983,9.639999999999983,13.499999999999968,0.8333333333333334,1.0,9.981661008851006e-08,1.3109833565949636e-10,0.6420932412147522,0.5,0.11542753130197525,,,,,419,0.0,0.0,0.0,391,101,0.25831202046035806,101,0.154,3.835
8,CP-EFT,-2.772861187491902,-554.5722374983803,0.3333333333333333,0.3333333333333333,0.6744186046511628,0.8763440860215054,0.6528333333333334,0.18833333333333332,0.15883333333333333,0.036873969907267184,0.10621402757734186,0.8217347602882554,20.000000000000014,22.504183959960944,8.719999999999985,8.719999999999985,10.809999999999977,0.6666666666666666,1.0,3.3363598550550932e-09,2.407136547380452e-11,0.7698940634727478,0.5,0.06861728429794312,,,,,432,0.0,0.0,0.0,408,44,0.10784313725490197,44,0.1515,3.96
9,CP-EFT,-2.0961389753627775,-419.22779507255547,0.1,0.1,0.5734597156398105,0.8225806451612904,0.6091666666666666,0.2735,0.11733333333333333,0.024996214559998706,0.06395619930063634,0.6439815511542787,20.000000000000014,25.133952713012697,8.166666666666654,8.166666666666654,9.369999999999983,0.9,1.0,1.8713279623799872e-12,6.328613501305202e-12,0.6758581399917603,0.4545454680919647,0.10290570557117462,,,,,439,0.0,0.0,0.0,406,94,0.2315270935960591,94,0.17083333333333334,3.68
10,CP-EFT,-3.0437833154215186,-608.7566630843037,0.13333333333333333,0.13333333333333333,0.41798107255520506,0.7619047619047619,0.5791666666666667,0.2788333333333333,0.142,0.045595217932176545,0.10834507231408283,0.8810525447845207,20.000000000000014,23.62951634724935,9.524999999999983,9.524999999999983,11.959999999999972,0.8666666666666667,1.0,3.088685557317561e-11,4.4182585194618714e-11,0.5032405853271484,0.2631579041481018,0.18564699590206146,,,,,406,0.0,0.0,0.0,370,173,0.46756756756756757,173,0.11766666666666667,3.73
