episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,I_total_mean,I_total_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Random,-4.132673455780334,-826.5346911560669,0.0,0.0,0.11727416798732171,0.49586776859504134,0.06066666666666667,0.106,0.8333333333333334,0.6312304801365433,0.6074135700530977,0.9607974713212637,20.000000000000014,24.54903221130371,0.0,0.0,0.0,1.0,1.0,8.568035725353695e-10,1.1742090841315723e-10,0.5633016228675842,0.5,0.14907045662403107,,,,,150,0.0,0.0,0.0,89,20,0.2247191011235955,20,0.07766666666666666,0.12
2,Random,-4.424779133891971,-884.9558267783943,0.0,0.0,0.14018691588785046,0.5041322314049587,0.053,0.09816666666666667,0.8488333333333333,0.6228604629243665,0.6017533927395633,0.9611470927264871,20.000000000000014,25.911312103271484,0.0,0.0,0.0,1.0,1.0,1.8257614864403138e-10,1.732325088932286e-10,0.5528338551521301,0.4000000059604645,0.1552509069442749,,,,,170,0.0,0.0,0.0,110,28,0.2545454545454545,28,0.07533333333333334,0.12
3,Random,-5.146650649866145,-1029.330129973229,0.0,0.0,0.11942675159235669,0.4406779661016949,0.07266666666666667,0.113,0.8143333333333334,0.6300734182927032,0.6010856415809172,0.9617266162116244,20.000000000000014,25.02910614013672,0.0,0.0,0.0,1.0,1.0,3.5047628688111843e-10,2.8760467479793664e-10,0.5196338295936584,0.3333333432674408,0.17210029065608978,,,,,153,0.0,0.0,0.0,87,25,0.28735632183908044,25,0.084,0.105
4,Random,-2.706317345579846,-541.2634691159692,0.0,0.0,0.11968503937007874,0.4954128440366973,0.059166666666666666,0.10166666666666667,0.8391666666666666,0.6245212089820361,0.6009082823546898,0.9578443572984824,20.000000000000014,25.110084533691406,0.0,0.0,0.0,1.0,1.0,2.3704919971390126e-11,2.4328555229408133e-11,0.5321999788284302,0.3333333432674408,0.16413719952106476,,,,,146,0.0,0.0,0.0,91,23,0.25274725274725274,23,0.06816666666666667,0.12
5,Random,-3.343419524160113,-668.6839048320226,0.0,0.0,0.13964686998394862,0.536,0.06216666666666667,0.10733333333333334,0.8305,0.628470847761956,0.603843093401766,0.96041591856668,20.000000000000014,25.287261962890625,0.0,0.0,0.0,1.0,1.0,9.901823111446717e-11,6.216969855588072e-11,0.5479515790939331,0.4000000059604645,0.157087042927742,,,,,179,0.0,0.0,0.0,121,41,0.33884297520661155,41,0.107,0.13
6,Random,-4.316911656612496,-863.3823313224992,0.0,0.0,0.13893376413570274,0.4957983193277311,0.059333333333333335,0.1135,0.8271666666666667,0.6270268776870985,0.6035012874065532,0.9584318524139576,20.000000000000014,25.91187858581543,0.0,0.0,0.0,1.0,1.0,7.64909827921656e-07,1.0920040705020293e-10,0.5870395302772522,0.5,0.1384025365114212,,,,,159,0.0,0.0,0.0,99,20,0.20202020202020202,20,0.09066666666666667,0.16
7,Random,-6.116952532036392,-1223.3905064072785,0.0,0.0,0.1203125,0.5172413793103449,0.05516666666666667,0.1105,0.8343333333333334,0.6174161582188545,0.5950779589545131,0.956888014010339,20.000000000000014,25.261688232421875,0.0,0.0,0.0,1.0,1.0,1.3437554002848628e-07,5.015434373367711e-10,0.554881751537323,0.5,0.15205219388008118,,,,,149,0.0,0.0,0.0,93,23,0.24731182795698925,23,0.081,0.095
8,Random,-5.655629150523453,-1131.1258301046905,0.0,0.0,0.12540192926045016,0.46551724137931033,0.06483333333333334,0.1125,0.8226666666666667,0.6274423094871783,0.6016135906118454,0.9600179636156702,20.000000000000014,24.34185218811035,0.0,0.0,0.0,1.0,1.0,4.023671706931964e-08,1.896890589048184e-09,0.5203392505645752,0.3333333432674408,0.17026287317276,,,,,153,0.0,0.0,0.0,91,24,0.26373626373626374,24,0.07616666666666666,0.175
9,Random,-5.679811784860977,-1135.9623569721955,0.0,0.0,0.10828025477707007,0.44339622641509435,0.058666666666666666,0.108,0.8333333333333334,0.6187614661844584,0.5950015575613951,0.9613866376580715,20.000000000000014,25.54733657836914,0.0,0.0,0.0,1.0,1.0,7.457528483634235e-10,5.776470357599098e-10,0.5424444675445557,0.4085714340209961,0.1586311161518097,,,,,134,0.0,0.0,0.0,75,16,0.21333333333333335,16,0.058166666666666665,0.12
10,Random,-3.2229750992972495,-644.5950198594498,0.0,0.0,0.11532385466034756,0.4482758620689655,0.052333333333333336,0.10916666666666666,0.8385,0.6242329590857637,0.6034818421587382,0.9617897180833135,20.000000000000014,25.329753875732422,0.0,0.0,0.0,1.0,1.0,6.859102869016809e-11,4.4504422369584545e-11,0.5488868951797485,0.3333333432674408,0.15721847116947174,,,,,159,0.0,0.0,0.0,95,29,0.30526315789473685,29,0.07016666666666667,0.085
11,Random,-2.9293070885257992,-585.8614177051599,0.0,0.0,0.10815047021943573,0.47580645161290325,0.057666666666666665,0.10516666666666667,0.8371666666666666,0.6216914561941215,0.5985406326785867,0.9609026155633963,20.000000000000014,25.31859588623047,0.0,0.0,0.0,1.0,1.0,5.947726755550775e-10,3.349192190943429e-11,0.5616746544837952,0.5,0.14958204329013824,,,,,150,0.0,0.0,0.0,85,17,0.2,17,0.04883333333333333,0.07
12,Random,-4.7733430087389435,-954.6686017477887,0.0,0.0,0.18225039619651348,0.5704225352112676,0.0615,0.11583333333333333,0.8226666666666667,0.6272599044060341,0.6028342082110106,0.9661455164132922,20.000000000000014,24.890535354614258,0.0,0.0,0.0,1.0,1.0,3.1181940585156553e-07,2.513923180735846e-10,0.5806506276130676,0.5,0.142416849732399,,,,,187,0.0,0.0,0.0,126,19,0.15079365079365079,19,0.1075,0.21
