episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,I_total_mean,I_total_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Static,-1.7651491407615232,-273.5981168180361,0.13333333333333333,0.13333333333333333,0.7288676236044657,0.0,0.221505376344086,0.7784946236559139,0.0,1.0,1.0,1.0,15.499999999999961,17.04318253199259,10.524999999999979,10.524999999999979,12.70999999999997,0.8666666666666667,0.0,0.0,0.0,0.5991869568824768,0.5,0.13018769025802612,,,,,617,0.0,0.0,0.0,589,219,0.37181663837011886,219,0.2167741935483871,32.329032258064515
2,Static,-1.7750380312419822,-250.2803624051195,0.06666666666666667,0.06666666666666667,0.703150912106136,0.0,0.17423167848699764,0.8257683215130024,0.0,1.0,1.0,1.0,14.099999999999966,15.572248528798418,9.84999999999998,9.84999999999998,10.34499999999998,0.9333333333333333,0.0,0.0,0.0,0.6589875221252441,0.36409090757369994,0.12724797427654266,,,,,558,0.0,0.0,0.0,516,171,0.3313953488372093,171,0.11725768321513003,42.4468085106383
3,Static,-1.7697724634847092,-253.07746227831342,0.36666666666666664,0.36666666666666664,0.8175895765472313,0.0,0.24032634032634032,0.7596736596736596,0.0,1.0,1.0,1.0,14.299999999999965,15.267940546671536,9.863636363636344,9.863636363636344,12.84999999999997,0.6333333333333333,0.0,0.0,0.0,0.7997980713844299,0.6818181872367859,0.04885487258434296,,,,,533,0.0,0.0,0.0,510,94,0.1843137254901961,94,0.15407925407925407,34.09090909090909
4,Static,-1.7768865926716488,-243.43346319601588,0.6,0.6,0.8990536277602523,0.0,0.2800486618004866,0.7199513381995134,0.0,1.0,1.0,1.0,13.699999999999967,14.439040203094466,9.611111111111093,9.611111111111093,12.84499999999997,0.4,0.0,0.0,0.0,0.9066002368927002,0.6666666865348816,0.022269561886787415,,,,,467,0.0,0.0,0.0,451,14,0.031042128603104215,14,0.27201946472019467,34.45985401459854
5,Static,-1.791191432673787,-300.9201606891962,0.26666666666666666,0.26666666666666666,0.6303680981595092,0.0,0.28134920634920635,0.7186507936507937,0.0,1.0,1.0,1.0,16.79999999999997,18.928402150471996,9.96249999999998,9.96249999999998,11.884999999999973,0.7333333333333333,0.0,0.0,0.0,0.6244863867759705,0.5384615659713745,0.11771625280380249,,,,,544,0.0,0.0,0.0,518,205,0.39575289575289574,205,0.21329365079365079,31.93452380952381
6,Static,-1.7785669286350525,-252.55650386617745,0.36666666666666664,0.36666666666666664,0.7955271565495208,0.0,0.11830985915492957,0.8816901408450705,0.0,1.0,1.0,1.0,14.199999999999966,15.364998029073067,10.227272727272707,10.227272727272707,13.549999999999969,0.6333333333333333,0.0,0.0,0.0,0.8193331360816956,0.7594482660293579,0.041702333837747574,,,,,547,0.0,0.0,0.0,524,63,0.12022900763358779,63,0.04647887323943662,40.774647887323944
7,Static,-1.7771753794458662,-234.58715008685434,0.43333333333333335,0.43333333333333335,0.8058727569331158,0.0,0.21515151515151515,0.7848484848484848,0.0,1.0,1.0,1.0,13.199999999999969,14.262542966206858,9.861538461538442,9.861538461538442,11.659999999999973,0.5666666666666667,0.0,0.0,0.0,0.8015654683113098,0.75,0.047181058675050735,,,,,503,0.0,0.0,0.0,483,75,0.15527950310559005,75,0.13308080808080808,40.121212121212125
8,Static,-1.7354286606738427,-241.22458383366413,0.26666666666666666,0.26666666666666666,0.7321711568938193,0.0,0.20167865707434052,0.7983213429256595,0.0,1.0,1.0,1.0,13.899999999999967,15.741204776763906,10.04999999999998,10.04999999999998,11.429999999999975,0.7333333333333333,0.0,0.0,0.0,0.6525498628616333,0.5258620977401733,0.10745442658662796,,,,,567,0.0,0.0,0.0,542,176,0.3247232472324723,176,0.23237410071942446,35.76258992805755
9,Static,-1.7734356616592815,-264.24191358723294,0.4,0.4,0.8111111111111111,0.0,0.3451901565995526,0.6548098434004475,0.0,1.0,1.0,1.0,14.899999999999963,16.21172246297199,9.399999999999983,9.399999999999983,13.294999999999968,0.6,0.0,0.0,0.0,0.8141342401504517,0.7333333492279053,0.04502279311418533,,,,,472,0.0,0.0,0.0,450,64,0.14222222222222222,64,0.3250559284116331,30.06711409395973
10,Static,-1.7464874685141039,-246.25473306048863,0.43333333333333335,0.43333333333333335,0.8861154446177847,0.0,0.23026004728132388,0.7697399527186761,0.0,1.0,1.0,1.0,14.099999999999966,14.792694072723373,11.164285714285693,11.164285714285693,13.709999999999967,0.5666666666666667,0.0,0.0,0.0,0.8438955545425415,0.75,0.036107372492551804,,,,,556,0.0,0.0,0.0,538,59,0.10966542750929369,59,0.1862884160756501,39.163120567375884
11,Static,-1.752372329771487,-255.84636014663712,0.5,0.5,0.8981191222570533,0.0,0.25707762557077624,0.7429223744292237,0.0,1.0,1.0,1.0,14.599999999999964,15.322790082295718,10.626666666666644,10.626666666666644,12.45999999999997,0.5,0.0,0.0,0.0,0.7846981287002563,0.692307710647583,0.05283769592642784,,,,,554,0.0,0.0,0.0,542,89,0.16420664206642066,89,0.2641552511415525,31.794520547945204
12,Static,-1.7622580343761256,-246.7161248126576,0.4,0.4,0.8178963893249608,0.0,0.1880952380952381,0.8119047619047619,0.0,1.0,1.0,1.0,13.999999999999966,14.9866282780965,9.966666666666645,9.966666666666645,12.79499999999997,0.6,0.0,0.0,0.0,0.7995172142982483,0.6666666865348816,0.05212544649839401,,,,,559,0.0,0.0,0.0,532,96,0.18045112781954886,96,0.17095238095238094,38.2
