episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-705.8603126543675,-3.5243015632718375,1.7067800760269165,0.0,0.0,0.0,0.0963855421686747,0.4696969696969697,0.06666666666666667,0.1111111111111111,0.8222222222222222,0.49242286560777576,0.0525,0.0525,0.055,0.7287449291608157,1276.4628325910928,35.13513513513514,-1.7332418735255621,0.35135135135135137,0.24867376644441205,-387.52535208928,-1663.9881846803728,5.108039849549758,20,20,30.313893795013428
2,,-713.0036310361446,-3.560018155180723,2.4729456901550293,0.0,0.0,0.0,0.2,0.5494505494505495,0.07857142857142857,0.18571428571428572,0.7357142857142858,0.5024328979796264,0.111,0.111,0.18,0.5764689387043821,2870.3837889366628,43.689320388349515,-835.0443849641849,0.4368932038834951,0.505572787059688,-377.4980045678227,-3247.8817935044854,4.813404376326709,20,20,29.56491470336914
3,,-471.1849464118602,-2.350924732059301,3.578148663043976,0.0,0.0,0.0,0.22565320665083136,0.6631578947368421,0.15894039735099338,0.12582781456953643,0.7152317880794702,0.5002551158479182,0.1375,0.1375,0.18,0.9643345580932425,307.60096168198055,41.66666666666667,-0.12410033978302666,0.4166666666666667,0.5143391286735897,-381.96808202606456,-689.5690437080451,5.4360983337018185,20,20,28.00277853012085
4,,-420.54491636682434,-2.0977245818341217,13.763322830200195,0.0,0.0,0.0,0.14719626168224298,0.581081081081081,0.2457627118644068,0.059322033898305086,0.6949152542372882,0.5085353145850823,0.088,0.088,0.03,0.9953610176367658,130.59260583488003,50.0,-1.3882552731627267,0.5,0.42621694235206625,-380.40731556963203,-510.99992140451207,4.868705175180972,20,20,29.51057243347168
5,,-432.3480071294806,-2.156740035647403,6.8286848068237305,0.0,0.0,0.0,0.14251207729468598,0.582089552238806,0.16379310344827586,0.1724137931034483,0.6637931034482759,0.4979513545788359,0.11275,0.11275,0.155,0.9724183646075808,341.6864264357512,33.76623376623377,-0.4222653370308341,0.33766233766233766,0.9591779609563882,-380.18178598902784,-721.868212424779,5.093805558019657,20,20,28.650235414505005
6,,-546.071997549602,-2.7253599877480097,22.511686325073242,0.0,0.0,0.0,0.1295843520782396,0.3870967741935484,0.20192307692307693,0.125,0.6730769230769231,0.5064842152216006,0.059,0.059,0.085,0.7864328561851397,1170.2360246195658,44.285714285714285,-855.3789656328906,0.44285714285714284,0.386529616209104,-385.58536488373556,-1555.8213895033014,5.659219308433038,20,20,29.520249128341675
7,,-785.6360700478295,-3.923180350239148,2.7069318890571594,0.0,0.0,0.0,0.16,0.5540540540540541,0.19008264462809918,0.1322314049586777,0.6776859504132231,0.497605262119323,0.0685,0.0685,0.085,0.6903528076042326,1897.5591950988503,50.0,-5.372171374412974,0.5,0.16942992428190265,-397.3794430793908,-2294.938638178241,5.501749744569863,20,20,29.724393367767334
8,,-713.1085492492696,-3.5605427462463477,1.2631906270980835,0.0,0.0,0.0,0.20833333333333334,0.5806451612903226,0.14583333333333334,0.1527777777777778,0.7013888888888888,0.500263152684085,0.12175,0.12175,0.12,0.7643257558565727,1474.0614092228416,35.64356435643564,-1.1637786489567499,0.3564356435643564,0.45632357644852156,-376.0897106040462,-1850.151119826888,5.062608540921423,20,20,29.9262957572937
9,,-885.2321396219352,-4.421160698109676,0.9071044921875,0.05,0.05,0.05,0.25365853658536586,0.6103896103896104,0.2611464968152866,0.17834394904458598,0.5605095541401274,0.504635331906844,0.168,0.168,0.225,0.6312549864069451,2117.187819628441,43.18181818181818,-2.5896866269871484,0.4318181818181818,0.44822210670742046,-384.1703521532294,-2501.3581717816705,5.0146207029694745,20,20,28.23266887664795
10,,-425.2696546239014,-2.121348273119507,3.5622758865356445,0.0,0.0,0.0,0.1970074812967581,0.5588235294117647,0.22058823529411764,0.16911764705882354,0.6102941176470589,0.5001679159200285,0.1125,0.1125,0.185,0.9846038424638309,182.72176524705014,38.55421686746988,-0.22755822032083656,0.3855421686746988,0.608568271846244,-385.7772246234729,-568.498989870523,5.507271265269603,20,20,27.002232551574707
11,,-927.542427818321,-4.6327121390916055,1.2178820371627808,0.05,0.05,0.05,0.28125,0.6625,0.2742857142857143,0.16,0.5657142857142857,0.5029648382537416,0.1745,0.1745,0.22,0.6944290528278079,2218.3638081152058,47.474747474747474,-4.28909741171301,0.47474747474747475,0.43223696677074064,-363.91190615279567,-2582.2757142680016,4.906188384711445,20,20,27.3715603351593
12,,-515.3203997744367,-2.571601998872184,26.309931596120197,0.0,0.0,0.0,0.14622641509433962,0.47692307692307695,0.17073170731707318,0.16260162601626016,0.6666666666666666,0.5021393113827799,0.069,0.069,0.125,0.8978971343840612,747.6182765537246,40.243902439024396,-76.68831496222703,0.4024390243902439,0.289340002227344,-381.5341854457563,-1129.152461999481,5.754892273771859,20,20,29.652101755142212
13,,-447.6014227340116,-2.233007113670058,1.3585768938064575,0.0,0.0,0.0,0.3117505995203837,0.6571428571428571,0.1794871794871795,0.18974358974358974,0.6307692307692307,0.49818032006849533,0.1525,0.1525,0.255,0.9552449025112768,424.2832682275982,42.27642276422765,-0.5198796285047246,0.42276422764227645,0.37523192620255624,-365.9183867699012,-790.2016549974994,5.27673223090394,20,20,27.050979614257812
14,,-817.6683780461373,-4.083341890230686,1.2117719650268555,0.0,0.0,0.0,0.23543123543123542,0.6419753086419753,0.2549019607843137,0.17647058823529413,0.5686274509803921,0.5121284814889077,0.10225,0.10225,0.2,0.6499099012482971,2398.9253065755834,27.586206896551722,-1.1719691729303534,0.27586206896551724,0.20848768481862867,-376.19460353339656,-2775.11991010898,6.15592995571518,20,20,28.903956651687622
15,,-565.1841008535639,-2.8209205042678196,9.985770463943481,0.0,0.0,0.0,0.12240184757505773,0.49230769230769234,0.15178571428571427,0.17857142857142858,0.6696428571428571,0.5061331762865884,0.07775,0.07775,0.125,0.7960133976087449,1157.2426380964632,33.33333333333333,-180.69264056990608,0.3333333333333333,0.21900148991376206,-369.2670577661191,-1526.5096958625822,5.432744618330066,20,20,31.29605197906494
16,,-519.8080054175597,-2.5940400270877984,1.6187800168991089,0.0,0.0,0.0,0.25980392156862747,0.625,0.2303370786516854,0.1853932584269663,0.5842696629213483,0.5157709438358433,0.16125,0.16125,0.185,0.9246847218151285,497.6725886081096,40.38461538461539,-87.8536839773188,0.40384615384615385,0.4620391875135269,-368.1188378914101,-865.7914264995197,4.983160176928309,20,20,27.614396572113037
17,,-804.8362135223621,-4.01918106761181,1.4376614093780518,0.0,0.0,0.0,0.20665083135391923,0.7012987012987013,0.23076923076923078,0.1888111888111888,0.5804195804195804,0.5110248410431668,0.12925,0.12925,0.18,0.7764803051839531,1622.1208464347637,38.55421686746988,-1488.9129338293917,0.3855421686746988,0.49007490695482075,-367.8259689395951,-1989.946815374359,5.473086540154822,20,20,28.83744716644287
18,,-592.2094234659862,-2.956047117329931,3.0917700926462808,0.0,0.0,0.0,0.2660332541567696,0.5955056179775281,0.24752475247524752,0.1782178217821782,0.5742574257425742,0.5136967258166988,0.20175,0.20175,0.21,0.8819703695880821,729.9059840983521,47.41379310344828,-0.1773904841530303,0.47413793103448276,0.7083083353734063,-375.94127146167557,-1105.8472555600276,5.420102664661218,20,20,27.391575574874878
19,,-521.2394506274566,-2.6011972531372827,7.935084789991379,0.0,0.0,0.0,0.25598086124401914,0.5789473684210527,0.22459893048128343,0.27807486631016043,0.49732620320855614,0.5121506076091901,0.14975,0.14975,0.37,0.8186840466037806,868.5665365135628,36.55913978494624,-55.921472689915134,0.3655913978494624,0.34727779472298914,-375.2534931660712,-1243.820029679634,5.203896563506929,20,20,28.879985332489014
20,,-587.2388585001671,-2.9311942925008356,2.9310948848724365,0.0,0.0,0.0,0.2069767441860465,0.5783132530120482,0.1464968152866242,0.1910828025477707,0.6624203821656051,0.5220170199293643,0.12575,0.12575,0.265,0.8281278800528799,985.4537225950583,46.15384615384615,-0.05900572364060877,0.46153846153846156,0.3678520857285252,-375.56590886405826,-1361.0196314591165,5.175834702181588,20,20,29.60325574874878
21,,-475.8209910988242,-2.374104955494121,14.008949279785156,0.0,0.0,0.0,0.26823529411764707,0.5925925925925926,0.26666666666666666,0.20606060606060606,0.5272727272727272,0.5109535990890581,0.103,0.103,0.265,0.9628481828599533,393.88424407119476,44.827586206896555,-0.364204993532409,0.4482758620689655,0.3474503737811907,-377.8460262819806,-771.7302703531753,5.690753302324907,20,20,28.49186658859253
22,,-732.0874064465179,-3.6554370322325895,3.087398052215576,0.05,0.05,0.05,0.27610208816705334,0.5789473684210527,0.2154696132596685,0.281767955801105,0.5027624309392266,0.5107011024104431,0.1775,0.1775,0.325,0.7974341652055,1050.4781257416662,43.956043956043956,-0.5415151534097175,0.43956043956043955,0.9321892726855052,-374.0808104034501,-1424.5589361451164,5.068581691143827,20,20,28.726558685302734
23,,-459.15957452285,-2.29079787261425,10.1206693649292,0.0,0.0,0.0,0.3333333333333333,0.6527777777777778,0.23786407766990292,0.2912621359223301,0.470873786407767,0.5169634058797965,0.2005,0.2005,0.415,0.848131692912447,935.833441966995,47.42268041237113,-0.015435327394860034,0.4742268041237113,0.6808871645539779,-358.3292907554797,-1294.1627327224746,5.804036499432101,20,20,26.943665504455566
24,,-705.4428107227392,-3.522214053613696,2.9203765392303467,0.0,0.0,0.0,0.26229508196721313,0.47058823529411764,0.281767955801105,0.23756906077348067,0.48066298342541436,0.5128169445223175,0.10875,0.10875,0.305,0.6490154305891013,2378.227872721646,44.827586206896555,-0.12144501212020689,0.4482758620689655,0.2787450538157324,-388.6612868141614,-2766.8891595358073,5.727906485101567,20,20,27.442746877670288
25,,-604.8605454772044,-3.019302727386022,8.930748105049133,0.0,0.0,0.0,0.3049645390070922,0.6373626373626373,0.14583333333333334,0.2864583333333333,0.5677083333333334,0.5190019511664287,0.1665,0.1665,0.56,0.7435030318138209,1516.9880409020718,50.45871559633027,-62.793358662651016,0.5045871559633027,0.6688346297421289,-380.72569036674685,-1897.7137312688187,5.431641781438268,20,20,27.535175561904907
26,,-574.2702525278756,-2.866351262639378,30.680958578983944,0.0,0.0,0.0,0.21654501216545013,0.6125,0.2119205298013245,0.2185430463576159,0.5695364238410596,0.5107381023010239,0.093,0.093,0.335,0.8123438488828512,919.7770749406516,39.53488372093023,-8.807685776064172,0.3953488372093023,0.3346654820881579,-379.7878215272522,-1299.5648964679037,5.582823409436652,20,20,29.36748456954956
27,,-868.5844612525586,-4.337922306262794,0.892254114151001,0.05,0.05,0.05,0.27058823529411763,0.5079365079365079,0.3136094674556213,0.25443786982248523,0.4319526627218935,0.5111612716002856,0.10725,0.10725,0.365,0.6454925131088602,2003.1425021464534,47.94520547945205,-5.956062224315207,0.4794520547945205,0.37847128310719436,-376.3851516626081,-2379.5276538090616,5.7048451603272285,20,20,29.478405952453613
28,,-462.1648361096149,-2.3058241805480746,2.4812930822372437,0.0,0.0,0.0,0.3876146788990826,0.7375,0.3090128755364807,0.23605150214592274,0.45493562231759654,0.5078463284507161,0.258,0.258,0.315,0.9596538728362003,397.3517583803614,37.735849056603776,-0.2019477419939148,0.37735849056603776,0.7219845758979269,-374.50147517403707,-771.8532335543985,5.6503513895016395,20,20,26.03003191947937
29,,-581.0229492571493,-2.9001147462857464,2.6654751300811768,0.0,0.0,0.0,0.30787589498806683,0.5735294117647058,0.3096446700507614,0.29441624365482233,0.39593908629441626,0.5120660456651822,0.17025,0.17025,0.615,0.8584517732606188,975.0718042916764,46.15384615384615,-0.1453809547991459,0.46153846153846156,0.37444339456467424,-396.31956026786804,-1371.3913645595444,5.19404710335292,20,20,28.185710668563843
30,,-463.725378920168,-2.31362689460084,2.55941903591156,0.0,0.0,0.0,0.34352941176470586,0.6027397260273972,0.3,0.29523809523809524,0.40476190476190477,0.5087624737394508,0.22825,0.22825,0.52,0.9827438926150988,233.01221175822064,44.70588235294118,-0.3464526685378001,0.4470588235294118,0.8956672223247829,-367.9818584064606,-600.9940701646813,4.87944923932917,20,20,27.434749126434326
31,,-752.1612049494507,-3.755806024747254,1.4489450305700302,0.0,0.0,0.0,0.3880952380952381,0.6785714285714286,0.2743362831858407,0.2920353982300885,0.4336283185840708,0.5082609880903037,0.18475,0.18475,0.41,0.6991918314010296,1873.1931359190069,43.87755102040816,-0.2839150331236275,0.4387755102040816,0.6361272302011174,-354.7807789617989,-2227.9739148808058,5.589779289095405,20,20,27.01207423210144
32,,-790.4741693439559,-3.9473708467197794,1.0539737939834595,0.0,0.0,0.0,0.2813953488372093,0.5573770491803278,0.29213483146067415,0.2808988764044944,0.42696629213483145,0.5120297260457882,0.15525,0.15525,0.415,0.6660132951420762,1914.1583933847714,39.473684210526315,-0.1240492449837211,0.39473684210526316,0.5315951463435663,-368.1174031582137,-2282.275796542985,5.176376428593789,20,20,28.353984832763672
33,,-541.3999810075924,-2.7019999050379617,1.3812483549118042,0.1,0.1,0.1,0.43498817966903075,0.72,0.3466135458167331,0.2908366533864542,0.36254980079681276,0.5162236870591296,0.217,0.217,0.46,0.9173281329560523,673.9014367456831,40.65934065934066,-0.10176369670898933,0.4065934065934066,0.5005173427421445,-383.0233448344105,-1056.9247815800936,5.707451833388987,20,20,26.067261457443237
34,,-410.90899785229243,-2.049544989261462,4.985176086425781,0.15,0.15,0.15,0.5602836879432624,0.7638888888888888,0.3717105263157895,0.2993421052631579,0.32894736842105265,0.5136247059879825,0.436,0.436,0.6,0.9936222417244641,110.8453825018853,44.0,-0.17040350105026456,0.44,0.741274376531699,-361.86584256971616,-472.71122507160146,5.426266838111739,20,20,23.728964805603027
35,,-938.4901532839052,-4.687450766419526,0.8841343522071838,0.0,0.0,0.0,0.4,0.6216216216216216,0.27876106194690264,0.3495575221238938,0.37168141592920356,0.5198144805576885,0.12425,0.12425,0.675,0.49156772181287856,3662.8142576193836,40.476190476190474,-0.11128031992885574,0.40476190476190477,0.2746990730993107,-366.7820343550988,-4029.5962919744825,6.014406344182664,20,20,26.70344352722168
36,,-494.46362463871986,-2.4673181231935994,1.7074280977249146,0.05,0.05,0.05,0.38799076212471134,0.5616438356164384,0.3203125,0.32421875,0.35546875,0.5132465348552214,0.38375,0.38375,0.655,0.8429516412220444,659.884529282271,36.26373626373626,-0.5491004231196048,0.3626373626373626,0.8566792004851254,-359.3038061868476,-1019.1883354691187,4.781426398144758,20,20,26.62782645225525
