baseline,metric_id,metric_cn,direction,n_total,n_effective,wins,losses,ties,win_rate,p_value_sign_test,mean_oriented_diff,median_oriented_diff
CP-EFT,deadline_miss_rate,超时失败率,lower,1000,997,915,82,3,0.917753259779338,8.770606548785288e-179,53.425,65.0
EFT,deadline_miss_rate,超时失败率,lower,1000,982,879,103,18,0.895112016293279,3.363382641925262e-154,35.69500000000001,45.00000000000001
Greedy,deadline_miss_rate,超时失败率,lower,1000,944,696,248,56,0.7372881355932204,7.624415802549259e-50,4.71,15.0
Local-Only,deadline_miss_rate,超时失败率,lower,1000,975,830,145,25,0.8512820512820513,3.0280390059109953e-117,22.465,35.0
Random,deadline_miss_rate,超时失败率,lower,1000,961,960,1,39,0.9989594172736732,9.871411007114792e-287,79.215,90.0
Static,deadline_miss_rate,超时失败率,lower,1000,988,888,100,12,0.8987854251012146,1.5417197892121237e-158,44.75,60.0
CP-EFT,mean_cft_est,平均完工时间估计,lower,1000,1000,943,57,0,0.943,9.632435736562937e-208,11.157873522653603,12.520843667984035
EFT,mean_cft_est,平均完工时间估计,lower,1000,1000,941,59,0,0.941,2.5064496456497214e-205,11.529148556242014,12.954276275634795
Greedy,mean_cft_est,平均完工时间估计,lower,1000,1000,609,391,0,0.609,5.620303498466949e-12,-0.4339827732467652,0.7782874488830602
Local-Only,mean_cft_est,平均完工时间估计,lower,1000,1000,885,115,0,0.885,7.999136567959608e-148,3.5570083758640227,4.86739134788513
Random,mean_cft_est,平均完工时间估计,lower,1000,1000,989,11,0,0.989,4.474616847641081e-276,12.265819423351306,13.48083631992342
Static,mean_cft_est,平均完工时间估计,lower,1000,1000,888,112,0,0.888,1.690672606829555e-150,3.738770941362387,5.291148977279674
CP-EFT,power_ratio_mean,远端功率比例,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.40703470537683245,-0.40003939368140434
EFT,power_ratio_mean,远端功率比例,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.3690211099579047,-0.36125435023661684
Greedy,power_ratio_mean,远端功率比例,lower,1000,1000,1000,0,0,1.0,1.8665272370065654e-301,0.4919911329088063,0.4961853731123362
Local-Only,power_ratio_mean,远端功率比例,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.5080088670911936,-0.5038146268876638
Random,power_ratio_mean,远端功率比例,lower,1000,1000,997,3,0,0.997,3.1108943014000644e-293,0.09441183806819999,0.09858280152752597
Static,power_ratio_mean,远端功率比例,lower,1000,1000,1000,0,0,1.0,1.8665272370065654e-301,0.4919911329088063,0.4961853731123362
CP-EFT,reward_mean,平均步奖励,higher,1000,1000,939,61,0,0.939,6.072151121718361e-203,0.5031981368258767,0.5925933289916727
EFT,reward_mean,平均步奖励,higher,1000,1000,939,61,0,0.939,6.072151121718361e-203,0.5504561031981853,0.6507834590469859
Greedy,reward_mean,平均步奖励,higher,1000,1000,847,153,0,0.847,5.32875881266288e-117,-0.03833430468748478,0.0720839225308314
Local-Only,reward_mean,平均步奖励,higher,1000,1000,924,76,0,0.924,5.789921988450567e-186,0.34269842202939527,0.4423484329506824
Random,reward_mean,平均步奖励,higher,1000,1000,973,27,0,0.973,1.2372148058786725e-248,0.8741718093149002,0.9225533326996773
Static,reward_mean,平均步奖励,higher,1000,1000,886,114,0,0.886,1.0367485105023024e-148,0.082561658267076,0.19409108663087538
CP-EFT,rho_selected_p10,远端信誉分位数(p10),higher,1000,846,559,287,154,0.6607565011820331,5.508671225910037e-21,0.04738282920569181,0.04088237285614016
EFT,rho_selected_p10,远端信誉分位数(p10),higher,1000,935,720,215,65,0.7700534759358288,2.739936943648264e-64,0.10201309965103865,0.09425553679466248
Greedy,rho_selected_p10,远端信誉分位数(p10),higher,1000,996,169,827,4,0.16967871485943775,1.1956683124176709e-104,-0.1273940477877855,-0.11909232437610623
Local-Only,rho_selected_p10,远端信誉分位数(p10),higher,1000,1000,1000,0,0,1.0,1.8665272370065654e-301,0.5421647018179298,0.5211123049259185
Random,rho_selected_p10,远端信誉分位数(p10),higher,1000,842,558,284,158,0.66270783847981,2.2459222274024476e-21,0.047771433119475834,0.04402285814285278
Static,rho_selected_p10,远端信誉分位数(p10),higher,1000,998,870,128,2,0.8717434869739479,3.519538611828282e-136,0.18872036504596473,0.2009844183921814
CP-EFT,subtask_success_rate,子任务成功率,higher,1000,1000,930,70,0,0.93,1.4207963150055313e-192,29.61935985966437,36.144565076052054
EFT,subtask_success_rate,子任务成功率,higher,1000,1000,930,70,0,0.93,1.4207963150055313e-192,26.334735858150047,32.53130092308393
Greedy,subtask_success_rate,子任务成功率,higher,1000,1000,757,243,0,0.757,5.3563574362379725e-62,-1.9282840198601368,4.006604923121017
Local-Only,subtask_success_rate,子任务成功率,higher,1000,1000,852,148,0,0.852,9.347238823717823e-121,3.231242531598958,9.749559652168564
Random,subtask_success_rate,子任务成功率,higher,1000,1000,996,4,0,0.996,7.761728085446959e-291,75.4717564163784,81.7081100473105
Static,subtask_success_rate,子任务成功率,higher,1000,1000,904,96,0,0.904,1.8909242144998457e-165,28.89688836288134,38.68719686646339
CP-EFT,task_success_rate,任务成功率,higher,1000,997,915,82,3,0.917753259779338,8.770606548785288e-179,53.425,65.0
EFT,task_success_rate,任务成功率,higher,1000,982,879,103,18,0.895112016293279,3.363382641925262e-154,35.695,45.0
Greedy,task_success_rate,任务成功率,higher,1000,944,696,248,56,0.7372881355932204,7.624415802549259e-50,4.71,15.0
Local-Only,task_success_rate,任务成功率,higher,1000,975,830,145,25,0.8512820512820513,3.0280390059109953e-117,22.464999999999993,34.99999999999999
Random,task_success_rate,任务成功率,higher,1000,961,960,1,39,0.9989594172736732,9.871411007114792e-287,79.215,90.0
Static,task_success_rate,任务成功率,higher,1000,988,888,100,12,0.8987854251012146,1.5417197892121237e-158,44.75,60.0
CP-EFT,time_limit_rate,时间上限截断率,lower,1000,913,893,20,87,0.9780941949616648,1.5948508518847625e-234,87.3,100.0
EFT,time_limit_rate,时间上限截断率,lower,1000,911,893,18,89,0.9802414928649835,2.9047355616301793e-237,87.5,100.0
Greedy,time_limit_rate,时间上限截断率,lower,1000,104,0,104,896,0.0,9.860761315262698e-32,-10.4,0.0
Local-Only,time_limit_rate,时间上限截断率,lower,1000,104,0,104,896,0.0,9.860761315262698e-32,-10.4,0.0
Random,time_limit_rate,时间上限截断率,lower,1000,896,896,0,104,1.0,3.785766995733812e-270,89.6,100.0
Static,time_limit_rate,时间上限截断率,lower,1000,104,0,104,896,0.0,9.860761315262698e-32,-10.4,0.0
CP-EFT,trust_failure_rate,信誉失败率,lower,1000,1000,320,680,0,0.32,1.671227781889053e-30,-0.057645457467278644,-0.04974535517364981
EFT,trust_failure_rate,信誉失败率,lower,1000,1000,428,572,0,0.428,5.913997875105966e-06,-0.027908013803078505,-0.017862488330964904
Greedy,trust_failure_rate,信誉失败率,lower,1000,1000,215,785,0,0.215,8.904049078381152e-77,-0.0840924793726242,-0.07906205661549578
Local-Only,trust_failure_rate,信誉失败率,lower,1000,1000,0,1000,0,0.0,1.8665272370065654e-301,-0.22683304075346003,-0.21544278028209973
Random,trust_failure_rate,信誉失败率,lower,1000,999,267,732,1,0.2672672672672673,1.225746460805637e-50,-0.07237509343535424,-0.06323884414429806
Static,trust_failure_rate,信誉失败率,lower,1000,1000,924,76,0,0.924,5.789921988450567e-186,0.22927915661545809,0.2587391530763243
