phase,method,policy,metric_id,metric_cn,direction,mean,std,n
中期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.0,0.0,333
中期,EFT,EFT,deadline_miss_rate,超时失败率,lower,55.000000000000014,7.116120256588948e-15,333
中期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,25.0,0.0,333
中期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,45.0,0.0,333
中期,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,333
中期,Static,Static,deadline_miss_rate,超时失败率,lower,70.0,0.0,333
中期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,14.024024024024024,17.07158985402354,333
前期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,72.61261261261261,7.882233153047242,333
前期,EFT,EFT,deadline_miss_rate,超时失败率,lower,59.429429429429426,9.108051448004272,333
前期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,26.47147147147147,12.434040307575756,333
前期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,39.729729729729726,9.390407127013786,333
前期,Random,Random,deadline_miss_rate,超时失败率,lower,99.98498498498499,0.27399831217559556,333
前期,Static,Static,deadline_miss_rate,超时失败率,lower,56.57657657657658,21.38624271351791,333
前期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,34.27927927927928,36.89683709250434,333
后期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,75.0,0.0,334
后期,EFT,EFT,deadline_miss_rate,超时失败率,lower,55.000000000000014,7.116088169834175e-15,334
后期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,25.0,0.0,334
后期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,45.0,0.0,334
后期,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,334
后期,Static,Static,deadline_miss_rate,超时失败率,lower,70.0,0.0,334
后期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,14.05688622754491,17.568221306806073,334
中期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,23.80760850906373,3.558060128294474e-15,333
中期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,24.254276275634773,0.0,333
中期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.024721288681011,1.779030064147237e-15,333
中期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.16739134788511,3.558060128294474e-15,333
中期,Random,Random,mean_cft_est,平均完工时间估计,lower,24.761730194091797,0.0,333
中期,Static,Static,mean_cft_est,平均完工时间估计,lower,16.612932920455926,3.558060128294474e-15,333
中期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.354240422921833,1.8147621981306945,333
前期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,23.547487126112706,1.5507552471335069,333
前期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,23.76775028913229,1.4569879190296462,333
前期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.338266345616915,1.1794914553504814,333
前期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.025444182318587,0.8973342313724425,333
前期,Random,Random,mean_cft_est,平均完工时间估计,lower,24.963543392731264,0.47890404097446654,333
前期,Static,Static,mean_cft_est,平均完工时间估计,lower,15.678856604521686,1.699604020672811,333
前期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,15.092862720059903,5.905613003097104,333
后期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,23.80760850906373,3.558044084917087e-15,334
后期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,24.254276275634773,0.0,334
后期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.024721288681013,0.0,334
后期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,16.16739134788511,3.558044084917087e-15,334
后期,Random,Random,mean_cft_est,平均完工时间估计,lower,24.761730194091797,0.0,334
后期,Static,Static,mean_cft_est,平均完工时间估计,lower,16.612932920455926,3.558044084917087e-15,334
后期,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,11.246195267288966,1.8015699921728123,334
中期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.1023756182266629,0.0,333
中期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.13879386492111911,2.779734475230058e-17,333
中期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,333
中期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,333
中期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6026301518823968,0.0,333
中期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,333
中期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.4850628289297637,0.031002406508328428,333
前期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.09816704011164273,0.01616204963936658,333
前期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.13937612381652403,0.019764621347804323,333
前期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,333
前期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,333
前期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6020011827442492,0.0022996754856822945,333
前期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,333
前期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.49629920174616676,0.021603099859058204,333
后期,CP-EFT,CP-EFT,power_ratio_mean,远端功率比例,lower,0.10237561822666288,1.3898609706707372e-17,334
后期,EFT,EFT,power_ratio_mean,远端功率比例,lower,0.1387938649211191,0.0,334
后期,Greedy,Greedy,power_ratio_mean,远端功率比例,lower,1.0,0.0,334
后期,Local-Only,Local-Only,power_ratio_mean,远端功率比例,lower,0.0,0.0,334
后期,Random,Random,power_ratio_mean,远端功率比例,lower,0.6026301518823967,1.1118887765365898e-16,334
后期,Static,Static,power_ratio_mean,远端功率比例,lower,1.0,0.0,334
后期,当前算法(MAPPO),MAPPO,power_ratio_mean,远端功率比例,lower,0.5425608110063137,0.02258072525731655,334
中期,CP-EFT,CP-EFT,reward_mean,平均步奖励,higher,-2.1237808844569668,0.0,333
