episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-1634.536045170299,-8.167680225851495,1.0932636260986328,0.0,0.0,0.0,0.08674698795180723,0.4489795918367347,0.09859154929577464,0.14084507042253522,0.7605633802816901,0.49244170732493514,0.03925,0.03925,0.045,0.6002318573007205,4672.129764871909,22.22222222222222,-1557643.3062567248,0.2222222222222222,0.20428221172606628,-29.802151951290444,-4701.9319168232,5.126634849231902,20,20,30.63252902030945
2,,-1511.445212730303,-7.552226063651514,2.8228724002838135,0.0,0.0,0.0,0.07857142857142857,0.4,0.10526315789473684,0.11842105263157894,0.7763157894736842,0.5031587016419508,0.0525,0.0525,0.075,0.6038539049916267,4390.115677065956,35.59322033898305,-1708228.2239561502,0.3559322033898305,0.5454544107229788,-0.37881176258782534,-4390.4944888285445,4.843115369389194,20,20,30.533015251159668
3,,-1929.0702819095252,-9.640351409547627,1.0656214952468872,0.0,0.0,0.0,0.12589073634204276,0.5,0.16494845360824742,0.12371134020618557,0.711340206185567,0.5003054815956857,0.06975,0.06975,0.085,0.5550548757251015,4935.180805159449,33.33333333333333,-2168.62041931672,0.3333333333333333,0.3599235433538378,-6.558471945134895,-4941.739277104583,5.462953273924578,20,20,29.316354513168335
4,,-701.3487594453989,-3.5017437972269945,0.6028991341590881,0.0,0.0,0.0,0.11448598130841121,0.4305555555555556,0.10084033613445378,0.17647058823529413,0.7226890756302521,0.5067637803074904,0.08625,0.08625,0.13,0.4572274957796772,2672.6850330655875,30.23255813953488,-116777.4442946882,0.3023255813953488,0.22973900349494658,-13.773107788201909,-2686.4581408537892,4.90610759961464,20,20,30.35781979560852
5,,-923.1842885470219,-4.610921442735109,17.52382133156061,0.0,0.0,0.0,0.1642512077294686,0.5,0.11206896551724138,0.16379310344827586,0.7241379310344828,0.49540487667312844,0.0735,0.0735,0.1,0.5001208192666518,3485.882139091433,34.523809523809526,-128241.03500020716,0.34523809523809523,0.4465167113805426,-3.1381203638304425,-3489.0202594552634,5.1492969382572085,20,20,29.557517051696777
6,,-1477.4688477374818,-7.382344238687409,3.5092413425445557,0.0,0.0,0.0,0.11246943765281174,0.4444444444444444,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.5041107555858325,0.03975,0.03975,0.09,0.583056097973578,3262.4210801512636,33.92857142857143,-14478.78814201569,0.3392857142857143,0.35879698875270427,-2.047657587049602,-3264.4687377383134,5.693696638472796,20,20,29.61070156097412
7,,-2120.839398981475,-10.599196994907375,1.3928989171981812,0.0,0.0,0.0,0.15294117647058825,0.5178571428571429,0.25663716814159293,0.20353982300884957,0.5398230088495575,0.4937349553470267,0.05575,0.05575,0.17,0.6653515317941969,4792.037523140774,29.508196721311474,-1484726.529734454,0.29508196721311475,0.306806675744717,-9.281390424362087,-4801.318913565136,5.557351300790321,20,20,29.693308353424072
8,,-1532.1152825049946,-7.655576412524973,2.338362534840902,0.0,0.0,0.0,0.1574074074074074,0.5138888888888888,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.495566552645294,0.11775,0.11775,0.145,0.6376083775032501,3611.950408070727,43.20987654320987,-32.23947304824648,0.43209876543209874,0.6743357176259336,-7.7891546828095795,-3619.7395627535366,5.0991017352422086,20,20,30.22006130218506
9,,-1528.818539109186,-7.63909269554593,0.7358736312016845,0.0,0.0,0.0,0.17560975609756097,0.5238095238095238,0.216,0.216,0.568,0.5002440582436976,0.122,0.122,0.21,0.594378201751467,4154.148063185713,43.66197183098591,-3838.511869580101,0.43661971830985913,0.5999076356853138,-6.031389345737198,-4160.17945253145,5.0715591067634875,20,20,29.041804790496826
10,,-1415.2246492775157,-7.071123246387579,0.7919116094708443,0.05,0.05,0.05,0.2144638403990025,0.5789473684210527,0.22900763358778625,0.24427480916030533,0.5267175572519084,0.49529374594264663,0.095,0.095,0.24,0.4739300443715714,4400.452236558489,46.3768115942029,-73.05529370334577,0.463768115942029,0.5747418543938608,-1.62623567109974,-4402.078472229588,5.5864143941462325,20,20,26.837543964385986
