phase,method,policy,metric_id,metric_cn,direction,mean,std,n
中期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,55.000000000000014,7.116120256588948e-15,333
中期,EFT,EFT,deadline_miss_rate,超时失败率,lower,70.0,0.0,333
中期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,0.0,333
中期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,75.0,0.0,333
中期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,35.0,0.0,333
中期,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,333
中期,Static,Static,deadline_miss_rate,超时失败率,lower,5.0,0.0,333
中期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,14.414414414414415,16.746768327953696,333
前期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,61.51651651651652,11.778472188951376,333
前期,EFT,EFT,deadline_miss_rate,超时失败率,lower,71.78678678678679,6.987911649589989,333
前期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,20.555555555555557,14.584839279674025,333
前期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,76.35135135135135,6.4918604949907355,333
前期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,32.82282282282282,6.630648659537356,333
前期,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,333
前期,Static,Static,deadline_miss_rate,超时失败率,lower,14.624624624624625,17.5646892219615,333
前期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,51.726726726726724,37.08635852102219,333
后期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,55.000000000000014,7.116088169834175e-15,334
后期,EFT,EFT,deadline_miss_rate,超时失败率,lower,70.0,0.0,334
后期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,0.0,334
后期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,75.0,0.0,334
后期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,35.0,0.0,334
后期,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,334
后期,Static,Static,deadline_miss_rate,超时失败率,lower,5.0,0.0,334
后期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,15.6437125748503,18.57026278891257,334
中期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,21.896708106994627,3.558060128294474e-15,333
中期,EFT,EFT,mean_cft_est,平均完工时间估计,lower,22.34286260604859,0.0,333
中期,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.755560407638525,0.0,333
中期,LB-Greedy,LB-Greedy,mean_cft_est,平均完工时间估计,lower,22.463456459045407,3.558060128294474e-15,333
中期,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,14.973786973953228,3.558060128294474e-15,333
