window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,rank
全程,Static,Static,deadline_miss_rate,超时失败率,lower,8.205,11.096220126741407,5.0,5.0,10.0,7.54,8.917625,1000,1.0
全程,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,16.85,8.806534792701104,15.0,15.0,15.0,16.347375,17.41,1000,2.0
全程,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,27.25,31.062878205382102,0.0,15.0,80.0,25.272125000000003,29.167875,1000,3.0
全程,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,34.275,3.957908543667986,35.0,35.0,35.0,34.03,34.52,1000,4.0
全程,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,57.17,7.452962273260654,55.00000000000001,55.00000000000001,60.0,56.732375,57.637625,1000,5.0
全程,EFT,EFT,deadline_miss_rate,超时失败率,lower,70.595,4.115569573329179,70.0,70.0,70.0,70.34,70.857625,1000,6.0
全程,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,75.45,3.7963023999560295,75.0,75.0,75.0,75.215,75.69,1000,7.0
全程,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,1000,8.0
末100,Static,Static,deadline_miss_rate,超时失败率,lower,5.0,0.0,5.0,5.0,5.0,5.0,5.0,100,1.0
末100,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,0.0,15.0,15.0,15.0,15.0,15.0,100,2.0
末100,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.95,19.798160816529695,0.0,10.0,50.50000000000004,14.12375,22.05,100,3.0
末100,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,35.0,0.0,35.0,35.0,35.0,35.0,35.0,100,4.0
末100,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,55.00000000000001,0.0,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,100,5.0
末100,EFT,EFT,deadline_miss_rate,超时失败率,lower,70.0,0.0,70.0,70.0,70.0,70.0,70.0,100,6.0
末100,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,75.0,0.0,75.0,75.0,75.0,75.0,75.0,100,7.0
末100,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100,8.0
末300,Static,Static,deadline_miss_rate,超时失败率,lower,5.0,0.0,5.0,5.0,5.0,5.0,5.0,300,1.0
末300,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,0.0,15.0,15.0,15.0,15.0,15.0,300,2.0
末300,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,16.25,18.983908870056823,0.0,10.0,45.0,14.124583333333334,18.45,300,3.0
末300,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,35.0,0.0,35.0,35.0,35.0,35.0,35.0,300,4.0
末300,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,55.000000000000014,7.117299424956988e-15,55.00000000000001,55.00000000000001,55.00000000000001,55.000000000000014,55.000000000000014,300,5.0
末300,EFT,EFT,deadline_miss_rate,超时失败率,lower,70.0,0.0,70.0,70.0,70.0,70.0,70.0,300,6.0
末300,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,75.0,0.0,75.0,75.0,75.0,75.0,75.0,300,7.0
末300,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,300,8.0
末500,Static,Static,deadline_miss_rate,超时失败率,lower,5.0,0.0,5.0,5.0,5.0,5.0,5.0,500,1.0
末500,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,15.0,0.0,15.0,15.0,15.0,15.0,15.0,500,2.0
末500,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,15.48,18.12253991320785,0.0,10.0,40.0,14.04475,17.145249999999997,500,3.0
末500,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,35.0,0.0,35.0,35.0,35.0,35.0,35.0,500,4.0
末500,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,55.00000000000001,0.0,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,55.00000000000001,500,5.0
末500,EFT,EFT,deadline_miss_rate,超时失败率,lower,70.0,0.0,70.0,70.0,70.0,70.0,70.0,500,6.0
末500,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,75.0,0.0,75.0,75.0,75.0,75.0,75.0,500,7.0
末500,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,500,8.0
全程,Static,Static,mean_cft_est,平均完工时间估计,lower,11.960567261571857,0.9846940811371524,11.682565803527806,11.682565803527806,12.141494277954086,11.90071122058842,12.024277745884632,1000,1.0
全程,Greedy,Greedy,mean_cft_est,平均完工时间估计,lower,12.778471401462529,0.6730989202808518,12.755560407638525,12.755560407638525,12.755560407638525,12.739962885145637,12.821964181003304,1000,2.0
全程,当前算法(MAPPO),MAPPO,mean_cft_est,平均完工时间估计,lower,13.740548273859009,5.061520063801062,9.39999999999998,11.782490592002848,23.332643070220946,13.4214610195968,14.06105004105042,1000,3.0
全程,Local-Only,Local-Only,mean_cft_est,平均完工时间估计,lower,15.047641840085962,0.5926240096916233,14.973786973953224,14.973786973953224,14.973786973953224,15.01156307014749,15.085433102659442,1000,4.0
全程,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,21.977513676376343,0.7997066568163247,21.89670810699463,21.89670810699463,21.89670810699463,21.92613321324635,22.025261453094725,1000,5.0
