window,method,policy,n,on_task_rate_mean,illegal_action_rate_all_steps_mean,illegal_action_rate_on_task_mean,unified_illegal_trigger_rate_all_steps_mean,unified_illegal_trigger_rate_on_task_mean,decision_frac_local_all_steps_mean,decision_frac_local_on_task_mean,decision_frac_rsu_all_steps_mean,decision_frac_rsu_on_task_mean,decision_frac_v2v_all_steps_mean,decision_frac_v2v_on_task_mean
全程,CP-EFT,CP-EFT,120,0.083062855909933,0.0,0.0,0.0,0.0,0.9386758858682593,0.9386758858682593,0.03672377970485385,0.03672377970485385,0.024600334426886663,0.024600334426886663
全程,EFT,EFT,120,0.08156990286022792,0.0,0.0,0.0,0.0,0.9289041049641182,0.9289041049641182,0.04242605802728896,0.04242605802728896,0.02866983700859281,0.02866983700859281
全程,Greedy,Greedy,120,0.21016779420366222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
全程,LB-Greedy,LB-Greedy,120,0.07479428429875871,0.0,0.0,0.0,0.0,0.9315190616774284,0.9315190616774284,0.03861780059973983,0.03861780059973983,0.02986313772283185,0.02986313772283185
全程,Local-Only,Local-Only,120,0.13631066152604057,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
全程,Random,Random,120,0.024485416666666673,0.0,0.0,0.0,0.0,0.07602916666666666,0.07602916666666666,0.11929791666666668,0.11929791666666668,0.8046729166666667,0.8046729166666667
全程,Static,Static,120,0.18561270565069796,0.0,0.0,0.0,0.0,0.24792720577872004,0.24792720577872004,0.7520727942212798,0.7520727942212798,0.0,0.0
全程,当前算法(MAPPO),MAPPO,1000,0.2100295910854414,0.0,0.0,0.0,0.0,0.030609109851608866,0.030609109851608866,0.8944506101069014,0.8944506101069014,0.0749402800414897,0.0749402800414897
末100,CP-EFT,CP-EFT,100,0.08260714763495809,0.0,0.0,0.0,0.0,0.9388990262239338,0.9388990262239338,0.03632473360279723,0.03632473360279723,0.02477624017326886,0.02477624017326886
末100,EFT,EFT,100,0.0824713834322735,0.0,0.0,0.0,0.0,0.9280074259569419,0.9280074259569419,0.042886269632746755,0.042886269632746755,0.029106304410311368,0.029106304410311368
末100,Greedy,Greedy,100,0.20946995619006362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末100,LB-Greedy,LB-Greedy,100,0.07549814115851045,0.0,0.0,0.0,0.0,0.9308303740129139,0.9308303740129139,0.03890636071968779,0.03890636071968779,0.03026326526739822,0.03026326526739822
末100,Local-Only,Local-Only,100,0.13614283071480077,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末100,Random,Random,100,0.024375,0.0,0.0,0.0,0.0,0.0764225,0.0764225,0.11915749999999999,0.11915749999999999,0.8044199999999999,0.8044199999999999
末100,Static,Static,100,0.1862880739758507,0.0,0.0,0.0,0.0,0.2476087798838743,0.2476087798838743,0.7523912201161257,0.7523912201161257,0.0,0.0
末100,当前算法(MAPPO),MAPPO,100,0.24371404430823207,0.0,0.0,0.0,0.0,0.0002538411985061,0.0002538411985061,0.9986327685858077,0.9986327685858077,0.0011133902156861921,0.0011133902156861921
末300,CP-EFT,CP-EFT,120,0.083062855909933,0.0,0.0,0.0,0.0,0.9386758858682593,0.9386758858682593,0.03672377970485385,0.03672377970485385,0.024600334426886663,0.024600334426886663
末300,EFT,EFT,120,0.08156990286022792,0.0,0.0,0.0,0.0,0.9289041049641182,0.9289041049641182,0.04242605802728896,0.04242605802728896,0.02866983700859281,0.02866983700859281
末300,Greedy,Greedy,120,0.21016779420366222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末300,LB-Greedy,LB-Greedy,120,0.07479428429875871,0.0,0.0,0.0,0.0,0.9315190616774284,0.9315190616774284,0.03861780059973983,0.03861780059973983,0.02986313772283185,0.02986313772283185
末300,Local-Only,Local-Only,120,0.13631066152604057,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
末300,Random,Random,120,0.024485416666666673,0.0,0.0,0.0,0.0,0.07602916666666666,0.07602916666666666,0.11929791666666668,0.11929791666666668,0.8046729166666667,0.8046729166666667
末300,Static,Static,120,0.18561270565069796,0.0,0.0,0.0,0.0,0.24792720577872004,0.24792720577872004,0.7520727942212798,0.7520727942212798,0.0,0.0
末300,当前算法(MAPPO),MAPPO,300,0.24243147087511774,0.0,0.0,0.0,0.0,0.00022734191430230302,0.00022734191430230302,0.9983320442926716,0.9983320442926716,0.0014406137930258888,0.0014406137930258888
末500,CP-EFT,CP-EFT,120,0.083062855909933,0.0,0.0,0.0,0.0,0.9386758858682593,0.9386758858682593,0.03672377970485385,0.03672377970485385,0.024600334426886663,0.024600334426886663
末500,EFT,EFT,120,0.08156990286022792,0.0,0.0,0.0,0.0,0.9289041049641182,0.9289041049641182,0.04242605802728896,0.04242605802728896,0.02866983700859281,0.02866983700859281
末500,Greedy,Greedy,120,0.21016779420366222,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
末500,LB-Greedy,LB-Greedy,120,0.07479428429875871,0.0,0.0,0.0,0.0,0.9315190616774284,0.9315190616774284,0.03861780059973983,0.03861780059973983,0.02986313772283185,0.02986313772283185
末500,Local-Only,Local-Only,120,0.13631066152604057,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
