window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
全程,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.458333333333332,19.671630314127153,0.0,10.0,50.0,13.916666666666666,21.12708333333332,120,120,matched_tail_raw_baseline,1.0
全程,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,15.0,30.0,40.0,27.208333333333332,30.75,120,120,matched_tail_raw_baseline,2.0
全程,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,30.416666666666668,20.98001583473593,5.0,30.0,60.0,26.644791666666666,34.06354166666666,120,120,matched_tail_raw_baseline,3.0
全程,Static,Static,deadline_miss_rate,超时失败率,lower,31.708333333333332,20.0157063677643,5.0,25.0,60.0,28.164583333333333,35.29374999999999,120,120,matched_tail_raw_baseline,4.0
全程,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,73.08333333333333,13.271301781678847,55.00000000000001,75.0,90.0,70.66666666666667,75.33333333333333,120,120,matched_tail_raw_baseline,5.0
全程,EFT,EFT,deadline_miss_rate,超时失败率,lower,74.95833333333333,10.971617955444131,60.0,75.0,85.50000000000004,73.125,76.875,120,120,matched_tail_raw_baseline,6.0
全程,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,78.75,10.416736694442484,65.0,80.0,90.0,76.83333333333333,80.54166666666667,120,120,matched_tail_raw_baseline,7.0
全程,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,120,120,matched_tail_raw_baseline,8.0
末100,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.95,19.798160816529695,0.0,10.0,50.50000000000004,14.3,21.75,100,100,matched_tail_raw_baseline,1.0
末100,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,29.6,9.683892697555967,15.0,30.0,40.0,27.8,31.476249999999993,100,100,matched_tail_raw_baseline,2.0
末100,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,31.9,21.70486143934142,5.0,30.0,60.0,27.92375,36.15,100,100,matched_tail_raw_baseline,3.0
末100,Static,Static,deadline_miss_rate,超时失败率,lower,32.8,20.20500987979031,5.0,27.5,60.0,28.95,36.77624999999999,100,100,matched_tail_raw_baseline,4.0
末100,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,72.75,13.695368973238045,50.0,75.0,85.50000000000004,70.0,75.45,100,100,matched_tail_raw_baseline,5.0
末100,EFT,EFT,deadline_miss_rate,超时失败率,lower,74.7,11.3667066559325,60.0,75.0,85.50000000000004,72.5,76.9,100,100,matched_tail_raw_baseline,6.0
末100,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,77.75,10.525941979008556,65.0,80.0,90.0,75.75,79.7,100,100,matched_tail_raw_baseline,7.0
末100,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100,100,matched_tail_raw_baseline,8.0
末300,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.458333333333332,19.671630314127153,0.0,10.0,50.0,13.936458333333333,20.791666666666668,120,120,matched_tail_raw_baseline,1.0
末300,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,15.0,30.0,40.0,27.125,30.666666666666668,120,120,matched_tail_raw_baseline,2.0
末300,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,30.416666666666668,20.98001583473593,5.0,30.0,60.0,26.708333333333332,34.166666666666664,120,120,matched_tail_raw_baseline,3.0
末300,Static,Static,deadline_miss_rate,超时失败率,lower,31.708333333333332,20.0157063677643,5.0,25.0,60.0,28.14270833333333,35.375,120,120,matched_tail_raw_baseline,4.0
末300,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,73.08333333333333,13.271301781678847,55.00000000000001,75.0,90.0,70.45833333333333,75.396875,120,120,matched_tail_raw_baseline,5.0
末300,EFT,EFT,deadline_miss_rate,超时失败率,lower,74.95833333333333,10.971617955444131,60.0,75.0,85.50000000000004,73.0,76.95833333333333,120,120,matched_tail_raw_baseline,6.0
末300,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,78.75,10.416736694442484,65.0,80.0,90.0,76.87291666666667,80.646875,120,120,matched_tail_raw_baseline,7.0
末300,Random,Random,deadline_miss_rate,超时失败率,lower,100.0,0.0,100.0,100.0,100.0,100.0,100.0,120,120,matched_tail_raw_baseline,8.0
末500,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.458333333333332,19.671630314127153,0.0,10.0,50.0,14.061458333333333,20.916666666666668,120,120,matched_tail_raw_baseline,1.0
末500,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,15.0,30.0,40.0,27.291666666666668,30.708333333333332,120,120,matched_tail_raw_baseline,2.0
末500,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,30.416666666666668,20.98001583473593,5.0,30.0,60.0,26.708333333333332,34.25,120,120,matched_tail_raw_baseline,3.0
末500,Static,Static,deadline_miss_rate,超时失败率,lower,31.708333333333332,20.0157063677643,5.0,25.0,60.0,27.791666666666668,35.002083333333324,120,120,matched_tail_raw_baseline,4.0
末500,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,73.08333333333333,13.271301781678847,55.00000000000001,75.0,90.0,70.58333333333333,75.25,120,120,matched_tail_raw_baseline,5.0
