episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-5.1709792893058655,-1034.1958578611732,0.25,0.25,0.5,0.7402597402597403,0.943,0.03425,0.02275,0.943,0.03425,0.02275,0.009925654706892207,0.17413429310337214,1.0,20.000000000000014,25.56076974868775,6.679999999999993,6.679999999999993,7.2799999999999905,0.75,1.0,0.0,0.934,0.0,9.8554637588677e-06,0.0,2.373934648858267e-06,9.8554637588677e-06,2.373934648858267e-06,0.7098325490951538,0.5,0.0868472084403038,,,,,0.1968928426504135,0.5,225,0.0,0.0,0.0,204,34,0.16666666666666666,34,0.09825,1.79
2,EFT,-1.9536325608585212,-390.72651217170426,0.5,0.5,0.7681498829039812,0.9391304347826087,0.91625,0.0485,0.03525,0.91625,0.0485,0.03525,0.014341523980312909,0.17124207737687056,1.0,20.000000000000014,21.82187023162842,8.189999999999987,8.189999999999987,10.529999999999978,0.5,1.0,0.0,0.90375,0.0,5.178580522624543e-06,0.0,8.990910238537708e-10,5.178580522624543e-06,8.990910238537708e-10,0.7137334942817688,0.5,0.08625621348619461,,,,,0.15886564552783966,0.5,332,0.0,0.0,0.0,324,46,0.1419753086419753,46,0.15525,2.465
3,EFT,-2.8570607736346627,-571.4121547269325,0.1,0.1,0.5632458233890215,0.83,0.9195,0.04725,0.03325,0.9195,0.04725,0.03325,0.0096302416998227,0.11963033167481611,1.0,20.000000000000014,25.01718873977661,9.799999999999981,9.799999999999981,11.239999999999975,0.9,1.0,0.0,0.906,0.0,5.543044153455412e-06,0.0,4.414973631128305e-08,5.543044153455412e-06,4.414973631128305e-08,0.5351017117500305,0.3404255211353302,0.16395612061023712,,,,,0.15768203139305115,0.5,320,0.0,0.0,0.0,300,117,0.39,117,0.1445,2.28
4,EFT,-3.6330388695443916,-726.6077739088784,0.2,0.2,0.543640897755611,0.7294117647058823,0.9395,0.035,0.0255,0.9395,0.035,0.0255,0.01127624322419804,0.18638418552393454,1.0,20.000000000000014,24.45982608795166,8.399999999999986,8.399999999999986,12.40499999999997,0.8,1.0,0.0,0.9315,0.0,3.1135127755987924e-06,0.0,1.374721847469118e-08,3.1135127755987924e-06,1.374721847469118e-08,0.7576498985290527,0.5,0.06834128499031067,,,,,0.18602009117603302,0.5,236,0.0,0.0,0.0,212,29,0.13679245283018868,29,0.091,1.83
5,EFT,-3.65812619875193,-731.625239750386,0.2,0.2,0.5947867298578199,0.8260869565217391,0.92575,0.04125,0.033,0.92575,0.04125,0.033,0.014636698208867585,0.1971272486042773,1.0,20.000000000000014,22.965158557891847,8.749999999999986,8.749999999999986,11.069999999999975,0.8,1.0,0.0,0.91575,0.0,6.492865395557601e-06,0.0,1.7838259225300135e-07,6.492865395557601e-06,1.7838259225300135e-07,0.6732276082038879,0.5,0.10427665710449219,,,,,0.1703430563211441,0.5,294,0.0,0.0,0.0,277,67,0.24187725631768953,67,0.16425,2.22
6,EFT,-3.2411749742582843,-648.2349948516569,0.1,0.1,0.35903614457831323,0.676923076923077,0.94725,0.03475,0.018,0.94725,0.03475,0.018,0.009185485558786278,0.17413242765471618,1.0,20.000000000000014,24.6222243309021,7.649999999999989,7.649999999999989,9.044999999999984,0.9,1.0,0.0,0.939,0.0,2.9011955575697357e-06,0.0,2.7397073498747204e-10,2.9011955575697357e-06,2.7397073498747204e-10,0.5462309122085571,0.3125,0.1625857949256897,,,,,0.19089795649051666,0.5,211,0.0,0.0,0.0,189,69,0.36507936507936506,69,0.057,1.47
7,EFT,-3.497039453681788,-699.4078907363577,0.35,0.35,0.6102088167053364,0.8089887640449438,0.921,0.04975,0.02925,0.921,0.04975,0.02925,0.015293918558377138,0.19359390580224223,1.0,20.000000000000014,24.625666332244876,8.78571428571427,8.78571428571427,13.829999999999965,0.65,1.0,0.0,0.9075,0.0,7.4513441177259665e-06,0.0,2.3167415008629177e-07,7.4513441177259665e-06,2.3167415008629177e-07,0.628067672252655,0.38830846548080444,0.12461534887552261,,,,,0.16084767878055573,0.5,314,0.0,0.0,0.0,297,87,0.29292929292929293,87,0.16075,2.575
8,EFT,-3.797826255209893,-759.5652510419786,0.3,0.3,0.5641646489104116,0.7432432432432432,0.9395,0.0365,0.024,0.9395,0.0365,0.024,0.012709938352239686,0.21008162565685423,1.0,20.000000000000014,26.41933555603028,6.7333333333333245,6.7333333333333245,11.299999999999976,0.7,1.0,0.0,0.93,0.0,2.1652583654940827e-06,0.0,3.396408487787994e-08,2.1652583654940827e-06,3.396408487787994e-08,0.749270498752594,0.5,0.0753927156329155,,,,,0.1957002580165863,0.5,238,0.0,0.0,0.0,219,28,0.1278538812785388,28,0.11175,1.75
9,EFT,-3.4031775090328087,-680.6355018065617,0.25,0.25,0.5644028103044496,0.7761194029850746,0.936,0.04425,0.01975,0.936,0.04425,0.01975,0.007957705432433768,0.12433914738177765,1.0,20.000000000000014,23.071115684509284,8.919999999999984,8.919999999999984,12.439999999999971,0.75,1.0,0.0,0.928,0.0,5.335157766239718e-06,0.0,2.3519686465078848e-07,5.335157766239718e-06,2.3519686465078848e-07,0.7402492761611938,0.5,0.07835030555725098,,,,,0.1752241849899292,0.5,254,0.0,0.0,0.0,236,28,0.11864406779661017,28,0.06675,1.79
10,EFT,-2.0678916049190295,-413.5783209838059,0.2,0.2,0.5653206650831354,0.7529411764705882,0.929,0.04325,0.02775,0.929,0.04325,0.02775,0.011042497290047672,0.15552813084574194,1.0,20.000000000000014,24.271882724761966,7.224999999999991,7.224999999999991,8.944999999999984,0.8,1.0,0.0,0.91875,0.0,4.286579951440217e-06,4.549510724746741e-13,8.131158524271598e-10,4.286579951440217e-06,8.131158524271598e-10,0.6501954793930054,0.5,0.10851593315601349,,,,,0.1740720272064209,0.5,282,0.0,0.0,0.0,261,65,0.24904214559386972,65,0.13375,2.225
