episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,LB-Greedy,-6.31745433437865,-1263.49086687573,0.1,0.1,0.47596153846153844,0.7105263157894737,0.93875,0.0365,0.02475,0.93875,0.0365,0.02475,0.011534265109740989,0.18831453240393456,1.0,20.000000000000014,26.905438137054443,8.699999999999985,8.699999999999985,9.329999999999982,0.9,1.0,0.0,0.933,0.0,1.2892028280475643e-05,0.0,0.0001995262282434851,1.2892028280475643e-05,0.0001995262282434851,0.6934611797332764,0.5,0.09457676857709885,,,,,0.18105442821979523,0.5,240,0.0,0.0,0.0,218,46,0.21100917431192662,46,0.089,1.605
2,LB-Greedy,-2.922548464318938,-584.5096928637876,0.1,0.1,0.5058548009367682,0.782051282051282,0.9375,0.04075,0.02175,0.9375,0.04075,0.02175,0.00933339558288863,0.14933432932621807,1.0,20.000000000000014,24.50454921722412,6.0499999999999945,6.0499999999999945,6.184999999999994,0.9,1.0,0.0,0.9295,0.0,6.193552962940885e-06,0.0,5.124595747751926e-10,6.193552962940885e-06,5.124595747751926e-10,0.676435649394989,0.5,0.10026779770851135,,,,,0.17772622406482697,0.5,248,0.0,0.0,0.0,226,42,0.18584070796460178,42,0.082,1.945
3,LB-Greedy,-5.002787778547154,-1000.5575557094309,0.1,0.1,0.441527446300716,0.6847826086956522,0.941,0.02975,0.02925,0.941,0.02975,0.02925,0.009195141187463248,0.15584985063497028,1.0,20.000000000000014,24.528456115722655,7.24999999999999,7.24999999999999,8.284999999999986,0.9,1.0,0.0,0.9335,0.0,8.43751786305802e-06,0.0,1.3683139741260675e-06,8.43751786305802e-06,1.3683139741260675e-06,0.6285845041275024,0.4000000059604645,0.12262226641178131,,,,,0.20850497484207153,0.5,234,0.0,0.0,0.0,204,51,0.25,51,0.10125,1.35
4,LB-Greedy,-5.292667796124679,-1058.5335592249357,0.1,0.1,0.3865336658354115,0.618421052631579,0.9465,0.02875,0.02475,0.9465,0.02875,0.02475,0.011095376802301798,0.2073902206037719,1.0,20.000000000000014,23.937653923034667,9.349999999999984,9.349999999999984,12.724999999999971,0.9,1.0,0.0,0.94225,0.0,4.987006377632497e-06,0.0,9.730304384447663e-08,4.987006377632497e-06,9.730304384447663e-08,0.6780002117156982,0.5,0.0978144183754921,,,,,0.21096095442771912,0.5,207,0.0,0.0,0.0,176,44,0.25,44,0.079,1.415
5,LB-Greedy,-4.716127085111496,-943.2254170222991,0.3,0.3,0.6492890995260664,0.8548387096774194,0.91125,0.049,0.03975,0.91125,0.049,0.03975,0.019550171132435984,0.2202836183936449,1.0,20.000000000000014,23.063792800903325,9.349999999999984,9.349999999999984,10.899999999999977,0.7,1.0,0.0,0.90375,0.0,3.2729687973187538e-06,0.0,1.57681956380884e-08,3.2729687973187538e-06,1.57681956380884e-08,0.6294646263122559,0.47058823704719543,0.11943215876817703,,,,,0.1469356268644333,0.5,350,0.0,0.0,0.0,332,92,0.27710843373493976,92,0.1465,2.28
6,LB-Greedy,-3.3201147224803713,-664.0229444960743,0.1,0.1,0.3710843373493976,0.6268656716417911,0.954,0.02575,0.02025,0.954,0.02575,0.02025,0.010423747253264126,0.22660320115791568,1.0,20.000000000000014,24.733319664001463,4.949999999999998,4.949999999999998,5.084999999999998,0.9,1.0,0.0,0.94875,0.0,6.099065558373695e-06,0.0,5.793527435571377e-09,6.099065558373695e-06,5.793527435571377e-09,0.6983702182769775,0.5,0.09406450390815735,,,,,0.232434943318367,0.5,184,0.0,0.0,0.0,159,23,0.14465408805031446,23,0.0545,1.135
7,LB-Greedy,-4.873043414469216,-974.6086828938433,0.15,0.15,0.5243619489559165,0.7608695652173914,0.9255,0.04625,0.02825,0.9255,0.04625,0.02825,0.01158352039895125,0.15548349528793626,1.0,20.000000000000014,26.0500394821167,9.766666666666648,9.766666666666648,11.469999999999976,0.85,1.0,0.0,0.9185,0.0,1.4938268577679992e-05,0.0,0.00019952624279540032,1.4938268577679992e-05,0.00019952624279540032,0.6549564599990845,0.5,0.10941621661186218,,,,,0.16333048045635223,0.5,298,0.0,0.0,0.0,275,76,0.27636363636363637,76,0.11575,2.5
8,LB-Greedy,-4.018251146285017,-803.6502292570035,0.1,0.1,0.4794188861985472,0.6712328767123288,0.9395,0.03475,0.02575,0.9395,0.03475,0.02575,0.013241696171344441,0.21887101109660237,1.0,20.000000000000014,24.257633781433107,6.699999999999992,6.699999999999992,8.589999999999986,0.9,1.0,0.0,0.93475,0.0,1.1934130270674359e-05,5.715688339291702e-13,5.307752508088015e-05,1.1934130270674359e-05,5.307752508088015e-05,0.7381196618080139,0.5,0.07981054484844208,,,,,0.1917622834444046,0.5,238,0.0,0.0,0.0,212,34,0.16037735849056603,34,0.08275,1.555
9,LB-Greedy,-3.4755233636195784,-695.1046727239157,0.1,0.1,0.351288056206089,0.6823529411764706,0.94525,0.03175,0.023,0.94525,0.03175,0.023,0.00734782068507561,0.13420677050366414,1.0,20.000000000000014,24.461857986450195,7.7499999999999885,7.7499999999999885,7.794999999999988,0.9,1.0,0.0,0.93875,0.0,9.671774023445323e-06,4.392264330022044e-12,5.8450684292665755e-09,9.671774023445323e-06,5.8450684292665755e-09,0.5412253737449646,0.3063528835773468,0.16526323556900024,,,,,0.1906290352344513,0.5,218,0.0,0.0,0.0,190,66,0.3473684210526316,66,0.06125,1.52
10,LB-Greedy,-1.6621618372370532,-332.4323674474106,0.1,0.1,0.6365795724465558,0.831858407079646,0.919,0.04525,0.03575,0.919,0.04525,0.03575,0.014650745199100992,0.1808733975197654,1.0,20.000000000000014,24.154002571105956,11.399999999999975,11.399999999999975,12.92999999999997,0.9,1.0,0.0,0.9135,0.0,2.9087000257277396e-06,0.0,2.3339882804229717e-10,2.9087000257277396e-06,2.3339882804229717e-10,0.7078292369842529,0.5,0.08924498409032822,,,,,0.16341476142406464,0.5,318,0.0,0.0,0.0,297,54,0.18181818181818182,54,0.138,2.32
11,LB-Greedy,-5.0126822548136065,-1002.5364509627212,0.1,0.1,0.3859223300970874,0.6526315789473685,0.93975,0.032,0.02825,0.93975,0.032,0.02825,0.015728301346003934,0.2610506447469534,1.0,20.000000000000014,23.721763801574706,7.699999999999989,7.699999999999989,9.049999999999983,0.9,1.0,0.0,0.93475,0.0,1.1482888112368528e-05,0.0,0.0001995262282434851,1.1482888112368528e-05,0.0001995262282434851,0.579459011554718,0.4000000059604645,0.1435512900352478,,,,,0.20272238552570343,0.5,240,0.0,0.0,0.0,207,69,0.3333333333333333,69,0.0925,1.78
12,LB-Greedy,-3.076268490009552,-615.2536980019104,0.25,0.25,0.4889975550122249,0.7037037037037037,0.93325,0.03975,0.027,0.93325,0.03975,0.027,0.009944180239938023,0.14897648299532612,1.0,20.000000000000014,25.60889978408814,9.183333333333316,9.183333333333316,13.574999999999967,0.75,1.0,0.0,0.92575,0.0,4.266285031917505e-06,5.192509155938982e-14,1.5989762847112843e-09,4.266285031917505e-06,1.5989762847112843e-09,0.6199682354927063,0.47766798734664917,0.12428751587867737,,,,,0.17774993181228638,0.5,265,0.0,0.0,0.0,241,73,0.3029045643153527,73,0.079,1.77
13,LB-Greedy,-2.6967019564313484,-539.3403912862697,0.3,0.3,0.6261682242990654,0.8125,0.9165,0.048,0.0355,0.9165,0.048,0.0355,0.01234924747010161,0.147895179282654,1.0,20.000000000000014,22.356493091583257,8.33333333333332,8.33333333333332,11.974999999999973,0.7,1.0,0.0,0.90825,0.0,2.348572934351978e-06,0.0,1.228947943410219e-09,2.348572934351978e-06,1.228947943410219e-09,0.668132483959198,0.4285714328289032,0.10785465687513351,,,,,0.14838992059230804,0.5,333,0.0,0.0,0.0,313,77,0.24600638977635783,77,0.11575,2.005
14,LB-Greedy,-2.056175459605749,-411.23509192114983,0.25,0.25,0.5211267605633803,0.7850467289719626,0.9225,0.04425,0.03325,0.9225,0.04425,0.03325,0.01654661453077522,0.21350470362290613,1.0,20.000000000000014,24.336592674255378,10.039999999999981,10.039999999999981,11.839999999999973,0.75,1.0,0.0,0.916,0.0,1.398196218360681e-06,0.0,2.0031533765063614e-08,1.398196218360681e-06,2.0031533765063614e-08,0.6313741207122803,0.29243698716163635,0.12384602427482605,,,,,0.16828389465808868,0.5,309,0.0,0.0,0.0,285,90,0.3157894736842105,90,0.12525,1.995
15,LB-Greedy,-2.6599690909279285,-531.9938181855857,0.2,0.2,0.5047619047619047,0.7804878048780488,0.93,0.0435,0.0265,0.93,0.0435,0.0265,0.01121736322769292,0.16024804610989882,1.0,20.000000000000014,23.12200212478638,9.099999999999984,9.099999999999984,12.859999999999967,0.8,1.0,0.0,0.92575,0.0,3.7194020023889607e-06,0.0,2.306132618201673e-09,3.7194020023889607e-06,2.306132618201673e-09,0.68511563539505,0.5,0.09614121168851852,,,,,0.165424183011055,0.5,279,0.0,0.0,0.0,258,62,0.24031007751937986,62,0.07875,1.915
16,LB-Greedy,-1.5617517169631971,-312.35034339263945,0.2,0.2,0.5180722891566265,0.7961165048543689,0.9355,0.03525,0.02925,0.9355,0.03525,0.02925,0.016540649773291886,0.2564441825316572,1.0,20.000000000000014,24.207512092590335,7.374999999999989,7.374999999999989,8.484999999999985,0.8,1.0,0.0,0.9305,0.0,2.0606732960004592e-06,0.0,8.430743603238255e-11,2.0606732960004592e-06,8.430743603238255e-11,0.6819596886634827,0.5,0.0987948551774025,,,,,0.18794922530651093,0.5,253,0.0,0.0,0.0,232,41,0.17672413793103448,41,0.109,1.615
17,LB-Greedy,-3.933034837177445,-786.606967435489,0.1,0.1,0.507177033492823,0.7818181818181819,0.9235,0.04525,0.03125,0.9235,0.04525,0.03125,0.011657484424501914,0.15238541731375055,1.0,20.000000000000014,24.475368213653564,10.849999999999977,10.849999999999977,12.424999999999972,0.9,1.0,0.0,0.917,0.0,1.0765355909825303e-05,0.0,2.1267378542688675e-06,1.0765355909825303e-05,2.1267378542688675e-06,0.5704962015151978,0.35599076747894287,0.14943702518939972,,,,,0.15955287218093872,0.5,306,0.0,0.0,0.0,281,95,0.33807829181494664,95,0.101,2.115
