episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Random,-10.023899398109597,-2004.7798796219195,0.0,0.0,0.11538461538461539,0.46153846153846156,0.06975,0.11675,0.8135,0.06975,0.11675,0.8135,0.6340927672457541,0.6066570999685631,0.9577991293126671,20.000000000000014,26.072952270507812,0.0,0.0,0.0,1.0,1.0,0.0,0.9755,0.0,1.4435743651119992e-05,2.3767803697394285e-11,0.00015106073988135904,1.4435743651119992e-05,0.00015106073988135904,0.5607098340988159,0.5,0.1509847790002823,,,,,0.40466049313545227,0.5,90,0.0,0.0,0.0,55,11,0.2,11,0.0725,0.1
2,Random,-5.099567837014601,-1019.9135674029202,0.0,0.0,0.1522248243559719,0.6219512195121951,0.07575,0.12575,0.7985,0.07575,0.12575,0.7985,0.6300377627465458,0.5997162702153599,0.9656187685879501,20.000000000000014,25.456125259399414,0.0,0.0,0.0,1.0,1.0,0.0,0.971,0.0,2.7280766516923904e-06,2.278045373865778e-12,2.5593077879193515e-08,2.7280766516923904e-06,2.5593077879193515e-08,0.5608050227165222,0.5,0.15048013627529144,,,,,0.3920067548751831,0.5,105,0.0,0.0,0.0,74,14,0.1891891891891892,14,0.08575,0.095
3,Random,-9.041572423903881,-1808.3144847807764,0.0,0.0,0.08353221957040573,0.3787878787878788,0.07275,0.114,0.81325,0.07275,0.114,0.81325,0.6304404845033033,0.6014456559755232,0.9651312990663999,20.000000000000014,25.88263511657715,0.0,0.0,0.0,1.0,1.0,0.0,0.97725,0.0,5.287540261633694e-06,1.824184900356407e-11,5.0722046580631286e-05,5.287540261633694e-06,5.0722046580631286e-05,0.5453488826751709,0.5,0.15701070427894592,,,,,0.40988367795944214,0.5,86,0.0,0.0,0.0,45,14,0.3111111111111111,14,0.04975,0.03
4,Random,-7.5430730274529125,-1508.6146054905826,0.0,0.0,0.0798004987531172,0.3888888888888889,0.05725,0.095,0.84775,0.05725,0.095,0.84775,0.6257838603801354,0.6030589874093195,0.9576665326161005,20.000000000000014,25.706043243408203,0.0,0.0,0.0,1.0,1.0,0.0,0.9805,0.0,9.751474863151088e-06,1.054529380484226e-11,3.742710396181792e-05,9.751474863151088e-06,3.742710396181792e-05,0.5372587442398071,0.5,0.16063958406448364,,,,,0.4288770854473114,0.5,74,0.0,0.0,0.0,41,12,0.2926829268292683,12,0.0335,0.11
5,Random,-7.291843085192889,-1458.368617038578,0.0,0.0,0.13270142180094788,0.5142857142857142,0.08325,0.11475,0.802,0.08325,0.11475,0.802,0.6384570409360429,0.6056253514437334,0.9600149138304533,20.000000000000014,25.023468017578125,0.0,0.0,0.0,1.0,1.0,0.0,0.97525,0.0,1.0526862297410844e-06,1.7358996184935194e-12,3.089166256131648e-08,1.0526862297410844e-06,3.089166256131648e-08,0.5809901356697083,0.5,0.13983416557312012,,,,,0.4077003002166748,0.5,84,0.0,0.0,0.0,50,4,0.08,4,0.0595,0.065
6,Random,-6.835222870809076,-1367.0445741618153,0.0,0.0,0.17590361445783131,0.5632183908045977,0.07425,0.12025,0.8055,0.07425,0.12025,0.8055,0.6267362476032131,0.5967985391339048,0.9564561962723879,20.000000000000014,25.38313865661621,0.0,0.0,0.0,1.0,1.0,0.0,0.969,0.0,9.109301572607365e-06,7.271184522539276e-12,3.386011303518899e-05,9.109301572607365e-06,3.386011303518899e-05,0.5916341543197632,0.5,0.13600923120975494,,,,,0.3766125738620758,0.5,110,0.0,0.0,0.0,72,9,0.125,9,0.07125,0.14
7,Random,-7.146361890100467,-1429.2723780200934,0.0,0.0,0.10672853828306264,0.453125,0.08675,0.132,0.78125,0.08675,0.132,0.78125,0.6350213653307946,0.6003518919581657,0.9586638244643034,20.000000000000014,26.04726791381836,0.0,0.0,0.0,1.0,1.0,0.0,0.976,0.0,1.0146497970708879e-06,3.008763160491923e-12,1.162506624297066e-08,1.0146497970708879e-06,1.162506624297066e-08,0.5428861975669861,0.5,0.15809491276741028,,,,,0.41544708609580994,0.5,82,0.0,0.0,0.0,47,9,0.19148936170212766,9,0.099,0.085
8,Random,-4.975479912735012,-995.0959825470023,0.0,0.0,0.06537530266343826,0.37735849056603776,0.0685,0.11925,0.81225,0.0685,0.11925,0.81225,0.6259356867752007,0.5984280051263562,0.962621516623613,20.000000000000014,26.36651039123535,0.0,0.0,0.0,1.0,1.0,0.0,0.982,0.0,3.666459633677732e-06,5.0429656110739796e-12,1.87452242244035e-05,3.666459633677732e-06,1.87452242244035e-05,0.5176767110824585,0.4166666865348816,0.17065131664276123,,,,,0.42878785729408264,0.5,66,0.0,0.0,0.0,33,9,0.2727272727272727,9,0.04225,0.025
9,Random,-8.471289551140627,-1694.2579102281254,0.0,0.0,0.06323185011709602,0.4074074074074074,0.065,0.11575,0.81925,0.065,0.11575,0.81925,0.6283955723875971,0.6025621095054512,0.9641312315756688,20.000000000000014,25.017396926879883,0.0,0.0,0.0,1.0,1.0,0.0,0.98325,0.0,2.3248212528415024e-06,1.2776415342363734e-11,3.857577667076839e-06,2.3248212528415024e-06,3.857577667076839e-06,0.5275132060050964,0.5,0.1643325835466385,,,,,0.45873019099235535,0.5,63,0.0,0.0,0.0,31,6,0.1935483870967742,6,0.0305,0.015
10,Random,-8.402608959163096,-1680.5217918326193,0.0,0.0,0.13064133016627077,0.5205479452054794,0.074,0.12125,0.80475,0.074,0.12125,0.80475,0.6288265432736118,0.5991647335568175,0.9580371264699368,20.000000000000014,26.117382049560547,0.0,0.0,0.0,1.0,1.0,0.0,0.97225,0.0,9.773397323442623e-06,1.0537256830978059e-11,0.00014748211833648384,9.773397323442623e-06,0.00014748211833648384,0.5748482942581177,0.5,0.14361585676670074,,,,,0.38637953996658325,0.5,102,0.0,0.0,0.0,67,18,0.26865671641791045,18,0.08625,0.08
