episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Static,-0.042288914769541074,-6.385626130200702,0.8,0.8,0.9495192307692307,0.0,0.4281456953642384,0.5718543046357616,0.0,0.4281456953642384,0.5718543046357616,0.0,1.0,1.0,1.0,15.099999999999962,15.619332485198944,8.156249999999986,8.156249999999986,10.29999999999998,0.2,0.0,0.0,0.8423841059602649,0.0,0.0,0.0,0.0,0.0,0.0,0.7840501070022583,0.6666666865348816,0.05531611666083336,,,,,0.06470438092947006,0.1428571492433548,373,0.0,0.0,0.0,373,72,0.19302949061662197,72,0.37715231788079473,12.344370860927153
2,Static,-0.11537213082093933,-15.459865530005871,0.75,0.75,0.9859484777517564,0.0,0.2701492537313433,0.7298507462686568,0.0,0.2701492537313433,0.7298507462686568,0.0,1.0,1.0,1.0,13.399999999999968,13.490402736663793,9.05882352941175,9.05882352941175,12.139999999999972,0.25,0.0,0.0,0.8044776119402985,0.0,0.0,0.0,0.0,0.0,0.0,0.7612839341163635,0.7125540971755981,0.060448791831731796,,,,,0.05420006811618805,0.1111111119389534,453,0.0,0.0,0.0,451,100,0.22172949002217296,100,0.13432835820895522,18.70149253731343
3,Static,-0.11593778189614574,-13.332844918056761,0.95,0.95,0.9952267303102625,0.0,0.2821739130434783,0.7178260869565217,0.0,0.2821739130434783,0.7178260869565217,0.0,1.0,1.0,1.0,11.499999999999975,11.529582595825172,7.689473684210515,7.689473684210515,10.329999999999977,0.05,0.0,0.0,0.7982608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.8492622971534729,0.791111171245575,0.03347589820623398,,,,,0.06428837031126022,0.20000000298023224,377,0.0,0.0,0.0,376,46,0.12234042553191489,46,0.26260869565217393,16.252173913043478
4,Static,-0.02603453149069566,-2.8117294009951315,0.8,0.8,0.9600997506234414,0.0,0.24444444444444444,0.7555555555555555,0.0,0.24444444444444444,0.7555555555555555,0.0,1.0,1.0,1.0,10.799999999999978,11.007758264541609,8.411764705882339,8.411764705882339,10.639999999999977,0.2,0.0,0.0,0.7893518518518519,0.0,0.0,0.0,0.0,0.0,0.0,0.8028774857521057,0.7142857313156128,0.050769612193107605,,,,,0.06468647718429565,0.20000000298023224,395,0.0,0.0,0.0,393,65,0.16539440203562342,65,0.24444444444444444,20.712962962962962
5,Static,-0.030560565621184185,-3.9423129651327598,0.9,0.9,0.976303317535545,0.0,0.2864341085271318,0.7135658914728682,0.0,0.2864341085271318,0.7135658914728682,0.0,1.0,1.0,1.0,12.89999999999997,13.176507625579807,8.366666666666653,8.366666666666653,10.389999999999977,0.1,0.0,0.0,0.8321705426356589,0.0,0.0,0.0,0.0,0.0,0.0,0.8526584506034851,0.5714285969734192,0.03675469756126404,,,,,0.06617511063814163,0.20000000298023224,378,0.0,0.0,0.0,378,17,0.04497354497354497,17,0.23953488372093024,19.868217054263567
6,Static,-0.13784370349540137,-19.711649599842396,0.55,0.55,0.8289156626506025,0.0,0.29755244755244753,0.7024475524475524,0.0,0.29755244755244753,0.7024475524475524,0.0,1.0,1.0,1.0,14.299999999999965,15.275910892486554,8.309090909090896,8.309090909090896,12.99999999999997,0.45,0.0,0.0,0.8090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.5426772832870483,0.3214094638824463,0.1728993058204651,,,,,0.056149110198020935,0.1428571492433548,450,0.0,0.0,0.0,445,192,0.4314606741573034,192,0.23566433566433567,16.41958041958042
7,Static,-0.08445323570124373,-11.06337387686293,0.75,0.75,0.9559164733178654,0.0,0.27442748091603053,0.7255725190839695,0.0,0.27442748091603053,0.7255725190839695,0.0,1.0,1.0,1.0,13.09999999999997,13.433114051818825,8.766666666666652,8.766666666666652,12.36999999999997,0.25,0.0,0.0,0.8145038167938932,0.0,0.0,0.0,0.0,0.0,0.0,0.7842581868171692,0.6666666865348816,0.055169057101011276,,,,,0.06195959076285362,0.176666259765625,388,0.0,0.0,0.0,385,67,0.17402597402597403,67,0.25267175572519085,19.72519083969466
8,Static,-0.025567951162335845,-4.653367111545124,0.7,0.7,0.9394673123486683,0.0,0.31565934065934065,0.6843406593406594,0.0,0.31565934065934065,0.6843406593406594,0.0,1.0,1.0,1.0,18.19999999999999,18.820610942840567,8.849999999999984,8.849999999999984,11.954999999999973,0.3,0.0,0.0,0.8637362637362638,0.0,0.0,0.0,0.0,0.0,0.0,0.7464624047279358,0.6315789222717285,0.0673360824584961,,,,,0.0552358403801918,0.125,438,0.0,0.0,0.0,435,100,0.22988505747126436,100,0.2010989010989011,14.159340659340659
9,Static,-0.0728444806484182,-10.92667209726273,0.45,0.45,0.7845433255269321,0.0,0.28,0.72,0.0,0.28,0.72,0.0,1.0,1.0,1.0,14.999999999999963,15.984222459793074,8.499999999999984,8.499999999999984,10.13999999999998,0.55,0.0,0.0,0.798,0.0,0.0,0.0,0.0,0.0,0.0,0.5035039186477661,0.27840909361839294,0.1909925937652588,,,,,0.04511630907654762,0.10000000149011612,529,0.0,0.0,0.0,519,257,0.4951830443159923,257,0.176,18.04
10,Static,-0.06227835656633267,-9.404031841516233,0.8,0.8,0.9524940617577197,0.0,0.20397350993377483,0.7960264900662252,0.0,0.20397350993377483,0.7960264900662252,0.0,1.0,1.0,1.0,15.099999999999962,15.467613010406463,9.049999999999983,9.049999999999983,11.699999999999974,0.2,0.0,0.0,0.8387417218543046,0.0,0.0,0.0,0.0,0.0,0.0,0.7931075096130371,0.7714285850524902,0.049499668180942535,,,,,0.05862957239151001,0.1666666716337204,443,0.0,0.0,0.0,438,79,0.18036529680365296,79,0.09834437086092715,19.662251655629138
