episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,30.63252902030945,20.0,-8.167680740356445,-1634.536045170299,-3.8579538345336912,8.167680740356445,0.0,0.0,0.08674698795180723,0.0,0.0,0,26.055892944335938,20.000000000000014,0.03609257840231845,0.0010809998126647476,0.0,0.0,20,1.0,0.09859154929577464,0.14084507042253522,0.7605633802816901,0.09859154929577464,0.14084507042253522,0.7605633802816901,0.49244170732493514,0.045,0.0,0.4910960185482854,0.865196931362152,4.169377083168557e-12,1.3539757958368847e-06,1.9447847989795264e-06,1.3539757958368847e-06,0.16216216216216217,0.5,0.5,58,7,4.123711570801132,0.0,1.0,0.0,0.98225,0.0,0.0,0.12750649452209473,1.9361989498138428,2.342355728149414,0.04721534252166748,0.0,2.719782590866089,0.01775,0.0,0,True,0.0003,1.4,1.7
2,200,30.533015251159668,20.0,-7.5522260665893555,-1511.445212730303,-2.907605957984925,7.5522260665893555,0.0,0.0,0.07857142857142857,0.0,0.0,0,26.898427963256836,20.000000000000014,0.02232448165384814,0.0008106885704078396,0.0,0.0,20,1.0,0.10526315789473684,0.11842105263157894,0.7763157894736842,0.10526315789473684,0.11842105263157894,0.7763157894736842,0.5031587016419508,0.075,1.0,0.5017845837137554,0.8633936405181885,5.327471753677204e-12,3.965538435295457e-05,8.653906661493238e-06,3.965538435295457e-05,0.2,0.5,0.5,61,8,4.1039420966035,0.0,1.0,0.0,0.981,0.0,0.0,0.7081801295280457,4.23430061340332,2.4580376148223877,0.044405777007341385,0.0,3.018169641494751,0.019,0.0,0,True,0.0003,1.4,1.7
3,200,29.316354513168335,20.0,-9.640352249145508,-1929.0702819095252,-5.319192266464233,9.640352249145508,0.0,0.0,0.12589073634204276,0.0,0.0,0,25.137283325195312,20.000000000000014,0.04325058386113334,0.4513510367825935,0.0,0.0,20,1.0,0.16494845360824742,0.12371134020618557,0.711340206185567,0.16494845360824742,0.12371134020618557,0.711340206185567,0.5003054815956857,0.085,1.0,0.5001885229756718,0.8630043357610703,3.8787412951629685e-12,1.0645432894306871e-05,8.118799087242223e-06,1.0645432894306871e-05,0.1875,0.5,0.5,72,16,6.271734395435084,0.0,1.0,0.0,0.97575,0.0,0.0,0.16899457573890686,1.7976725101470947,2.2094364166259766,0.057155266404151917,0.0,2.2989792823791504,0.02425,0.0,0,True,0.0003,1.4,1.7
4,200,30.35781979560852,20.0,-3.501743793487549,-701.3487594453989,-0.4590338617563249,3.501743793487549,0.0,0.0,0.11448598130841121,0.0,0.0,0,25.82369041442871,20.000000000000014,0.04467916162635029,0.25034815056950255,0.0,0.0,20,1.0,0.10084033613445378,0.17647058823529413,0.7226890756302521,0.10084033613445378,0.17647058823529413,0.7226890756302521,0.5067637803074904,0.13,1.0,0.5068542726134005,0.8626210331916808,1.2822180925527171e-12,1.003456469028659e-08,9.456175575905945e-07,1.003456469028659e-08,0.4090909090909091,0.3333333432674408,0.5,80,12,6.344607267158705,0.0,1.0,0.0,0.97025,0.0,0.0,-0.14751087129116058,1.5054872035980225,2.333786964416504,0.03403794765472412,0.0,1.6168041229248047,0.02975,0.0,0,True,0.0003,1.4,1.7
5,200,29.557517051696777,20.0,-4.610921382904053,-923.1842885470219,-1.3120678603649139,4.610921382904053,0.0,0.0,0.1642512077294686,0.0,0.0,0,25.74373435974121,20.000000000000014,0.047460253116254784,0.16873195924456005,0.0,0.0,20,1.0,0.11206896551724138,0.16379310344827586,0.7241379310344828,0.11206896551724138,0.16379310344827586,0.7241379310344828,0.49540487667312844,0.1,1.0,0.4957157897999566,0.8640999853610992,3.8287450467022754e-12,1.1465838989366232e-08,9.916275303112343e-07,1.1465838989366232e-08,0.16666666666666666,0.5,0.5,92,13,6.814117898370509,0.0,1.0,0.0,0.971,0.0,0.0,0.2381514348089695,34.57616853713989,2.4141717553138733,-0.013993810629472136,0.1180555559694767,2.762954831123352,0.029,0.0,0,True,0.0003,1.4,1.7
6,200,29.61070156097412,20.0,-7.382343769073486,-1477.4688477374818,-1.6880154311656952,7.382343769073486,0.0,0.0,0.11246943765281174,0.0,0.0,0,24.858505249023438,20.000000000000014,0.037716751584011214,0.0005259184415014791,0.0,0.0,20,1.0,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.15384615384615385,0.6153846153846154,0.5041107555858325,0.09,1.0,0.5016757025521591,0.8599511474370956,3.7632163010781206e-12,5.65914152161892e-07,5.108569894218817e-06,5.65914152161892e-07,0.15384615384615385,0.5,0.5,64,21,4.484715061631082,0.0,1.0,0.0,0.97725,0.0,0.0,1.1255674362182617,4.7726593017578125,2.6551811695098877,0.09834527969360352,0.0,5.061142921447754,0.02275,0.0,0,True,0.0003,1.4,1.7
7,200,29.693308353424072,20.0,-10.599196434020996,-2120.839398981475,-2.7279612183570863,10.599196434020996,0.0,0.0,0.15294117647058825,0.0,0.0,0,24.94452667236328,20.000000000000014,0.04918655842492969,0.22648150593719926,0.0,0.0,20,1.0,0.25663716814159293,0.20353982300884957,0.5398230088495575,0.25663716814159293,0.20353982300884957,0.5398230088495575,0.4937349553470267,0.17,1.0,0.4952380653060346,0.8624225914478301,1.6766996645267707e-11,4.715371323982254e-05,6.59647366774152e-06,4.715371323982254e-05,0.19298245614035087,0.5,0.5,73,29,6.335383862560787,0.0,1.0,0.0,0.97175,0.0,0.0,-0.23472611606121063,3.2603416442871094,2.545588493347168,0.05490543693304062,0.0,1.7552733421325684,0.02825,0.0,0,True,0.0003,1.4,1.7
8,200,30.22006130218506,20.0,-7.655576229095459,-1532.1152825049946,-1.4236123740673092,7.655576229095459,0.0,0.0,0.1574074074074074,0.0,0.0,0,25.97695541381836,20.000000000000014,0.04235698423968059,0.1993438112710616,0.0,0.0,20,1.0,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.15384615384615385,0.15384615384615385,0.6923076923076923,0.495566552645294,0.145,1.0,0.49671771939956544,0.8587294936180113,9.640360558449412e-12,0.0001995262282434851,1.0775665032269899e-05,0.0001995262282434851,0.203125,0.5,0.5,86,18,6.97092891701291,0.0,1.0,0.0,0.97075,0.0,0.0,0.11960229774316151,4.442514419555664,2.4970713456471763,0.021443433438738186,0.19166666766007742,1.638142426808675,0.02925,0.0,0,True,0.0003,1.4,1.7
9,200,29.041804790496826,20.0,-7.639092922210693,-1528.818539109186,-2.535737240314484,7.639092922210693,0.0,0.0,0.17560975609756097,0.0,0.0,0,25.364700317382812,20.000000000000014,0.05940752785932694,0.1494292486428428,0.0,0.0,20,1.0,0.216,0.216,0.568,0.216,0.216,0.568,0.5002440582436976,0.21,1.0,0.5023256314816668,0.8603575557470321,1.1032813985317746e-11,4.131425612285966e-05,7.642186574230436e-06,4.131425612285966e-05,0.2647058823529412,0.27500000894069676,0.5,80,27,8.9127117240224,0.0,1.0,0.0,0.96875,0.0,0.0,-0.07852284610271454,1.6332166194915771,2.211742401123047,0.029828593134880066,0.30000000074505806,1.5138594508171082,0.03125,0.0,0,True,0.0003,1.4,1.7
10,200,26.837543964385986,20.0,-7.071123123168945,-1415.2246492775157,-3.954953742027283,7.071123123168945,0.05,0.05,0.2144638403990025,7.499999999999989,7.499999999999989,1,24.262904739379884,20.000000000000014,0.07688951949346275,0.2900371139503245,0.0,0.0,19,0.95,0.22900763358778625,0.24427480916030533,0.5267175572519084,0.22900763358778625,0.24427480916030533,0.5267175572519084,0.49529374594264663,0.24,1.0,0.49482489288394216,0.8653260469436646,1.7778861065645413e-12,5.996184242462723e-08,2.4256376036646543e-06,5.996184242462723e-08,0.24675324675324675,0.5,0.5,82,30,8.975164876314654,0.0,1.0,0.0,0.96725,0.0,0.0,0.047526563284918666,1.4931225776672363,2.1763168573379517,-0.024489277508109808,0.10347222350537777,1.7603215873241425,0.03275,0.0,0,True,0.0003,1.4,1.7
