phase,method,policy,metric_id,metric_cn,direction,mean,std,n,matched_k,stat_basis
中期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,74.83333333333333,11.056260505186344,120,120,matched_tail_raw_baseline
中期,EFT,EFT,deadline_miss_rate,超时失败率,lower,71.5,12.171740241403514,120,120,matched_tail_raw_baseline
中期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,29.416666666666668,20.703827167549324,120,120,matched_tail_raw_baseline
中期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,79.20833333333333,10.865793859192994,120,120,matched_tail_raw_baseline
中期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,120,120,matched_tail_raw_baseline
中期,Random,Random,deadline_miss_rate,超时失败率,lower,99.875,0.7838978239026613,120,120,matched_tail_raw_baseline
中期,Static,Static,deadline_miss_rate,超时失败率,lower,30.958333333333332,18.923728305944337,120,120,matched_tail_raw_baseline
中期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,14.958333333333334,17.6627585392454,120,120,matched_tail_raw_baseline
前期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,74.83333333333333,11.056260505186344,120,120,matched_tail_raw_baseline
前期,EFT,EFT,deadline_miss_rate,超时失败率,lower,71.5,12.171740241403514,120,120,matched_tail_raw_baseline
前期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,29.416666666666668,20.703827167549324,120,120,matched_tail_raw_baseline
前期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,79.20833333333333,10.865793859192994,120,120,matched_tail_raw_baseline
前期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,120,120,matched_tail_raw_baseline
前期,Random,Random,deadline_miss_rate,超时失败率,lower,99.875,0.7838978239026613,120,120,matched_tail_raw_baseline
前期,Static,Static,deadline_miss_rate,超时失败率,lower,30.958333333333332,18.923728305944337,120,120,matched_tail_raw_baseline
前期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,14.208333333333334,17.64490824897783,120,120,matched_tail_raw_baseline
后期,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,74.83333333333333,11.056260505186344,120,120,matched_tail_raw_baseline
后期,EFT,EFT,deadline_miss_rate,超时失败率,lower,71.5,12.171740241403514,120,120,matched_tail_raw_baseline
后期,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,29.416666666666668,20.703827167549324,120,120,matched_tail_raw_baseline
后期,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,79.20833333333333,10.865793859192994,120,120,matched_tail_raw_baseline
后期,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,120,120,matched_tail_raw_baseline
后期,Random,Random,deadline_miss_rate,超时失败率,lower,99.875,0.7838978239026613,120,120,matched_tail_raw_baseline
后期,Static,Static,deadline_miss_rate,超时失败率,lower,30.958333333333332,18.923728305944337,120,120,matched_tail_raw_baseline
后期,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.458333333333332,19.671630314127153,120,120,matched_tail_raw_baseline
中期,CP-EFT,CP-EFT,mean_cft_est,平均完工时间估计,lower,22.676331422805788,1.898347111455043,120,120,matched_tail_raw_baseline
