window,method,policy,metric_id,metric_cn,direction,mean,std,p10,p50,p90,ci95_low,ci95_high,n,matched_k,stat_basis,rank
全程,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.458333333333332,19.671630314127153,0.0,10.0,50.0,13.916666666666666,21.12708333333332,120,120,matched_tail_raw_baseline,1.0
全程,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,15.0,30.0,40.0,27.208333333333332,30.75,120,120,matched_tail_raw_baseline,2.0
全程,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,29.416666666666668,20.703827167549324,5.0,25.0,60.0,25.708333333333332,33.166666666666664,120,120,matched_tail_raw_baseline,3.0
全程,Static,Static,deadline_miss_rate,超时失败率,lower,30.958333333333332,18.923728305944337,9.500000000000002,30.0,55.50000000000005,27.708333333333332,34.125,120,120,matched_tail_raw_baseline,4.0
全程,EFT,EFT,deadline_miss_rate,超时失败率,lower,71.5,12.171740241403514,55.00000000000001,72.5,85.0,69.26979166666666,73.66666666666667,120,120,matched_tail_raw_baseline,5.0
全程,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,74.83333333333333,11.056260505186344,60.0,75.0,85.0,72.83333333333333,76.75,120,120,matched_tail_raw_baseline,6.0
全程,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,79.20833333333333,10.865793859192994,65.0,80.0,90.0,77.25,80.98020833333332,120,120,matched_tail_raw_baseline,7.0
全程,Random,Random,deadline_miss_rate,超时失败率,lower,99.875,0.7838978239026613,100.0,100.0,100.0,99.70833333333333,100.0,120,120,matched_tail_raw_baseline,8.0
末100,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.95,19.798160816529695,0.0,10.0,50.50000000000004,14.3,21.75,100,100,matched_tail_raw_baseline,1.0
末100,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,29.6,9.683892697555967,15.0,30.0,40.0,27.8,31.476249999999993,100,100,matched_tail_raw_baseline,2.0
末100,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,30.0,21.03388319888276,5.0,27.5,60.0,26.0,34.326249999999995,100,100,matched_tail_raw_baseline,3.0
末100,Static,Static,deadline_miss_rate,超时失败率,lower,31.5,19.739464649439324,5.0,30.0,60.0,27.55,35.2,100,100,matched_tail_raw_baseline,4.0
末100,EFT,EFT,deadline_miss_rate,超时失败率,lower,71.5,12.27833766263071,55.00000000000001,72.5,85.0,69.3,73.85,100,100,matched_tail_raw_baseline,5.0
末100,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,74.85,11.042960187240089,60.0,75.0,85.0,72.67375,76.87625,100,100,matched_tail_raw_baseline,6.0
末100,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,78.6,11.148220857286075,65.0,80.0,90.0,76.35,80.85,100,100,matched_tail_raw_baseline,7.0
末100,Random,Random,deadline_miss_rate,超时失败率,lower,99.85,0.8572330399888265,100.0,100.0,100.0,99.7,100.0,100,100,matched_tail_raw_baseline,8.0
末300,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.458333333333332,19.671630314127153,0.0,10.0,50.0,13.936458333333333,20.791666666666668,120,120,matched_tail_raw_baseline,1.0
末300,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,15.0,30.0,40.0,27.125,30.666666666666668,120,120,matched_tail_raw_baseline,2.0
末300,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,29.416666666666668,20.703827167549324,5.0,25.0,60.0,25.791666666666668,33.25,120,120,matched_tail_raw_baseline,3.0
末300,Static,Static,deadline_miss_rate,超时失败率,lower,30.958333333333332,18.923728305944337,9.500000000000002,30.0,55.50000000000005,27.519791666666666,34.541666666666664,120,120,matched_tail_raw_baseline,4.0
末300,EFT,EFT,deadline_miss_rate,超时失败率,lower,71.5,12.171740241403514,55.00000000000001,72.5,85.0,69.29166666666667,73.75,120,120,matched_tail_raw_baseline,5.0
末300,CP-EFT,CP-EFT,deadline_miss_rate,超时失败率,lower,74.83333333333333,11.056260505186344,60.0,75.0,85.0,72.875,76.73020833333332,120,120,matched_tail_raw_baseline,6.0
末300,LB-Greedy,LB-Greedy,deadline_miss_rate,超时失败率,lower,79.20833333333333,10.865793859192994,65.0,80.0,90.0,77.20833333333333,81.146875,120,120,matched_tail_raw_baseline,7.0
末300,Random,Random,deadline_miss_rate,超时失败率,lower,99.875,0.7838978239026613,100.0,100.0,100.0,99.70833333333333,100.0,120,120,matched_tail_raw_baseline,8.0
末500,当前算法(MAPPO),MAPPO,deadline_miss_rate,超时失败率,lower,17.458333333333332,19.671630314127153,0.0,10.0,50.0,14.061458333333333,20.916666666666668,120,120,matched_tail_raw_baseline,1.0
末500,Local-Only,Local-Only,deadline_miss_rate,超时失败率,lower,28.958333333333332,9.955696678713318,15.0,30.0,40.0,27.291666666666668,30.708333333333332,120,120,matched_tail_raw_baseline,2.0
末500,Greedy,Greedy,deadline_miss_rate,超时失败率,lower,29.416666666666668,20.703827167549324,5.0,25.0,60.0,25.728125,33.375,120,120,matched_tail_raw_baseline,3.0
末500,Static,Static,deadline_miss_rate,超时失败率,lower,30.958333333333332,18.923728305944337,9.500000000000002,30.0,55.50000000000005,27.5,34.14895833333332,120,120,matched_tail_raw_baseline,4.0
