episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,CP-EFT,-1.0857626570251953,-217.15253140503904,0.2,0.2,0.5192307692307693,0.72,0.94375,0.03325,0.023,0.94375,0.03325,0.023,0.008251273234980585,0.1466893019552104,1.0,20.000000000000014,24.67742156982422,6.024999999999995,6.024999999999995,6.769999999999992,0.8,1.0,0.0,0.9285,0.07150000000000001,0.07150000000000001,0.0,6.991676855250262e-06,0.0,2.0401426326088767e-08,6.991676855250262e-06,2.0401426326088767e-08,0.6607921123504639,0.5,0.10757186263799667,,,,,0.1962331086397171,0.5,225,0.0,0.0,0.0,204,44,0.21568627450980393,44,0.12075,1.755
2,CP-EFT,-0.9833706548056977,-196.67413096113955,0.25,0.25,0.6276346604215457,0.8333333333333334,0.9385,0.037,0.0245,0.9385,0.037,0.0245,0.009723924836844878,0.1581125989730874,1.0,20.000000000000014,22.655558872222905,8.119999999999987,8.119999999999987,10.37999999999998,0.75,1.0,0.0,0.92075,0.07925000000000004,0.07925000000000004,0.0,1.6398643083448405e-06,0.0,4.122225616409736e-10,1.6398643083448405e-06,4.122225616409736e-10,0.7438061833381653,0.5,0.07164248079061508,,,,,0.1657305806875229,0.5,246,0.0,0.0,0.0,230,27,0.11739130434782609,27,0.11025,1.68
3,CP-EFT,-1.0637028551238825,-212.7405710247765,0.35,0.35,0.630071599045346,0.8309859154929577,0.94525,0.0335,0.02125,0.94525,0.0335,0.02125,0.0070521223440029295,0.12880588756169734,1.0,20.000000000000014,23.41552362442017,7.39999999999999,7.39999999999999,8.819999999999984,0.65,1.0,0.0,0.9195,0.08050000000000002,0.08050000000000002,0.0,5.803482508781599e-06,0.0,1.3388146591353234e-08,5.803482508781599e-06,1.3388146591353234e-08,0.6697902083396912,0.5,0.10151418298482895,,,,,0.18914945423603058,0.5,219,0.0,0.0,0.0,207,42,0.2028985507246377,42,0.14925,1.63
4,CP-EFT,-1.6638866970849044,-332.7773394169809,0.15,0.15,0.5037406483790524,0.7733333333333333,0.95475,0.02375,0.0215,0.95475,0.02375,0.0215,0.005911928915745226,0.13065036277890005,0.9930084786946731,20.000000000000014,23.429582500457762,5.133333333333331,5.133333333333331,5.729999999999996,0.85,1.0,0.0,0.93925,0.06074999999999997,0.06074999999999997,0.0,2.4628068331367103e-06,0.0,1.4022870686858369e-07,2.4628068331367103e-06,1.4022870686858369e-07,0.7201558351516724,0.5,0.08230248838663101,,,,,0.1884622722864151,0.5,180,0.0,0.0,0.0,163,19,0.1165644171779141,19,0.1,1.31
5,CP-EFT,-1.4950296867759325,-299.0059373551865,0.3,0.3,0.6018957345971564,0.8461538461538461,0.9345,0.036,0.0295,0.9345,0.036,0.0295,0.013609059961782643,0.2077719078134755,1.0,20.000000000000014,22.644424533844,7.049999999999991,7.049999999999991,8.799999999999985,0.7,1.0,0.0,0.91975,0.08025000000000004,0.08025000000000004,0.0,4.195062956569018e-06,0.0,1.5706200429121964e-07,4.195062956569018e-06,1.5706200429121964e-07,0.7213362455368042,0.5,0.08624560385942459,,,,,0.17258454859256744,0.5,260,0.0,0.0,0.0,248,50,0.20161290322580644,50,0.14775,1.645
6,CP-EFT,-1.513551039778431,-302.7102079556862,0.05,0.05,0.4072289156626506,0.5873015873015873,0.9515,0.0285,0.02,0.9515,0.0285,0.02,0.008832228035115049,0.18210779453845466,1.0,20.000000000000014,24.078701400756835,4.5,4.5,4.5,0.95,1.0,0.0,0.93275,0.06725000000000003,0.06725000000000003,0.0,7.555587217211723e-06,0.0,1.196349472820657e-07,7.555587217211723e-06,1.196349472820657e-07,0.5390464663505554,0.4545454680919647,0.15926115214824677,,,,,0.21537871658802032,0.5,194,0.0,0.0,0.0,166,69,0.41566265060240964,69,0.11025,1.355
7,CP-EFT,-0.4099579595251219,-81.99159190502438,0.45,0.45,0.7378190255220418,0.9215686274509803,0.91625,0.0525,0.03125,0.91625,0.0525,0.03125,0.01262931762010516,0.1507978223296139,1.0,20.000000000000014,22.995065975189213,8.822222222222207,8.822222222222207,13.159999999999968,0.55,1.0,0.0,0.896,0.10399999999999998,0.10399999999999998,0.0,1.454178800486261e-06,0.0,9.438734516198366e-11,1.454178800486261e-06,9.438734516198366e-11,0.6601759791374207,0.2786324918270111,0.11751633137464523,,,,,0.1489659696817398,0.5,333,0.0,0.0,0.0,319,81,0.25391849529780564,81,0.1925,2.46
8,CP-EFT,-0.3368525107807927,-67.37050215615854,0.25,0.25,0.5690072639225182,0.8461538461538461,0.9355,0.039,0.0255,0.9355,0.039,0.0255,0.012485394580804977,0.19357200900472832,1.0,20.000000000000014,22.752217006683356,10.033333333333314,10.033333333333314,12.499999999999972,0.75,1.0,0.0,0.9195,0.08050000000000002,0.08050000000000002,0.0,1.396608467985061e-06,0.0,2.4215348476408494e-11,1.396608467985061e-06,2.4215348476408494e-11,0.6636841297149658,0.48333337903022766,0.10548610240221024,,,,,0.16248460114002228,0.5,258,0.0,0.0,0.0,244,66,0.27049180327868855,66,0.11575,2.11
9,CP-EFT,-0.898325893470387,-179.6651786940774,0.35,0.35,0.65807962529274,0.8354430379746836,0.9345,0.039,0.0265,0.9345,0.039,0.0265,0.008879253329193803,0.13556111952967642,0.9707253078298714,20.000000000000014,22.58552331924439,9.014285714285698,9.014285714285698,12.769999999999968,0.65,1.0,0.0,0.912,0.08799999999999997,0.08799999999999997,0.0,5.603221325145569e-06,0.0,8.478008850509866e-10,5.603221325145569e-06,8.478008850509866e-10,0.6941636800765991,0.5,0.09022938460111618,,,,,0.15629029273986816,0.5,259,0.0,0.0,0.0,245,53,0.2163265306122449,53,0.12475,1.7
10,CP-EFT,-0.28058225600334624,-56.11645120066925,0.3,0.3,0.6603325415676959,0.8807339449541285,0.93,0.039,0.031,0.93,0.039,0.031,0.01280603576500702,0.18294336807152883,1.0,20.000000000000014,22.93823194503785,6.749999999999992,6.749999999999992,7.649999999999989,0.7,1.0,0.0,0.915,0.08499999999999996,0.08499999999999996,0.0,1.231054284289712e-06,0.0,1.7542614930143863e-11,1.231054284289712e-06,1.7542614930143863e-11,0.7181467413902283,0.5,0.08418042212724686,,,,,0.17340613901615143,0.5,280,0.0,0.0,0.0,267,44,0.1647940074906367,44,0.1975,2.17
