episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,EFT,-0.5380001618170074,-107.60003236340147,0.35,0.35,0.5625,0.7954545454545454,0.93425,0.04,0.02575,0.93425,0.04,0.02575,0.012310531338994977,0.18723241580220495,1.0,20.000000000000014,26.11274042129517,6.899999999999991,6.899999999999991,10.409999999999979,0.65,1.0,0.0,0.9255,0.07450000000000001,0.07450000000000001,0.0,3.521679445839254e-06,0.0,2.8936004634050327e-11,3.521679445839254e-06,2.8936004634050327e-11,0.6710984110832214,0.5,0.10340407490730286,,,,,0.19773362576961517,0.5,261,0.0,0.0,0.0,243,45,0.18518518518518517,45,0.12125,2.38
2,EFT,-0.8525261933952308,-170.50523867904616,0.3,0.3,0.6721311475409836,0.8717948717948718,0.91375,0.053,0.03325,0.91375,0.053,0.03325,0.013205770682472398,0.1531103847243177,1.0,20.000000000000014,23.611592769622806,7.983333333333323,7.983333333333323,10.249999999999979,0.7,1.0,0.0,0.90075,0.09924999999999995,0.09924999999999995,0.0,4.109818291908596e-06,0.0,3.397971626295515e-10,4.109818291908596e-06,3.397971626295515e-10,0.6276123523712158,0.3529411852359772,0.12470608204603195,,,,,0.1485796421766281,0.5,342,0.0,0.0,0.0,326,93,0.2852760736196319,93,0.15325,2.775
3,EFT,-1.0126635415876544,-202.53270831753088,0.15,0.15,0.6133651551312649,0.9180327868852459,0.909,0.0545,0.0365,0.909,0.0545,0.0365,0.013429536590991302,0.1475773251757286,1.0,20.000000000000014,23.894697856903075,10.949999999999976,10.949999999999976,11.524999999999975,0.85,1.0,0.0,0.89825,0.10175000000000001,0.10175000000000001,0.0,5.220602815825259e-06,0.0,1.2966325790841893e-09,5.220602815825259e-06,1.2966325790841893e-09,0.553612470626831,0.37997543811798096,0.1566295474767685,,,,,0.15663138031959534,0.5,363,0.0,0.0,0.0,348,129,0.3706896551724138,129,0.17075,3.045
4,EFT,-0.4268273109082671,-85.36546218165341,0.3,0.3,0.6134663341645885,0.8365384615384616,0.9205,0.0455,0.034,0.9205,0.0455,0.034,0.013273440261260656,0.16696151272025983,1.0,20.000000000000014,25.025569534301763,9.333333333333316,9.333333333333316,11.824999999999974,0.7,1.0,0.0,0.91675,0.08325000000000005,0.08325000000000005,0.0,2.0549900909827556e-06,0.0,8.371338344748125e-11,2.0549900909827556e-06,8.371338344748125e-11,0.6738819479942322,0.5,0.10180399566888809,,,,,0.16701336205005646,0.5,313,0.0,0.0,0.0,296,67,0.22635135135135134,67,0.1285,2.475
5,EFT,-0.36853027504971797,-73.7060550099436,0.45,0.45,0.7156398104265402,0.8547008547008547,0.9115,0.04775,0.04075,0.9115,0.04775,0.04075,0.01464363400839025,0.16546479105525705,1.0,20.000000000000014,22.368400096893318,9.233333333333315,9.233333333333315,11.679999999999975,0.55,1.0,0.0,0.90525,0.09475,0.09475,0.0,1.1189051747351186e-06,0.0,2.772543028495278e-10,1.1189051747351186e-06,2.772543028495278e-10,0.7242742776870728,0.5,0.08351881802082062,,,,,0.16064204275608063,0.5,350,0.0,0.0,0.0,333,60,0.18018018018018017,60,0.156,2.82
6,EFT,-2.328551030164912,-465.7102060329824,0.15,0.15,0.4771084337349398,0.6842105263157895,0.9395,0.03475,0.02575,0.9395,0.03475,0.02575,0.011227511181755905,0.18557869721910591,1.0,20.000000000000014,25.625689697265624,6.799999999999993,6.799999999999993,7.4899999999999896,0.85,1.0,0.0,0.9265,0.07350000000000001,0.07350000000000001,0.0,1.2684324246947654e-05,4.580552083466305e-12,0.00019952624279540032,1.2684324246947654e-05,0.00019952624279540032,0.596915602684021,0.4000000059604645,0.13591217994689941,,,,,0.20109927654266357,0.5,238,0.0,0.0,0.0,214,67,0.3130841121495327,67,0.1095,2.14
7,EFT,-0.6322071898856398,-126.44143797712798,0.3,0.3,0.568445475638051,0.775,0.93125,0.04275,0.026,0.93125,0.04275,0.026,0.011322003144596844,0.16468368210322681,1.0,20.000000000000014,24.63346509933472,6.31666666666666,6.31666666666666,8.149999999999988,0.7,1.0,0.0,0.91925,0.08074999999999999,0.08074999999999999,0.0,9.566110747982748e-07,0.0,8.083832492289389e-10,9.566110747982748e-07,8.083832492289389e-10,0.7031225562095642,0.5,0.09001946449279785,,,,,0.18797646462917328,0.5,273,0.0,0.0,0.0,255,53,0.20784313725490197,53,0.12675,2.41
8,EFT,-0.5681452776327771,-113.62905552655542,0.2,0.2,0.5641646489104116,0.7948717948717948,0.93175,0.04075,0.0275,0.93175,0.04075,0.0275,0.014038640354854706,0.2056943641736953,1.0,20.000000000000014,24.080742549896243,6.574999999999993,6.574999999999993,8.354999999999986,0.8,1.0,0.0,0.9235,0.07650000000000001,0.07650000000000001,0.0,3.4446291010681307e-06,0.0,2.593380510340637e-10,3.4446291010681307e-06,2.593380510340637e-10,0.683838963508606,0.5,0.10001812130212784,,,,,0.18233121931552887,0.5,271,0.0,0.0,0.0,254,54,0.2125984251968504,54,0.116,2.13
9,EFT,-0.7092138702093872,-141.84277404187745,0.2,0.2,0.5644028103044496,0.7888888888888889,0.93,0.04175,0.02825,0.93,0.04175,0.02825,0.011472188777136669,0.1638884111019524,1.0,20.000000000000014,25.44860534667969,8.739999999999984,8.739999999999984,13.159999999999968,0.8,1.0,0.0,0.91875,0.08125000000000004,0.08125000000000004,0.0,2.98188092529017e-06,0.0,5.676253356234895e-10,2.98188092529017e-06,5.676253356234895e-10,0.6700330972671509,0.5,0.10652624815702438,,,,,0.18402305245399475,0.5,280,0.0,0.0,0.0,261,59,0.2260536398467433,59,0.1045,2.385
10,EFT,-0.5565837570623573,-99.0719087570996,0.6,0.6,0.8812351543942993,0.9389312977099237,0.8837078651685393,0.06657303370786517,0.049719101123595504,0.8837078651685393,0.06657303370786517,0.049719101123595504,0.01885611513176966,0.1621443716644927,1.0,17.799999999999983,20.00712917327879,9.783333333333315,9.783333333333315,12.334999999999972,0.4,0.0,0.0,0.8764044943820225,0.1235955056179775,0.1235955056179775,0.0,1.3604409332401701e-06,0.0,9.628357833246781e-11,1.3604409332401701e-06,9.628357833246781e-11,0.7528184652328491,0.5,0.07415783405303955,,,,,0.1432204395532608,0.5,411,0.0,0.0,0.0,402,60,0.14925373134328357,60,0.2648876404494382,4.112359550561798
