episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Local-Only,-0.1786154904621208,-30.007402397636294,0.6,0.6,0.8725961538461539,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,16.79999999999997,18.119022159576396,8.00833333333332,8.00833333333332,11.524999999999974,0.4,0.0,0.0,0.8866071428571428,0.11339285714285718,0.11339285714285718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.174404761904762,0.0
2,Local-Only,-0.3467838558931338,-54.09828151932888,0.65,0.65,0.9133489461358314,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.59999999999996,16.381005611419656,7.484615384615375,7.484615384615375,10.599999999999978,0.35,0.0,0.0,0.8711538461538462,0.12884615384615383,0.12884615384615383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.0929487179487178,0.0
3,Local-Only,-0.33465950837001723,-48.19096920528248,0.8,0.8,0.9212410501193318,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.399999999999965,15.442597789764378,7.737499999999989,7.737499999999989,11.074999999999976,0.2,0.0,0.0,0.8625,0.13749999999999996,0.13749999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.1666666666666667,0.0
4,Local-Only,-0.27679754814911245,-40.96603712606864,0.75,0.75,0.9226932668329177,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.799999999999963,15.619805431365938,8.059999999999986,8.059999999999986,10.789999999999976,0.25,0.0,0.0,0.8706081081081081,0.12939189189189193,0.12939189189189193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.1655405405405406,0.0
5,Local-Only,-0.35761707475630433,-53.28494413868935,0.6,0.6,0.9052132701421801,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.899999999999963,15.907320966720558,7.574999999999989,7.574999999999989,9.534999999999982,0.4,0.0,0.0,0.8671140939597315,0.1328859060402685,0.1328859060402685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.1906040268456375,0.0
6,Local-Only,-0.360452055737214,-51.905096026158816,0.8,0.8,0.9253012048192771,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,14.399999999999965,15.156501598358128,8.037499999999987,8.037499999999987,12.79999999999997,0.2,0.0,0.0,0.8635416666666667,0.13645833333333335,0.13645833333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.1041666666666667,0.0
7,Local-Only,-0.2534183676397234,-38.26617351359823,0.7,0.7,0.8932714617169374,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.099999999999962,16.441886634826638,8.528571428571414,8.528571428571414,11.979999999999972,0.3,0.0,0.0,0.8682119205298013,0.13178807947019866,0.13178807947019866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.2513245033112583,0.0
8,Local-Only,-0.24221829224756727,-44.56816577355238,0.6,0.6,0.9200968523002422,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,18.39999999999999,19.39213327407836,7.533333333333322,7.533333333333322,9.79499999999998,0.4,0.0,0.0,0.8932065217391304,0.1067934782608696,0.1067934782608696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.0043478260869565,0.0
9,Local-Only,-0.4192850335585859,-54.08776932905758,0.8,0.8,0.9414519906323185,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,12.89999999999997,13.582481260299659,7.68124999999999,7.68124999999999,11.049999999999976,0.2,0.0,0.0,0.8406976744186047,0.15930232558139534,0.15930232558139534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.212015503875969,0.0
10,Local-Only,-0.2236637770503249,-33.99689411164938,0.6,0.6,0.8622327790973872,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.199999999999962,16.814602584838845,8.733333333333318,8.733333333333318,11.679999999999975,0.4,0.0,0.0,0.875,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,1.3671052631578948,0.0
