episode,policy,reward_mean,reward_total,vehicle_sr,task_sr,subtask_sr,v2v_subtask_sr,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,power_ratio_mean,power_ratio_p95,episode_time_seconds,mean_cft_est,mean_cft_completed,task_duration_mean,task_duration_p95,deadline_miss_rate,time_limit_rate,illegal_action_rate,no_task_rate,on_task_rate,has_task_available_rate,unified_illegal_trigger_rate,I_total_mean,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,rho_selected_mean,rho_selected_p10,risk_penalty_mean,rho_selected_p50,rho_selected_p95,rho_selected_lt_0p6_rate,rho_selected_lt_0p7_rate,uncertainty_selected_mean,uncertainty_selected_p90,chain_tx_total,chain_p95_mean,chain_pfail_mean,chain_risk_cost_total,trust_attempts,trust_failures,trust_failure_rate,trust_retry_count,avg_queue_len,avg_rsu_queue
1,Random,-2.872154551995848,-574.4309103991695,0.0,0.0,0.11057692307692307,0.4411764705882353,0.06975,0.11675,0.8135,0.06975,0.11675,0.8135,0.6340927672457541,0.6066570999685631,0.9577991293126671,20.000000000000014,26.180477142333984,0.0,0.0,0.0,1.0,1.0,0.0,0.9755,0.024499999999999966,0.024499999999999966,0.0,7.879218173911795e-06,2.7231290139484443e-11,5.0176240620203316e-05,7.879218173911795e-06,5.0176240620203316e-05,0.5326007008552551,0.5,0.16405732929706573,,,,,0.4285713732242584,0.5,91,0.0,0.0,0.0,53,11,0.20754716981132076,11,0.08425,0.09
2,Random,-0.8781462316649855,-175.6292463329971,0.0,0.0,0.12646370023419204,0.5142857142857142,0.07575,0.12575,0.7985,0.07575,0.12575,0.7985,0.6300377627465458,0.5997162702153599,0.9656187685879501,20.000000000000014,25.58765983581543,0.0,0.0,0.0,1.0,1.0,0.0,0.97475,0.025249999999999995,0.025249999999999995,0.0,3.6823125810769852e-06,1.1319653547836594e-11,1.1123268528479002e-08,3.6823125810769852e-06,1.1123268528479002e-08,0.5509096384048462,0.5,0.15313448011875153,,,,,0.42257893085479736,0.5,89,0.0,0.0,0.0,55,10,0.18181818181818182,10,0.0635,0.075
3,Random,-2.9836729158615016,-596.7345831723003,0.0,0.0,0.1026252983293556,0.410958904109589,0.07275,0.114,0.81325,0.07275,0.114,0.81325,0.6304404845033033,0.6014456559755232,0.9651312990663999,20.000000000000014,25.783771514892578,0.0,0.0,0.0,1.0,1.0,0.0,0.977,0.02300000000000002,0.02300000000000002,0.0,1.8354599887970835e-05,7.567566365218603e-12,0.00019952624279540032,1.8354599887970835e-05,0.00019952624279540032,0.5685393214225769,0.5,0.14500358700752258,,,,,0.4207865297794342,0.5,89,0.0,0.0,0.0,46,5,0.10869565217391304,5,0.0395,0.06
4,Random,-1.4610133994376158,-292.2026798875232,0.0,0.0,0.08728179551122195,0.43137254901960786,0.05725,0.095,0.84775,0.05725,0.095,0.84775,0.6257838603801354,0.6030589874093195,0.9576665326161005,20.000000000000014,25.435054779052734,0.0,0.0,0.0,1.0,1.0,0.0,0.9815,0.01849999999999996,0.01849999999999996,0.0,2.823170461851987e-06,1.2844747834805936e-11,1.3235494122909586e-07,2.823170461851987e-06,1.3235494122909586e-07,0.5390756726264954,0.5,0.1597267985343933,,,,,0.43641453981399536,0.5,68,0.0,0.0,0.0,39,9,0.23076923076923078,9,0.04225,0.095
5,Random,-3.7453598143436095,-749.0719628687219,0.0,0.0,0.13981042654028436,0.49295774647887325,0.083,0.11475,0.80225,0.083,0.11475,0.80225,0.6384636628751587,0.6057400903763995,0.9600148594263683,20.000000000000014,25.08005714416504,0.0,0.0,0.0,1.0,1.0,0.0,0.972,0.028000000000000025,0.028000000000000025,0.0,7.278118573594838e-06,1.037363597800045e-11,4.811931285075843e-05,7.278118573594838e-06,4.811931285075843e-05,0.5568922758102417,0.5,0.15211118757724762,,,,,0.36802005767822266,0.5,95,0.0,0.0,0.0,59,14,0.23728813559322035,14,0.06775,0.125
6,Random,-1.9605318309298698,-392.10636618597397,0.0,0.0,0.12530120481927712,0.45454545454545453,0.07425,0.12025,0.8055,0.07425,0.12025,0.8055,0.6267362476032131,0.5967985391339048,0.9564561962723879,20.000000000000014,25.479843139648438,0.0,0.0,0.0,1.0,1.0,0.0,0.9745,0.025499999999999967,0.025499999999999967,0.0,4.429718501341995e-06,1.2564156312566688e-11,3.180514795531053e-06,4.429718501341995e-06,3.180514795531053e-06,0.574790894985199,0.5,0.14200444519519806,,,,,0.40146350860595703,0.5,93,0.0,0.0,0.0,51,7,0.13725490196078433,7,0.0475,0.11
7,Random,-2.2149422343880234,-442.9884468776047,0.0,0.0,0.10672853828306264,0.45588235294117646,0.08675,0.132,0.78125,0.08675,0.132,0.78125,0.6350213653307946,0.6003518919581657,0.9586638244643034,20.000000000000014,25.858739852905273,0.0,0.0,0.0,1.0,1.0,0.0,0.97425,0.02575000000000005,0.02575000000000005,0.0,4.335419362178072e-06,2.605155891358124e-12,3.31091541738715e-05,4.335419362178072e-06,3.31091541738715e-05,0.5429894328117371,0.3708333671092987,0.1591804027557373,,,,,0.39714282751083374,0.5,90,0.0,0.0,0.0,53,13,0.24528301886792453,13,0.08725,0.115
8,Random,-1.2640421440553045,-252.80842881106088,0.0,0.0,0.10411622276029056,0.5396825396825397,0.0685,0.11925,0.81225,0.0685,0.11925,0.81225,0.6259356867752007,0.5984280051263562,0.962621516623613,20.000000000000014,26.19598960876465,0.0,0.0,0.0,1.0,1.0,0.0,0.978,0.02200000000000002,0.02200000000000002,0.0,1.8268915482622106e-06,7.83151928723802e-12,6.315455891581223e-08,1.8268915482622106e-06,6.315455891581223e-08,0.554085910320282,0.5,0.1525927484035492,,,,,0.41258084774017334,0.5,81,0.0,0.0,0.0,52,12,0.23076923076923078,12,0.06725,0.065
9,Random,-1.49975547514924,-299.951095029848,0.0,0.0,0.10070257611241218,0.43478260869565216,0.065,0.11575,0.81925,0.065,0.11575,0.81925,0.6283955723875971,0.6025621095054512,0.9641312315756688,20.000000000000014,25.028841018676758,0.0,0.0,0.0,1.0,1.0,0.0,0.97525,0.02475000000000005,0.02475000000000005,0.0,5.587626219494268e-06,1.8919362604341572e-11,1.8213597741123522e-06,5.587626219494268e-06,1.8213597741123522e-06,0.5338847041130066,0.3333333432674408,0.1649600863456726,,,,,0.3782707154750824,0.5,95,0.0,0.0,0.0,56,16,0.2857142857142857,16,0.055,0.06
10,Random,-2.24442557179492,-448.885114358984,0.0,0.0,0.10926365795724466,0.5074626865671642,0.074,0.12125,0.80475,0.074,0.12125,0.80475,0.6288265432736118,0.5991647335568175,0.9580371264699368,20.000000000000014,26.14906883239746,0.0,0.0,0.0,1.0,1.0,0.0,0.97675,0.023249999999999993,0.023249999999999993,0.0,9.509500159765594e-06,1.3243508720228725e-11,8.109969348879531e-05,9.509500159765594e-06,8.109969348879531e-05,0.5605363845825195,0.5,0.14979179203510284,,,,,0.4116857647895813,0.5,87,0.0,0.0,0.0,54,10,0.18518518518518517,10,0.0635,0.065
