episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_est,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,trust_failure_rate,rho_selected_p10,uncertainty_selected_p90,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,no_task_rate,unified_illegal_trigger_rate,hard_trigger_rate,actor_loss,critic_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,value_clip_fraction,skipped_update_count,early_stop,lr,bias_rsu,bias_local,on_task_rate,has_task_available_rate
1,200,30.63252902030945,20.0,-8.167680740356445,-1634.536045170299,-3.8579538345336912,8.167680740356445,0.0,0.0,0.0867469879518072,0.0,0.0,0,26.055892944335938,20.000000000000018,0.0360925784023184,0.0010809998126647,0.0,0.0,20,1.0,0.0985915492957746,0.1408450704225352,0.7605633802816901,0.0985915492957746,0.1408450704225352,0.7605633802816901,0.4924417073249351,0.045,0.0,0.4910960185482854,0.865196931362152,4.169377083168557e-12,1.3539757958368847e-06,1.9447847989795264e-06,1.3539757958368847e-06,0.1621621621621621,0.5,0.5,58,7,4.123711570801132,0.0,1.0,0.0,0.98225,0.0,0.0,0.1275064945220947,1.9361989498138428,2.342355728149414,0.0472153425216674,0.0,2.719782590866089,0.01775,0.0,0,True,0.0003,1.4,1.7,0.017750000000000044,0.017750000000000044
2,200,30.533015251159668,20.0,-7.5522260665893555,-1511.445212730303,-2.907605957984925,7.5522260665893555,0.0,0.0,0.0785714285714285,0.0,0.0,0,26.898427963256836,20.000000000000018,0.0223244816538481,0.0008106885704078,0.0,0.0,20,1.0,0.1052631578947368,0.1184210526315789,0.7763157894736842,0.1052631578947368,0.1184210526315789,0.7763157894736842,0.5031587016419508,0.075,1.0,0.5017845837137554,0.8633936405181885,5.327471753677204e-12,3.965538435295457e-05,8.653906661493238e-06,3.965538435295457e-05,0.2,0.5,0.5,61,8,4.1039420966035,0.0,1.0,0.0,0.981,0.0,0.0,0.7081801295280457,4.23430061340332,2.4580376148223877,0.0444057770073413,0.0,3.018169641494751,0.019,0.0,0,True,0.0003,1.4,1.7,0.019000000000000017,0.019000000000000017
3,200,29.316354513168335,20.0,-9.640352249145508,-1929.0702819095252,-5.319192266464233,9.640352249145508,0.0,0.0,0.1258907363420427,0.0,0.0,0,25.137283325195312,20.000000000000018,0.0432505838611333,0.4513510367825935,0.0,0.0,20,1.0,0.1649484536082474,0.1237113402061855,0.711340206185567,0.1649484536082474,0.1237113402061855,0.711340206185567,0.5003054815956857,0.085,1.0,0.5001885229756718,0.8630043357610703,3.878741295162969e-12,1.0645432894306871e-05,8.118799087242223e-06,1.0645432894306871e-05,0.1875,0.5,0.5,72,16,6.271734395435084,0.0,1.0,0.0,0.97575,0.0,0.0,0.1689945757389068,1.7976725101470947,2.209436416625977,0.0571552664041519,0.0,2.2989792823791504,0.02425,0.0,0,True,0.0003,1.4,1.7,0.024249999999999994,0.024249999999999994
4,200,30.35781979560852,20.0,-3.501743793487549,-701.3487594453989,-0.4590338617563249,3.501743793487549,0.0,0.0,0.1144859813084112,0.0,0.0,0,25.82369041442871,20.000000000000018,0.0446791616263502,0.2503481505695025,0.0,0.0,20,1.0,0.1008403361344537,0.1764705882352941,0.7226890756302521,0.1008403361344537,0.1764705882352941,0.7226890756302521,0.5067637803074904,0.13,1.0,0.5068542726134005,0.8626210331916808,1.2822180925527173e-12,1.003456469028659e-08,9.456175575905944e-07,1.003456469028659e-08,0.4090909090909091,0.3333333432674408,0.5,80,12,6.344607267158705,0.0,1.0,0.0,0.97025,0.0,0.0,-0.1475108712911605,1.5054872035980225,2.333786964416504,0.0340379476547241,0.0,1.616804122924805,0.02975,0.0,0,True,0.0003,1.4,1.7,0.029750000000000054,0.029750000000000054
5,200,29.557517051696777,20.0,-4.610921382904053,-923.184288547022,-1.312067860364914,4.610921382904053,0.0,0.0,0.1642512077294686,0.0,0.0,0,25.74373435974121,20.000000000000018,0.0474602531162547,0.16873195924456,0.0,0.0,20,1.0,0.1120689655172413,0.1637931034482758,0.7241379310344828,0.1120689655172413,0.1637931034482758,0.7241379310344828,0.4954048766731284,0.1,1.0,0.4957157897999566,0.8640999853610992,3.8287450467022754e-12,1.1465838989366232e-08,9.916275303112343e-07,1.1465838989366232e-08,0.1666666666666666,0.5,0.5,92,13,6.814117898370509,0.0,1.0,0.0,0.971,0.0,0.0,0.2381514348089695,34.57616853713989,2.4141717553138733,-0.0139938106294721,0.1180555559694767,2.762954831123352,0.029,0.0,0,True,0.0003,1.4,1.7,0.029000000000000026,0.029000000000000026
6,200,29.61070156097412,20.0,-7.382343769073486,-1477.4688477374818,-1.6880154311656952,7.382343769073486,0.0,0.0,0.1124694376528117,0.0,0.0,0,24.85850524902344,20.000000000000018,0.0377167515840112,0.0005259184415014,0.0,0.0,20,1.0,0.2307692307692307,0.1538461538461538,0.6153846153846154,0.2307692307692307,0.1538461538461538,0.6153846153846154,0.5041107555858325,0.09,1.0,0.5016757025521591,0.8599511474370956,3.763216301078121e-12,5.65914152161892e-07,5.108569894218817e-06,5.65914152161892e-07,0.1538461538461538,0.5,0.5,64,21,4.484715061631082,0.0,1.0,0.0,0.97725,0.0,0.0,1.1255674362182615,4.7726593017578125,2.6551811695098877,0.0983452796936035,0.0,5.061142921447754,0.02275,0.0,0,True,0.0003,1.4,1.7,0.022750000000000048,0.022750000000000048
7,200,29.693308353424072,20.0,-10.599196434020996,-2120.839398981475,-2.7279612183570863,10.599196434020996,0.0,0.0,0.1529411764705882,0.0,0.0,0,24.94452667236328,20.000000000000018,0.0491865584249296,0.2264815059371992,0.0,0.0,20,1.0,0.2566371681415929,0.2035398230088495,0.5398230088495575,0.2566371681415929,0.2035398230088495,0.5398230088495575,0.4937349553470267,0.17,1.0,0.4952380653060346,0.8624225914478301,1.6766996645267707e-11,4.715371323982254e-05,6.59647366774152e-06,4.715371323982254e-05,0.1929824561403508,0.5,0.5,73,29,6.335383862560787,0.0,1.0,0.0,0.97175,0.0,0.0,-0.2347261160612106,3.26034164428711,2.545588493347168,0.0549054369330406,0.0,1.7552733421325684,0.02825,0.0,0,True,0.0003,1.4,1.7,0.028249999999999997,0.028249999999999997
8,200,30.22006130218506,20.0,-7.655576229095459,-1532.1152825049946,-1.4236123740673092,7.655576229095459,0.0,0.0,0.1574074074074074,0.0,0.0,0,25.97695541381836,20.000000000000018,0.0423569842396805,0.1993438112710616,0.0,0.0,20,1.0,0.1538461538461538,0.1538461538461538,0.6923076923076923,0.1538461538461538,0.1538461538461538,0.6923076923076923,0.495566552645294,0.145,1.0,0.4967177193995654,0.8587294936180113,9.640360558449412e-12,0.0001995262282434,1.07756650322699e-05,0.0001995262282434,0.203125,0.5,0.5,86,18,6.97092891701291,0.0,1.0,0.0,0.97075,0.0,0.0,0.1196022977431615,4.442514419555664,2.4970713456471763,0.0214434334387381,0.1916666676600774,1.638142426808675,0.02925,0.0,0,True,0.0003,1.4,1.7,0.029249999999999998,0.029249999999999998
9,200,29.041804790496823,20.0,-7.639092922210693,-1528.818539109186,-2.535737240314484,7.639092922210693,0.0,0.0,0.1756097560975609,0.0,0.0,0,25.364700317382812,20.000000000000018,0.0594075278593269,0.1494292486428428,0.0,0.0,20,1.0,0.216,0.216,0.568,0.216,0.216,0.568,0.5002440582436976,0.21,1.0,0.5023256314816668,0.8603575557470321,1.1032813985317746e-11,4.131425612285966e-05,7.642186574230436e-06,4.131425612285966e-05,0.2647058823529412,0.2750000089406967,0.5,80,27,8.9127117240224,0.0,1.0,0.0,0.96875,0.0,0.0,-0.0785228461027145,1.6332166194915771,2.211742401123047,0.02982859313488,0.300000000745058,1.5138594508171082,0.03125,0.0,0,True,0.0003,1.4,1.7,0.03125,0.03125
10,200,26.837543964385983,20.0,-7.071123123168945,-1415.2246492775157,-3.954953742027283,7.071123123168945,0.05,0.05,0.2144638403990025,7.499999999999989,7.499999999999989,1,24.262904739379884,20.000000000000018,0.0768895194934627,0.2900371139503245,0.0,0.0,19,0.95,0.2290076335877862,0.2442748091603053,0.5267175572519084,0.2290076335877862,0.2442748091603053,0.5267175572519084,0.4952937459426466,0.24,1.0,0.4948248928839421,0.8653260469436646,1.7778861065645413e-12,5.996184242462724e-08,2.4256376036646543e-06,5.996184242462724e-08,0.2467532467532467,0.5,0.5,82,30,8.975164876314654,0.0,1.0,0.0,0.96725,0.0,0.0,0.0475265632849186,1.4931225776672363,2.1763168573379517,-0.0244892775081098,0.1034722235053777,1.7603215873241425,0.03275,0.0,0,True,0.0003,1.4,1.7,0.032749999999999946,0.032749999999999946
11,200,28.072890043258667,20.0,-5.893471717834473,-1179.6943671989,-1.5562858939170852,5.893471717834473,0.0,0.0,0.1995192307692307,0.0,0.0,0,27.32122230529785,20.000000000000018,0.0496699047752079,0.2468838679340342,0.0,0.0,20,1.0,0.1726618705035971,0.2086330935251798,0.6187050359712231,0.1726618705035971,0.2086330935251798,0.6187050359712231,0.4972161454973684,0.245,1.0,0.4951505585748145,0.8552477419376373,1.087048474238822e-12,1.9130066704064857e-07,1.5973333802321577e-06,1.9130066704064857e-07,0.1975308641975308,0.5,0.5,99,24,10.028387031871205,0.0,1.0,0.0,0.96525,0.0,0.0,0.0147791117429733,2.6915539026260378,2.2467952251434324,-0.0038719723466783,0.125555557012558,1.775981330871582,0.03475,0.0,0,True,0.0003,1.4,1.7,0.03474999999999995,0.03474999999999995
12,200,29.96654987335205,20.0,-10.196094512939451,-2040.218990273702,-4.839930200576788,10.196094512939451,0.0,0.0,0.1886792452830188,0.0,0.0,0,24.36515235900879,20.000000000000018,0.0713643758097646,0.3760913700734193,0.0,0.0,20,1.0,0.1901408450704225,0.2112676056338028,0.5985915492957746,0.1901408450704225,0.2112676056338028,0.5985915492957746,0.4961146745893638,0.195,1.0,0.4983503641401399,0.8701236397027969,2.897862592249334e-11,0.0001995262427954,1.19480528155691e-05,0.0001995262427954,0.2531645569620253,0.4400000035762787,0.5,95,27,8.492459772133692,0.0,1.0,0.0,0.9645,0.0,0.0,0.0687999924023946,2.9965337912241616,2.466880480448405,0.0027214400470256,0.0719696978727976,2.41424552599589,0.0355,0.0,0,True,0.0003,1.4,1.7,0.035499999999999976,0.035499999999999976
13,200,27.652734994888306,20.0,-6.958942413330078,-1392.7884457540322,-3.740798079967501,6.958942413330078,0.0,0.0,0.2517985611510791,0.0,0.0,0,25.065879821777344,20.000000000000018,0.0753750912830182,0.2667670863011324,0.0,0.0,20,1.0,0.1962025316455696,0.2594936708860759,0.5443037974683544,0.1962025316455696,0.2594936708860759,0.5443037974683544,0.4908576439442113,0.3,2.0,0.4872353210570228,0.8608662486076355,4.756545905846428e-13,2.3396004991126637e-07,3.1159490845311666e-06,2.3396004991126637e-07,0.1855670103092783,0.5,0.5,109,31,10.972437023922437,0.0,1.0,0.0,0.9605,0.0,0.0,-0.4872569739818573,1.87027108669281,2.242373824119568,0.0369494226761162,0.1111111119389534,1.880801022052765,0.0395,0.0,0,True,0.0003,1.4,1.7,0.03949999999999998,0.03949999999999998
14,200,29.193607091903687,20.0,-6.903298377990723,-1381.659692469019,-3.590480291843421,6.903298377990723,0.0,0.0,0.275058275058275,0.0,0.0,0,24.23794937133789,20.000000000000018,0.1201428486133963,0.7101727357954453,0.0,0.0,20,1.0,0.2191011235955056,0.2415730337078651,0.5393258426966292,0.2191011235955056,0.2415730337078651,0.5393258426966292,0.5036789041422307,0.315,2.0,0.5074682767104246,0.8686894059181213,8.368547608356147e-12,1.776392073438142e-08,3.06366678159975e-06,1.776392073438142e-08,0.2037037037037037,0.5,0.5,117,39,12.240703812671006,0.0,1.0,0.0,0.9555,0.0,0.0,0.151711493730545,1.9521338144938152,2.157788117726644,-0.0077964637312106,0.0787037039796511,2.1364537874857583,0.0445,0.0,0,True,0.0003,1.4,1.7,0.044499999999999984,0.044499999999999984
15,200,31.32831859588623,20.0,-12.113110542297363,-2423.622133040974,-6.673475146293642,12.113110542297363,0.0,0.0,0.1824480369515011,0.0,0.0,0,25.174793243408203,20.000000000000018,0.0731360694750332,0.4041049975612841,0.0,0.0,20,1.0,0.1428571428571428,0.2928571428571428,0.5642857142857143,0.1428571428571428,0.2928571428571428,0.5642857142857143,0.4983305293167941,0.305,2.0,0.4943491127307141,0.858614444732666,4.5875444068532716e-11,8.788312188698911e-05,9.895729817799293e-06,8.788312188698911e-05,0.3111111111111111,0.5,0.5,92,20,8.489259752904895,0.0,1.0,0.0,0.965,0.0,0.0,-0.0773889571428299,1.7310376564661665,2.437793970108032,-0.0034663556143641,0.1216931243737538,1.6170217990875244,0.035,0.0,0,True,0.0003,1.4,1.7,0.03500000000000003,0.03500000000000003
16,200,28.22706913948059,20.0,-4.33729887008667,-868.4597865535186,-1.5408452570438385,4.33729887008667,0.0,0.0,0.2696078431372549,0.0,0.0,0,24.9492130279541,20.000000000000018,0.0676825994932427,0.3790088745445316,0.0,0.0,20,1.0,0.1404494382022472,0.3033707865168539,0.5561797752808989,0.1404494382022472,0.3033707865168539,0.5561797752808989,0.5051678941338323,0.385,3.0,0.5058263666107881,0.8625164747238158,5.9042846566742516e-12,2.180221270187122e-09,5.57126259081997e-06,2.180221270187122e-09,0.225,0.5,0.5,126,25,10.92777757301042,0.0,1.0,0.0,0.9555,0.0,0.0,-0.1649147234857082,3.0049668550491333,2.367820978164673,0.0219942884286865,0.1071428619325161,1.6444557905197144,0.0445,0.0,0,True,0.0003,1.4,1.7,0.044499999999999984,0.044499999999999984
17,200,28.464881658554077,20.0,-8.21268081665039,-1643.5362488766311,-6.071269631385803,8.21268081665039,0.15,0.15,0.2969121140142517,9.033333333333315,10.02999999999998,3,25.08196449279785,20.000000000000018,0.0754927062249014,0.4348132202240755,0.0,0.0,17,0.85,0.2134831460674157,0.3595505617977528,0.4269662921348314,0.2134831460674157,0.3595505617977528,0.4269662921348314,0.501664513847325,0.505,4.0,0.5032247396744788,0.8787186324596403,1.2670940251896523e-11,3.1337349355453625e-05,2.9653022011189023e-06,3.1337349355453625e-05,0.208695652173913,0.5,0.5,116,38,12.941595440667344,0.0,1.0,0.0,0.9555,0.0,0.0,0.1685057667394479,1.5692524512608843,2.1284339427948,0.0042045222750554,0.0559440578023592,2.246882756551107,0.0445,0.0,0,True,0.0003,1.4,1.7,0.044499999999999984,0.044499999999999984
