episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,43.654261937549165,0.2871990916944024,1.0541861057281494,0.7666666666666667,0.7666666666666667,0.7666666666666667,0.9549689440993789,0.9978858350951374,0.36238902340597257,0.25585149313962874,0.3817594834543987,0.49817358074135865,1.044298245614035,1.044298245614035,3.5592105263157894,0.480624346587232,192.48966042993538,78.8583509513742,0.2651251789828164,0.7885835095137421,0.36816261966935954,75.74455382396829,-116.74510660596708,6.246180696972386,30,30,27.9413800239563
2,,18.116201215495597,0.12077467476997064,0.592375111579895,0.4,0.4,0.4,0.925808997632202,0.9854721549636803,0.4103852596314908,0.24371859296482412,0.3458961474036851,0.4941716318690321,1.1391111111111112,1.1391111111111112,3.4133333333333336,0.1356464764954991,132.45386408258025,83.7772397094431,0.32804897212750084,0.837772397094431,0.41314392990299637,75.97153801146845,-56.4823260711118,6.09563707511608,30,30,28.932629823684692
3,,30.74000448272427,0.20630875491761255,0.7453531622886658,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.9224620303756994,0.9914285714285714,0.4057971014492754,0.2958226768968457,0.29838022165387895,0.5052460621936159,1.0796420581655481,1.0796420581655481,4.442953020134228,0.3719922578037278,111.82713121831986,79.14285714285715,0.35033487142193737,0.7914285714285715,0.4751201089937733,72.38187646394744,-39.44525475437243,6.019714566182504,30,30,27.298367500305176
4,,24.915032271842918,0.15769007766989188,0.6419649720191956,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.933954933954934,0.9863325740318907,0.396734693877551,0.24489795918367346,0.35836734693877553,0.496248185515054,1.0932489451476792,1.0932489451476792,2.981012658227848,0.20323613141009245,136.92992729354194,81.54897494305239,0.27345661748886096,0.8154897494305239,0.3637480871583013,76.89128862112176,-60.03863867242018,6.125803576534018,30,30,30.22571301460266
5,,21.63013262264759,0.13351933717683698,0.5959679782390594,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.9490196078431372,0.9925742574257426,0.4073170731707317,0.26422764227642276,0.3284552845528455,0.5016249155809666,1.055761316872428,1.055761316872428,3.388888888888889,0.14581607029288454,150.3807187300176,77.22772277227723,0.3012878623005733,0.7722772277227723,0.428238498535766,76.44325593965227,-73.93746279036533,6.337747496504884,30,30,29.705182313919067
6,,44.234086907740135,0.3071811590815287,0.7550531625747681,0.7,0.7,0.7,0.9317111459968603,0.9953596287703016,0.3964941569282137,0.24373956594323873,0.3597662771285476,0.5040165780802016,1.1409722222222223,1.1409722222222223,3.4375,0.5874934548167416,129.069991972547,80.74245939675174,0.28803585531483067,0.8074245939675174,0.3887233533543515,75.54141504485155,-53.52857692769545,6.165290976464584,30,30,27.593669652938843
7,,33.27302905992355,0.23937430978362267,0.6144974604249,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.9549114331723028,0.987603305785124,0.35684647302904565,0.24149377593360996,0.4016597510373444,0.49478083586976895,1.1268585131894484,1.1268585131894484,3.597122302158273,0.4450906213318087,105.78560607131692,78.92561983471074,0.27038263205073404,0.7892561983471075,0.3713632529993252,76.14747902539797,-29.63812704591895,6.334829214613343,30,30,25.813367128372192
8,,43.48637720125018,0.3062420929665505,0.7876401543617249,0.7,0.7,0.7,0.9774557165861514,0.9932885906040269,0.3341503267973856,0.3006535947712418,0.36519607843137253,0.49498029388257786,1.0011737089201878,1.0011737089201878,4.767605633802817,0.5791248268375102,131.61993759725522,80.98434004474274,0.3451352706973034,0.8098434004474273,0.45926372191869974,73.41638353991566,-58.20355405733957,6.469697470029881,30,30,25.293114185333252
9,,11.98484011507466,0.07732154912951393,0.4021054804325104,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.9223674096848578,0.9810126582278481,0.33849918433931486,0.27487765089722677,0.3866231647634584,0.49752799727723646,1.1204301075268817,1.1204301075268817,3.6516129032258067,0.06565457228396869,132.59547702097757,82.48945147679325,0.3455743304227916,0.8248945147679325,0.4492084027394465,73.4692643088117,-59.12621271216588,5.982704062990154,30,30,30.682533979415894
10,,51.44186693353224,0.3255814362881787,1.2532217502593994,0.8,0.8,0.8,0.9888446215139443,0.9942965779467681,0.3097913322632424,0.2680577849117175,0.42215088282504015,0.49932582215897203,0.9525316455696202,0.9525316455696202,3.651898734177215,0.7656826515910478,108.49354682915596,78.89733840304183,0.24880048977649322,0.7889733840304183,0.3438082762709206,76.25250236168134,-32.24104446747462,6.43750082035396,30,30,26.354702711105347
11,,19.017545386504274,0.13298982787765226,0.40995901823043823,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.9052132701421801,0.980722891566265,0.3333333333333333,0.31287297527706737,0.3537936913895993,0.5017650489455484,1.229137529137529,1.229137529137529,4.8671328671328675,0.21611888657656655,110.1846679612337,82.89156626506025,0.38036982169520056,0.8289156626506025,0.4896264386961839,74.353074292995,-35.831593668238696,5.78207756319242,30,30,28.31827402114868
12,,36.85172348803769,0.2377530547615335,0.5639273598790169,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.96640625,0.9903846153846154,0.3368,0.2472,0.416,0.49406630456667916,1.0464516129032257,1.0464516129032257,3.3419354838709676,0.3930080298317849,144.9583529095973,81.15384615384616,0.2936775169595,0.8115384615384615,0.38817557217087667,75.85972437170265,-69.09862853789464,6.769240822320965,30,30,28.214321613311768
13,,40.089772559338584,0.2505610784958662,0.6357191443443299,0.7333333333333333,0.7333333333333333,0.7333333333333333,0.9883177570093458,0.9963235294117647,0.303054032889585,0.27094753328112764,0.42599843382928737,0.4963252354245439,0.9275,0.9275,3.6125,0.41389986457295436,138.29372306212557,79.41176470588235,0.24929499316353904,0.7941176470588235,0.3432849954116521,76.5714001507612,-61.72232291136436,6.469860967005011,30,30,28.565128564834595
14,,29.59520025772343,0.20841690322340445,0.512646496295929,0.5,0.5,0.5,0.94375,0.9887005649717514,0.3112745098039216,0.2549019607843137,0.4338235294117647,0.4970568979070456,1.104694835680751,1.104694835680751,3.6549295774647885,0.3315811507425672,133.14009416608832,83.9924670433145,0.3000738969415906,0.839924670433145,0.38108474999879655,74.91196166463723,-58.2281325014511,6.294036020483566,30,30,27.556138277053833
15,,11.524580439084367,0.0738755156351562,0.5483222007751465,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.9275945293644409,0.9835728952772074,0.3174061433447099,0.26706484641638223,0.41552901023890787,0.49964154382608433,1.0474358974358975,1.0474358974358975,3.5833333333333335,0.03996703683998107,175.13410088317187,81.51950718685832,0.30037201951252834,0.8151950718685832,0.3981173918467154,74.8473769634185,-100.28672391975337,6.000441491019509,30,30,28.32510232925415
16,,10.933471712595138,0.07146059942872639,0.5095682508415647,0.4,0.4,0.4,0.9425566343042071,0.9809322033898306,0.3107535986452159,0.28958509737510585,0.39966130397967825,0.49618257233134444,1.040958605664488,1.040958605664488,3.712418300653595,0.04989990726064536,137.3736928123281,79.23728813559322,0.3086766517995203,0.7923728813559322,0.41446805647708773,71.72578632935877,-65.64790648296932,5.864955236068735,30,30,28.180411338806152
17,,30.576792673820147,0.21685668562993013,0.48610719442367556,0.5,0.5,0.5,0.9704,0.9904580152671756,0.2903752039151713,0.2822185970636215,0.4274061990212072,0.4942383267692165,1.084160756501182,1.084160756501182,4.851063829787234,0.4169206188053611,106.6223719007611,80.72519083969466,0.3018482272408935,0.8072519083969466,0.4025835224963203,73.5541547988487,-33.068217101912396,6.516760443364776,30,30,25.86789846420288
