episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-25.79633120771153,-0.26056900209809625,0.6044681519269943,0.14,0.14,0.14,0.8244147157190636,0.9729064039408867,0.3763336566440349,0.22987390882638215,0.3937924345295829,0.49937856287272137,1.1135353535353536,1.1135353535353536,5.4646464646464645,0.3370679108344878,161.00938296053283,85.96059113300493,0.39213956063016825,0.8596059113300493,0.4743353389244111,50.47886522389064,-110.5305177366422,6.143556813680317,50,50,26.545572996139526
2,,-28.42131256322104,-0.30892731046979394,0.2313193678855896,0.02,0.02,0.02,0.7948936170212766,0.9398907103825137,0.4199004975124378,0.21592039800995025,0.3641791044776119,0.5006987151274781,1.1963043478260869,1.1963043478260869,5.076086956521739,0.6494440054610718,124.01899996733772,84.97267759562843,0.44115089177631556,0.8497267759562842,0.5381877220283334,51.03873838240433,-72.98026158493339,6.262494310373096,50,50,24.760340929031372
3,,-42.47910299871691,-0.3861736636246992,0.5784367322921753,0.04,0.04,0.04,0.7825020441537204,0.9539641943734015,0.4139626352015733,0.2015732546705998,0.38446411012782694,0.49502840952575206,1.0765454545454545,1.0765454545454545,4.245454545454545,0.6272520354186543,145.84672973538306,87.7237851662404,0.40391590474967953,0.8772378516624041,0.47661365362162844,49.9289587591649,-95.91777097621818,6.2177236534968365,50,50,30.25888705253601
4,,-31.83698596603101,-0.3152176828319902,0.49104055762290955,0.12,0.12,0.12,0.8345802161263508,0.9482758620689655,0.38978240302743616,0.2261116367076632,0.3841059602649007,0.49667986907129463,1.058019801980198,1.058019801980198,5.574257425742574,0.4543739374545988,128.84440755402287,85.4679802955665,0.4039003756267209,0.854679802955665,0.49257672889492804,49.43172770673961,-79.41267984728326,6.232164193436979,50,50,27.218083381652832
5,,-22.203543846153604,-0.22203543846153603,0.5090744197368622,0.12,0.12,0.12,0.8164251207729468,0.9436325678496869,0.359375,0.20036764705882354,0.44025735294117646,0.5013286634548567,1.172,1.172,5.12,0.3344959188465519,133.73537115861535,85.80375782881002,0.4049901654200489,0.8580375782881002,0.4917408396264265,50.87688216774035,-82.858488990875,5.824113664925724,50,50,27.995047569274902
6,,-53.221581747781194,-0.4751926941766178,0.8579294085502625,0.06,0.06,0.06,0.7919407894736842,0.9398148148148148,0.3849129593810445,0.19729206963249515,0.41779497098646035,0.5050421822092696,1.0458928571428572,1.0458928571428572,3.7857142857142856,0.6770353805227715,166.5632710608025,83.33333333333334,0.4167137042481039,0.8333333333333334,0.5212764955503146,51.1579864216399,-115.40528463916259,5.973049803959949,50,50,30.2369544506073
7,,-5.024723109456435,-0.052891822204804574,0.5354373268783092,0.36,0.36,0.36,0.8723051409618574,0.9620535714285714,0.3626373626373626,0.2271062271062271,0.41025641025641024,0.49616468949356163,1.024842105263158,1.024842105263158,6.042105263157895,0.014873894772168238,127.8054204380953,81.47321428571429,0.3212358911431291,0.8147321428571429,0.412856958511046,51.693885987073514,-76.11153445102178,6.67572547593997,50,50,24.962323904037476
8,,-47.99292711795083,-0.44853202913972734,0.6907977759838104,0.02,0.02,0.02,0.7497872340425532,0.9354066985645934,0.3657505285412262,0.19238900634249473,0.4418604651162791,0.5013005599460921,1.0671028037383177,1.0671028037383177,3.121495327102804,0.7977348170361522,142.21478230496243,86.60287081339713,0.4411778964510293,0.8660287081339713,0.5277166009145148,45.59182077850821,-96.62296152645422,5.993100441846683,50,50,29.18536353111267
9,,-31.14989466458746,-0.3146454006523986,0.517431785662969,0.1,0.1,0.1,0.84,0.9452332657200812,0.32949087415946204,0.19692603266090297,0.473583093179635,0.5049303596389639,1.0543434343434344,1.0543434343434344,4.090909090909091,0.45794835169596393,131.87359853636778,84.58417849898579,0.34629160621217303,0.845841784989858,0.42939251496291425,53.15392416354704,-78.71967437282073,6.085192390877187,50,50,25.913482427597046
10,,-18.677717601177683,-0.21224679092247367,0.7111355066299438,0.1,0.1,0.1,0.8296795952782462,0.96875,0.3173537871524449,0.19175455417066156,0.49089165867689355,0.49887022812300447,1.1952272727272728,1.1952272727272728,4.045454545454546,0.3016186950782952,118.1890859680116,86.9140625,0.3988440470321497,0.869140625,0.4760439992430028,51.454737155401006,-66.73434881261059,6.27526382950258,50,50,24.4179847240448
11,,-25.422469451242495,-0.26760494159202625,0.8492794036865234,0.04,0.04,0.04,0.8283828382838284,0.9401869158878504,0.3180970149253731,0.1828358208955224,0.49906716417910446,0.5036915169402368,1.2021052631578948,1.2021052631578948,3.905263157894737,0.5502495640903131,108.42692798311441,82.80373831775701,0.3296514252636082,0.8280373831775701,0.423344692280491,50.724503686194836,-57.702424296919574,6.094219764201232,50,50,25.582221746444702
