episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,energy_mean,deadline_misses,ratio_local,ratio_rsu,ratio_v2v,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,actor_loss,critic_loss,entropy,approx_kl,clip_frac,bias_rsu,bias_local
1,105,27.2746262550354,10.5,-0.33795279264450073,-35.48504318323187,0.3166834473609924,0.16,0.16,0.8269230769230769,7.499999999999989,8.464999999999986,8,0.06144730610045649,42,0.37054860442733395,0.24639076034648702,0.383060635226179,654,385,201.74934935969435,0.009523809523809544,0.028076913207769394,1.1324337720870972,1.6490356922149658,0.038562219589948654,0.03703703731298447,1.4,1.7
2,118,29.803558349609375,11.8,-0.3385428786277771,-39.94806435852468,0.3494909554719924,0.18,0.18,0.8659711075441413,7.066666666666657,8.114999999999986,12,0.05969460316065509,41,0.36202307009760426,0.23425022182786157,0.40372670807453415,719,408,193.97906714001738,0.00847457627118646,0.12703661620616913,1.0727773904800415,1.768856167793274,0.013327488675713539,0.047727273777127266,1.4,1.7
3,112,28.903579235076904,11.200000000000001,-0.370432049036026,-41.488392367440866,0.31013492196798315,0.16,0.16,0.8244725738396624,7.46249999999999,9.229999999999983,8,0.05697655834340756,42,0.3570741097208855,0.19923002887391722,0.4436958614051973,668,371,190.7129859858351,0.008928571428571449,-0.013013770803809166,1.142409473657608,1.7458482682704926,0.009947380283847451,0.07413028366863728,1.4,1.7
4,101,27.805972576141357,10.100000000000001,-0.32510486245155334,-32.83559068352719,0.27267876267433167,0.04,0.04,0.795417348608838,7.149999999999991,7.914999999999988,2,0.07112508885414884,48,0.3058485139022052,0.27325023969319273,0.42090124640460214,724,319,210.83346213277375,0.00990099009900992,-0.12584156170487404,1.0847367644309998,1.7167413830757141,0.019997581839561462,0.09184184111654758,1.4,1.7
5,95,26.28963041305542,9.5,-0.21429777145385742,-20.35828837410429,0.3377989441156387,0.16,0.16,0.850328947368421,7.762499999999989,8.939999999999984,8,0.07451474398119669,42,0.3250230840258541,0.20683287165281625,0.46814404432132967,731,352,235.35685609017457,0.03157894736842111,-0.017953066155314445,1.0356953144073486,1.7794426679611206,0.02505604922771454,0.0317460335791111,1.4,1.7
6,99,26.417391300201416,9.9,-0.2602931261062622,-25.76901940878319,0.27965146303176874,0.12,0.12,0.8564356435643564,7.742857142857131,9.239999999999982,7,0.07411304072448702,44,0.3087431693989071,0.25318761384335153,0.43806921675774135,759,339,226.09027163556627,0.010101010101010121,0.08585228025913239,1.1010629336039226,1.771955092748006,0.017431175724292796,0.040210080643494926,1.4,1.7
7,87,24.50892424583435,8.700000000000001,-0.13662968575954437,-11.886782315020222,0.3300941497087479,0.14,0.14,0.8652423993426458,7.224999999999991,8.489999999999986,8,0.0908648681572114,43,0.27601809954751133,0.2660633484162896,0.4579185520361991,800,305,254.70516166706562,0.011494252873563239,0.035915072076022625,1.0205647200345993,1.8355369567871094,0.0006600203923881054,0.05711825587786734,1.4,1.7
8,100,25.70464015007019,10.0,-0.12280450016260147,-12.280450634471475,0.4581074714660642,0.34,0.34,0.8859283930058285,6.972222222222214,8.399999999999986,18,0.07876469843052328,33,0.29208371246587805,0.2429481346678799,0.46496815286624205,778,321,223.61128806452533,0.01000000000000002,-0.12919226102530956,1.063809186220169,1.8813742597897847,0.006813531353448828,0.05792148939023415,1.4,1.7
9,96,25.108619928359985,9.600000000000001,-0.22583937644958496,-21.680580073089313,0.30289117991924286,0.16,0.16,0.8692372170997485,7.28999999999999,8.354999999999986,10,0.08391896886440615,42,0.2513863216266174,0.24399260628465805,0.5046210720887245,810,272,224.30853869393292,0.010416666666666687,-0.038790230464655906,1.0034535825252533,1.8270922303199768,2.8653244953602552e-05,0.08703047782182693,1.4,1.7
10,93,23.982741594314575,9.3,-0.13382978737354279,-12.446170003070296,0.44880416393279965,0.28,0.28,0.8941666666666667,6.999999999999991,8.069999999999988,14,0.08970415941209242,36,0.23455684870188004,0.24350940017905104,0.5219337511190689,855,262,240.4548940858427,0.01075268817204303,-0.04630014335270971,0.9949887692928314,1.8808859437704086,0.003043672681087628,0.10751947341486812,1.4,1.7
