episode,steps,wall_time,sim_time,reward_mean,reward_total,reward_p95,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,energy_mean,deadline_misses,ratio_local,ratio_rsu,ratio_v2v,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,actor_loss,critic_loss,entropy,approx_kl,clip_frac,bias_rsu,bias_local
1,98,26.151006937026978,9.8,-0.2487267255783081,-24.37521855705283,0.3093603014945983,0.16,0.16,0.8294314381270903,7.059999999999991,8.209999999999987,10,0.06475759647900657,42,0.37296260786193675,0.22818791946308725,0.39884947267497606,654,389,216.93336203642653,0.010204081632653081,0.06525651613871257,1.1796300808588664,1.6913994153340657,0.009158145636320114,0.07485445402562618,1.4,1.7
2,109,28.2529559135437,10.9,-0.2765424847602844,-30.14313081377382,0.3766763865947722,0.24,0.24,0.8656093489148581,6.8599999999999905,8.529999999999985,15,0.05778816236746968,38,0.39648798521256934,0.22735674676524953,0.37615526802218113,653,429,199.45889691801887,0.009174311926605524,0.36201658844947815,1.2308217287063599,1.7115991115570068,0.04202888533473015,0.03999999910593033,1.4,1.7
3,99,26.375919580459595,9.9,-0.1953616887331009,-19.340805072380764,0.3376728922128677,0.22,0.22,0.8731343283582089,7.392307692307682,8.559999999999985,13,0.06416504237744393,39,0.424408014571949,0.21129326047358835,0.36429872495446264,632,466,221.4886439727727,0.010101010101010121,-0.037747145630419254,1.0279310941696167,1.6730576157569885,0.03133500227704644,0.04267947934567928,1.4,1.7
4,96,26.195178985595703,9.600000000000001,-0.19941283762454987,-19.14363211718306,0.3873768076300621,0.16,0.16,0.8642384105960265,7.088888888888879,8.319999999999986,9,0.0651152560436943,42,0.4307974335472044,0.1934005499541705,0.3758020164986251,621,470,230.75884404702026,0.010416666666666687,0.04854227555915713,1.0455439016222954,1.7207068502902985,0.00544657779391855,0.06430340185761452,1.4,1.7
5,93,24.74634623527527,9.3,-0.2131924331188202,-19.826897812425447,0.3496062159538265,0.18,0.18,0.8407155025553663,7.1090909090909005,8.249999999999986,11,0.06406433756673528,41,0.41802492809204217,0.22722914669223393,0.3547459252157239,607,436,226.94650762052441,0.01075268817204303,0.0046903216280043125,1.0244651635487874,1.7035203377405803,0.018319752688209217,0.05067026615142822,1.4,1.7
6,98,26.249747276306152,9.8,-0.2971790134906769,-29.12354159639389,0.29411423206329335,0.08,0.08,0.7993366500829188,7.899999999999989,9.019999999999984,5,0.059864079933803604,46,0.42120622568093385,0.22957198443579765,0.34922178988326846,595,433,214.93774485885808,0.020408163265306162,0.00299810990691185,1.095117449760437,1.6586872339248657,0.014072961232159287,0.06896551884710789,1.4,1.7
7,93,25.84396767616272,9.3,-0.24479790031909943,-22.766203431666348,0.2827466070652008,0.1,0.1,0.7898248540450375,7.4999999999999885,8.259999999999987,5,0.06699935576808388,45,0.3900990099009901,0.20297029702970298,0.4069306930693069,616,394,225.40167070440788,0.01075268817204303,-0.04046148711349815,1.031179940700531,1.7508134841918945,-0.008701185730751603,0.10590374395251274,1.4,1.7
8,95,25.491154193878174,9.5,-0.32747143507003784,-31.109787330319186,0.32612381875514973,0.04,0.04,0.8032094594594594,6.36666666666666,6.739999999999992,3,0.06713419204244488,48,0.3625615763546798,0.23448275862068965,0.40295566502463054,647,368,214.14129639690083,0.010526315789473705,-0.04925943072885275,1.0532197952270508,1.7209715247154236,0.021676276810467243,0.08012820780277252,1.4,1.7
9,103,26.84044599533081,10.3,-0.2923508882522583,-30.112143423329968,0.31366046667098973,0.18,0.18,0.8569037656903765,7.333333333333322,9.539999999999981,12,0.06621181837201698,41,0.34855545200372784,0.24417520969245107,0.40726933830382106,699,374,212.7951027863504,0.00970873786407769,0.008580181747674942,1.052133560180664,1.669936180114746,0.02915022149682045,0.0555555559694767,1.4,1.7
10,90,24.319544076919556,9.0,-0.1401359885931015,-12.612238930342002,0.4280032455921172,0.26,0.26,0.8469301934398654,7.121428571428562,8.609999999999985,14,0.07041753498252688,37,0.3678707224334601,0.23098859315589354,0.4011406844106464,665,387,233.7183633593935,0.02222222222222226,0.08433793764561415,1.007466157277425,1.7954123218854268,0.005023279692977667,0.044354905684789024,1.4,1.7
