episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,98,26.151006937026978,42,True,False,all_finished,0.0,9.799999999999981,11.39783922195434,7.059999999999991,50,True,,,,50,50,1196,-0.2487267255783081,0.06308365240693092,0.3093603014945983,-2.6596720218658447,0.8675107359886169,0.4677651822566986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05206794018648123,-0.05206794018648123,0.34395027160644587,0.06475759647900657,0.5653580933809281,0.00011408676484088509,0.0,11.39783922195434,,,1.5978392219543593,0.16,0.16,0.8294314381270903,0.84,0.0,0.0,0.37296260786193675,0.22818791946308725,0.39884947267497606,0.37296260786193675,0.22818791946308725,0.39884947267497606,0.10435050212103417,0.6754553318023682,1.6913994153340657,0.009158145636320114,0.07485445402562618,0.06525651613871257,1.1796300808588664,0.6516887346903483,0.8858143289883932,1.6913994153340657,-1.6913994153340657,0.21285714285714286,1043,4900,-2.9320967197418213,9.373238563537598,-3.62549618879954,9.266383488972982,-0.1260532846984764,0.04295370355248451,0.0,0,1.0,0.6267346938775511,0.8105215419501131,6.05795918367347,108726036.3637737,1.0,0.00040816326530612246,0.16363376115833964,0.1659384797535642,0.3295722409119039,1.0048165555507758,0.0,0.0,0.6129595352203357,0.0,0.0,0.11194311798889346,13282353310.942041,11304489795.918367,1552830.9154194398,155666939.32904416,0.012062863415404586,0.008304511078966112,1.1272301504062048,-1.610328786294582,0.03827203489864103,0.0038272034898641344,0.07613606253400314,-0.24798841672733668,9.893453466667441e-06,-0.00038473585184512697,-0.005919807236849324,0.499283615292088,6.6020408163265305,14.0,False,0.0,0.0,0.0
2,109,28.2529559135437,42,True,False,all_finished,0.0,10.899999999999977,12.329495887756341,6.8599999999999905,50,True,,,,50,50,1198,-0.2765424847602844,0.05394257232546806,0.3766763865947722,-1.3930186033248901,0.8112694025039673,0.5056961178779602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06284101346217182,-0.06284101346217182,0.32363891601562467,0.05778816236746968,0.5388311237096788,6.29279860686848e-05,0.0,12.329495887756341,,,1.4294958877563637,0.24,0.24,0.8656093489148581,0.76,0.0,0.0,0.39648798521256934,0.22735674676524953,0.37615526802218113,0.39648798521256934,0.22735674676524953,0.37615526802218113,0.09862018345453596,0.7349461913108826,1.7115991115570068,0.04202888533473015,0.03999999910593033,0.36201658844947815,1.2308217287063599,0.9740042686462402,0.8401989340782166,1.7115991115570068,-1.7115991115570068,0.19853211009174312,1082,5450,-1.3402228355407715,9.231584548950195,-5.035310745239258,9.72266960144043,-0.36588218808174133,0.0573238804936409,0.0,0,1.0,0.6741284403669716,0.8556371049949023,6.4776146788990925,113145997.05246487,1.0,0.0,0.11694106209286138,0.16739055901294606,0.28433162110580723,0.8903068717132209,0.0,0.0,0.5870088066723024,0.0,0.0,0.11036033046335203,12084172035.746056,10632660550.458715,1351891.241797608,157222762.31998718,0.009329917391413676,0.002823192101269703,1.0191674458048494,-1.4559534940069359,0.03644271909629261,0.0036442719096292722,0.10619436683714063,-0.3278300250652707,6.3084078656403015e-06,-0.0002441303478636905,-0.005225225067862914,0.4964096862834733,5.4036697247706424,13.0,False,0.0,0.0,0.0
3,99,26.375919580459595,42,True,False,all_finished,0.0,9.89999999999998,11.057066310882563,7.392307692307682,50,True,,,,50,50,1206,-0.1953616887331009,0.1030869334936142,0.3376728922128677,-1.547973394393921,0.8119325637817383,0.4520905613899231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.057898629275235404,-0.057898629275235404,0.4160832729339582,0.06416504237744393,0.579979053139687,5.7978597625069745e-05,0.0,11.057066310882563,,,1.1570663108825823,0.22,0.22,0.8731343283582089,0.78,0.0,0.0,0.424408014571949,0.21129326047358835,0.36429872495446264,0.424408014571949,0.21129326047358835,0.36429872495446264,0.11357418537892476,0.7297853827476501,1.6730576157569885,0.03133500227704644,0.04267947934567928,-0.037747145630419254,1.0279310941696167,0.472872257232666,0.5321776866912842,1.6730576157569885,-1.6730576157569885,0.22181818181818183,1098,4950,-1.681414008140564,9.02835464477539,-1.8480504155158997,7.701061725616455,-0.5832424461841583,0.0732525922358036,0.0,0,1.0,0.533939393939394,0.8639281705948376,6.393131313131311,112443154.36865523,1.0,0.0,0.12764204350835912,0.16520094203913846,0.2928429855474975,0.8897539421437818,0.0,0.0,0.5847785515961013,0.0,0.0,0.12717761088577134,12474710932.28606,11178181818.181818,1428713.8212195237,152266337.0859314,0.012236746757800605,0.002128481674948616,1.0539244727899202,-1.5056063896998857,0.038933260065464444,0.003893326006546441,0.07428180296012442,-0.24150810257294425,4.351106852876002e-06,-0.00017270744483201324,-0.005963915484448045,0.507650594046584,5.343434343434343,12.0,False,0.0,0.0,0.0
4,96,26.195178985595703,42,True,False,all_finished,0.0,9.599999999999982,11.030131233215329,7.088888888888879,50,True,,,,50,50,1208,-0.19941283762454987,0.11194628849625587,0.3873768076300621,-1.6020077466964722,0.8454319834709167,0.4818943440914154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05911802482604994,-0.05911802482604994,0.4649899997711163,0.0651152560436943,0.579557979106903,6.153527806017273e-05,0.0,11.030131233215329,,,1.4301312332153469,0.16,0.16,0.8642384105960265,0.84,0.0,0.0,0.4307974335472044,0.1934005499541705,0.3758020164986251,0.4307974335472044,0.1934005499541705,0.3758020164986251,0.11634819510742091,0.7479611039161682,1.7207068502902985,0.00544657779391855,0.06430340185761452,0.04854227555915713,1.0455439016222954,0.5678728073835373,0.8826707154512405,1.7207068502902985,-1.7207068502902985,0.22729166666666667,1091,4800,-1.90061354637146,9.056235313415527,-2.981151908636093,9.169547200202942,-1.2746602669358253,0.1450364589691162,0.0,0,1.0,0.37500000000000017,0.8931250000000004,6.521041666666669,115062967.7956819,1.0,0.0,0.13922414750191023,0.16516566896450327,0.30438981646641344,0.912448183010604,0.0,0.0,0.5988806862614559,0.0,0.0,0.1386624381650693,12851219912.993334,11412500000.0,1472819.9815540905,151821358.53042075,0.011736902339120786,0.004852387482947643,1.0875242825715248,-1.553606117959303,0.04006945741644014,0.00400694574164403,0.06441150083712892,-0.21703196502138936,5.9542842113531885e-06,-0.00023031046322516773,-0.0060699429760888495,0.506688979055034,4.46875,10.0,False,0.0,0.0,0.0
5,93,24.74634623527527,42,True,False,all_finished,0.0,9.299999999999983,10.803812252044674,7.1090909090909005,50,True,,,,50,50,1174,-0.2131924331188202,0.06659495830535889,0.3496062159538265,-1.8505281209945679,0.7670180797576904,0.43757566809654236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055744752945438646,-0.055744752945438646,0.17197005462646472,0.06406433756673528,0.5758291572332382,9.541616684795517e-05,0.0,10.803812252044674,,,1.5038122520446908,0.18,0.18,0.8407155025553663,0.82,0.0,0.0,0.41802492809204217,0.22722914669223393,0.3547459252157239,0.41802492809204217,0.22722914669223393,0.3547459252157239,0.11125456172492235,0.72989422082901,1.7035203377405803,0.018319752688209217,0.05067026615142822,0.0046903216280043125,1.0244651635487874,0.5135157803694407,0.6874851584434509,1.7035203377405803,-1.7035203377405803,0.2243010752688172,1043,4650,-2.080944299697876,9.332687377929688,-3.8810083866119385,8.938594500223795,-2.1416921615600586,0.24318894247213999,0.0,0,1.0,0.6202150537634415,0.8233452807646354,6.144516129032259,109512414.43729292,1.0,0.0,0.1358753861033404,0.1659678463729297,0.30184323247627004,0.960537806038689,0.0,0.0,0.6013012187407175,0.0,0.0,0.11481378572171481,13144189242.707956,11349677419.35484,1457870.7753652707,159129861.3554052,0.011622727534105329,0.004276981185451601,1.111248812278549,-1.5874983032550782,0.038966154454776435,0.0038966154454776435,0.06521305455418937,-0.21987045214084247,9.516653662438228e-06,-0.0003714546623161034,-0.005854492347103075,0.5003827369539567,6.365591397849462,14.799999999999983,False,0.0,0.0,0.0
6,98,26.249747276306152,42,True,False,all_finished,0.0,9.799999999999981,11.889116935729978,7.899999999999989,50,True,,,,50,50,1206,-0.2971790134906769,0.06652413308620453,0.29411423206329335,-2.2602787017822266,0.6688747406005859,0.49965009093284607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05511974003850213,-0.05511974003850213,0.17904077529907134,0.059864079933803604,0.5696136116981507,5.460659029225067e-05,0.0,11.889116935729978,,,2.0891169357299972,0.08,0.08,0.7993366500829188,0.92,0.0,0.0,0.42120622568093385,0.22957198443579765,0.34922178988326846,0.42120622568093385,0.22957198443579765,0.34922178988326846,0.10512163553101828,0.6395179033279419,1.6586872339248657,0.014072961232159287,0.06896551884710789,0.00299810990691185,1.095117449760437,0.5472394227981567,0.8986222445964813,1.6586872339248657,-1.6586872339248657,0.20979591836734693,1028,4900,-3.1218039989471436,8.437027931213379,-5.639113903045654,9.319736957550049,-2.7329517602920532,0.31170864403247833,0.0,0,1.0,0.5422448979591828,0.7887981859410432,5.747755102040818,107240211.50587386,1.0,0.0,0.182679076516823,0.1671568964793278,0.3498359729961506,1.057411215857791,0.0,0.0,0.6729478919323103,0.0,0.0,0.11169607308648785,14502907267.905306,11755102040.816326,1637506.124261056,158999660.5799566,0.012674876803740263,0.009325754871697428,1.2305762373342057,-1.757966053334594,0.036349987455346476,0.0036349987455346093,0.07434514794770276,-0.2492092700585419,6.047199021084256e-06,-0.0002344231347275402,-0.005515354112160104,0.49737870809688633,5.438775510204081,14.149999999999991,False,0.0,0.0,0.0
7,93,25.84396767616272,42,True,False,all_finished,0.0,9.299999999999983,11.248790397644044,7.4999999999999885,50,True,,,,50,50,1199,-0.24479790031909943,0.10669305175542831,0.2827466070652008,-2.0765700340270996,0.8440074920654297,0.4620644450187683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05755403122850661,-0.05755403122850661,0.1366987228393551,0.06699935576808388,0.5909433871507646,9.229186540913835e-05,0.0,11.248790397644044,,,1.9487903976440606,0.1,0.1,0.7898248540450375,0.9,0.0,0.0,0.3900990099009901,0.20297029702970298,0.4069306930693069,0.3900990099009901,0.20297029702970298,0.4069306930693069,0.11030485573094538,0.7819700837135315,1.7508134841918945,-0.008701185730751603,0.10590374395251274,-0.04046148711349815,1.031179940700531,0.47162691354751585,0.7690303802490235,1.7508134841918945,-1.7508134841918945,0.2172043010752688,1010,4650,-2.599552869796753,8.494389533996582,-5.407420825958252,8.633963584899902,-3.828427219390869,0.41532068252563475,0.006951871886849403,0,1.0,0.5847311827956989,0.8416965352449226,6.290752688172044,104416925.35846683,1.0,0.0,0.17934374510020393,0.16955451052869056,0.3488982556288944,1.015352462911355,0.0,0.0,0.6620900151826181,0.0,0.0,0.11442281934628762,14776772547.626667,11754838709.67742,1673703.1291776607,167266660.4409858,0.015442284068972906,0.0046591783754911685,1.2514991747466833,-1.7878559639238414,0.04158706905887636,0.004158706905887624,0.056626243024018544,-0.19477435925186445,8.292464974385722e-06,-0.0003274783752746742,-0.006127037352631258,0.5004119853623291,5.32258064516129,12.0,False,0.0,0.0,0.0
8,95,25.491154193878174,42,True,False,all_finished,0.0,9.499999999999982,11.376836376190186,6.36666666666666,50,True,,,,50,50,1184,-0.32747143507003784,0.04382004588842392,0.32612381875514973,-2.273699998855591,0.8483715653419495,0.5453581809997559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060638855964259296,-0.060638855964259296,0.452913309097292,0.06713419204244488,0.580950164794922,7.686026315474774e-05,0.0,11.376836376190186,,,1.8768363761902034,0.04,0.04,0.8032094594594594,0.96,0.0,0.0,0.3625615763546798,0.23448275862068965,0.40295566502463054,0.3625615763546798,0.23448275862068965,0.40295566502463054,0.10538100264731207,0.6233527064323425,1.7209715247154236,0.021676276810467243,0.08012820780277252,-0.04925943072885275,1.0532197952270508,0.47390855848789215,0.8592462539672852,1.7209715247154236,-1.7209715247154236,0.21368421052631578,1015,4750,-2.756549835205078,8.140142440795898,-7.252931356430054,7.66526198387146,-5.1215503215789795,0.5418005585670471,0.0,0,1.0,0.4987368421052626,0.8254970760233921,6.038526315789475,108959402.37383437,1.0,0.0,0.1690095889576607,0.1631432471918915,0.3321528361495523,1.0014001030012158,0.0,0.0,0.593151555153125,0.0,0.0,0.11455066109242779,13572950047.925894,11754947368.421053,1538604.0181356368,156044823.71998528,0.01252432603476557,0.005047327566304885,1.1486508242615596,-1.640929748945081,0.0372063718059537,0.0037206371805953735,0.0760807747301823,-0.25629740860971545,6.118095813782321e-06,-0.00023983672403266664,-0.006047603784740195,0.49692627097470193,5.6,11.299999999999997,False,0.0,0.0,0.0
9,103,26.84044599533081,42,True,False,all_finished,0.0,10.29999999999998,11.612618495941158,7.333333333333322,50,True,,,,50,50,1195,-0.2923508882522583,0.04509345814585686,0.31366046667098973,-1.7107915878295898,0.7629658579826355,0.5025542378425598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056711582554197004,-0.056711582554197004,0.06397390365600594,0.06621181837201698,0.561056074500084,6.192272840510568e-05,0.0,11.612618495941158,,,1.3126184959411784,0.18,0.18,0.8569037656903765,0.82,0.0,0.0,0.34855545200372784,0.24417520969245107,0.40726933830382106,0.34855545200372784,0.24417520969245107,0.40726933830382106,0.10323608957339549,0.6588003039360046,1.669936180114746,0.02915022149682045,0.0555555559694767,0.008580181747674942,1.052133560180664,0.53130704164505,0.7156268358230591,1.669936180114746,-1.669936180114746,0.2083495145631068,1073,5150,-1.9605506658554077,9.457618713378906,-7.835168838500977,9.165433883666992,-5.616135597229004,0.5720399022102356,0.0,0,1.0,0.5912621359223311,0.8356850053937431,6.228932038834953,108399870.12866156,1.0,0.002912621359223301,0.14317055517544602,0.16996256013216018,0.3131331153076063,0.9402350178892466,0.0,0.0,0.5645870005945718,0.0,0.0,0.1067623231140682,12837348564.691261,11142524271.84466,1458346.0271807706,153932371.54762343,0.01368217176843203,0.0022578979008758267,1.0857191167269131,-1.5508489733913144,0.038193970686819186,0.0038193970686819113,0.09775430256626798,-0.3069958437773751,6.000498329844409e-06,-0.00022975345957248794,-0.005998292104345957,0.4980747149620675,6.70873786407767,17.0,False,0.0,0.0,0.0
10,90,24.319544076919556,42,True,False,all_finished,0.0,8.999999999999984,10.472763271331782,7.121428571428562,50,True,,,,50,50,1189,-0.1401359885931015,0.09550319612026215,0.4280032455921172,-1.8282721042633057,0.806135892868042,0.41627609729766846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05261082882351358,-0.05261082882351358,0.09319305419921839,0.07041753498252688,0.5860308438539512,5.089793243624559e-05,0.0,10.472763271331782,,,1.4727632713317984,0.26,0.26,0.8469301934398654,0.74,0.0,0.0,0.3678707224334601,0.23098859315589354,0.4011406844106464,0.3678707224334601,0.23098859315589354,0.4011406844106464,0.1155322533121022,0.6523418426513672,1.7954123218854268,0.005023279692977667,0.044354905684789024,0.08433793764561415,1.007466157277425,0.5844801565011343,0.9059326499700546,1.7954123218854268,-1.7954123218854268,0.23377777777777778,1052,4500,-0.2126389443874359,9.082513809204102,-7.033667008082072,9.475061893463135,-7.312125603357951,0.7442254225413004,0.20030592661350965,0,1.0,0.531333333333333,0.8738271604938267,6.414222222222223,117038530.61957596,1.0,0.0,0.1285030654119401,0.16118716448476075,0.28969022989670085,0.8842120998202233,0.0,0.0,0.5446131793274634,0.0,0.0,0.12560711317290657,12747469816.561777,11261333333.333334,1503058.8552332807,162973790.02967697,0.01040840697673751,0.0029350691067186237,1.0756326274636117,-1.5366180392337228,0.04051269777266142,0.004051269777266182,0.05736923147728327,-0.1921767976623701,4.124187965536824e-06,-0.00016398276892650107,-0.006342479522676038,0.5007367785026112,7.311111111111111,15.549999999999997,False,0.0,0.0,0.0
