episode,steps,elapsed_sec,seed,terminated,truncated,termination_reason,time_limit_rate,episode_time_seconds,mean_cft_est,mean_cft_completed,vehicle_cft_count,cft_est_valid,deadline_gamma,deadline_seconds,critical_path_cycles,episode_vehicle_count,episode_task_count,total_subtasks,reward_mean,reward_p50,reward_p95,reward_min,reward_max,reward_abs_mean,dT_mean,cft_prev_rem_mean,cft_curr_rem_mean,dCFT_abs_mean,dCFT_abs_p95,dCFT_rem_mean,dCFT_rem_p95,dt_used_mean,implied_dt_mean,dT_eff_mean,dT_eff_p95,energy_norm_mean,energy_norm_p95,t_tx_mean,reward_step_p95,mean_cft,delta_cft_rem_mean,delta_cft_rem_p95,mean_cft_rem,success_rate_end,task_success_rate,subtask_success_rate,deadline_miss_rate,illegal_action_rate,hard_trigger_rate,decision_local_frac,decision_rsu_frac,decision_v2v_frac,decision_frac_local,decision_frac_rsu,decision_frac_v2v,power_ratio_mean,power_ratio_p95,entropy,approx_kl,clip_frac,policy_loss,value_loss,total_loss,grad_norm,policy_entropy,entropy_loss,active_ratio,active_samples,total_samples,adv_mean,adv_std,value_target_mean,value_target_std,value_pred_mean,value_pred_std,value_clip_fraction,skipped_update_count,avail_L,avail_R,avail_V,neighbor_count_mean,best_v2v_rate_mean,best_v2v_valid_rate,v2v_beats_rsu_rate,mean_cost_gap_v2v_minus_rsu,mean_cost_rsu,mean_cost_v2v,t_L,t_R,t_V,t_a,t_alt,A_t,r_lat,cp_rem,f_max,d_cp_lb,rate_best,comm_lb,queue_lb,lb,phi,delta_phi,r_shape,overtime_ratio,r_timeout,e_tx,r_energy,r_power,avg_power,avg_rsu_queue,rsu_queue_p95,time_limit_penalty_applied,time_limit_penalty_value,remaining_time_seconds_used,remaining_ratio_used
1,121,37.15423059463501,42,True,False,all_finished,0.0,12.099999999999973,15.308077312469482,8.199999999999987,50,True,,,,50,50,1525,-0.4103451371192932,-0.028418436646461487,0.2630852460861206,-1.9513875246047974,0.7378318905830383,0.5724146962165833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060734760788846806,-0.060734760788846806,0.10367295837402465,0.05682055999024594,0.5253414660692215,6.32496859393988e-05,0.0,15.308077312469482,,,3.2080773124695092,0.06,0.06,0.7239344262295082,0.94,0.0,0.0,0.3810330228619814,0.2777307366638442,0.34123624047417445,0.3810330228619814,0.2777307366638442,0.34123624047417445,0.09393164723095569,0.639143705368042,1.5860307216644287,0.013325162697583437,0.05084342944125334,0.007549117008845012,1.2000928322474163,0.6044234335422516,0.7104526162147522,1.5860307216644287,-1.5860307216644287,0.19520661157024793,1181,6050,-4.221206188201904,9.106575965881348,-4.189050038655599,9.436798095703125,-0.06100688378016154,0.041136170427004494,0.0,0,1.0,0.5750413223140493,0.8658323494687129,4.735371900826451,97544611.76002787,1.0,0.05256198347107437,0.1397067899335817,0.20608715242857756,0.34579394236215955,1.067171390811471,0.0,0.0,0.6410943780134252,0.0,0.0,0.08984518553864024,20448859108.807934,11761983471.07438,2031691.861487467,160490436.21613213,0.017996840104574512,0.005534372489117283,1.7276028049943533,-2.462435454231808,0.045316588008489166,0.004531658800848916,0.11373532236687449,-0.3586828079889432,5.9197918169727915e-06,-0.00022760567916604442,-0.004985082999034831,0.4976086047064698,10.396694214876034,26.0,False,0.0,0.0,0.0
2,121,36.36847639083862,42,True,False,all_finished,0.0,12.099999999999973,15.552509738922117,8.199999999999987,50,True,,,,50,50,1468,-0.4304226338863373,-0.033898890018463135,0.24450157582759857,-1.7992106676101685,0.6211424469947815,0.5976892113685608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06205575842108627,-0.06205575842108627,0.18083190917968714,0.050401667266899396,0.4999947726726534,6.152707126570205e-05,0.0,15.552509738922117,,,3.452509738922144,0.02,0.02,0.6811989100817438,0.98,0.0,0.0,0.4409302325581395,0.24186046511627907,0.3172093023255814,0.4409302325581395,0.24186046511627907,0.3172093023255814,0.08973821763133953,0.5815523862838745,1.528550922870636,0.017262909095734358,0.04102891217917204,-0.0003627985715866089,1.1677844524383545,0.5804723501205444,0.7266295850276947,1.528550922870636,-1.528550922870636,0.17768595041322313,1075,6050,-4.2048797607421875,8.831783294677734,-4.117187976837158,9.26524543762207,-0.34484513103961945,0.04634922184050083,0.0,0,1.0,0.4826446280991728,0.868500590318772,4.672727272727274,94886859.82816806,1.0,0.00033057851239669424,0.18214481704081611,0.1939371195497217,0.3760819365905379,1.1551698649613504,0.0,0.0,0.7467971934772647,0.0,0.0,0.0897287589471453,20857720798.889256,11920661157.024794,2125287.336052326,142250596.76686734,0.02605951482716994,0.00664391596111196,1.7708468306957152,-2.526972299868675,0.04500762596776903,0.004500762596776873,0.11423122289016477,-0.362504826723909,5.88309555719673e-06,-0.00022666710293765173,-0.004565308381530297,0.501378452599218,7.206611570247934,20.0,False,0.0,0.0,0.0
3,106,32.37994432449341,42,True,False,all_finished,0.0,10.599999999999978,13.772784675598142,7.899999999999988,50,True,,,,50,50,1461,-0.32402920722961426,0.05440223775804043,0.2955371364951134,-1.802897572517395,0.8103161454200745,0.5206767916679382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05394036512554835,-0.05394036512554835,0.11720429992675604,0.058338698877970566,0.5384182840585711,2.352678536234803e-05,0.0,13.772784675598142,,,3.172784675598164,0.04,0.04,0.7193702943189596,0.96,0.0,0.0,0.42226148409893993,0.28091872791519434,0.2968197879858657,0.42226148409893993,0.28091872791519434,0.2968197879858657,0.1064016422857794,0.6991235613822937,1.5175215005874634,0.028559187427163124,0.01785714365541935,0.037870462983846664,1.1804859638214111,0.6250783205032349,1.0301556587219238,1.5175215005874634,-1.5175215005874634,0.21358490566037736,1132,5300,-3.653956651687622,8.395033836364746,-4.3665080070495605,9.066201210021973,-0.5035930871963501,0.04844031482934952,0.0,0,1.0,0.5875471698113215,0.8690566037735852,4.718679245283019,98251457.42771795,1.0,0.009622641509433965,0.1607492014246083,0.19189725179674108,0.35264645322134947,1.089739050554365,0.0,0.0,0.6579585805341316,0.0,0.0,0.09995790324885609,20438560711.752453,11873207547.169811,2124553.9699895554,155359017.41106856,0.020512132923095918,0.007693138915879713,1.7314186644850118,-2.471743423112273,0.046346529193812415,0.004634652919381229,0.07475135579822348,-0.2526268620309116,2.309280295562089e-06,-9.203502156963266e-05,-0.005336872074689692,0.504539910465268,9.924528301886792,18.75,False,0.0,0.0,0.0
4,129,37.85349726676941,42,True,False,all_finished,0.0,12.89999999999997,15.483127750396728,8.899999999999984,50,True,,,,50,50,1467,-0.5662984848022461,-0.5606976747512817,0.28336579799652095,-1.9669439792633057,0.7979288697242737,0.7350042462348938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06453726172632047,-0.06453726172632047,0.12623731994628926,0.05638732433073627,0.5494347900152198,3.7538421758478665e-05,0.0,15.483127750396728,,,2.5831277503967573,0.04,0.04,0.7695978186775733,0.96,0.0,0.0,0.40082644628099173,0.2644628099173554,0.3347107438016529,0.40082644628099173,0.2644628099173554,0.3347107438016529,0.09476059586834884,0.6275299787521362,1.5433355569839478,0.02245078794658184,0.03999999910593033,-0.06588098406791687,1.1320048570632935,0.49703478813171387,0.9578800201416016,1.5433355569839478,-1.5433355569839478,0.1875968992248062,1210,6450,-4.220729827880859,9.34090805053711,-4.071387767791748,9.569661140441895,-0.6192483305931091,0.05992385745048523,0.0,0,1.0,0.5186046511627902,0.9048283499446299,4.918139534883721,99159136.74656112,1.0,0.01968992248062016,0.1296939955797046,0.19470311887544325,0.3243971144551481,0.9714705240237667,0.0,0.0,0.6139513755678057,0.0,0.0,0.08946622548582903,17441338352.342327,11771162790.697674,1739448.8793748126,150931029.9474456,0.016358656664301263,0.0040421258341479475,1.473845645193639,-2.105298078495062,0.039991703308973586,0.003999170330897376,0.17603549356169929,-0.5195471606827046,4.010904211280423e-06,-0.00015772726881179837,-0.005175237412855084,0.5060948205750812,8.372093023255815,20.0,False,0.0,0.0,0.0
5,120,35.051008462905884,42,True,False,all_finished,0.0,11.999999999999973,14.56726493835449,7.674999999999988,50,True,,,,50,50,1473,-0.38469669222831726,0.05581982620060444,0.31562306284904473,-2.8930232524871826,0.7095656991004944,0.5942619442939758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06087048080762248,-0.06087048080762248,0.13124089241029258,0.059528812275268135,0.5581846356391909,3.261853404120244e-05,0.0,14.56726493835449,,,2.5672649383545174,0.08,0.08,0.778682959945689,0.92,0.0,0.0,0.40901639344262297,0.260655737704918,0.330327868852459,0.40901639344262297,0.260655737704918,0.330327868852459,0.10375347083449984,0.6925210952758789,1.5201614856719972,0.009753718413412571,0.06829908937215805,-0.0018379338085651397,1.0957876920700074,0.5430156111717224,0.7698426008224487,1.5201614856719972,-1.5201614856719972,0.20333333333333334,1220,6000,-2.953136920928955,8.938990592956543,-3.685744619369507,8.79196662902832,-0.9935446739196777,0.08282140344381332,0.0,0,1.0,0.45216666666666705,0.9105476190476176,4.882333333333334,103010985.98273462,1.0,0.006,0.12892569351841623,0.1848957548756659,0.3138214483940823,0.9491642600741174,0.0,0.0,0.5889018407983758,0.0,0.0,0.10597873738111843,18648942632.309334,11646000000.0,1847664.0731811533,158679277.4658058,0.01465038372351916,0.003204821876808206,1.5719337582927708,-2.2412680081954712,0.045008968357483504,0.004500896835748368,0.11168309707853306,-0.3558655999254156,3.442955660953056e-06,-0.0001361326456688745,-0.005507944885742973,0.5077489635506645,8.016666666666667,19.0,False,0.0,0.0,0.0
6,111,33.958940505981445,42,True,False,all_finished,0.0,11.099999999999977,13.988489151000977,0.0,50,True,,,,50,50,1503,-0.3575744926929474,0.013102219440042973,0.2614902853965759,-2.307969331741333,0.5613411664962769,0.5194820761680603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05521015218786312,-0.05521015218786312,0.16570091247558558,0.06214675137252958,0.5664615839719772,3.734981695185655e-05,0.0,13.988489151000977,,,2.888489151001,0.0,0.0,0.7152361942781105,1.0,0.0,0.0,0.41206896551724137,0.2810344827586207,0.30689655172413793,0.41206896551724137,0.2810344827586207,0.30689655172413793,0.10563242552550257,0.6141308546066284,1.504482587178548,-0.0005629723115513722,0.05909714320053657,0.009375217215468487,1.2155910929044087,0.6141617794831594,0.8000910381476084,1.504482587178548,-1.504482587178548,0.209009009009009,1160,5550,-4.201878547668457,8.115718841552734,-5.627112785975139,8.12065847714742,-1.8722262382507324,0.14142752314607301,0.0,0,1.0,0.5726126126126131,0.8670785070785074,4.758558558558558,97893891.97285593,1.0,0.03567567567567567,0.14596522967515332,0.202658207356759,0.34862343703191223,1.0279175592448664,0.0,0.0,0.6418353925517869,0.0,0.0,0.08937339623703325,21079080597.264145,12000000000.0,2130648.0251523657,155902902.26994693,0.01960637580625601,0.002079383243188591,1.77827580882145,-2.539144266088324,0.04981101902928183,0.004981101902928153,0.0800243259675076,-0.2656511157158421,2.746294642213465e-06,-0.0001085964949758183,-0.005628773091743735,0.5033483119894591,12.243243243243244,25.0,False,0.0,0.0,0.0
7,112,34.37333798408508,42,True,False,all_finished,0.0,11.199999999999976,14.18526203918457,9.499999999999982,50,True,,,,50,50,1495,-0.3692978322505951,-0.027850158512592316,0.23982350900769225,-1.7735321521759033,0.5789071321487427,0.5074130892753601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05734242139543828,-0.05734242139543828,0.1713228225708013,0.06874558579043619,0.5912459403276447,3.247776348755424e-05,0.0,14.18526203918457,,,2.985262039184594,0.04,0.04,0.7297658862876254,0.96,0.0,0.0,0.34165232358003444,0.3270223752151463,0.3313253012048193,0.34165232358003444,0.3270223752151463,0.3313253012048193,0.10554024512813028,0.678266167640686,1.5364306449890137,0.011879940563812853,0.030055112764239313,0.037208708748221395,1.2325942516326904,0.6504329919815064,1.0305774092674256,1.5364306449890137,-1.5364306449890137,0.2075,1162,5600,-4.162930488586426,8.33678150177002,-7.044286823272705,8.236916160583496,-3.159516191482544,0.22133701145648957,0.0042553190141916275,0,1.0,0.6287499999999996,0.8764285714285719,4.9087499999999995,98419084.89140725,1.0,0.19482142857142876,0.03431337904020292,0.28375434369930214,0.31806772273950507,0.8755884378448908,0.0,0.0,0.5942591432041961,0.0,0.0,0.06811928250996367,21748096324.548573,11922857142.857143,2200200.292150632,155892392.53546882,0.02438058512321426,0.0003711962356100756,1.8370931417378749,-2.6172596434614612,0.05113867737738991,0.005113867737739028,0.08412876815059747,-0.27550517993890195,3.1977198543932e-06,-0.00012725477806835436,-0.006184264160515344,0.5038562210456335,21.866071428571427,39.44999999999999,False,0.0,0.0,0.0
8,109,33.534077644348145,42,True,False,all_finished,0.0,10.899999999999977,14.435455978393554,9.299999999999983,50,True,,,,50,50,1528,-0.3536265194416046,0.021181195974349976,0.18095446825027464,-1.6459112167358398,0.6426309943199158,0.4750124514102936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06789469139729089,-0.06789469139729089,0.19748115539550745,0.06760585835357324,0.5763857841491699,2.5862616911779213e-05,0.0,14.435455978393554,,,3.5354559783935766,0.02,0.02,0.68717277486911,0.98,0.0,0.0,0.34759358288770054,0.34670231729055256,0.3057040998217469,0.34759358288770054,0.34670231729055256,0.3057040998217469,0.10391995586420691,0.5775465369224548,1.5112914713946255,0.004153430520091206,0.04851988262750886,0.0034206204793669963,1.2373185374520042,0.619057300415906,1.2875065424225547,1.5112914713946255,-1.5112914713946255,0.20587155963302753,1122,5450,-4.130630016326904,7.739116668701172,-8.303175622766668,7.501730918884277,-5.88427227193659,0.3815132162787698,0.6082070689987052,0,1.0,0.6102752293577985,0.8728178243774576,4.826972477064219,103007922.86325759,1.0,0.22110091743119253,0.016529449214929166,0.30913465854839534,0.32566410776332455,0.9603449249988719,0.0,0.0,0.6425072593988492,0.0,0.0,0.05709316550805373,22302335057.826054,11962568807.339449,2336796.630772281,168210830.587199,0.025445284680776243,0.0010199048589294173,1.884993111025218,-2.686702430044775,0.050322842611164785,0.005032284261116492,0.06856152900157905,-0.23453912818509456,2.6769403665871635e-06,-0.0001064818690869609,-0.006060488205036487,0.5032771297445128,23.513761467889907,40.0,False,0.0,0.0,0.0
9,111,33.624924182891846,42,True,False,all_finished,0.0,11.099999999999977,13.862428161621091,8.499999999999986,50,True,,,,50,50,1492,-0.3676057755947113,0.06877902895212173,0.2575204223394394,-1.6649879217147827,0.8495750427246094,0.5411615371704102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05646922714645816,-0.05646922714645816,0.15751552581787162,0.06569068727226139,0.5845027714967728,5.51868035059307e-05,0.0,13.862428161621091,,,2.7624281616211146,0.0,0.0,0.7453083109919572,1.0,0.0,0.0,0.3986543313708999,0.2943650126156434,0.3069806560134567,0.3986543313708999,0.2943650126156434,0.3069806560134567,0.10931787226114187,0.5761005282402039,1.4978998184204102,0.005427712143864482,0.020868347957730293,-0.05268619954586029,1.1153666734695435,0.5020013093948364,1.2043200254440307,1.4978998184204102,-1.4978998184204102,0.21423423423423424,1189,5550,-2.997368097305298,7.989924907684326,-9.462649726867676,7.481051445007324,-6.865657043457031,0.4428519606590271,0.0,0,1.0,0.4891891891891893,0.9013127413127403,4.843063063063065,96517169.56569235,1.0,0.06234234234234232,0.12485077985989886,0.20619446593349833,0.3310452457933971,0.9766445387551741,0.0,0.0,0.6315934483052851,0.0,0.0,0.09253633333663636,20124005408.76108,11941621621.621622,2110619.513204942,151300705.35637626,0.01999248699616639,0.002877599138401792,1.6998705368646594,-2.4266624109661867,0.04802979512985558,0.00480297951298557,0.0850926740846222,-0.2839237706800799,4.758128286463501e-06,-0.0001876953024711728,-0.00605885466012819,0.5121010727627489,12.81981981981982,29.5,False,0.0,0.0,0.0
10,131,38.12936615943909,42,True,False,all_finished,0.0,13.09999999999997,16.266341632843012,8.44285714285713,50,True,,,,50,50,1530,-0.4380135238170624,-0.05972221493721008,0.2611680179834366,-2.3317041397094727,1.0151541233062744,0.6003468036651611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06178175898544681,-0.06178175898544681,0.07825756072998011,0.05846786856544666,0.561159881949424,4.6873687881202686e-05,0.0,16.266341632843012,,,3.166341632843043,0.12,0.12,0.7437908496732026,0.88,0.0,0.0,0.39173553719008264,0.3239669421487603,0.28429752066115704,0.39173553719008264,0.3239669421487603,0.28429752066115704,0.0966913660334864,0.5865843892097473,1.4610518217086792,0.02135934866964817,0.0517241396009922,-0.07005617767572403,1.0417083501815796,0.44787588715553284,0.8139260411262512,1.4610518217086792,-1.4610518217086792,0.18473282442748093,1210,6550,-2.816098690032959,9.969882011413574,-9.289918899536133,10.28540325164795,-7.132665157318115,0.4331071376800537,0.0,0,1.0,0.5482442748091593,0.8867393675027267,4.875419847328245,100783068.94589919,1.0,0.10977099236641225,0.10003321609576211,0.21828377085441678,0.31831698695017874,0.9533451575930384,0.0,0.0,0.6000359444683644,0.0,0.0,0.07270445281765062,19808055987.292824,11389923664.122137,2061592.4671680382,155556521.5005089,0.018041423415343125,0.0014447645218931273,1.6701575202116394,-2.3844527684752523,0.04593952761850635,0.004593952761850632,0.13409569033585161,-0.40743748925073436,3.840835908194129e-06,-0.00015117731740576387,-0.005433205155044344,0.5036342895271981,13.267175572519085,27.0,False,0.0,0.0,0.0
