episode,steps,physical_steps,decision_steps,active_decision_ratio,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,mean_r_prog,mean_r_term,mean_cost_power,mean_cost_trust,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_prog_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,cost_power_value_loss,cost_trust_value_loss,lambda_power,lambda_trust,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,300,300,156,0.52,26.419933319091797,30.0,time_limit,time_limit,-0.0007125504780560732,-1.2137651269160785,-1.2137651269160785,1.978146505621669e-05,0.0011676434660330415,0.05,0.05,0.5771144278606966,2.0766797514582978,2.0766797514582978,1,2.0766797514582978,30.000000000000156,0.001939483137750649,-0.009064987368286601,0.3829401739888719,0.0,0.38294017398887104,0.9976306330280439,0.03892335394130537,0.0,19,0.95,0.3333333333333333,0.3525641025641026,0.3141025641025641,0.3333333333333333,0.3525641025641026,0.3141025641025641,0.4966532714119336,0.09,0.0,0.4946989515500533,0.8629089474678039,0.0,0.0,9.307767230570807e-12,0.0,101,46,1.2340847667354669,0.0,1.0,0.0,0.0,0.974,0.026000000000000023,0.026000000000000023,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.015643501193579115,0.047358399860807775,1.0,0.0,-0.0011094494257122278,8.74172592163086,8.74172592163086,8.741726875305176,2.4661954402923585,0.0278053006157279,0.09615384787321091,5017.53369140625,0.02319738995283842,0.0,0.0,70.31251502037048,1.0,1.0,0.8397435903549194,8.74172592163086,0.0,,,5,5,0.03844769671559334,0.038236476480960846,-1,-1,0,False,0.0002,0.0,0.0
2,300,300,144,0.48,14.11163592338562,30.0,time_limit,time_limit,0.0008415030315518379,-0.7475490644108516,-0.7475490644108516,0.0008070678479271034,0.001450328971259296,0.7,0.7,0.8208955223880597,1.107469704308802,1.7184612887170756,17,1.107469704308802,30.000000000000156,0.000378942358320059,0.008036088827984894,0.014010256901620574,0.0,0.014010256901620572,0.0,0.0017366808579502857,0.0,6,0.3,0.2222222222222222,0.4375,0.3402777777777778,0.2222222222222222,0.4375,0.3402777777777778,0.4978514754975525,0.043333333333333335,0.0,0.4969233539344427,0.8695288360118866,0.0,0.0,5.322053995421294e-12,0.0,95,25,0.5207666556313666,0.0,1.0,0.0,0.0,0.976,0.02400000000000002,0.02400000000000002,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.008763735845944762,0.009441199630843479,0.025350892709279985,0.97464910729072,-0.0073707637842744585,1.142443561553955,1.142443561553955,1.1424436807632445,2.2099798202514647,0.00884961939882487,0.04583333395421505,10.158333206176758,0.03323976546525955,0.007458803479777422,0.0,7.563884925842285,1.0,1.0,0.3916666716337204,1.142443561553955,0.0,,,5,5,0.019162019714713097,0.01809888705611229,-1,-1,0,False,0.0002,0.0,0.0
3,300,300,286,0.9533333333333334,17.19095015525818,30.0,time_limit,time_limit,-0.0001944115210790187,-1.0583234540717097,-1.0583234540717097,0.002697631740011277,0.0016481518978253007,0.3,0.3,0.7320754716981132,2.6002105558627293,3.086403057888452,6,2.6002105558627293,30.000000000000156,0.003661934512391293,-0.005606049648114947,0.1660893277412043,0.0,0.16608932774120463,0.9972462630063708,0.01716898662478573,0.0,11,0.55,0.27972027972027974,0.3881118881118881,0.3321678321678322,0.27972027972027974,0.3881118881118881,0.3321678321678322,0.5021693010820697,0.24,1.0,0.503051056374219,0.8620754480361938,0.0,0.0,2.691623183018188e-12,0.0,147,66,2.8005795274784218,0.0,1.0,0.0,0.0,0.9523333333333334,0.047666666666666635,0.047666666666666635,0.015384615384615385,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.0297102270246471,0.07842528232351946,0.5596753008533872,0.44032469914661276,0.003783802688121796,1.4884161233901978,1.4884161233901978,1.4884160518646241,2.039832258224487,0.00981796602718532,0.05390625,971.5463012695312,0.017677019536495208,0.0075390086178098335,0.0,42.758584690094,1.0,1.0,0.534375,1.4884161233901978,0.0,,,5,5,0.015753256157040596,0.01529827918857336,-1,-1,0,False,0.0002,0.0,0.0
4,300,300,270,0.9,18.979502201080322,30.0,time_limit,time_limit,-0.0002463329292368144,-1.0738998767148977,-1.0738998767148977,0.002725785248912877,0.0016887716483324766,0.25,0.25,0.6404494382022472,1.9455219574893536,2.1034906062069045,6,1.9455219574893536,30.000000000000156,0.0032704408982643465,-0.0057337701220942705,0.16369828856484625,0.0,0.16369828856484656,0.9960525799933876,0.016983376687089474,0.0,14,0.7,0.25925925925925924,0.4222222222222222,0.31851851851851853,0.25925925925925924,0.4222222222222222,0.31851851851851853,0.5021011026877289,0.2,1.0,0.5028841491938626,0.8705586194992065,0.0,0.0,5.726628806573819e-12,0.0,141,52,2.4105392638960765,0.0,1.0,0.0,0.0,0.955,0.04500000000000004,0.04500000000000004,0.006956521739130435,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.022655985714923905,0.07385943030672174,0.6339722859081462,0.36602771409185375,-0.003956414945423603,1.4714576959609986,1.4714576959609986,1.471457600593567,2.119455432891846,0.008930346183478832,0.05703125,1167.7572998046876,0.011557056941092015,0.010660795172633925,0.0,64.52994308471679,1.0,1.0,0.4296875,1.4714576959609986,0.0,,,5,5,0.011123131960630417,0.011117158643901347,-1,-1,0,False,0.0002,0.0,0.0
5,300,300,190,0.6333333333333333,17.76553177833557,30.0,time_limit,time_limit,-0.00024935867986641824,-1.074807596772107,-1.074807596772107,0.0008791309723164898,0.0014203379396349192,0.25,0.25,0.6731707317073171,1.6201805741381523,2.052540474473147,6,1.6201805741381523,30.000000000000156,0.0021911408605650973,-0.0046847274196353305,0.04716955626179965,0.0,0.047169556261799625,0.2698728589724591,0.004995899629653351,0.0,14,0.7,0.25263157894736843,0.45263157894736844,0.29473684210526313,0.25263157894736843,0.45263157894736844,0.29473684210526313,0.5063143558577479,0.15333333333333332,0.0,0.5085657099585095,0.8748550534248349,0.0,0.0,4.91259376927955e-12,0.0,120,44,1.3558397178675197,0.0,1.0,0.0,0.0,0.9683333333333334,0.03166666666666662,0.03166666666666662,0.028846153846153848,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.014043299805153417,0.0787743408310182,0.670646301011692,0.3293536989883079,-0.0045999949099496005,1.4504719972610474,1.4504719972610474,1.450471830368042,2.147667121887207,-0.004713655775412917,0.06315789297223091,108.94607391357422,0.007708767522126436,0.013734760943930856,0.0,26.757500457763673,1.0,1.0,0.7800000041723252,1.4504719972610474,0.0,,,5,5,0.0005219235317781568,0.00029810548294335583,-1,-1,0,False,0.0002,0.0,0.0
6,300,300,167,0.5566666666666666,13.69862985610962,30.0,time_limit,time_limit,0.0008891408797353506,-0.7332577331548895,-0.7332577331548895,0.0001676068342931103,0.0018004878656938672,0.7,0.7,0.8976377952755905,0.7188129873672795,1.0376656933409745,18,0.7188129873672795,30.000000000000156,0.0005560427776400481,0.00833536611719697,0.09688064854122738,0.0,0.09688064854122727,0.9976225416723788,0.009814317795882,0.0,6,0.3,0.30538922155688625,0.38323353293413176,0.31137724550898205,0.30538922155688625,0.38323353293413176,0.31137724550898205,0.5048159933489127,0.013333333333333334,0.0,0.5064428004667728,0.8734723210334778,0.0,0.0,1.1615485049493168e-12,0.0,83,37,0.5305674775851842,0.0,1.0,0.0,0.0,0.9721666666666666,0.027833333333333377,0.027833333333333377,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.014037989586702014,0.01611973138180673,0.042600582914594,0.957399417085406,-0.0027939722553128377,1.066758918762207,1.066758918762207,1.0667590379714966,2.044468402862549,0.009809299744665623,0.05508982017636299,719.793359375,0.010604849830269814,0.014478152069166849,0.0,56.31473503112793,1.0,1.0,0.3556886225938797,1.066758918762207,0.0,,,5,5,0.01981288008391857,0.019406890496611595,-1,-1,0,False,0.0002,0.0,0.0
7,10,10,128,12.8,1.0082778930664062,1.0,success_all_done,terminated,0.044625960290431976,0.4462596176984614,0.4462596176984614,0.1356825839728116,0.044625960290431976,1.0,1.0,1.0,0.6967666257763734,0.9399084827406907,20,0.6967666257763734,0.9999999999999999,0.014159569366698406,0.43210004833176313,0.0899939219349234,0.0,0.08999392193492337,0.5139215649581685,0.011053399316938876,0.0,0,0.0,0.171875,0.5546875,0.2734375,0.171875,0.5546875,0.2734375,0.5081802061572671,0.9,3.549999999999999,0.5099758611673989,0.8965411126613617,0.0,1.4865776665207164e-10,3.7634499683303346e-11,1.6404052768925746e-10,105,22,14.09859043943685,0.10000000000000002,0.0,0.0,0.0,0.36,0.64,0.64,0.0,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.018225266945446843,0.01915749280954799,0.030464856212222297,0.9695351437877776,-0.011447395570576191,67.4576431274414,67.4576431274414,67.45765838623046,1.9754458904266357,-0.00017477497458457948,0.04375,5.957531833648682,0.012095738016068936,0.016215765039991396,0.0,99.71529617309571,1.0,1.0,0.8453125,67.4576431274414,0.0,,,5,5,0.006474594585597515,0.005422420101240276,-1,-1,0,False,0.0002,0.0,0.0
8,300,300,228,0.76,14.194490909576416,30.0,time_limit,time_limit,0.001173410564661026,-0.6479768671911672,-0.6479768671911672,0.004398121265694505,0.001591349602676928,0.75,0.75,0.883248730964467,1.615889860433492,2.0531608468837037,19,1.615889860433492,30.000000000000156,0.002080891420033219,0.009653213006927876,0.00858770839259873,0.0,0.008587708392598732,0.0,0.001109531811181653,0.0,3,0.15,0.20175438596491227,0.5394736842105263,0.25877192982456143,0.20175438596491227,0.5394736842105263,0.25877192982456143,0.5074174705887369,0.23,0.05000000000001137,0.5093931666383329,0.872352087497711,0.0,0.0,3.41092670601284e-12,0.0,144,36,1.843037485405217,0.0,1.0,0.0,0.0,0.962,0.038000000000000034,0.038000000000000034,0.0594059405940594,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.033256631597568635,0.05181484558942521,0.3787863385677242,0.6212136614322757,0.009109175391495227,1.1671985387802124,1.1671985387802124,1.167198610305786,1.9299867153167725,0.01013435935601592,0.05964912325143814,2.5879839420318604,0.005772121157497168,0.017815643478689865,0.0,8.146173334121704,1.0,1.0,0.15877193212509155,1.1671985387802124,0.0,,,5,5,0.019830280914902687,0.018029569648206234,-1,-1,0,False,0.0002,0.0,0.0
9,300,300,262,0.8733333333333333,13.598557949066162,30.0,time_limit,time_limit,0.0014023039257153869,-0.5793088463407192,-0.5793088463407192,0.01716428892686964,0.0019217741210013628,0.75,0.75,0.9278350515463918,1.3342861453563215,1.795712545717123,22,1.3342861453563215,30.000000000000156,0.002171137986268432,0.01185190046904093,0.007087924713209848,0.0,0.007087924713209849,0.0,0.0008466834433172827,0.0,4,0.2,0.1946564885496183,0.5648854961832062,0.24045801526717558,0.1946564885496183,0.5648854961832062,0.24045801526717558,0.5080446741213867,0.2833333333333333,0.05000000000001137,0.5103958743761189,0.8752791762351989,0.0,0.0,3.0776652927555492e-12,0.0,148,39,2.1899485208568485,0.0,1.0,0.0,0.0,0.9563333333333334,0.04366666666666663,0.04366666666666663,0.037383177570093455,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.031182561734752347,0.04066715139016762,0.21409860037252393,0.7859013996274762,0.011280612833797932,1.0210650205612182,1.0210650205612182,1.021065104007721,1.924170970916748,-0.001236274279654026,0.04765625,2.6043320178985594,0.004336682893335819,0.01778739764654184,0.0,7.0711315155029295,1.0,1.0,0.28359375,1.0210650205612182,0.0,,,5,5,0.0034252414479851723,0.0032526948489248753,-1,-1,0,False,0.0002,0.0,0.0
10,300,300,255,0.85,14.086907148361206,30.0,time_limit,time_limit,0.0009284401894547045,-0.7214679459554258,-0.7214679459554258,0.004564388724975296,0.0015437493566423655,0.8,0.8,0.8865979381443299,1.6277988302991582,2.3061740430187347,20,1.6277988302991582,30.000000000000156,0.0018456090039713968,0.007438792797514408,0.007724542462589873,0.0,0.007724542462589873,0.0,0.0012187444979179334,0.0,3,0.15,0.2235294117647059,0.5647058823529412,0.21176470588235294,0.2235294117647059,0.5647058823529412,0.21176470588235294,0.5067814545398578,0.24,0.0,0.508797562646302,0.8770821452140808,0.0,0.0,3.3300634385419192e-12,0.0,133,45,2.097034511475833,0.0,1.0,0.0,0.0,0.9575,0.04249999999999998,0.04249999999999998,0.046511627906976744,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.019747988514222953,0.030024593260512867,0.1182486523558668,0.8817513476441333,0.0020310262916609645,1.1233978271484375,1.1233978271484375,1.1233980655670166,1.7952356576919555,0.00783023303374648,0.04313725605607033,1.0637045860290528,0.0020648187259212137,0.017729156140806036,0.0,7.255088663101196,1.0,1.0,0.26901961416006087,1.1233978271484375,0.0,,,5,5,0.01620771735906601,0.01468276288360357,-1,-1,0,False,0.0002,0.0,0.0
11,300,300,286,0.9533333333333334,17.679908990859985,30.0,time_limit,time_limit,0.001418029423803091,-0.574591175852779,-0.574591175852779,0.01237292839214207,0.0020772309508174658,0.75,0.75,0.8625,2.315784006607878,3.0936703023017724,19,2.315784006607878,30.000000000000156,0.006535129639915167,0.007645164498325534,0.025465894548131977,0.0,0.02546589454813199,0.0,0.0027900548528901393,0.0,3,0.15,0.25524475524475526,0.534965034965035,0.2097902097902098,0.25524475524475526,0.534965034965035,0.2097902097902098,0.5087073072075533,0.44666666666666666,3.0500000000000114,0.5111751536353626,0.8730282306671143,0.0,0.0,6.298693771417119e-12,0.0,162,55,3.2445196483718304,0.0,1.0,0.0,0.0,0.9523333333333334,0.047666666666666635,0.047666666666666635,0.028846153846153848,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.02991779364155262,0.07644480485763655,0.4697618677545663,0.5302381322454337,0.011588824540376663,1.049255871772766,1.049255871772766,1.049255895614624,1.7547273635864258,0.017158692888915538,0.06328125,44.89271697998047,0.001762413512915373,0.017683646990057835,0.0,11.357860851287843,1.0,1.0,0.07421875,1.049255871772766,0.0,,,5,5,0.020823778584599495,0.020766641572117807,-1,-1,0,False,0.0002,0.0,0.0
12,300,300,315,1.05,22.3390371799469,30.0,time_limit,time_limit,0.0008043376728892326,-0.7586986932216344,-0.7586986932216344,0.0068927029613405485,0.001826514839194715,0.55,0.55,0.7976653696498055,2.0323837996175387,2.4349368858427707,15,2.0323837996175387,30.000000000000156,0.003685084543114519,0.004358292349497665,0.024814694804416525,0.0,0.024814694804416525,0.0,0.003042953043747967,0.0,7,0.35,0.16825396825396827,0.546031746031746,0.2857142857142857,0.16825396825396827,0.546031746031746,0.2857142857142857,0.5062872706006747,0.44,3.0,0.5079501841104421,0.8626394748687746,0.0,0.0,6.7045440380053556e-12,0.0,179,37,3.1187145454344103,0.0,1.0,0.0,0.0,0.9475,0.05249999999999999,0.05249999999999999,0.07142857142857142,0.0,0.0,nan,0.0,nan,1.0,0,0.0,unified_mainline,0.027149158084598685,0.06329130068406692,0.3558533518078485,0.6441466481921515,0.016544577106833457,1.0253043293952941,1.0253043293952941,1.0253043055534363,1.9455331563949585,0.009402834251523018,0.04765625,11.827359008789063,0.0016249259002506732,0.017992964881020476,0.0,6.866646099090576,1.0,1.0,0.0515625,1.0253043293952941,0.0,,,5,5,0.01709638722240925,0.015751438960433004,-1,-1,0,False,0.0002,0.0,0.0
