episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,mode_match_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,0.029844070402116386,0.0010658596572184424,2.3788776099681854,0.2,0.2,0.2,0.705,0.9166666666666666,0.2909090909090909,0.4909090909090909,0.21818181818181817,0.507399003305805,0.24464285714285713,0.24464285714285713,1.3928571428571428,0.06535328955924075,0.35502407403009195,33.33333333333333,-0.21043209180600933,0.3333333333333333,0.06818525328765583,0.12727272727272726,0.4666666666666667,0.40606060606060607,0.3696969696969697,0.3696969696969697,nan,nan,0.1992073710097496,0.8939422079526826,0.19480519480519481,0.44776119402985076,0.22388059701492538,0.27990528959332134,-0.07511878443677063,2.4345180615640998,20,20,21.099357843399048
2,,0.0006546929300014093,2.7278872083392055e-05,0.6612982630729676,0.25,0.25,0.25,0.6148148148148148,0.6451612903225806,0.3805309734513274,0.30973451327433627,0.30973451327433627,0.5025111021260575,0.025,0.025,0.375,3.69849440992942e-05,0.28792542993498116,31.428571428571427,-0.28898612488014136,0.3142857142857143,0.02065191523957532,0.25663716814159293,0.25663716814159293,0.48672566371681414,0.37168141592920356,0.37168141592920356,nan,nan,0.11745259329349615,0.4095303039081002,0.27586206896551724,0.3090909090909091,0.3090909090909091,0.19082897037036342,-0.09709645956461771,2.2947286780681027,20,20,9.011061191558838
3,,0.08151826704197272,0.002090211975435198,0.4605545878410339,0.1,0.1,0.1,0.6914498141263941,0.7027027027027027,0.4099099099099099,0.22972972972972974,0.36036036036036034,0.508621719140464,0.5743589743589743,0.5743589743589743,0.7435897435897436,0.33025224245626256,0.409995704895934,40.0,-0.9260492192493045,0.4,0.20588790582611596,0.13063063063063063,0.6396396396396397,0.22972972972972974,0.2702702702702703,0.2702702702702703,nan,nan,0.526519506953483,4.069146479324949,0.4084507042253521,0.23529411764705882,0.29411764705882354,0.28674686786700065,-0.12324883702893334,2.09379404740098,20,20,15.454131126403809
4,,0.03341100678775769,0.0008566924817373767,0.44478712876637777,0.05,0.05,0.05,0.6678832116788321,0.8095238095238095,0.2863636363636364,0.2863636363636364,0.42727272727272725,0.5032193653213863,0.573076923076923,0.573076923076923,0.6410256410256411,0.11743538357776298,0.3751557418557728,39.361702127659576,-0.3005578649378499,0.39361702127659576,0.2126138496216156,0.14545454545454545,0.5727272727272728,0.2818181818181818,0.2863636363636364,0.2863636363636364,nan,nan,0.3515833489095141,1.7867524549962224,0.49206349206349204,0.3548387096774194,0.3548387096774194,0.3229096213819196,-0.052246120473853186,2.325984071774491,20,20,17.68288826942444
5,,0.02679989689513484,0.0009571391748262444,0.3568644255399704,0.1,0.1,0.1,0.6116504854368932,0.7419354838709677,0.25766871165644173,0.31901840490797545,0.4233128834355828,0.5054013057611882,0.275,0.275,1.0,0.07282937414286965,0.34157830719062526,43.47826086956522,-0.49259954571592984,0.43478260869565216,0.12870046783492514,0.20245398773006135,0.5337423312883436,0.26380368098159507,0.3312883435582822,0.3312883435582822,nan,nan,0.32643225463181363,1.371229306304751,0.47126436781609193,0.3023255813953488,0.4418604651162791,0.25576196116817246,-0.08581634602245279,2.3455096699981413,20,20,14.863799571990967
6,,0.080242885556404,0.0032097154222561603,0.5187678039073944,0.55,0.55,0.55,0.7557251908396947,0.8148148148148148,0.17543859649122806,0.3333333333333333,0.49122807017543857,0.5111223794445395,0.056,0.056,0.12,0.28284227808968937,0.3404914759049351,39.285714285714285,-0.24144465376328758,0.39285714285714285,0.035446167279200205,0.20175438596491227,0.41228070175438597,0.38596491228070173,0.32456140350877194,0.32456140350877194,nan,nan,0.14944842082089052,0.1955914224145343,0.574468085106383,0.38636363636363635,0.38636363636363635,0.2445016262163719,-0.0959898496885632,2.0305695372278176,20,20,5.355480432510376
7,,0.15107324450700668,0.006866965659409394,0.7493963837623596,0.9,0.9,0.9,0.968503937007874,0.9838709677419355,0.21212121212121213,0.26515151515151514,0.5227272727272727,0.5157487348653376,0.09772727272727273,0.09772727272727273,0.045454545454545456,0.8468220208279639,0.27734815039180083,36.231884057971016,-0.05715629755425084,0.36231884057971014,0.021185598184144783,0.23484848484848486,0.6287878787878788,0.13636363636363635,0.3333333333333333,0.3333333333333333,nan,nan,0.05578269769014675,0.13251992027529194,0.5301204819277109,0.16666666666666666,0.5555555555555556,0.20186067374512023,-0.07548747664668057,2.1744653219160286,20,20,4.366314888000488
8,,0.00503140223215055,0.00017349662869484654,0.5597882330417633,0.1,0.1,0.1,0.7397959183673469,0.8554216867469879,0.14444444444444443,0.3111111111111111,0.5444444444444444,0.505742132514394,0.41724137931034483,0.41724137931034483,0.4827586206896552,0.0031543156147162054,0.34644810715393315,41.83673469387755,-0.07883438726237085,0.41836734693877553,0.14107172189280745,0.16111111111111112,0.55,0.28888888888888886,0.32222222222222224,0.32222222222222224,nan,nan,0.1591612721816788,0.4989506880128762,0.5656565656565656,0.28846153846153844,0.5,0.2668449009993525,-0.07960320615458069,2.3186520688588748,20,20,10.387369394302368
9,,0.027915936394557587,0.0009626184963640547,0.34063405692577364,0.05,0.05,0.05,0.6538461538461539,0.782051282051282,0.15384615384615385,0.26282051282051283,0.5833333333333334,0.5151439888659736,0.40344827586206894,0.40344827586206894,0.6206896551724138,0.12314254577404887,0.2834679278481793,37.362637362637365,-0.3358481555887093,0.37362637362637363,0.18306709839836444,0.1858974358974359,0.5833333333333334,0.23076923076923078,0.3141025641025641,0.3141025641025641,nan,nan,0.34709128340454665,2.0704316252368793,0.5824175824175825,0.3055555555555556,0.5555555555555556,0.18022499563928945,-0.10324293220888989,2.054557736662513,20,20,9.239482641220093
10,,0.03005885853574885,0.0010365123633016844,0.399576461315155,0.15,0.15,0.15,0.7616580310880829,0.8229166666666666,0.12222222222222222,0.29444444444444445,0.5833333333333334,0.5011577220858427,0.4896551724137931,0.4896551724137931,1.0344827586206897,0.14701353205888296,0.24960382015317312,36.19047619047619,-0.27659676862404575,0.3619047619047619,0.17341991366638596,0.2222222222222222,0.39444444444444443,0.38333333333333336,0.35,0.35,nan,nan,0.30150253032790963,0.8205045288525742,0.5774647887323944,0.2898550724637681,0.6086956521739131,0.18816384844661602,-0.061439971706557114,2.248798859040708,20,20,8.41743278503418
11,,0.06967524963560726,0.001833559200937033,0.34393770396709444,0.1,0.1,0.1,0.6322314049586777,0.7604166666666666,0.12755102040816327,0.3163265306122449,0.5561224489795918,0.4906756499500357,0.4868421052631579,0.4868421052631579,1.1842105263157894,0.1868323400625575,0.6352995657997594,39.44954128440367,-0.5886408388614714,0.3944954128440367,0.22123605984043185,0.12755102040816327,0.6938775510204082,0.17857142857142858,0.3520408163265306,0.3520408163265306,nan,nan,0.5147432108343657,2.324796466723705,0.5441176470588235,0.2571428571428571,0.6857142857142857,0.5670996585689282,-0.06819990723083127,2.1772317068260354,20,20,15.232255220413208
12,,0.08251174727348493,0.0022300472236077007,0.25767560601234435,0.05,0.05,0.05,0.4942084942084942,0.6976744186046512,0.1206896551724138,0.3333333333333333,0.5459770114942529,0.5110448413604015,0.2702702702702703,0.2702702702702703,0.8648648648648649,0.22833113415556602,0.4979817477203169,29.47368421052631,-1.1441445939168968,0.29473684210526313,0.24583259016122083,0.1839080459770115,0.5977011494252874,0.21839080459770116,0.3448275862068966,0.3448275862068966,nan,nan,0.7597583884188165,4.213756699623883,0.5288461538461539,0.3684210526315789,0.5526315789473685,0.42215077116044275,-0.07583097655987416,1.9872424677325773,20,20,21.395392179489136
13,,0.08278641445669765,0.0028547039467826775,0.29902350455522536,0.2,0.2,0.2,0.586046511627907,0.7608695652173914,0.096045197740113,0.2542372881355932,0.6497175141242938,0.5063597570269787,0.42586206896551726,0.42586206896551726,0.7586206896551724,0.24121728798350944,0.5113418349624379,38.26086956521739,-0.649653335648284,0.3826086956521739,0.15072994416853247,0.1864406779661017,0.6892655367231638,0.12429378531073447,0.2598870056497175,0.2598870056497175,nan,nan,0.582329787627568,3.2597373383620836,0.6639344262295082,0.36363636363636365,0.5,0.36522628999348083,-0.14611554496895704,1.9361299474875264,20,20,13.910460472106934
14,,0.09744624999876815,0.00406026041661534,0.3473771095275879,0.45,0.45,0.45,0.8125,0.875,0.07575757575757576,0.29545454545454547,0.6287878787878788,0.5013708595613328,0.058333333333333334,0.058333333333333334,0.20833333333333334,0.27441224831740363,0.6196597910001456,31.32530120481928,-0.3152951423022103,0.3132530120481928,0.014559282012090629,0.2196969696969697,0.5984848484848485,0.18181818181818182,0.2727272727272727,0.2727272727272727,nan,nan,0.2297719000905456,2.029289131223256,0.6708860759493671,0.3333333333333333,0.5,0.526755365320025,-0.09290442568012054,1.828306782383631,20,20,5.496715784072876
15,,0.08986335140164232,0.0023648250368853243,0.3199736177921295,0.05,0.05,0.05,0.5116279069767442,0.68,0.08426966292134831,0.3146067415730337,0.601123595505618,0.509471876669283,0.34210526315789475,0.34210526315789475,0.6578947368421053,0.43107798788308527,0.33197912824501785,22.429906542056074,-0.9173492968889427,0.22429906542056074,0.2673265876142096,0.20224719101123595,0.5730337078651685,0.2247191011235955,0.3146067415730337,0.3146067415730337,nan,nan,0.710082755597166,2.464881647993491,0.5980392156862745,0.35,0.6,0.2616311863621246,-0.0703479418828932,2.0145368651473787,20,20,16.632781267166138
16,,0.0312710690899368,0.001250842763597472,0.47274879217147825,0.35,0.35,0.35,0.7862595419847328,0.8227848101265823,0.09523809523809523,0.21428571428571427,0.6904761904761905,0.4908860221151263,0.08,0.08,0.24,0.04511980518231258,0.5269536590761474,27.586206896551722,-0.25446098819614815,0.27586206896551724,0.02791088264935492,0.19047619047619047,0.4365079365079365,0.373015873015873,0.3253968253968254,0.3253968253968254,nan,nan,0.20552933413431473,0.4837604069498313,0.7636363636363637,0.23404255319148937,0.6382978723404256,0.4262169549879389,-0.10073670408820858,2.0761824853881867,20,20,4.9771740436553955
17,,0.05850295219499395,0.0020173431791377225,0.28623339384794233,0.2,0.2,0.2,0.6206896551724138,0.6666666666666666,0.0718562874251497,0.30538922155688625,0.6227544910179641,0.5018196738100258,0.2603448275862069,0.2603448275862069,0.7586206896551724,0.1417730830939325,0.505650484055983,37.5,-0.7116665459895698,0.375,0.13510535304028293,0.18562874251497005,0.47904191616766467,0.33532934131736525,0.437125748502994,0.437125748502994,nan,nan,0.5365850061694345,5.00215317906333,0.5125,0.21428571428571427,0.7678571428571429,0.41220412294843756,-0.0934463611075455,2.1301803986780503,20,20,14.189914464950562
18,,0.06235767603898707,0.0016409914747101862,0.2514427050948143,0.1,0.1,0.1,0.4981132075471698,0.6442307692307693,0.06593406593406594,0.3241758241758242,0.6098901098901099,0.489888008187623,0.2986842105263158,0.2986842105263158,0.7631578947368421,0.20023485580182881,0.42304895761674266,31.53153153153153,-0.7923569376543692,0.3153153153153153,0.26035898800601814,0.15934065934065933,0.6923076923076923,0.14835164835164835,0.3956043956043956,0.3956043956043956,nan,nan,0.6165207673507673,4.017074584072555,0.5873015873015873,0.18518518518518517,0.7407407407407407,0.34935839484499126,-0.07369056277175143,2.0582494489325236,20,20,19.67945671081543
19,,0.07155656833588117,0.0024674678736510748,0.32633316814899443,0.2,0.2,0.2,0.6390243902439025,0.7747747747747747,0.08092485549132948,0.18497109826589594,0.7341040462427746,0.47692601178002,0.4896551724137931,0.4896551724137931,0.3448275862068966,0.15261862314346597,0.6208917021030721,43.30708661417323,-0.37977371405974364,0.4330708661417323,0.149038284413031,0.11560693641618497,0.7341040462427746,0.15028901734104047,0.23121387283236994,0.23121387283236994,nan,nan,0.42071580872087916,4.10348207022396,0.7716535433070866,0.2692307692307692,0.6153846153846154,0.49404990287817857,-0.12684179922489353,1.8845560346462489,20,20,10.276166677474976
20,,0.07056903480577321,0.002016258137307806,0.3218053296208382,0.1,0.1,0.1,0.4981549815498155,0.7372881355932204,0.041025641025641026,0.24102564102564103,0.717948717948718,0.4830028648085759,0.38571428571428573,0.38571428571428573,0.4,0.1345717704009415,0.6257813615242522,29.28571428571429,-0.6884783001345985,0.29285714285714287,0.20238326993773803,0.14358974358974358,0.5948717948717949,0.26153846153846155,0.39487179487179486,0.39487179487179486,nan,nan,0.6361554237658632,3.337748965724958,0.6551724137931034,0.11764705882352941,0.8235294117647058,0.5020286012950265,-0.12375276022922573,2.015421822407623,20,20,19.53133249282837
21,,0.08597211871067956,0.0035821716129449815,0.3837383508682251,0.65,0.65,0.65,0.8656716417910447,0.9402985074626866,0.08759124087591241,0.32116788321167883,0.5912408759124088,0.48205720163920585,0.04375,0.04375,0.4166666666666667,0.31496215042078024,0.38570558442148306,41.9753086419753,-0.036828783323373596,0.41975308641975306,0.02136229805120943,0.19708029197080293,0.29927007299270075,0.5036496350364964,0.43795620437956206,0.43795620437956206,nan,nan,0.06268594059564957,0.1835700109688784,0.6097560975609756,0.2753623188405797,0.6231884057971014,0.19624286586681616,-0.18946271855466687,2.112310459494228,20,20,4.3160178661346436
22,,0.04504963064454251,0.0016685048386867597,0.2744206294417381,0.1,0.1,0.1,0.49504950495049505,0.6444444444444445,0.05844155844155844,0.2727272727272727,0.6688311688311688,0.4814524739635763,0.31666666666666665,0.31666666666666665,0.7777777777777778,0.21846909397346576,0.2711971432525039,35.92233009708738,-0.3619934573305969,0.3592233009708738,0.09394701001925791,0.17532467532467533,0.7207792207792207,0.1038961038961039,0.2987012987012987,0.2987012987012987,nan,nan,0.3811271321266294,1.9270733887517106,0.6666666666666666,0.25,0.75,0.23359917214532408,-0.037597971107179814,1.982179493192781,20,20,16.852784633636475
23,,0.05207012980213019,0.0019285233260048218,0.2802770584821701,0.1,0.1,0.1,0.7091836734693877,0.7657657657657657,0.04371584699453552,0.2568306010928962,0.6994535519125683,0.4969271165077333,0.48148148148148145,0.48148148148148145,0.7037037037037037,0.16141490250826113,0.40906264984509244,35.9375,-0.4339063710934785,0.359375,0.17254934081170592,0.14754098360655737,0.5628415300546448,0.2896174863387978,0.3770491803278688,0.3770491803278688,nan,nan,0.43804886990946595,2.233751388688562,0.6796116504854369,0.20754716981132076,0.7547169811320755,0.3428968745602669,-0.0661657752848255,2.315433136965115,20,20,9.7833571434021
24,,0.16340317300343174,0.007781103476353892,0.6670727014541626,0.95,0.95,0.95,0.9855072463768116,0.9893617021276596,0.013986013986013986,0.2867132867132867,0.6993006993006993,0.4804740204719738,0.10714285714285714,0.10714285714285714,0.5238095238095238,0.8171053601119762,0.4478189336546811,42.0,-0.12450640495577456,0.42,0.011641159219936595,0.17482517482517482,0.5664335664335665,0.25874125874125875,0.34265734265734266,0.34265734265734266,nan,nan,0.11778099161431103,0.39382429952493053,0.7160493827160493,0.24324324324324326,0.7567567567567568,0.36777965520492933,-0.08003927844975177,2.1367052468948935,20,20,4.3270814418792725
25,,0.1656312906095525,0.007887204314740595,0.2218828648328781,0.9,0.9,0.9,0.9694656488549618,0.9838709677419355,0.05442176870748299,0.4013605442176871,0.54421768707483,0.4738438440309394,0.06428571428571428,0.06428571428571428,0.7142857142857143,0.8807315762951312,0.30567605808038156,46.25,-0.1347910951621707,0.4625,0.01981916596807799,0.19047619047619047,0.4489795918367347,0.36054421768707484,0.29931972789115646,0.29931972789115646,nan,nan,0.10483965715234699,0.18836684189244518,0.6818181818181818,0.5283018867924528,0.4339622641509434,0.22284399805770921,-0.08283206002267234,2.558381470895209,20,20,3.897151470184326
