episode,policy,total_reward,avg_step_reward,loss,veh_success_rate,vehicle_success_rate,task_success_rate,subtask_success_rate,v2v_subtask_success_rate,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_queue_len,avg_veh_queue,avg_rsu_queue,ma_fairness,ma_reward_gap,ma_collaboration,v2v_gain_mean,v2v_gain_pos_rate,v2v_gain_pos_mean,best_mode_local_rate,best_mode_rsu_rate,best_mode_v2v_rate,oracle_match_rate,oracle_match_eps_abs_rate,oracle_match_eps_rel_rate,action_regret_mean,action_regret_p95,oracle_rsu_chosen_v2v_rate,oracle_v2v_chosen_rsu_rate,oracle_v2v_chosen_v2v_rate,max_agent_reward,min_agent_reward,avg_assigned_cpu_ghz,episode_vehicle_count,episode_task_count,duration
1,,-3.2365651184964497,-0.011182825592482248,0.6549157723784447,0.15,0.15,0.15,0.549407114624506,0.6790123456790124,0.3107344632768362,0.23163841807909605,0.4576271186440678,0.49774004006176253,0.12475,0.12475,0.05,0.8326157127420621,3.1004576504343495,39.50617283950617,-39541633169.1019,0.3950617283950617,0.22379318736723489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3236576279782437,-2.7768000224561056,1.762642685514306,20,20,13.769198894500732
2,,-2.9062012014530847,-0.009531006007265422,0.7082147321035696,0.25,0.25,0.25,0.604,0.68,0.39226519337016574,0.3314917127071823,0.27624309392265195,0.5034723906046711,0.14025,0.14025,0.11,0.676665930858163,3.4338684903241505,28.000000000000004,-6.859114980091006,0.28,0.2970789636510603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7024247517707004,-2.73144373855345,2.1218695611576575,20,20,12.578758955001831
3,,-3.2799726988008704,-0.011399863494004353,0.8547198316630196,0.15,0.15,0.15,0.49206349206349204,0.6122448979591837,0.3236994219653179,0.3699421965317919,0.3063583815028902,0.49918250011064813,0.1195,0.1195,0.135,0.7482081316626569,6.2089622238841935,33.9622641509434,-339.7847615354351,0.33962264150943394,0.54941496391091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1344111646055637,-5.07455105927863,2.3757745270477892,20,20,12.943368911743164
4,,-3.3538486760257737,-0.011769243380128868,0.6729097137084374,0.1,0.1,0.1,0.532520325203252,0.673469387755102,0.37349397590361444,0.3313253012048193,0.29518072289156627,0.5026059574380052,0.1245,0.1245,0.14,0.8669923536644404,3.3576363920963828,30.612244897959183,-5050317666.7532,0.30612244897959184,0.22275441798266515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5742344187753036,-2.7834019733210793,2.08004478356858,20,20,13.590956449508667
5,,-3.5148246793931355,-0.012574123396965677,0.5732966164747874,0.05,0.05,0.05,0.5856573705179283,0.6666666666666666,0.3977272727272727,0.36363636363636365,0.23863636363636365,0.5095621762061492,0.18675,0.18675,0.105,0.9246341048354851,3.4112749222809566,33.33333333333333,-116036365217.98495,0.3333333333333333,0.9936209991454057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6041638682363142,-2.8071110540446425,1.744452252446834,20,20,12.847564220428467
6,,-2.850851580046232,-0.00925425790023116,1.2319439888000487,0.3,0.3,0.3,0.6792452830188679,0.76,0.32947976878612717,0.35260115606936415,0.3179190751445087,0.5133362499896903,0.11725,0.11725,0.07,0.6440321096697984,3.730719859481753,43.63636363636363,-21682714316.44792,0.43636363636363634,0.5897335967474561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9569884350934557,-2.7737314243882976,2.0393985986769585,20,20,14.56787395477295
7,,-2.7884711245979465,-0.008942355622989734,0.48264753818511963,0.3,0.3,0.3,0.7264957264957265,0.8333333333333334,0.39037433155080214,0.3850267379679144,0.22459893048128343,0.5058512502359226,0.11525,0.11525,0.165,0.6293562048900936,3.425269297979529,52.38095238095239,-0.16869879439887353,0.5238095238095238,0.4459891758815067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.639322861368258,-2.785946436611271,2.0186969113441684,20,20,11.54212474822998
8,,-3.0507733938836528,-0.010253866969418263,3.210235357284546,0.2,0.2,0.2,0.6376146788990825,0.6486486486486487,0.4695121951219512,0.3048780487804878,0.22560975609756098,0.5094882200409192,0.2115,0.2115,0.08,0.7217479829398885,3.415438186609788,32.432432432432435,-4.219227185904155,0.32432432432432434,0.394692031939079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6627677165115545,-2.7526704700982334,2.20598011186608,20,20,12.773171424865723
9,,-3.1622617546571505,-0.010811308773285754,1.3009996576742693,0.15,0.15,0.15,0.6930232558139535,0.8205128205128205,0.4251497005988024,0.3413173652694611,0.23353293413173654,0.5132832490154542,0.17825,0.17825,0.095,0.7515345704257478,3.77282756036755,35.8974358974359,-0.05389960803401871,0.358974358974359,0.5980341160800363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.019335863262431,-2.753491697105119,2.01990729328959,20,20,10.767088890075684
10,,-3.24512421598307,-0.01122562107991535,1.5160017916134425,0.15,0.15,0.15,0.597457627118644,0.68,0.4294117647058823,0.27647058823529413,0.29411764705882354,0.5117261636569165,0.12225,0.12225,0.085,0.8200484127397912,3.3928179113883776,32.0,-34324327741.372013,0.32,0.32646029444701924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5475015271055464,-2.8453163842828313,2.349215985910884,20,20,12.00508451461792
