episode,steps,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,r_margin,r_margin_raw,r_margin_norm,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,abs_ratio_r_margin,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_margin_on_task_mean,r_time_on_task_mean,r_prog_on_task_abs_mean,r_margin_on_task_abs_mean,r_time_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_margin,abs_ratio_on_task_r_time,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,13.458125352859497,20.0,time_limit,time_limit,-0.01191701553761959,-3.3834025859661296,-3.3834025859661296,-0.0011546172900125384,0.01191701553761959,0.1,0.1,0.5454545454545454,3.3461056352483807,3.4513676008972554,2,3.3461056352483807,20.000000000000014,0.002819260933403698,0.0,0.0005709174405195301,0.0,11,0.55,0.30337078651685395,0.2640449438202247,0.43258426966292135,0.30337078651685395,0.2640449438202247,0.43258426966292135,0.4977440003944212,0.08,0.0,0.49669329482509517,0.8577307820320129,0.0,0.0,2.169355407116713e-12,0.0,124,54,2.531115270399998,0.0,1.0,0.0,0.0,0.9555,0.044499999999999984,0.044499999999999984,0.8120204603580563,0.0,0.0,0.0,0.0,0.0,0.09453960630903233,0.000811095928708399,6.127885286217722e-05,0.9045880189093971,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011244578401296643,0.0,0.0,0.011244578401296643,0.0,0.0,0.011773628726090878,0.9882263712739091,-0.15998591855168343,1.1553962528705597,1.1553962528705597,1.1553962528705597,1.9801154136657715,0.020439703948795795,0.0,2.4589193761348724,0.0445,0.0341796875,0.275033924728632,2.053962767124176,0.9973964095115662,0.0,0.0,1,4,0.08449915051460266,0.07511339457705615,0,3,0,True,0.0002,0.0,0.0
2,200,14.144569158554077,20.0,time_limit,time_limit,-0.012624206952750683,-3.5248410269128567,-3.5248410269128567,-0.001159657840617001,0.012858795933425426,0.05,0.05,0.536,2.6754425599945573,2.6754425599945573,1,2.6754425599945573,20.000000000000014,0.0029498646988210704,0.0,0.0004601002806177067,0.0,15,0.75,0.3583815028901734,0.27167630057803466,0.3699421965317919,0.3583815028901734,0.27167630057803466,0.3699421965317919,0.5033321479752194,0.08,0.0,0.505138238974895,0.8769224882125854,0.0,0.0,1.094207732234287e-12,0.0,111,62,2.475635780399998,0.0,1.0,0.0,0.0,0.95675,0.04325000000000001,0.04325000000000001,0.9085014409221902,0.0,0.0,0.0,0.0,0.0,0.09010277068121697,0.0009182745758011735,2.1937781470525874e-05,0.9089570169615114,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011264175904814183,0.0,0.0,0.011264175904814183,0.0,0.0,0.024707019376157175,0.9752929806238428,0.025371864151496153,1.1090871691703796,1.1090871691703796,1.1090871462455163,1.9351555017324595,0.017577033382482253,0.035222671926021576,1.9945872242634113,0.04325,0.04176682692307692,0.45657543913246346,1.6977583903532762,1.0361061829787035,0.0,0.0,1,13,0.09219928085803986,0.08109325021505354,0,12,0,True,0.0002,0.0,0.0
3,200,14.243257999420166,20.0,time_limit,time_limit,-0.013190068304538727,-3.638013896138926,-3.638013896138926,-0.0010843954514712095,0.013190068304538727,0.05,0.05,0.5436507936507936,3.3010322248781265,3.3010322248781265,1,3.3010322248781265,20.000000000000014,0.0038462149119838822,0.0,0.0008406128580153005,0.0,12,0.6,0.3825136612021858,0.28415300546448086,0.3333333333333333,0.3825136612021858,0.28415300546448086,0.3333333333333333,0.49662702313426416,0.075,0.0,0.494838596991988,0.8646079301834106,0.0,0.0,1.956597861160758e-12,0.0,105,65,2.6542045747999983,0.0,1.0,0.0,0.0,0.95425,0.04574999999999996,0.04574999999999996,0.8210678210678211,0.0,0.0,0.0,0.0,0.0,0.0824605062345614,0.0009826378388206086,8.803497070343706e-05,0.9164688209559145,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.010824454295545955,0.0,0.0,0.010824454295545955,0.0,0.0,0.010203949143400604,0.9897960508565994,-0.028871183006747347,10.520040550747433,10.520040550747433,10.520040769834775,1.900391156608994,0.002437812411478041,0.14516000107333465,2.046036729941497,0.04575,0.0472972972972973,0.8004372110464484,5.103045131709124,11.80246353149414,0.0,0.0,3,37,0.11621461808681488,0.06412218958139417,2,6,0,True,0.0002,0.0,0.0
4,200,12.53426456451416,20.0,time_limit,time_limit,-0.011865979060530663,-3.3731958438469785,-3.3731958438469785,-0.0011435431661084294,0.012159408070147038,0.1,0.1,0.6056910569105691,2.4973801425847486,2.779145491903555,2,2.4973801425847486,20.000000000000014,0.0025624415086046588,0.0,0.00046317825279811384,0.0,13,0.65,0.4425287356321839,0.25862068965517243,0.2988505747126437,0.4425287356321839,0.25862068965517243,0.2988505747126437,0.49951757460599766,0.075,0.0,0.4991252486056168,0.8720410615205765,0.0,0.0,2.5627202183270414e-12,0.0,97,77,2.8503854039999985,0.0,1.0,0.0,0.0,0.9565,0.04349999999999998,0.04349999999999998,0.6146496815286624,0.0,0.0,0.0,0.0,0.0,0.09309362862796736,0.0007660152630857381,8.54384611252407e-05,0.9060549176478216,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011302283098463754,0.0,0.0,0.011302283098463754,0.0,0.0,0.013464630837774178,0.9865353691622258,0.045768639871052334,1.7793735095432825,1.7793735095432825,1.7793735095432825,1.715328506061009,-0.0047830987189497265,0.133805085505758,1.510420526776995,0.0435,0.04241071428571429,0.14260385212089335,6.095172813960484,0.7805843353271484,0.0,0.0,1,7,0.09425457566976547,0.08784465491771697,0,6,0,True,0.0002,0.0,0.0
5,200,13.107302904129028,20.0,time_limit,time_limit,-0.012636266648769379,-3.527253515927165,-3.527253515927165,-0.0012145256623625755,0.012837606482207775,0.05,0.05,0.5378486055776892,2.7036744992588617,2.7036744992588617,1,2.7036744992588617,20.000000000000014,0.001661869819165502,0.0,0.00027841079046049116,0.0,11,0.55,0.48823529411764705,0.2411764705882353,0.27058823529411763,0.48823529411764705,0.2411764705882353,0.27058823529411763,0.4984660707837902,0.08,0.0,0.49710306097033086,0.8663954496383666,0.0,0.0,2.481663529188549e-12,0.0,87,83,2.488213229599998,0.0,1.0,0.0,0.0,0.9575,0.04249999999999998,0.04249999999999998,0.8556998556998557,0.0,0.0,0.0,0.0,0.0,0.09451743326651806,0.0005079087570731458,8.390219738611239e-05,0.9048907557790228,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011864172335820017,0.0,0.0,0.011864172335820017,0.0,0.0,0.010395533587234915,0.9896044664127651,-0.19980484247207642,5.781872510910034,5.781872510910034,5.781872034072876,1.7906266450881958,0.036258007399737835,0.03333333507180214,10.56895637512207,0.0425,0.052734375,0.0,6.148770332336426,5.689457178115845,0.0,0.0,1,2,0.08907116204500198,0.08378984658047556,0,1,0,True,0.0002,0.0,0.0
6,200,13.496934175491333,20.0,time_limit,time_limit,-0.010919544845819473,-3.183909046172931,-3.183909046172931,-0.0012875108513981104,0.011211314238607883,0.2,0.2,0.6728110599078341,2.5964621667083865,3.2664214378030767,4,2.5964621667083865,20.000000000000014,0.0038806804261459446,0.0,0.0006309144088714486,0.0,13,0.65,0.4970414201183432,0.21893491124260356,0.28402366863905326,0.4970414201183432,0.21893491124260356,0.28402366863905326,0.5023412069326733,0.055,0.0,0.5045131699906954,0.8648505270481109,0.0,0.0,4.0030882254848965e-12,0.0,85,84,2.588762407199998,0.0,1.0,0.0,0.0,0.95775,0.04225000000000001,0.04225000000000001,0.7981308411214953,0.0,0.0,0.0,0.0,0.0,0.11431520224369197,0.0013837945825066846,0.00017230805741391098,0.8841286951163874,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012646866931605768,0.0,0.0,0.012646866931605768,0.0,0.0,0.04262933259374395,0.9573706674062561,0.012392672896385192,4.045463196436564,4.045463196436564,4.04546324412028,1.851295272509257,0.019431474901891004,0.03886964991688728,3.525791335105896,0.04225,0.04140625,0.5422212322552998,4.961089483896891,3.8658602237701416,0.0,0.0,1,15,0.08638377487659454,0.0765296660363674,0,14,0,True,0.0002,0.0,0.0
7,200,11.651700735092163,20.0,time_limit,time_limit,-0.011855652555823326,-3.371130189691151,-3.371130189691151,-0.0012195694725960493,0.011855652555823326,0.1,0.1,0.5641025641025641,2.045496657682923,2.069952270214704,2,2.045496657682923,20.000000000000014,0.0028288378455180417,0.0,0.0006337909518594425,0.0,12,0.6,0.5548780487804879,0.2073170731707317,0.23780487804878048,0.5548780487804879,0.2073170731707317,0.23780487804878048,0.5056315735898097,0.025,0.0,0.5115995336556327,0.8819791793823237,0.0,0.0,1.7722621330554245e-12,0.0,73,91,2.665323423199998,0.0,1.0,0.0,0.0,0.959,0.041000000000000036,0.041000000000000036,0.8702865761689291,0.0,0.0,0.0,0.0,0.0,0.09762070815628643,0.0008383964438312538,5.5965063315551915e-05,0.9014849303365667,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012302497633735704,0.0,0.0,0.012302497633735704,0.0,0.0,0.008924690034348455,0.9910753099656515,-0.035127600511679284,10.691965836745043,10.691965836745043,10.691965763385479,1.813391272838299,0.01278523181994947,0.07388978680739036,4.438557643156785,0.041,0.040865384615384616,0.6936522389833744,4.455885171890259,12.007010313180777,0.0,0.0,1,13,0.1282448172569275,0.08470757827162732,0,12,0,True,0.0002,0.0,0.0
8,200,14.674459457397461,20.0,time_limit,time_limit,-0.012646857649087906,-3.5293713660243156,-3.5293713660243156,-0.001218399964272976,0.012646857649087906,0.05,0.05,0.5412844036697247,2.246110845584658,2.246110845584658,1,2.246110845584658,20.000000000000014,0.0011434932905645054,0.0,0.0002522533680263048,0.0,19,0.95,0.5279503105590062,0.13664596273291926,0.33540372670807456,0.5279503105590062,0.13664596273291926,0.33540372670807456,0.5042750170007348,0.05,0.0,0.5083700773386878,0.8708689749240873,0.0,7.439239382931585e-14,2.7254725711543804e-13,0.0,76,85,2.1306074087999987,0.0,1.0,0.0,0.0,0.95975,0.04025000000000001,0.04025000000000001,0.863849765258216,0.0,0.0,0.0,0.0,0.0,0.09342116552858973,0.00026264535248234744,4.657383980817093e-06,0.906311531734947,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012149538069750315,0.0,0.0,0.012149538069750315,0.0,0.0,0.01965478307398973,0.9803452169260103,-0.017181156140465576,1.2909778494101305,1.2909778494101305,1.2909778448251576,1.8013888826737037,0.028203957409669574,0.10600439172524673,1.6832161442591593,0.04025,0.03936298076923077,0.50437322518645,1.5520602907412326,1.2258599492219777,0.0,0.0,2,26,0.07985633611679077,0.0686985943466425,1,10,0,True,0.0002,0.0,0.0
9,58,3.0586588382720947,5.800000000000001,idle,terminated,-0.03234881907701492,-1.876231433830825,-1.876231433830825,-0.0012104504276067019,0.03596978262066841,0.2,0.2,0.6744186046511628,1.92909160158044,2.3203281495300327,4,1.92909160158044,5.799999999999995,0.006555429480617315,0.0,0.001837573479039704,0.0,15,0.75,0.6,0.20606060606060606,0.19393939393939394,0.6,0.20606060606060606,0.19393939393939394,0.5057620510410774,0.25862068965517243,2.0,0.5126351213755195,0.8744320750236511,0.0,0.0,6.808531603091916e-12,0.0,66,99,10.31156893419153,0.01724137931034484,0.0,0.0,0.0,0.8577586206896551,0.14224137931034486,0.14224137931034486,0.0,0.0,0.0,0.0,0.0,0.0,0.0325486185755171,0.0006478204552877988,6.923612181908708e-05,0.966734324847376,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012137019212439275,0.0,0.0,0.012137019212439275,0.0,0.0,0.039838143833354545,0.9601618561666455,-0.006713514495640993,1.4847544312477112,1.4847544312477112,1.4847544133663177,1.6557210624217986,-0.0006888941919896751,0.0498960348777473,0.9416807591915131,0.14224137931034483,0.1396484375,0.16264909654855728,1.9898438513278962,1.0795443087816239,0.0,0.0,5,20,0.03973829001188278,0.02491140877828003,-1,-1,0,False,0.0002,0.0,0.0
10,200,11.8221435546875,20.0,time_limit,time_limit,-0.009869737550616264,-2.973947243844166,-2.973947243844166,-0.001240062527358532,0.009893374517560005,0.25,0.25,0.6949152542372882,2.8589763547217757,3.53804355913325,5,2.8589763547217757,20.000000000000014,0.002961873719022047,0.0,0.0005271383653970064,0.0,11,0.55,0.521505376344086,0.1989247311827957,0.27956989247311825,0.521505376344086,0.1989247311827957,0.27956989247311825,0.5043112268559635,0.05,0.0,0.510120250835595,0.8664640665054321,0.0,0.0,1.3592871403109164e-12,0.0,89,97,3.0267673779999975,0.0,1.0,0.0,0.0,0.9535,0.046499999999999986,0.046499999999999986,0.8330733229329174,0.0,0.0,0.0,0.0,0.0,0.11420640942088195,0.0010520823951486733,4.5337370562671676e-05,0.8846961708134068,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011760249684736122,0.0,0.0,0.011760249684736122,0.0,0.0,0.01492734367584263,0.9850726563241574,0.05974298396280834,17.78907687323434,17.78907687323434,17.789076771054948,1.5366650138582503,0.0063622685016265935,0.05961538611778191,9.308515497616359,0.0465,0.047154017857142856,0.4165076946374029,17.474540642329625,17.796122823442733,0.0,0.0,1,14,0.08294009417295456,0.05553143247961997,0,13,0,True,0.0002,0.0,0.0
