episode,steps,wall_time,sim_time,termination_reason_raw,termination_reason_bucket,reward_mean,reward_total,episode_reward,reward_p95,reward_abs_mean,vehicle_sr,task_sr,subtask_sr,task_duration_mean,task_duration_p95,completed_tasks,mean_cft_completed,episode_time_seconds,energy_mean,energy_p95,t_tx_mean,dT_eff_mean,deadline_misses,deadline_miss_rate,ratio_local,ratio_rsu,ratio_v2v,decision_frac_local,decision_frac_rsu,decision_frac_v2v,avg_power,avg_rsu_queue,rsu_queue_p95,power_ratio_mean,power_ratio_p95,I_total_p50,I_total_p95,I_caused_mean,I_caused_p95,tx_created,same_node_no_tx,service_rate_ghz,idle_fraction,time_limit_rate,illegal_action_rate,illegal_action_ratio,no_task_rate,on_task_rate,has_task_available_rate,v2v_link_break_rate,unified_illegal_trigger_rate,hard_trigger_rate,r_margin,r_margin_raw,r_margin_norm,abs_ratio_r_time,abs_ratio_r_energy,abs_ratio_r_interf,abs_ratio_r_term,abs_ratio_r_margin,margin_valid_count,margin_skip_count,reward_clip_hit_count,reward_clip_hit_rate,abs_ratio_basis,r_prog_on_task_mean,r_margin_on_task_mean,r_time_on_task_mean,r_prog_on_task_abs_mean,r_margin_on_task_abs_mean,r_time_on_task_abs_mean,abs_ratio_on_task_r_prog,abs_ratio_on_task_r_margin,abs_ratio_on_task_r_time,abs_ratio_on_task_r_term,actor_loss,critic_loss,critic_loss_raw_mean,normalized_value_loss,entropy,approx_kl,clip_frac,grad_norm,active_ratio,actor_update_active_frac,value_clip_fraction,critic_loss_active,critic_loss_inactive,mode_aux_loss,mode_aux_acc,ppo_epochs_executed,num_minibatches_executed,mb_kl_max,mb_kl_p95,early_stop_epoch_idx,early_stop_batch_idx,skipped_update_count,early_stop,lr,bias_rsu,bias_local
1,200,7.189610958099365,20.0,time_limit,time_limit,-0.010311693884432316,-3.06233843821712,-3.06233843821712,-0.0011546172900125384,0.011261693201959133,0.2,0.2,0.6284584980237155,2.25546133518219,3.0557499051094053,4,2.25546133518219,20.000000000000014,0.003650939034786348,0.0,0.0007351747878074731,0.0,9,0.45,0.2978723404255319,0.39893617021276595,0.30319148936170215,0.2978723404255319,0.39893617021276595,0.30319148936170215,0.5022086759400554,0.15,0.0,0.5031722455153399,0.8668948173522949,0.0,0.0,4.325776715996543e-12,0.0,132,56,2.883223552,0.0,1.0,0.0,0.0,0.953,0.04700000000000004,0.04700000000000004,0.8460365853658537,0.0,0.0,0.0,0.0,0.0,0.10196920189030036,0.0011498689920197468,0.0001227673136662808,0.8967581618040137,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011413711194858669,0.0,0.0,0.011413711194858669,0.0,0.0,0.012376389203146848,0.9876236107968531,0.07365378240744273,1.3949121236801147,1.3949121236801147,1.3949120442072551,1.957030177116394,0.02450887280671547,0.06666666766007741,1.7573068141937256,0.047,0.049479166666666664,0.026520268991589546,2.955013334751129,0.8869060675303141,0.0,0.0,1,3,0.08485633879899979,0.07650744443526492,0,2,0,True,0.0002,0.0,0.0
2,200,7.211416959762573,20.0,time_limit,time_limit,-0.012012268416583538,-3.4024532235656126,-3.4024532235656126,-0.001159657840617001,0.012210823595523834,0.1,0.1,0.548,2.3849005699157715,2.6510902881622314,2,2.3849005699157715,20.000000000000014,0.00393168224254623,0.0,0.0008203410564084181,0.0,14,0.7,0.3313253012048193,0.3072289156626506,0.3614457831325301,0.3313253012048193,0.3072289156626506,0.3614457831325301,0.5010852277667728,0.095,0.04999999999998295,0.5015750765845758,0.8698979467153549,0.0,0.0,2.3876391315458267e-12,0.0,111,55,2.440119808,0.0,1.0,0.0,0.0,0.9585,0.04149999999999998,0.04149999999999998,0.7218045112781954,0.0,0.0,0.0,0.0,0.0,0.09478964991009284,0.0012225910811213094,6.669250316046025e-05,0.9039210665056254,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011641903647693531,0.0,0.0,0.011641903647693531,0.0,0.0,0.013144787737567576,0.9868552122624323,0.024385275039821862,1.1373054891824723,1.1373054891824723,1.137305524945259,1.995398372411728,0.008237599820131437,0.2333962745964527,1.8847315311431885,0.0415,0.0419921875,0.5196530147688463,1.6516275867819785,1.0288729071617126,0.0,0.0,2,20,0.07870901376008987,0.07346090748906135,1,4,0,True,0.0002,0.0,0.0
3,200,8.101671934127808,20.0,time_limit,time_limit,-0.01179305650293827,-3.3586118186508664,-3.3586118186508664,-0.0010843954514712095,0.01179305650293827,0.15,0.15,0.6547619047619048,2.993464628855387,3.2145081996917724,3,2.993464628855387,20.000000000000014,0.004303133362554945,0.0,0.0008673224131565132,0.0,14,0.7,0.4029126213592233,0.3058252427184466,0.2912621359223301,0.4029126213592233,0.3058252427184466,0.2912621359223301,0.5036185381945688,0.105,1.0,0.5057528429166436,0.8761972635984421,0.0,0.0,2.798990639957255e-12,0.0,113,79,3.22184192,0.0,1.0,0.0,0.0,0.9485,0.05149999999999999,0.05149999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.08884068885600213,0.0012950071667265138,7.803807122851067e-05,0.9097862659060428,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.010730936217268427,0.0,0.0,0.010730936217268427,0.0,0.0,0.022469815296567025,0.9775301847034329,-0.01842783057751755,1.1180280695358913,1.1180280695358913,1.1180280844370525,1.888641635576884,0.0010111929926400383,0.09506972537686427,1.7124590103824933,0.0515,0.050618489583333336,0.4005662476023038,1.2459209809700649,1.0792941053708394,0.0,0.0,2,24,0.09763253480195999,0.06541635673493144,1,8,0,True,0.0002,0.0,0.0
4,200,7.527621030807495,20.0,time_limit,time_limit,-0.013262166641652584,-3.6524334243362127,-3.6524334243362127,-0.0011435431661084294,0.013262166641652584,0.0,0.0,0.483739837398374,0.0,0.0,0,0.0,20.000000000000014,0.0035917846311349423,0.0,0.00048558877735199876,0.0,11,0.55,0.36774193548387096,0.2709677419354839,0.36129032258064514,0.36774193548387096,0.2709677419354839,0.36129032258064514,0.4999568987726234,0.055,0.0,0.4999325489399427,0.8643072247505188,0.0,0.0,2.673959361224054e-12,0.0,98,57,2.358903808,0.0,1.0,0.0,0.0,0.96125,0.03874999999999995,0.03874999999999995,0.883695652173913,0.0,0.0,0.0,0.0,0.0,0.08622596773490011,0.0011124030597944503,8.074810214173145e-05,0.9125808811031636,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011196201315758835,0.0,0.0,0.011196201315758835,0.0,0.0,0.007970275456559248,0.9920297245434406,0.02798650830107577,1.2179846412995283,1.2179846412995283,1.2179846693487728,1.8530914222492891,0.023909268715857145,0.03388637567267699,1.7713196558110855,0.03875,0.03860294117647059,0.009221353075083564,2.546119518139783,0.9508230826433968,0.0,0.0,2,17,0.1328473538160324,0.0760575801134109,1,1,0,True,0.0002,0.0,0.0
5,200,6.944170951843262,20.0,time_limit,time_limit,-0.012692497111856937,-3.5384994284846876,-3.5384994284846876,-0.0012145256623625755,0.012859621085226536,0.05,0.05,0.5338645418326693,2.797447919845581,2.797447919845581,1,2.797447919845581,20.000000000000014,0.002476098551414907,0.0,0.00058915649319667,0.0,13,0.65,0.4012345679012346,0.29012345679012347,0.30864197530864196,0.4012345679012346,0.29012345679012347,0.30864197530864196,0.5042811823692173,0.065,0.04999999999998295,0.5065436490167631,0.8699257731437683,0.0,0.0,3.1700813848956066e-12,0.0,97,65,2.425290496,0.0,1.0,0.0,0.0,0.9595,0.04049999999999998,0.04049999999999998,0.7882096069868996,0.0,0.0,0.0,0.0,0.0,0.09435578748093532,0.0006358896518839288,0.00011370993069705552,0.9048946129364835,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.01185700962742552,0.0,0.0,0.01185700962742552,0.0,0.0,0.011006161678561588,0.9889938383214384,-0.11982364642123382,3.287900686264038,3.287900686264038,3.2879008452097573,1.9639383554458618,0.006767577530505757,0.0793650820851326,2.6580514113108316,0.0405,0.045572916666666664,0.0,5.137367248535156,2.818774382273356,0.0,0.0,1,3,0.07788315415382385,0.06992998804198577,0,2,0,True,0.0002,0.0,0.0
6,200,7.781375885009766,20.0,time_limit,time_limit,-0.011624151840806007,-3.324830150860568,-3.324830150860568,-0.0012853736989200115,0.012571441009640694,0.15,0.15,0.6415094339622641,2.0446514189243317,2.7369205355644226,4,2.0446514189243317,20.000000000000014,0.002615871956437205,0.0,0.0004279157841828416,0.0,12,0.6,0.3942857142857143,0.3142857142857143,0.2914285714285714,0.3942857142857143,0.3142857142857143,0.2914285714285714,0.501714295674581,0.1,0.0,0.5026475608873839,0.8601789563894272,0.0,0.0,1.0828841079044138e-12,0.0,97,64,2.594102272,0.0,1.0,0.0,0.0,0.95625,0.043749999999999956,0.043749999999999956,0.62,0.0,0.0,0.0,0.0,0.0,0.09973098457952638,0.0007628187063382459,2.2473934727339506e-05,0.8994837227794079,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012747377359414901,0.0,0.0,0.012747377359414901,0.0,0.0,0.013992198945919397,0.9860078010540806,-0.045171584337367676,3.139623463153839,3.139623463153839,3.139623542626699,2.0329035421212516,0.012257543045658773,0.07394361014788349,2.0834982295831046,0.04375,0.044759114583333336,0.6318012803676538,5.777973507841428,2.5419006794691086,0.0,0.0,2,24,0.12196147441864014,0.0712542414665222,1,8,0,True,0.0002,0.0,0.0
7,200,8.090346097946167,20.0,time_limit,time_limit,-0.011155652813613415,-3.2311305351119852,-3.2311305351119852,-0.0012195694725960493,0.01187804713845253,0.15,0.15,0.5982905982905983,1.9525821208953857,2.3160377025604246,3,1.9525821208953857,20.000000000000014,0.0026511012110859156,0.0,0.0006106660321800516,0.0,10,0.5,0.40350877192982454,0.2807017543859649,0.3157894736842105,0.40350877192982454,0.2807017543859649,0.3157894736842105,0.5026570330094546,0.095,1.0,0.504507265495258,0.876359722018242,0.0,0.0,1.506498268147305e-12,0.0,102,69,2.600356352,0.0,1.0,0.0,0.0,0.95725,0.042749999999999955,0.042749999999999955,0.8195364238410596,0.0,0.0,0.0,0.0,0.0,0.10235845685034616,0.0008007973261346191,4.585527276641672e-05,0.8967948905507528,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012002293490797102,0.0,0.0,0.012002293490797102,0.0,0.0,0.009273732136623029,0.990726267863377,0.028868661389093508,2.1925381042740564,2.1925381042740564,2.192538147622889,1.8768472563136707,0.014013686976713043,0.06905897266485474,1.8982332240451465,0.04275,0.043146306818181816,0.5571243046274916,6.145179011605003,1.3137579966675152,0.0,0.0,2,22,0.10200130939483643,0.07457016035914421,1,6,0,True,0.0002,0.0,0.0
8,99,3.351284980773926,9.9,idle,terminated,-0.015574413351714611,-1.5418666329297743,-1.5418666329297743,-0.001218399964272976,0.017940962687134743,0.35,0.35,0.7981651376146789,2.4044115245342255,3.538297092914581,8,2.4044115245342255,9.89999999999998,0.007906759338867333,0.0,0.0016481952226661066,0.0,13,0.65,0.3602150537634409,0.3763440860215054,0.26344086021505375,0.3602150537634409,0.3763440860215054,0.26344086021505375,0.511882011385898,0.31313131313131315,2.0,0.519540184837274,0.8677208840847015,0.0,0.0,4.741534422036953e-12,0.0,119,67,6.22586624,0.010101010101010121,0.0,0.0,0.0,0.906060606060606,0.09393939393939399,0.09393939393939399,0.0,0.0,0.0,0.0,0.0,0.0,0.06387830853214202,0.001465188498801186,7.309594017831715e-05,0.9345834070288784,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.012118723908988707,0.0,0.0,0.012118723908988707,0.0,0.0,1.0,0.0,-0.02018220346154911,2.0717865773609705,2.0717865773609705,2.071786631856646,1.870517110824585,0.013378578293902267,0.10510938763618469,1.2305851578712463,0.09393939393939393,0.09408482142857143,0.5130017088992255,3.75567797933306,1.2324617419924055,0.0,0.0,5,35,0.06215705722570419,0.0505822345614433,-1,-1,0,False,0.0002,0.0,0.0
9,200,7.646668195724487,20.0,time_limit,time_limit,-0.010354324243962765,-3.0708647281225097,-3.0708647281225097,-0.0012104504276067019,0.01142881903797388,0.2,0.2,0.5581395348837209,2.3119959235191345,2.884233784675598,4,2.3119959235191345,20.000000000000014,0.006556793232448399,0.0,0.0012361153120285073,0.0,12,0.6,0.3197278911564626,0.2925170068027211,0.3877551020408163,0.3197278911564626,0.2925170068027211,0.3877551020408163,0.49389430024730974,0.075,1.0,0.4898702617126665,0.8694259524345398,0.0,0.0,2.6450072600908703e-12,0.0,100,47,2.427923968,0.0,1.0,0.0,0.0,0.96325,0.03674999999999995,0.03674999999999995,0.8355359765051396,0.0,0.0,0.0,0.0,0.0,0.1049633963662757,0.002159572093196595,7.892030165122064e-05,0.8927981112388765,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.01213710973544705,0.0,0.0,0.01213710973544705,0.0,0.0,0.011222705106515246,0.9887772948934848,-0.02279050648212433,1.7213211506605148,1.7213211506605148,1.7213211804628372,1.8904073983430862,0.0186523791635409,0.033333334140479565,2.074931278824806,0.03675,0.037109375,0.13181744306348264,3.3421381264925003,1.4679656624794006,0.0,0.0,1,8,0.07720174640417099,0.06583863273262976,0,7,0,True,0.0002,0.0,0.0
10,200,7.2136759757995605,20.0,time_limit,time_limit,-0.008112205192446709,-2.622440850014024,-2.622440850014024,-0.001240062527358532,0.009613615460693836,0.35,0.35,0.6822033898305084,2.338140743119376,3.2808646202087397,7,2.338140743119376,20.000000000000014,0.003447158030758146,0.0,0.0005523636334003818,0.0,9,0.45,0.430939226519337,0.2983425414364641,0.27071823204419887,0.430939226519337,0.2983425414364641,0.27071823204419887,0.5012971061638091,0.075,0.0,0.5021031311938534,0.8567246973514556,0.0,0.0,2.1757634756369715e-12,0.0,103,78,2.899057152,0.0,1.0,0.0,0.0,0.95475,0.04525000000000001,0.04525000000000001,0.8041958041958042,0.0,0.0,0.0,0.0,0.0,0.12206998964428856,0.0013286473621615382,7.002628524024743e-05,0.8765313367083096,0.0,0,0,0,0.0,unified_mainline,0.0,0.0,-0.011793904792517105,0.0,0.0,0.011793904792517105,0.0,0.0,0.019178277976855097,0.980821722023145,0.023857279465748712,3.771825772065383,3.771825772065383,3.7718258454249454,1.8301676603463979,0.013955539737183314,0.06860332821424191,1.8286339182120104,0.04525,0.045973557692307696,0.3731185971544339,17.323983742640568,0.9012828492201291,0.0,0.0,1,13,0.07803022116422653,0.0680262744426727,0,12,0,True,0.0002,0.0,0.0
