scenario_group,scenario_key,scenario_label,fmappo_path,tera_path,fm_NUM_VEHICLES,tera_NUM_VEHICLES,fm_F_RSU,tera_F_RSU,fm_DAG_FAT,tera_DAG_FAT,fm_DAG_DENSITY,tera_DAG_DENSITY,fm_DAG_REGULAR,tera_DAG_REGULAR,fm_LR_ACTOR,tera_LR_ACTOR,fm_LR_CRITIC,tera_LR_CRITIC,fm_MAX_EPISODES,tera_MAX_EPISODES,expected_diff,config_match_except_model,mismatch_keys
Default,default,默认场景,runs/rc1_default_fmappo_20260328_224844/fmappo_flat,runs/lr_critic_1500ep_20260327_163712/lr_c2e4,20,20,6000000000.0,6000000000.0,1.0,1.0,0.24,0.24,0.5,0.5,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
Topology,topology_parallel,拓扑-Parallel,runs/rc1_batch1_topology_fmappo_20260328_224844/topology_parallel/fmappo_flat,runs/rc1_batch1_part1_topology_20260323_182712/topology_parallel/full,20,20,6000000000.0,6000000000.0,1.0,1.0,0.12,0.12,0.8,0.8,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
Topology,topology_balanced,拓扑-Balanced,runs/rc1_batch1_topology_fmappo_20260328_224844/topology_balanced/fmappo_flat,runs/rc1_batch1_part1_topology_20260323_182712/topology_balanced/full,20,20,6000000000.0,6000000000.0,1.0,1.0,0.24,0.24,0.5,0.5,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
Topology,topology_deep,拓扑-Deep,runs/rc1_batch1_topology_fmappo_20260328_224844/topology_deep/fmappo_flat,runs/rc1_batch1_part1_topology_20260323_182712/topology_deep/full,20,20,6000000000.0,6000000000.0,0.35,0.35,0.36,0.36,0.2,0.2,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
Vehicles,vehicle_10,车辆数-10,runs/rc1_batch2_vehicle_fmappo_20260328_224844/vehicle_10/fmappo_flat,runs/rc1_batch2_vehicle_20260324_181254/vehicle_10/mappo_full,10,10,6000000000.0,6000000000.0,1.0,1.0,0.24,0.24,0.5,0.5,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
Vehicles,vehicle_20,车辆数-20,runs/rc1_batch2_vehicle_fmappo_20260328_224844/vehicle_20/fmappo_flat,runs/rc1_batch2_vehicle_20260324_181254/vehicle_20/mappo_full,20,20,6000000000.0,6000000000.0,1.0,1.0,0.24,0.24,0.5,0.5,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
Vehicles,vehicle_30,车辆数-30,runs/rc1_batch2_vehicle_fmappo_20260328_224844/vehicle_30/fmappo_flat,runs/rc1_batch2_vehicle_20260324_181254/vehicle_30/mappo_full,30,30,6000000000.0,6000000000.0,1.0,1.0,0.24,0.24,0.5,0.5,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
F_RSU,frsu_4,RSU算力-4GHz,runs/rc1_batch3_frsu_fmappo_20260328_224844/frsu_4/fmappo_flat,runs/rc1_batch3_frsu_20260325_163701/frsu_4/mappo_full,20,20,4000000000.0,4000000000.0,1.0,1.0,0.24,0.24,0.5,0.5,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
F_RSU,frsu_6,RSU算力-6GHz,runs/rc1_batch3_frsu_fmappo_20260328_224844/frsu_6/fmappo_flat,runs/rc1_batch3_frsu_20260325_163701/frsu_6/mappo_full,20,20,6000000000.0,6000000000.0,1.0,1.0,0.24,0.24,0.5,0.5,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
F_RSU,frsu_8,RSU算力-8GHz,runs/rc1_batch3_frsu_fmappo_20260328_224844/frsu_8/fmappo_flat,runs/rc1_batch3_frsu_20260325_163701/frsu_8/mappo_full,20,20,8000000000.0,8000000000.0,1.0,1.0,0.24,0.24,0.5,0.5,0.0002,0.0002,0.0002,0.0002,1500,1500,ABLATION_MODE,True,
