episode,reward_mean__lr_c=2e-4__raw,reward_mean__lr_c=2e-4__smooth,reward_mean__lr_c=2e-4__band_low,reward_mean__lr_c=2e-4__band_high,reward_mean__lr_c=3e-4__raw,reward_mean__lr_c=3e-4__smooth,reward_mean__lr_c=3e-4__band_low,reward_mean__lr_c=3e-4__band_high,reward_mean__lr_c=5e-4__raw,reward_mean__lr_c=5e-4__smooth,reward_mean__lr_c=5e-4__band_low,reward_mean__lr_c=5e-4__band_high,reward_total__lr_c=2e-4__raw,reward_total__lr_c=2e-4__smooth,reward_total__lr_c=2e-4__band_low,reward_total__lr_c=2e-4__band_high,reward_total__lr_c=3e-4__raw,reward_total__lr_c=3e-4__smooth,reward_total__lr_c=3e-4__band_low,reward_total__lr_c=3e-4__band_high,reward_total__lr_c=5e-4__raw,reward_total__lr_c=5e-4__smooth,reward_total__lr_c=5e-4__band_low,reward_total__lr_c=5e-4__band_high,task_sr__lr_c=2e-4__raw,task_sr__lr_c=2e-4__smooth,task_sr__lr_c=2e-4__band_low,task_sr__lr_c=2e-4__band_high,task_sr__lr_c=3e-4__raw,task_sr__lr_c=3e-4__smooth,task_sr__lr_c=3e-4__band_low,task_sr__lr_c=3e-4__band_high,task_sr__lr_c=5e-4__raw,task_sr__lr_c=5e-4__smooth,task_sr__lr_c=5e-4__band_low,task_sr__lr_c=5e-4__band_high,deadline_miss_rate__lr_c=2e-4__raw,deadline_miss_rate__lr_c=2e-4__smooth,deadline_miss_rate__lr_c=2e-4__band_low,deadline_miss_rate__lr_c=2e-4__band_high,deadline_miss_rate__lr_c=3e-4__raw,deadline_miss_rate__lr_c=3e-4__smooth,deadline_miss_rate__lr_c=3e-4__band_low,deadline_miss_rate__lr_c=3e-4__band_high,deadline_miss_rate__lr_c=5e-4__raw,deadline_miss_rate__lr_c=5e-4__smooth,deadline_miss_rate__lr_c=5e-4__band_low,deadline_miss_rate__lr_c=5e-4__band_high,mean_cft_completed__lr_c=2e-4__raw,mean_cft_completed__lr_c=2e-4__smooth,mean_cft_completed__lr_c=2e-4__band_low,mean_cft_completed__lr_c=2e-4__band_high,mean_cft_completed__lr_c=3e-4__raw,mean_cft_completed__lr_c=3e-4__smooth,mean_cft_completed__lr_c=3e-4__band_low,mean_cft_completed__lr_c=3e-4__band_high,mean_cft_completed__lr_c=5e-4__raw,mean_cft_completed__lr_c=5e-4__smooth,mean_cft_completed__lr_c=5e-4__band_low,mean_cft_completed__lr_c=5e-4__band_high,avg_rsu_queue__lr_c=2e-4__raw,avg_rsu_queue__lr_c=2e-4__smooth,avg_rsu_queue__lr_c=2e-4__band_low,avg_rsu_queue__lr_c=2e-4__band_high,avg_rsu_queue__lr_c=3e-4__raw,avg_rsu_queue__lr_c=3e-4__smooth,avg_rsu_queue__lr_c=3e-4__band_low,avg_rsu_queue__lr_c=3e-4__band_high,avg_rsu_queue__lr_c=5e-4__raw,avg_rsu_queue__lr_c=5e-4__smooth,avg_rsu_queue__lr_c=5e-4__band_low,avg_rsu_queue__lr_c=5e-4__band_high
1,0.0007225049776025,,,,0.0003425265313126,,,,0.0010658596875146,,,,0.020230149515544,,,,0.0095907415348598,,,,0.0298440704021163,,,,0.2,,,,0.15,,,,0.2,,,,0.8,,,,0.85,,,,0.8,,,,1.5786136203801415,,,,1.5634712531016015,,,,1.8552660213359184,,,,1.9285714285714288,,,,1.75,,,,1.3928571428571428,,,
2,0.0018405556911602,,,,0.0024327493738383,,,,2.7278903871774673e-05,,,,0.0441733345294118,,,,0.0583859861346807,,,,0.0006546929300014,,,,0.45,,,,0.5,,,,0.25,,,,0.55,,,,0.5,,,,0.75,,,,0.7887211271393746,,,,0.8469170794810003,,,,0.7759994351970708,,,,0.6666666666666666,,,,0.625,,,,0.375,,,
3,0.0013698472175747,,,,0.0004879205080214,,,,0.0020902117248624,,,,0.0520541947524688,,,,0.0190289000309158,,,,0.0815182670419727,,,,0.2,,,,0.0,,,,0.1,,,,0.8,,,,1.0,,,,0.9,,,,2.697883851100727,,,,0.0,,,,2.0642599632441625,,,,0.9473684210526316,,,,0.5384615384615384,,,,0.7435897435897436,,,
4,0.0021508052013814,,,,0.002121519530192,,,,0.0008566923788748,,,,0.0817305887676586,,,,0.0827392748955164,,,,0.0334110067877576,,,,0.15,,,,0.35,,,,0.05,,,,0.85,,,,0.65,,,,0.95,,,,2.71408850150948,,,,2.824788980262596,,,,2.502304265818122,,,,1.105263157894737,,,,0.8717948717948718,,,,0.6410256410256411,,,
5,0.0021130880340933,,,,0.0010562567040324,,,,0.0009571392438374,,,,0.0591664607885311,,,,0.0295751814166155,,,,0.0267998968951348,,,,0.3,,,,0.25,,,,0.1,,,,0.7,,,,0.7,,,,0.9,,,,1.4411392069456497,,,,1.5857656452323587,,,,1.516227027114668,,,,0.8214285714285714,,,,0.6071428571428571,,,,1.0,,,
6,0.0039482498541474,,,,0.0028216829523444,,,,0.0032097152434289,,,,0.0987062560247654,,,,0.0705420758138408,,,,0.080242885556404,,,,0.65,,,,0.55,,,,0.55,,,,0.35,,,,0.45,,,,0.45,,,,0.760885393494921,,,,0.8672036048834961,,,,0.9218006254961424,,,,0.12,,,,0.16,,,,0.12,,,
7,0.0039472389034926,,,,0.003793068928644,,,,0.0068669649772346,,,,0.0947337365411241,,,,0.0910336576847444,,,,0.1510732445070066,,,,0.6,,,,0.65,,,,0.9,,,,0.4,,,,0.35,,,,0.1,,,,0.8405971828769533,,,,1.2404600189798092,,,,1.0957734339757703,,,,0.0416666666666666,,,,0.0,,,,0.0454545454545454,,,
8,0.0029574825894087,,,,0.002140370896086,,,,0.0001734964607749,,,,0.0857669931285261,,,,0.0599303807753883,,,,0.0050314022321505,,,,0.4,,,,0.25,,,,0.1,,,,0.6,,,,0.75,,,,0.9,,,,1.7945795954912849,,,,2.025853583498289,,,,1.9288044342111696,,,,1.0344827586206895,,,,0.3928571428571428,,,,0.4827586206896552,,,
9,0.0024436230305582,,,,0.0044023129157722,,,,0.0009626186219975,,,,0.0708650579828462,,,,0.1276670601101089,,,,0.0279159363945575,,,,0.4,,,,0.7,,,,0.05,,,,0.6,,,,0.3,,,,0.9,,,,2.007433955688871,,,,1.756844019391092,,,,2.1443739616912247,,,,0.5862068965517241,,,,0.9655172413793104,,,,0.6206896551724138,,,
10,0.0030249902047216,,,,0.0056214537471532,,,,0.0010365125490352,,,,0.0877247134571185,,,,0.1461577975656717,,,,0.0300588585357488,,,,0.35,,,,0.7,,,,0.15,,,,0.65,,,,0.3,,,,0.85,,,,1.6088128480878945,,,,1.8342314923567469,,,,1.9088836437868568,,,,0.9655172413793104,,,,1.6153846153846154,,,,1.0344827586206895,,,
