episode,reward_mean__lr_c=2e-4__raw,reward_mean__lr_c=2e-4__smooth,reward_mean__lr_c=2e-4__band_low,reward_mean__lr_c=2e-4__band_high,reward_mean__lr_c=3e-4__raw,reward_mean__lr_c=3e-4__smooth,reward_mean__lr_c=3e-4__band_low,reward_mean__lr_c=3e-4__band_high,reward_mean__lr_c=5e-4__raw,reward_mean__lr_c=5e-4__smooth,reward_mean__lr_c=5e-4__band_low,reward_mean__lr_c=5e-4__band_high,reward_total__lr_c=2e-4__raw,reward_total__lr_c=2e-4__smooth,reward_total__lr_c=2e-4__band_low,reward_total__lr_c=2e-4__band_high,reward_total__lr_c=3e-4__raw,reward_total__lr_c=3e-4__smooth,reward_total__lr_c=3e-4__band_low,reward_total__lr_c=3e-4__band_high,reward_total__lr_c=5e-4__raw,reward_total__lr_c=5e-4__smooth,reward_total__lr_c=5e-4__band_low,reward_total__lr_c=5e-4__band_high,task_sr__lr_c=2e-4__raw,task_sr__lr_c=2e-4__smooth,task_sr__lr_c=2e-4__band_low,task_sr__lr_c=2e-4__band_high,task_sr__lr_c=3e-4__raw,task_sr__lr_c=3e-4__smooth,task_sr__lr_c=3e-4__band_low,task_sr__lr_c=3e-4__band_high,task_sr__lr_c=5e-4__raw,task_sr__lr_c=5e-4__smooth,task_sr__lr_c=5e-4__band_low,task_sr__lr_c=5e-4__band_high,deadline_miss_rate__lr_c=2e-4__raw,deadline_miss_rate__lr_c=2e-4__smooth,deadline_miss_rate__lr_c=2e-4__band_low,deadline_miss_rate__lr_c=2e-4__band_high,deadline_miss_rate__lr_c=3e-4__raw,deadline_miss_rate__lr_c=3e-4__smooth,deadline_miss_rate__lr_c=3e-4__band_low,deadline_miss_rate__lr_c=3e-4__band_high,deadline_miss_rate__lr_c=5e-4__raw,deadline_miss_rate__lr_c=5e-4__smooth,deadline_miss_rate__lr_c=5e-4__band_low,deadline_miss_rate__lr_c=5e-4__band_high,mean_cft_completed__lr_c=2e-4__raw,mean_cft_completed__lr_c=2e-4__smooth,mean_cft_completed__lr_c=2e-4__band_low,mean_cft_completed__lr_c=2e-4__band_high,mean_cft_completed__lr_c=3e-4__raw,mean_cft_completed__lr_c=3e-4__smooth,mean_cft_completed__lr_c=3e-4__band_low,mean_cft_completed__lr_c=3e-4__band_high,mean_cft_completed__lr_c=5e-4__raw,mean_cft_completed__lr_c=5e-4__smooth,mean_cft_completed__lr_c=5e-4__band_low,mean_cft_completed__lr_c=5e-4__band_high,avg_rsu_queue__lr_c=2e-4__raw,avg_rsu_queue__lr_c=2e-4__smooth,avg_rsu_queue__lr_c=2e-4__band_low,avg_rsu_queue__lr_c=2e-4__band_high,avg_rsu_queue__lr_c=3e-4__raw,avg_rsu_queue__lr_c=3e-4__smooth,avg_rsu_queue__lr_c=3e-4__band_low,avg_rsu_queue__lr_c=3e-4__band_high,avg_rsu_queue__lr_c=5e-4__raw,avg_rsu_queue__lr_c=5e-4__smooth,avg_rsu_queue__lr_c=5e-4__band_low,avg_rsu_queue__lr_c=5e-4__band_high
1,-0.0004157175717409,,,,0.0003091301945096215,,,,0.0010658596875146,,,,-0.0116400909143461,,,,0.00865564423521097,,,,0.0298440704021163,,,,0.1,,,,0.13965,,,,0.2,,,,0.9,,,,0.9638999999999999,,,,0.8,,,,1.7395898598745994,,,,1.6908941602293819,,,,1.8552660213359184,,,,1.1428571428571428,,,,1.929375,,,,1.3928571428571428,,,
2,0.0004808977246284,,,,0.0021955563098890653,,,,2.7278903871774673e-05,,,,0.0115415425250962,,,,0.05269335248654933,,,,0.0006546929300014,,,,0.3,,,,0.4655,,,,0.25,,,,0.7,,,,0.567,,,,0.75,,,,0.6719197515489898,,,,0.9159408214587017,,,,0.7759994351970708,,,,0.4583333333333333,,,,0.6890625,,,,0.375,,,
3,0.0015472960658371,,,,0.00044034825848931347,,,,0.0020902117248624,,,,0.060344548913002,,,,0.017173582277901507,,,,0.0815182670419727,,,,0.15,,,,0.0,,,,0.1,,,,0.85,,,,1.0,,,,0.9,,,,2.1332763633896614,,,,0.0,,,,2.0642599632441625,,,,1.205128205128205,,,,0.5936538461538462,,,,0.7435897435897436,,,
4,0.0014052154729142,,,,0.0019146713759982802,,,,0.0008566923788748,,,,0.0548034152896018,,,,0.07467219559320355,,,,0.0334110067877576,,,,0.25,,,,0.32585,,,,0.05,,,,0.75,,,,0.7371,,,,0.95,,,,2.4573980445504704,,,,3.055009282153997,,,,2.502304265818122,,,,1.2307692307692308,,,,0.9611538461538462,,,,0.6410256410256411,,,
5,0.001087785931304,,,,0.0009532716753892411,,,,0.0009571392438374,,,,0.0304580165570564,,,,0.02669160122849549,,,,0.0267998968951348,,,,0.35,,,,0.23275,,,,0.1,,,,0.65,,,,0.7937999999999998,,,,0.9,,,,1.640380651318789,,,,1.7150055453187958,,,,1.516227027114668,,,,1.3214285714285714,,,,0.6693749999999999,,,,1.0,,,
6,0.0042240880429744,,,,0.002546568864490821,,,,0.0032097152434289,,,,0.1056022019317866,,,,0.06366422342199132,,,,0.080242885556404,,,,0.7,,,,0.5120500000000001,,,,0.55,,,,0.3,,,,0.5103,,,,0.45,,,,0.8493908442632266,,,,0.9378806986815009,,,,0.9218006254961424,,,,0.28,,,,0.1764,,,,0.12,,,
7,0.0186482463032007,,,,0.00342324470810121,,,,0.0068669649772346,,,,0.1864824619661018,,,,0.08215787606048182,,,,0.1510732445070066,,,,1.0,,,,0.6051500000000001,,,,0.9,,,,0.0,,,,0.3968999999999999,,,,0.1,,,,0.6807300391705409,,,,1.3415575105266635,,,,1.0957734339757703,,,,0.2,,,,0.0,,,,0.0454545454545454,,,
8,0.003249461762607,,,,0.001931684733717615,,,,0.0001734964607749,,,,0.0877354734996742,,,,0.05408716864978794,,,,0.0050314022321505,,,,0.5,,,,0.23275,,,,0.1,,,,0.5,,,,0.8504999999999999,,,,0.9,,,,1.7880773169158406,,,,2.190960650553399,,,,1.9288044342111696,,,,0.6296296296296297,,,,0.4331249999999999,,,,0.4827586206896552,,,
9,0.0035351316910237,,,,0.00397308740648441,,,,0.0009626186219975,,,,0.1025188298254372,,,,0.11521952174937328,,,,0.0279159363945575,,,,0.5,,,,0.6517,,,,0.05,,,,0.5,,,,0.34019999999999995,,,,0.9,,,,1.6179397081807705,,,,1.9000268069714656,,,,2.1443739616912247,,,,1.4827586206896552,,,,1.0644827586206898,,,,0.6206896551724138,,,
10,0.0063914093188941,,,,0.005073362006805762,,,,0.0010365125490352,,,,0.1661766489281935,,,,0.13190741230301872,,,,0.0300588585357488,,,,0.85,,,,0.6517,,,,0.15,,,,0.15,,,,0.34019999999999995,,,,0.85,,,,1.620194027873596,,,,1.9837213589838216,,,,1.9088836437868568,,,,1.8846153846153848,,,,1.7809615384615385,,,,1.0344827586206895,,,
