rsu_cpu_factor,algorithm,mean_cft,success_rate

4,F-MAPPO,1.8416810107714527,0.8109999999999999
4,IPPO,1.5474341718731492,0.853
4,LO,1.862995238040525,0.8050000000000002
4,MAPPO,1.4244585662743896,0.892
4,NRO,1.882448345334912,0.765



6,F-MAPPO,1.5474341718731492,0.9280000000000002
6,IPPO,1.667200894698104,0.9080000000000001
6,LO,1.7970492365293314,0.853
6,MAPPO,1.3029213472020438,0.9460000000000001
6,NRO,1.7313636388302651,0.8690000000000001



8,F-MAPPO,1.5474341718731492,0.95
8,IPPO,1.6144620890204933,0.9380000000000002
8,LO,1.7464132796161949,0.853
8,MAPPO,1.2758095058647685,0.9670000000000001
8,NRO,1.6953535260481036,0.931
