rsu_cpu_factor,algorithm,mean_cft,success_rate
4,CP-EFT,2.067171622109358,0.519
4,EFT,2.0896488443536643,0.47200000000000003
4,F-MAPPO,2.022686426683363,0.765
4,IPPO,2.0246946985113032,0.8050000000000002
4,LO,1.6918310945240436,0.853
4,MAPPO,1.943878769233705,0.892
4,NRO,1.6333541419979907,0.8109999999999999
6,CP-EFT,1.952791840890694,0.595
6,EFT,2.0359147363698744,0.542
6,F-MAPPO,1.8720170544995882,0.9080000000000001
6,IPPO,1.7182155548351847,0.9460000000000001
6,LO,1.6918310945240436,0.853
6,MAPPO,1.7947634681021902,0.9280000000000002
6,NRO,1.4636327780316942,0.8690000000000001
8,CP-EFT,1.851106365784739,0.65
8,EFT,1.8988494940967895,0.64
8,F-MAPPO,1.7585963935490012,0.931
8,IPPO,1.8000744993160696,0.9380000000000002
8,LO,1.6918310945240436,0.853
8,MAPPO,1.6473780952471815,0.9670000000000001
8,NRO,1.3385053387063077,0.95
