episode,ratio_local__lr_c=2e-4__raw,ratio_local__lr_c=2e-4__smooth,ratio_local__lr_c=2e-4__band_low,ratio_local__lr_c=2e-4__band_high,ratio_local__lr_c=3e-4__raw,ratio_local__lr_c=3e-4__smooth,ratio_local__lr_c=3e-4__band_low,ratio_local__lr_c=3e-4__band_high,ratio_local__lr_c=5e-4__raw,ratio_local__lr_c=5e-4__smooth,ratio_local__lr_c=5e-4__band_low,ratio_local__lr_c=5e-4__band_high,ratio_rsu__lr_c=2e-4__raw,ratio_rsu__lr_c=2e-4__smooth,ratio_rsu__lr_c=2e-4__band_low,ratio_rsu__lr_c=2e-4__band_high,ratio_rsu__lr_c=3e-4__raw,ratio_rsu__lr_c=3e-4__smooth,ratio_rsu__lr_c=3e-4__band_low,ratio_rsu__lr_c=3e-4__band_high,ratio_rsu__lr_c=5e-4__raw,ratio_rsu__lr_c=5e-4__smooth,ratio_rsu__lr_c=5e-4__band_low,ratio_rsu__lr_c=5e-4__band_high,ratio_v2v__lr_c=2e-4__raw,ratio_v2v__lr_c=2e-4__smooth,ratio_v2v__lr_c=2e-4__band_low,ratio_v2v__lr_c=2e-4__band_high,ratio_v2v__lr_c=3e-4__raw,ratio_v2v__lr_c=3e-4__smooth,ratio_v2v__lr_c=3e-4__band_low,ratio_v2v__lr_c=3e-4__band_high,ratio_v2v__lr_c=5e-4__raw,ratio_v2v__lr_c=5e-4__smooth,ratio_v2v__lr_c=5e-4__band_low,ratio_v2v__lr_c=5e-4__band_high
1,0.2941176470588235,,,,0.2710843373493976,,,,0.2794117647058823,,,,0.4764705882352941,,,,0.4879518072289157,,,,0.4926470588235294,,,,0.2294117647058823,,,,0.2409638554216867,,,,0.2279411764705882,,,
2,0.2710280373831775,,,,0.3467741935483871,,,,0.3140495867768595,,,,0.3738317757009345,,,,0.3870967741935484,,,,0.3388429752066115,,,,0.3551401869158878,,,,0.2661290322580645,,,,0.3471074380165289,,,
3,0.2624434389140271,,,,0.375,,,,0.2838427947598253,,,,0.3529411764705882,,,,0.3080357142857143,,,,0.3668122270742358,,,,0.3846153846153846,,,,0.3169642857142857,,,,0.3493449781659388,,,
4,0.233502538071066,,,,0.3664921465968586,,,,0.29,,,,0.4060913705583756,,,,0.3350785340314136,,,,0.335,,,,0.3604060913705584,,,,0.2984293193717277,,,,0.375,,,
5,0.2329545454545454,,,,0.4,,,,0.2215909090909091,,,,0.3977272727272727,,,,0.3333333333333333,,,,0.3806818181818182,,,,0.3693181818181818,,,,0.2666666666666666,,,,0.3977272727272727,,,
6,0.1854838709677419,,,,0.2868217054263566,,,,0.2049180327868852,,,,0.4838709677419355,,,,0.3488372093023256,,,,0.2786885245901639,,,,0.3306451612903225,,,,0.3643410852713178,,,,0.5163934426229508,,,
7,0.1875,,,,0.2834645669291338,,,,0.123076923076923,,,,0.4921875,,,,0.4330708661417323,,,,0.3923076923076923,,,,0.3203125,,,,0.2834645669291338,,,,0.4846153846153846,,,
8,0.2777777777777778,,,,0.3093922651933701,,,,0.1704545454545454,,,,0.55,,,,0.425414364640884,,,,0.4318181818181818,,,,0.1722222222222222,,,,0.2651933701657458,,,,0.3977272727272727,,,
9,0.3023255813953488,,,,0.3977272727272727,,,,0.1366120218579235,,,,0.4941860465116279,,,,0.3522727272727273,,,,0.5300546448087432,,,,0.2034883720930232,,,,0.25,,,,0.3333333333333333,,,
10,0.217391304347826,,,,0.4611398963730569,,,,0.1344086021505376,,,,0.625,,,,0.3212435233160621,,,,0.6666666666666666,,,,0.1576086956521739,,,,0.2176165803108808,,,,0.1989247311827957,,,
