source,metric,mean
Ours (MAPPO),steps,115.625
Ours (MAPPO),elapsed_sec,12.312027200857798
Ours (MAPPO),seed,42.0
Ours (MAPPO),terminated,0.5
Ours (MAPPO),truncated,0.5
Ours (MAPPO),time_limit_rate,0.5
Ours (MAPPO),episode_time_seconds,11.562500000000007
Ours (MAPPO),mean_cft_est,11.966887886710962
Ours (MAPPO),mean_cft_completed,0.7220048633684856
Ours (MAPPO),vehicle_cft_count,20.0
Ours (MAPPO),cft_est_valid,1.0
Ours (MAPPO),deadline_gamma,52.0470394645865
Ours (MAPPO),deadline_seconds,1.464608074528041
Ours (MAPPO),critical_path_cycles,345565822.2281201
Ours (MAPPO),r_time,-0.026505155410683583
Ours (MAPPO),r_interf,-0.03242203890461744
Ours (MAPPO),r_risk,-0.0009730318772063227
Ours (MAPPO),r_illegal,0.0
Ours (MAPPO),r_pbrs,0.0006812608125315817
Ours (MAPPO),r_term,0.05593424425109769
Ours (MAPPO),r_step,-0.0667369442251214
Ours (MAPPO),r_total,-0.010121439161492092
Ours (MAPPO),abs_ratio_r_time,0.33766390850519373
Ours (MAPPO),abs_ratio_r_energy,0.04380608166993458
Ours (MAPPO),abs_ratio_r_interf,0.24925920934794174
Ours (MAPPO),abs_ratio_r_risk,0.015500379844007437
Ours (MAPPO),abs_ratio_r_illegal,0.0
Ours (MAPPO),abs_ratio_r_pbrs,0.011415166763684101
Ours (MAPPO),abs_ratio_r_term,0.3423552538692382
Ours (MAPPO),I_total_mean,1.2840711790044755e-07
Ours (MAPPO),I_total_p50,2.161118693929706e-13
Ours (MAPPO),I_total_p95,9.767572046661548e-10
Ours (MAPPO),I_caused_mean,1.2840711790044755e-07
Ours (MAPPO),I_caused_p95,9.767572046661548e-10
Ours (MAPPO),rho_selected_mean,0.3891471422215303
Ours (MAPPO),rho_selected_p10,0.36607142894963424
Ours (MAPPO),uncertainty_selected_mean,0.3422970089813073
Ours (MAPPO),uncertainty_selected_p90,0.3724444444477558
Ours (MAPPO),rho_selected_p50,0.3729166667163372
Ours (MAPPO),rho_selected_p95,0.4885684947917859
Ours (MAPPO),rho_selected_lt_0p6_rate,0.6377071092848056
Ours (MAPPO),rho_selected_lt_0p7_rate,0.713195861468775
Ours (MAPPO),risk_penalty_mean,0.06963771641254421
Ours (MAPPO),chain_tx_total,35.59166666666667
Ours (MAPPO),chain_p95_mean,0.0
Ours (MAPPO),chain_pfail_mean,0.0
Ours (MAPPO),chain_risk_cost_total,0.0
Ours (MAPPO),trust_attempts,17.656666666666666
Ours (MAPPO),trust_failures,3.808333333333333
Ours (MAPPO),trust_failure_rate,0.15881788605114736
